subdomain,parent_domain,http_status,mx
dls.moi.gov.cy,gov.cy,Could not resolve host: dls.moi.gov.cy,none
dmrid.gov.cy,gov.cy,Could not resolve host: dmrid.gov.cy,10 mail03.gov.cy.
dms.gov.cy,gov.cy,Could not resolve host: dms.gov.cy,none
dms.mcw.gov.cy,gov.cy,Could not resolve host: dms.mcw.gov.cy,none
dps.mcw.gov.cy,gov.cy,Could not resolve host: dps.mcw.gov.cy,none
drones.gov.cy,gov.cy,200,none
dsf-api.staging.service.gov.cy,gov.cy,502,none
e-consultation.gov.cy,gov.cy,200,none
e-gnosis.gov.cy,gov.cy,200,none
e-learning.capa.mof.gov.cy,gov.cy,Could not resolve host: e-learning.capa.mof.gov.cy,none
e-services.insolvency.gov.cy,gov.cy,Could not resolve host: e-services.insolvency.gov.cy,none
eapp.dec.dmrid.gov.cy,gov.cy,Could not resolve host: eapp.dec.dmrid.gov.cy,none
eas.crmd.moi.gov.cy,gov.cy,SSL certificate problem: self-signed certificate,none
ecccyprus.gov.cy,gov.cy,200,none
ecivil.crmd.moi.gov.cy,gov.cy,Could not resolve host: ecivil.crmd.moi.gov.cy,none
edvc.moh.gov.cy,gov.cy,Could not resolve host: edvc.moh.gov.cy,none
efiling.drcor.mcit.gov.cy,gov.cy,Could not resolve host: efiling.drcor.mcit.gov.cy,none
eforms.businessincyprus.gov.cy,gov.cy,Could not resolve host: eforms.businessincyprus.gov.cy,none
eforms.eservices.cyprus.gov.cy,gov.cy,200,none
eforms.gov.cy,gov.cy,Could not resolve host: eforms.gov.cy,none
egate.centralbank.gov.cy,gov.cy,Could not resolve host: egate.centralbank.gov.cy,none
emcs.customs.mof.gov.cy,gov.cy,Could not resolve host: emcs.customs.mof.gov.cy,none
emp-survey.cystat.mof.gov.cy,gov.cy,SSL certificate problem: unable to get local issuer certificate,none
energy.gov.cy,gov.cy,307,none
eoasis.oas.intranet.gov.cy,gov.cy,Could not resolve host: eoasis.oas.intranet.gov.cy,none
eoasissa.oas.intranet.gov.cy,gov.cy,Could not resolve host: eoasissa.oas.intranet.gov.cy,none
eoasisssl.oas.intranet.gov.cy,gov.cy,Could not resolve host: eoasisssl.oas.intranet.gov.cy,none
eoasisvat.mof.intranet.gov.cy,gov.cy,Could not resolve host: eoasisvat.mof.intranet.gov.cy,none
ep.crmd.moi.gov.cy,gov.cy,SSL certificate problem: self-signed certificate,none
epc.mcit.gov.cy,gov.cy,SSL: no alternative certificate subject name matches target hostname 'epc.mcit.gov.cy',none
epd.moec.gov.cy,gov.cy,Could not resolve host: epd.moec.gov.cy,none
eprocstats.treasury.gov.cy,gov.cy,Connection timed out after 3002 milliseconds,none
eprocurement.gov.cy,gov.cy,Could not resolve host: eprocurement.gov.cy,none
ergani.mlsi.gov.cy,gov.cy,302,none
eservices-test.dls.moi.gov.cy,gov.cy,307,none
eservices.cyprus.gov.cy,gov.cy,Could not resolve host: eservices.cyprus.gov.cy,none
eservices.dls.moi.gov.cy,gov.cy,200,none
eservices.dms.gov.cy,gov.cy,403,none
eshop.centralbank.gov.cy,gov.cy,Could not resolve host: eshop.centralbank.gov.cy,none
eskk.da.moa.gov.cy,gov.cy,Connection timed out after 3002 milliseconds,none
