subdomain,mx
test-coordonare.pnrr.gov.ro,none
test-depunere.pnrr.gov.ro,none
test-esmc.pnrr.gov.ro,none
test-granturi.imm.gov.ro,none
test-platforma.gov.ro,none
test-pnrr.gov.ro,none
test-programare-api.vaccinare-covid.gov.ro,none
test-programare.vaccinare-covid.gov.ro,none
test-proiecte.pnrr.gov.ro,none
training.ina.gov.ro,10 training.ina.gov.ro.
transfer.research.gov.ro,none
uefiscdi-direct.gov.ro,none
uefiscdi.gov.ro,none
vaccinare-covid.gov.ro,none
vaccinare.gov.ro,none
viogen.anes.gov.ro,none
voluntari.ithub.gov.ro,none
vpn.isc.gov.ro,none
vr.studyinromania.gov.ro,none
web.email.gov.ro,none
webac.email.gov.ro,none
webconf.gov.ro,none
webdisk.dst-braila.gov.ro,none
webex-register.research.gov.ro,none
webexadmin.research.gov.ro,none
webexconf.research.gov.ro,none
webexsrv.research.gov.ro,none
webmail.aspaas.gov.ro,none
webmail.dst-braila.gov.ro,none
webmail.mmuncii.gov.ro,none
websync.email.gov.ro,none
wifi.research.gov.ro,none
www.aaas.gov.ro,none
www.accelerate.gov.ro,none
www.adr.gov.ro,none
www.agregator.romania-durabila.gov.ro,none
www.ai.gov.ro,none
www.aias.gov.ro,none
www.aici.gov.ro,none
www.ana.gov.ro,none
www.anf.gov.ro,none
www.anfp.gov.ro,none
www.anmcs.gov.ro,none
www.anpc.gov.ro,none
www.arf.gov.ro,none
www.aspaas.gov.ro,none
www.azm.gov.ro,none
www.brainmap.gov.ro,none
www.brokermap.gov.ro,none
www.capesaro.gov.ro,none
www.cardeuropean.gov.ro,none
www.certificat-covid.gov.ro,none
www.cias.gov.ro,10 mx2.stsmail.ro.; 10 mx1.stsmail.ro.
www.cnas.gov.ro,none
www.codsustenabilitate.gov.ro,none
www.comunicatii.gov.ro,none
www.contribute.gov.ro,none
www.davere2.mai.gov.ro,none
www.dev-future.research.gov.ro,none
www.dev01.research.gov.ro,none
www.devfuture.research.gov.ro,none
www.dezvoltaredurabila.gov.ro,none
www.dgc.gov.ro,none
www.dialogsocial.gov.ro,none
www.diana.gov.ro,none
www.dingrijapentrucopii.gov.ro,none
www.dspbihor.gov.ro,none
www.dst-braila.gov.ro,none
www.e-learning.economie.gov.ro,none
www.economie.gov.ro,none
www.edu.gov.ro,none
www.erris.gov.ro,none
www.etool.euraxess.gov.ro,none
www.euraxess.gov.ro,none
www.events.research.gov.ro,none
www.fisepocu.mfe.gov.ro,none
www.fonduri-ue.gov.ro,none
www.forms.poc.research.gov.ro,none
www.frontmail.research.gov.ro,none
www.future.gov.ro,none
www.galacercetarii.research.gov.ro,none
www.gov.ro,none
www.ina.gov.ro,none
www.insp.gov.ro,none
www.intranet.research.gov.ro,none
www.investitori.isc.gov.ro,none
www.ion.gov.ro,none
www.iosin.research.gov.ro,none
www.isc.gov.ro,none
www.ispmn.gov.ro,none
www.logincloud.research.gov.ro,none
www.mail.insp.gov.ro,none
www.mail.research.gov.ro,none
www.mail.salt.gov.ro,none
www.map.research.gov.ro,none
www.mat.gov.ro,none
www.mcid.gov.ro,none
www.mfamilie.gov.ro,none
www.mfe.gov.ro,none
www.ncp.uefiscdi.gov.ro,none
www.notificari.aias.gov.ro,none
www.oipsi.gov.ro,none
www.old.research.gov.ro,none
www.onjn.gov.ro,none
www.openproject.research.gov.ro,none
www.oportunitati-ue.gov.ro,none
www.palg.gov.ro,none
www.patrimoniu.gov.ro,none
www.platforma.research.gov.ro,none
www.poc.research.gov.ro,none
www.pocu.mfe.gov.ro,none
www.pres2019.economie.gov.ro,none
www.program-nucleu.research.gov.ro,none
www.radius.research.gov.ro,none
www.rei.gov.ro,none
www.research.gov.ro,none
www.rmu.gov.ro,none
www.romania-durabila.gov.ro,none
www.romaniacreativa.gov.ro,none
www.rpc.research.gov.ro,none
www.rrir.gov.ro,none
www.salt.gov.ro,none
www.scholarships.studyinromania.gov.ro,none
www.scim.gov.ro,none
www.selectingmanagers.research.gov.ro,none
www.servicii-sociale.gov.ro,none
