domain,http_status,mx
scra.gov.uk,301,
sedsh.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
sell2wales.gov.uk,SSLHandshakeException: Remote host terminated the handshake,
sepa.gov.uk,200,
sharedresourceservicewales.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sharedresourceservicewales.gov.uk found.,
snh.gov.uk,301,
soils-scotland.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching soils-scotland.gov.uk found.,
spatialni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching spatialni.gov.uk found.,
sppa.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
sps.gov.uk,301,
stateaidscotland.gov.uk,SSLException: (internal_error) Received fatal alert: internal_error,
tellmescotland.gov.uk,302,
tobaccoregisterni.gov.uk,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,
transportscotland.gov.uk,301,
unedddatacymru.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
uregni.gov.uk,301,
victimsni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching victimsni.gov.uk found.,
wales.gov.uk,HttpConnectTimeoutException: HTTP connect timed out,
walescoastpath.gov.uk,405,
wao.gov.uk,301,
yjani.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching yjani.gov.uk found.,
youthjusticeagencyni.gov.uk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching youthjusticeagencyni.gov.uk found.,
