hostname,http_status,mx
olshanske.rada.org.ua,403,none
orada.if.ua,200,10 _dc-mx.a7cb0c6f4327.orada.if.ua.
orativska.gromada.org.ua,403,none
orderofmalta.int,301,10 d333553.a.ess.de.barracudanetworks.com.; 1 d333553.b.ess.de.barracudanetworks.com.
ordg.rada.kharkov.ua,ConnectException,none
ostrada.rv.ua,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
oth.nlu.org.ua,200,10 nlu.org.ua.
palemb.com.ua,200,0 palemb.com.ua.
parafiivska-rada.org,ConnectException,none
pervomaisk.mk.ua,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 mail.pervomaisk.mk.ua.; 10 mail.pervomaisk.mk.ua.
phc.org.ua,200,0 phc-org-ua.mail.protection.outlook.com.
pijarzy.pl,200,10 poczta.pijarzy.pl.
podil.kr.ua,ConnectException,none
poromivska-gromada.org.ua,403,10 mail.poromivska-gromada.org.ua.
portaldascomunidades.mne.pt,IOException: EOF reached while reading,none
pryluky.osp-ua.info,ConnectException,none
pss.crimea.ua,ConnectException,none
pultivci.vinrajrada.org.ua,ConnectException,none
qtmm.org,200,none
r-rada.lutsk.ua,302,none
rada-vlasovka.at.ua,200,none
rada-zinkiv.com.ua,ConnectException,none
rada.cherkassy.ua,ConnectException,none
rada.crimea.ua,200,56 route3.mx.cloudflare.net.; 13 route1.mx.cloudflare.net.; 89 route2.mx.cloudflare.net.
rada.sinelnikovo.net,ConnectException,none
radachernigivka.at.ua,HttpConnectTimeoutException: HTTP connect timed out,none
radadm.rv.ua,ConnectException,none
radazal.at.ua,200,none
radekhiv-miskrada.in.ua,ConnectException,none
radrajrada.at.ua,HttpConnectTimeoutException: HTTP connect timed out,none
rairadakremenets.org,ConnectException,none
rayradaskad.ks.ua,200,0 rayradaskad.ks.ua.
ripky.rada.org.ua,403,none
rivnerayrada.rv.ua,200,15 mx15.ukraine.com.ua.; 20 mx20.ukraine.com.ua.
rogachik-rada.ks.ua,ConnectException,none
rozdil.rada.org.ua,403,none
rozhrada.volyn.ua,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
rrada.ber.te.ua,ConnectException,none
rrada.ko.te.ua,ConnectException,none
sahnovschina.rada.org.ua,403,none
sb-rada.org.ua,403,0 mx.services.
sedniv.rada.org.ua,403,none
semenivka-rada.com,ConnectException,none
slavuta-mvk.info,301,10 mx1.mirohost.net.
slobozhanska.gromada.site,SSLException: (internal_error) Received fatal alert: internal_error,10 mx156.hostedmxserver.com.
slobozhanska.rada.org.ua,403,none
smila.ck.ua,200,10 mail.smila.ck.ua.
smotrich.rada.org.ua,403,none
smyzka.gromada.org.ua,403,none
sosnivka.rada.today,ConnectException,none
stara-vyzhivka.rada.org.ua,403,none
starkon.km.ua,200,0 mx.services.
stcu.int,ConnectException,10 aspmx2.googlemail.com.; 10 aspmx5.googlemail.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 aspmx3.googlemail.com.; 10 aspmx4.googlemail.com.
sudanembassy.kiev.ua,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sudanembassy.kiev.ua found.,10 ASPMX3.GOOGLEMAIL.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ASPMX2.GOOGLEMAIL.COM.
sveska.silrada.org,302,none
swedenabroad.se,301,none
tajemb.kiev.ua,403,none
techcenter.kyiv.ua,200,none
terebrada.te.ua,ConnectException,none
ternrada.dp.ua,301,none
therapy.org.ua,301,0 therapy.org.ua.
tomashpil.rada.org.ua,403,none
transparentcouncils.anticorruption.club,ConnectException,none
trrada.te.ua,ConnectException,none
tsyurupinsk-rr.at.ua,200,none
turkamrada.in.ua,ConnectException,none
ua.ambafrance.org,500,none
ua.chineseembassy.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ua.chineseembassy.org found.,none
ua.energy,403,30 mainrelay7.ua.energy.; 20 mainrelay2.ua.energy.
ua.mfa.hr,ConnectException,none
ua.mfa.lt,403,none
ubi.org.ua,302,1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
ucf.in.ua,200,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
ugarove.rada.org.ua,403,none
ui.org.ua,200,0 ui-org-ua.mail.protection.outlook.com.
ukraine.admission.center,SSLHandshakeException: (unrecognized_name) Received fatal alert: unrecognized_name,0 .
ukraine.diplo.de,200,none
