subdomain,parent_domain,http_status
www.zimbabweembassynigeria.gov.zw,gov.zw,"Could not resolve host: www.zimbabweembassynigeria.gov.zw"
www.zimcodex.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.zimembassyberlin.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
www.zimembassydc.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.zimeris.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.zimfa.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.zimgaborone.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
www.zimgeneva.gov.zw,gov.zw,"200"
www.zimimmigration.gov.zw,gov.zw,"200"
www.zimkuwaitembassy.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
www.zimlondon.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
www.zimluanda.gov.zw,gov.zw,"200"
www.zimlusaka.gov.zw,gov.zw,"200"
www.zimnewdelhi.gov.zw,gov.zw,"200"
www.zimparis.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
www.zimskills.gov.zw,gov.zw,"200"
www.zimstockholm.gov.zw,gov.zw,"200"
www.zimtreasury.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
www.zna.gov.zw,gov.zw,"200"
www.znbwcb.gov.zw,gov.zw,"200"
www.zrp.gov.zw,gov.zw,"301"
youth.gov.zw,gov.zw,"200"
zim.gov.zw,gov.zw,"Connection timed out after 3002 milliseconds"
zimabuja.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
zimac.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
zimaddis.gov.zw,gov.zw,"Could not resolve host: zimaddis.gov.zw"
zimbabweatexpo2025.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
zimbabweembassynigeria.gov.zw,gov.zw,"Could not resolve host: zimbabweembassynigeria.gov.zw"
zimcodex.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
zimembassyberlin.gov.zw,gov.zw,"301"
zimembassydc.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
zimfa.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
zimgaborone.gov.zw,gov.zw,"Could not resolve host: zimgaborone.gov.zw"
zimgeneva.gov.zw,gov.zw,"301"
zimimmigration.gov.zw,gov.zw,"301"
zimkuwaitembassy.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
zimlondon.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
zimluanda.gov.zw,gov.zw,"301"
zimlusaka.gov.zw,gov.zw,"Could not resolve host: zimlusaka.gov.zw"
zimnewdelhi.gov.zw,gov.zw,"301"
zimparis.gov.zw,gov.zw,"Could not resolve host: zimparis.gov.zw"
zimskills.gov.zw,gov.zw,"301"
zimstockholm.gov.zw,gov.zw,"Could not resolve host: zimstockholm.gov.zw"
zimtreasury.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
zna.gov.zw,gov.zw,"301"
znbwcb.gov.zw,gov.zw,"301"
zrp.gov.zw,gov.zw,"200"
