subdomain,parent_domain,http_status
servicedesk.gov.sk,gov.sk,Could not resolve host: servicedesk.gov.sk
sfm.government.gov.sk,gov.sk,Could not resolve host: sfm.government.gov.sk
sfm.vlada.gov.sk,gov.sk,Could not resolve host: sfm.vlada.gov.sk
sharefile.health.gov.sk,gov.sk,Could not resolve host: sharefile.health.gov.sk
sia.gov.sk,gov.sk,Could not resolve host: sia.gov.sk
skolenia-cvh.vlada.gov.sk,gov.sk,Could not resolve host: skolenia-cvh.vlada.gov.sk
smartcity.gov.sk,gov.sk,302
smtp.culture.gov.sk,gov.sk,Could not resolve host: smtp.culture.gov.sk
socialnaekonomika.gov.sk,gov.sk,Operation timed out after 3002 milliseconds with 0 bytes received
socialnepodnikanie.gov.sk,gov.sk,Could not resolve host: socialnepodnikanie.gov.sk
socialnepodniky.gov.sk,gov.sk,200
socialnypodnik.gov.sk,gov.sk,Could not resolve host: socialnypodnik.gov.sk
sp-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
sp-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
sp.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
sp.vicepremier.gov.sk,gov.sk,Could not resolve host: sp.vicepremier.gov.sk
sport.vlada.gov.sk,gov.sk,Could not resolve host: sport.vlada.gov.sk
sportovesrdceslovenska.vlada.gov.sk,gov.sk,Could not resolve host: sportovesrdceslovenska.vlada.gov.sk
statistika.culture.gov.sk,gov.sk,403
statoff.gov.sk,gov.sk,Could not resolve host: statoff.gov.sk
storage1.pamiatky.gov.sk,gov.sk,Could not resolve host: storage1.pamiatky.gov.sk
storage2.pamiatky.gov.sk,gov.sk,Operation timed out after 3002 milliseconds with 0 bytes received
storage5.pamiatky.gov.sk,gov.sk,Operation timed out after 3002 milliseconds with 0 bytes received
storage6.pamiatky.gov.sk,gov.sk,Could not resolve host: storage6.pamiatky.gov.sk
supcourt.gov.sk,gov.sk,Could not resolve host: supcourt.gov.sk
tecs.ecs.gov.sk,gov.sk,Could not resolve host: tecs.ecs.gov.sk
tecs1.ecs.gov.sk,gov.sk,Could not resolve host: tecs1.ecs.gov.sk
tecs2.ecs.gov.sk,gov.sk,Could not resolve host: tecs2.ecs.gov.sk
telecom.gov.sk,gov.sk,Could not resolve host: telecom.gov.sk
teleoff.gov.sk,gov.sk,SSL certificate problem: unable to get local issuer certificate
test.uvo.gov.sk,gov.sk,Could not resolve host: test.uvo.gov.sk
testnew.nro.vicepremier.gov.sk,gov.sk,Could not resolve host: testnew.nro.vicepremier.gov.sk
testnew.smartcity.gov.sk,gov.sk,Could not resolve host: testnew.smartcity.gov.sk
testnew.vicepremier.gov.sk,gov.sk,Could not resolve host: testnew.vicepremier.gov.sk
ticket.culture.gov.sk,gov.sk,200
transparency.antimon.gov.sk,gov.sk,200
traveler.urso.gov.sk,gov.sk,401
tretisektor.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
tsa.nbu.gov.sk,gov.sk,Connection timed out after 3001 milliseconds
tsp.gov.sk,gov.sk,200
tur.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
tur.vlada.gov.sk,gov.sk,Could not resolve host: tur.vlada.gov.sk
twinning-taiex.gov.sk,gov.sk,Could not resolve host: twinning-taiex.gov.sk
ujd.gov.sk,gov.sk,Could not resolve host: ujd.gov.sk
upsvr.gov.sk,gov.sk,301
urso.gov.sk,gov.sk,Could not resolve host: urso.gov.sk
uvo.gov.sk,gov.sk,302
uvsr.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
vdi.ekolky.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
verejnaintegrita.vlada.gov.sk,gov.sk,301
vicepremier.gov.sk,gov.sk,301
vlada.gov.sk,gov.sk,301
vop.gov.sk,gov.sk,200
vpn.land.gov.sk,gov.sk,Could not resolve host: vpn.land.gov.sk
vpn.teleoff.gov.sk,gov.sk,SSL certificate problem: unable to get local issuer certificate
vtsp.nbu.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
w1.culture.gov.sk,gov.sk,301
wbr.indprop.gov.sk,gov.sk,200
webapps-test.finance.gov.sk,gov.sk,Could not resolve host: webapps-test.finance.gov.sk
webapps-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
webapps.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
webapps.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
webeccairs.telecom.gov.sk,gov.sk,Could not resolve host: webeccairs.telecom.gov.sk
webmail.culture.gov.sk,gov.sk,302
webmail.smu.gov.sk,gov.sk,302
webmail.snas.gov.sk,gov.sk,Could not resolve host: webmail.snas.gov.sk
webmail.telecom.gov.sk,gov.sk,302
webmail.teleoff.gov.sk,gov.sk,SSL certificate problem: unable to get local issuer certificate
wem.land.gov.sk,gov.sk,Could not resolve host: wem.land.gov.sk
wf.telecom.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
wiki-test.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
wiki-test.vicepremier.gov.sk,gov.sk,SSL certificate problem: certificate has expired
wiki.finance.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
wiki.vicepremier.gov.sk,gov.sk,Could not resolve host: wiki.vicepremier.gov.sk
wt.culture.gov.sk,gov.sk,403
www.antimon.gov.sk,gov.sk,200
www.arvd.gov.sk,gov.sk,Could not resolve host: www.arvd.gov.sk
www.bojprotikorupcii.gov.sk,gov.sk,Could not resolve host: www.bojprotikorupcii.gov.sk
www.bojprotikorupcii.vlada.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
www.bokku.gov.sk,gov.sk,200
www.central2014.gov.sk,gov.sk,Connection timed out after 3002 milliseconds
www.centraleurope.vlada.gov.sk,gov.sk,Could not resolve host: www.centraleurope.vlada.gov.sk
www.cert.gov.sk,gov.sk,301
www.cipc.gov.sk,gov.sk,301
www.cko.vlada.gov.sk,gov.sk,Connection timed out after 3001 milliseconds
www.cpv.vlada.gov.sk,gov.sk,Could not resolve host: www.cpv.vlada.gov.sk
www.crp.gov.sk,gov.sk,Could not resolve host: www.crp.gov.sk
www.crz.gov.sk,gov.sk,200
www.csirt.gov.sk,gov.sk,200
www.danube.vlada.gov.sk,gov.sk,301
www.danube2014.gov.sk,gov.sk,Could not resolve host: www.danube2014.gov.sk
www.dataprotection.gov.sk,gov.sk,Operation timed out after 3002 milliseconds with 0 bytes received
www.dectvobeznasilia.gov.sk,gov.sk,302
