subdomain,http_status
healthcard.health.gov.tt,"Could not resolve host: healthcard.health.gov.tt"
ircp.gov.tt,"Could not resolve host: ircp.gov.tt"
gold.social.gov.tt,"Could not resolve host: gold.social.gov.tt"
exchcas01.poscorp.gov.tt,"Could not resolve host: exchcas01.poscorp.gov.tt"
extranet.auditorgeneral.gov.tt,"Could not resolve host: extranet.auditorgeneral.gov.tt"
email.gov.tt,"302"
citrix.msd.gov.tt,"Could not resolve host: citrix.msd.gov.tt"
att.urp.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
cpanel.cityofportofspain.gov.tt,"Could not resolve host: cpanel.cityofportofspain.gov.tt"
cpcalendars.sport.gov.tt,"Could not resolve host: cpcalendars.sport.gov.tt"
cpcalendars.cityofportofspain.gov.tt,"Could not resolve host: cpcalendars.cityofportofspain.gov.tt"
learn.moe.gov.tt,"Could not resolve host: learn.moe.gov.tt"
hybrid2.gov.tt,"Could not resolve host: hybrid2.gov.tt"
m.mowt.gov.tt,"403"
hybrid1.gov.tt,"Could not resolve host: hybrid1.gov.tt"
ftps.energy.gov.tt,"Could not resolve host: ftps.energy.gov.tt"
gecf20mm.energy.gov.tt,"SSL certificate problem: certificate has expired"
lync.social.gov.tt,"Could not resolve host: lync.social.gov.tt"
hacktt.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
hiv.opm.gov.tt,"Could not resolve host: hiv.opm.gov.tt"
finance.gov.tt,"301"
lifeguard.gov.tt,"Could not resolve host: lifeguard.gov.tt"
ews.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'ews.social.gov.tt'"
dev.sport.gov.tt,"Could not resolve host: dev.sport.gov.tt"
lists.mpa.gov.tt,"Could not resolve host: lists.mpa.gov.tt"
fiu.gov.tt,"200"
fern.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'fern.social.gov.tt'"
lyncdiscover.wasa.gov.tt,"Could not resolve host: lyncdiscover.wasa.gov.tt"
mail.hdc.gov.tt,"Could not resolve host: mail.hdc.gov.tt"
covid19.gov.tt,"301"
lync.wasa.gov.tt,"Could not resolve host: lync.wasa.gov.tt"
gpsic.opm.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'gpsic.opm.gov.tt'"
lyncdiscoverexternal.mpa.gov.tt,"Could not resolve host: lyncdiscoverexternal.mpa.gov.tt"
intecpdr.wasa.gov.tt,"Could not resolve host: intecpdr.wasa.gov.tt"
legacy.mail.mpa.gov.tt,"Could not resolve host: legacy.mail.mpa.gov.tt"
cpcontacts.cisl.gov.tt,"503"
itc.gov.tt,"301"
fablab.niherst.gov.tt,"404"
infolounge.pos.pai.gov.tt,"Could not resolve host: infolounge.pos.pai.gov.tt"
mail.mns.gov.tt,"Could not resolve host: mail.mns.gov.tt"
mail.ec.gov.tt,"Could not resolve host: mail.ec.gov.tt"
dppexchange.dpp.gov.tt,"302"
mail.metoffice.gov.tt,"Could not resolve host: mail.metoffice.gov.tt"
ictsymposiumtt.gov.tt,"SSL certificate problem: certificate has expired"
mail.cdca.gov.tt,"Could not resolve host: mail.cdca.gov.tt"
mail.metproducts.gov.tt,"Could not resolve host: mail.metproducts.gov.tt"
lyncdiscoverinternal.mpa.gov.tt,"Could not resolve host: lyncdiscoverinternal.mpa.gov.tt"
lyncdiscover.energy.gov.tt,"Could not resolve host: lyncdiscover.energy.gov.tt"
ipms.gov.tt,"Could not resolve host: ipms.gov.tt"
legacy.ird.gov.tt,"403"
mail.prison.gov.tt,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
mail.nedco.gov.tt,"Could not resolve host: mail.nedco.gov.tt"
foreign.gov.tt,"200"
globalskills.gov.tt,"Could not resolve host: globalskills.gov.tt"
mail.foreign.gov.tt,"SSL certificate problem: self-signed certificate"
caa.gov.tt,"200"
lime.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'lime.social.gov.tt'"
jobs.ytepp.gov.tt,"Could not resolve host: jobs.ytepp.gov.tt"
mail.cso.gov.tt,"200"
mail2.hdc.gov.tt,"Could not resolve host: mail2.hdc.gov.tt"
mail.hacktt.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
moe.gov.tt,"Could not resolve host: moe.gov.tt"
mail.metaviation.gov.tt,"Could not resolve host: mail.metaviation.gov.tt"
legacy.sautt.gov.tt,"Could not resolve host: legacy.sautt.gov.tt"
metproducts.gov.tt,"Could not resolve host: metproducts.gov.tt"
mail.molsmed.gov.tt,"Could not resolve host: mail.molsmed.gov.tt"
mail.molsed.gov.tt,"Could not resolve host: mail.molsed.gov.tt"
labour.gov.tt,"403"
ec.gov.tt,"200"
ima.gov.tt,"301"
mail.msya.gov.tt,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
ipo.gov.tt,"200"
molsed.gov.tt,"Could not resolve host: molsed.gov.tt"
mail.cdf.gov.tt,"Could not resolve host: mail.cdf.gov.tt"
meet.mpa.gov.tt,"Could not resolve host: meet.mpa.gov.tt"
mail.ssa.gov.tt,"Could not resolve host: mail.ssa.gov.tt"
mail2.mns.gov.tt,"Could not resolve host: mail2.mns.gov.tt"
mail.tradeind.gov.tt,"Could not resolve host: mail.tradeind.gov.tt"
mail1.foreign.gov.tt,"Could not resolve host: mail1.foreign.gov.tt"
mail.ag.gov.tt,"302"
mysites.auditorgeneral.gov.tt,"Could not resolve host: mysites.auditorgeneral.gov.tt"
mailserver02.nalis.gov.tt,"Could not resolve host: mailserver02.nalis.gov.tt"
mail.sport.gov.tt,"Could not resolve host: mail.sport.gov.tt"
mail.auditorgeneral.gov.tt,"Could not resolve host: mail.auditorgeneral.gov.tt"
navy.social.gov.tt,"Could not resolve host: navy.social.gov.tt"
nedco.gov.tt,"Could not resolve host: nedco.gov.tt"
mail.globalskills.gov.tt,"Could not resolve host: mail.globalskills.gov.tt"
molsmed.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'molsmed.gov.tt'"
mowt.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
mail.natt.gov.tt,"Could not resolve host: mail.natt.gov.tt"
metaviation.gov.tt,"302"
mrsp.gov.tt,"Could not resolve host: mrsp.gov.tt"
metoffice.gov.tt,"200"
mi.ttbizlink.gov.tt,"Failed to connect to mi.ttbizlink.gov.tt port 443 after 454 ms: Could not connect to server"
equalopportunity.gov.tt,"200"
nalis.gov.tt,"Could not resolve host: nalis.gov.tt"
mail.cisl.gov.tt,"200"
mpalyncfe02.pos.pai.gov.tt,"Could not resolve host: mpalyncfe02.pos.pai.gov.tt"
accessedgeext01.gov.tt,"Connection timed out after 3002 milliseconds"
mail.scholarships.gov.tt,"Could not resolve host: mail.scholarships.gov.tt"
ag.gov.tt,"Connection timed out after 3001 milliseconds"
nationalsecurity.gov.tt,"Could not resolve host: nationalsecurity.gov.tt"
artsandculture.gov.tt,"Resolving timed out after 3000 milliseconds"
mns.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
nalismail.nalis.gov.tt,"Could not resolve host: nalismail.nalis.gov.tt"
noc.gov.tt,"Could not resolve host: noc.gov.tt"
areli.mpsd.gov.tt,"Connection timed out after 3002 milliseconds"
autodiscover.energy.gov.tt,"Connection timed out after 3000 milliseconds"
mndsi.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'mndsi.gov.tt'"
autodiscover.mpsd.gov.tt,"Connection timed out after 3000 milliseconds"
owa.poscorp.gov.tt,"Could not resolve host: owa.poscorp.gov.tt"
autodiscover.wasa.gov.tt,"Connection timed out after 3000 milliseconds"
carmi.mpsd.gov.tt,"Connection timed out after 3000 milliseconds"
citrix.ttps.gov.tt,"Connection timed out after 3001 milliseconds"
cloudcontroller.moe.gov.tt,"Connection timed out after 3000 milliseconds"
communities.mpa.gov.tt,"Connection timed out after 3000 milliseconds"
mail.ttps.gov.tt,"302"
email.social.gov.tt,"302"
new.fiu.gov.tt,"SSL certificate problem: certificate has expired"
gov.tt,"301"
owa.social.gov.tt,"Could not resolve host: owa.social.gov.tt"
msya.gov.tt,"200"
lyncdiscover.envw.gov.tt,"Could not resolve host: lyncdiscover.envw.gov.tt"
mail.biodiversity.gov.tt,"403"
new.finance.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'new.finance.gov.tt'"
paria.mns.gov.tt,"Could not resolve host: paria.mns.gov.tt"
ndsi.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'ndsi.gov.tt'"
new.msya.gov.tt,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
mpamail01.pos.pai.gov.tt,"Could not resolve host: mpamail01.pos.pai.gov.tt"
mail.arimaborough.gov.tt,"Could not resolve host: mail.arimaborough.gov.tt"
mail.ccib.gov.tt,"Could not resolve host: mail.ccib.gov.tt"
oab.mpsd.gov.tt,"Could not resolve host: oab.mpsd.gov.tt"
mail.cityofportofspain.gov.tt,"Could not resolve host: mail.cityofportofspain.gov.tt"
portal.ird.gov.tt,"Could not resolve host: portal.ird.gov.tt"
owa1.mns.gov.tt,"Could not resolve host: owa1.mns.gov.tt"
outlook.nalis.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
mercury.ssa.gov.tt,"302"
oa.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'oa.social.gov.tt'"
old.fiu.gov.tt,"SSL certificate problem: certificate has expired"
mysite.caa.gov.tt,"401"
people.social.gov.tt,"Could not resolve host: people.social.gov.tt"
office.finance.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'office.finance.gov.tt'"
mts.social.gov.tt,"301"
research.ima.gov.tt,"Could not resolve host: research.ima.gov.tt"
psangelica.ttps.gov.tt,"Could not resolve host: psangelica.ttps.gov.tt"
owa.ird.gov.tt,"403"
probation.gov.tt,"Could not resolve host: probation.gov.tt"
oab.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'oab.social.gov.tt'"
pop.trha.gov.tt,"Could not resolve host: pop.trha.gov.tt"
psholly.ttps.gov.tt,"Could not resolve host: psholly.ttps.gov.tt"
curriculum.moe.gov.tt,"Connection timed out after 3001 milliseconds"
onbase.gov.tt,"200"
psjuniper.ttps.gov.tt,"Could not resolve host: psjuniper.ttps.gov.tt"
office.caa.gov.tt,"SSL certificate problem: certificate has expired"
prison.gov.tt,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
nms.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'nms.social.gov.tt'"
olive.social.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'olive.social.gov.tt'"
red.social.gov.tt,"Could not resolve host: red.social.gov.tt"
digitization.planning.gov.tt,"Connection timed out after 3000 milliseconds"
rsna.foreign.gov.tt,"Could not resolve host: rsna.foreign.gov.tt"
service.social.gov.tt,"Could not resolve host: service.social.gov.tt"
payment.ipo.gov.tt,"200"
owa2.ird.gov.tt,"500"
server.prison.gov.tt,"Could not resolve host: server.prison.gov.tt"
edh.energy.gov.tt,"Connection timed out after 3000 milliseconds"
sfholly.ttps.gov.tt,"Could not resolve host: sfholly.ttps.gov.tt"
email.mpsd.gov.tt,"Connection timed out after 3002 milliseconds"
