hostname,score,sources,label,level,http_status,mx
cortesgenerales.es,7,wikidata;wikidata,Cortes Generales,central,ConnectException,10 mxb-006a4e02.gslb.pphosted.com.; 10 mxa-006a4e02.gslb.pphosted.com.
cortsvalencianes.es,7,wikidata;wikidata,Corts Valencianes,central-1,ConnectException,none
cpapx.xunta.es,7,wikidata;wikidata,"Ministry of Presidency, Civil Service and Justice",central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
dgsfp.mineco.es,7,wikidata;wikidata,Directorate General for Insurances and Pension Funds,,ConnectException,none
educa.jcyl.es,7,wikidata;wikidata,Consejería de Educación de la Junta de Castilla y León,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 educa-jcyl-es.mail.protection.outlook.com.
franciscanosconventuales.es,7,wikidata;wikidata,Province of Our Lady of Montserrat,,200,10 mx00.ionos.es.; 10 mx01.ionos.es.
habitatge.gva.es,7,wikidata;wikidata,Q47282388,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
hisenda.gva.es,7,wikidata;wikidata,Q20104998,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
ifca.unican.es,7,wikidata;wikidata,Instituto de Física de Cantabria,,302,10 mxa-006a4e02.gslb.pphosted.com.; 10 mxb-006a4e02.gslb.pphosted.com.
ign.es,7,wikidata;linkgraph,Instituto Geográfico Nacional,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 ign-es.mail.protection.outlook.com.
iib.uam.es,7,wikidata;wikidata,Instituto de Investigaciones Biomédicas Alberto Sols,,302,10 mxb-006a4e02.gslb.pphosted.com.; 10 mxa-006a4e02.gslb.pphosted.com.
in.umh.es,7,wikidata;wikidata,Instituto de Neurociencias,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
inclusio.gva.es,7,wikidata;wikidata;wikidata;wikidata,Q796610 | Q11915355,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
indi.gva.es,7,wikidata;wikidata,Q11915344,,ConnectException,none
innova.gva.es,7,wikidata;wikidata;wikidata;wikidata,"Conselleria de Innovación, Universidades, Ciencia y Sociedad Digital",central-1,ConnectException,none
