subdomain,parent_domain,http_status,mx
cgiedinburgh.gov.in,gov.in,301,none
cgihk.gov.in,gov.in,403,none
cgstate.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
cgvyapam.cgstate.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
chandigarh.eoffice.gov.in,gov.in,Could not resolve host: chandigarh.eoffice.gov.in,none
chandigarh.gov.in,chandigarh.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
channels.aponline.gov.in,gov.in,Resolving timed out after 3000 milliseconds,none
chatbot.keralapolice.gov.in,gov.in,SSL certificate problem: unable to get local issuer certificate,none
chawngterd.mizoram.gov.in,gov.in,403,none
chemexcil.gov.in,gov.in,SSL certificate problem: certificate has expired,none
chips.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
chti.eoffice.gov.in,gov.in,Could not resolve host: chti.eoffice.gov.in,none
cidcrime.mizoram.gov.in,gov.in,403,none
cipetlibrary.gov.in,gov.in,Could not resolve host: cipetlibrary.gov.in,none
cisf-pis.gov.in,gov.in,Could not resolve host: cisf-pis.gov.in,none
citizen.rajpolice.gov.in,gov.in,Could not resolve host: citizen.rajpolice.gov.in,none
citizenportal-op.gov.in,gov.in,Could not resolve host: citizenportal-op.gov.in,none
cloud.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
clt.karnataka.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
cm.telangana.gov.in,gov.in,Connection timed out after 3000 milliseconds,none
cmdrf.kerala.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
cmkarnataka.gov.in,cmkarnataka.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
cmo.kerala.gov.in,gov.in,200,none
cmofficehry.gov.in,gov.in,SSL certificate problem: unable to get local issuer certificate,none
cmonline.mizoram.gov.in,gov.in,403,none
cmrl.gov.in,gov.in,Could not resolve host: cmrl.gov.in,none
cms.tn.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
cms.uk.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
cmshealth.mizoram.gov.in,gov.in,403,20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.
cmwssbccc.tn.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
coal.eoffice.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
coal.gov.in,gov.in,Could not resolve host: coal.gov.in,none
coalindiatenders.gov.in,gov.in,Could not resolve host: coalindiatenders.gov.in,none
cochincustoms.gov.in,gov.in,Connection timed out after 3002 milliseconds,10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.; 50 mx3.mgovcloud.in.
cochinmunicipalcorporation.kerala.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
coirboard.eoffice.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
coirfed.kerala.gov.in,gov.in,Could not resolve host: coirfed.kerala.gov.in,none
collabcad.gov.in,gov.in,200,none
collabdds.gov.in,gov.in,SSL certificate problem: unable to get local issuer certificate,none
collabland.gov.in,gov.in,Failed to connect to collabland.gov.in port 443 after 404 ms: Could not connect to server,none
comtax.kerala.gov.in,gov.in,TLS connect error: error:0A000152:SSL routines::unsafe legacy renegotiation disabled,0 pop.comtax.kerala.gov.in.; 10 pop.comtax.kerala.gov.in.
comtaxappl.uk.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
convo.nbe.gov.in,gov.in,Could not resolve host: convo.nbe.gov.in,none
coop.mizoram.gov.in,gov.in,403,none
cooptex.gov.in,gov.in,301,0 cooptex.gov.in.
cp.jeevandayee.gov.in,gov.in,Could not resolve host: cp.jeevandayee.gov.in,none
cpanel.accr.nbe.gov.in,gov.in,Could not resolve host: cpanel.accr.nbe.gov.in,none
cpanel.apsrtc.gov.in,gov.in,200,none
cpanel.arstps.gov.in,gov.in,200,none
cpanel.awards.nbe.gov.in,gov.in,Could not resolve host: cpanel.awards.nbe.gov.in,none
cpanel.bncmc.gov.in,gov.in,301,none
cpanel.cccm.gov.in,gov.in,Could not resolve host: cpanel.cccm.gov.in,none
cpanel.ccsniam.gov.in,gov.in,Could not resolve host: cpanel.ccsniam.gov.in,none
cpanel.cgiedinburgh.gov.in,gov.in,Could not resolve host: cpanel.cgiedinburgh.gov.in,none
cpanel.cgihk.gov.in,gov.in,Could not resolve host: cpanel.cgihk.gov.in,none
cpanel.convo.nbe.gov.in,gov.in,Could not resolve host: cpanel.convo.nbe.gov.in,none
cpanel.crlindia.gov.in,gov.in,Could not resolve host: cpanel.crlindia.gov.in,none
cpanel.dhulepolice.gov.in,gov.in,Could not resolve host: cpanel.dhulepolice.gov.in,none
cpanel.eoibelgrade.gov.in,gov.in,Could not resolve host: cpanel.eoibelgrade.gov.in,none
cpanel.fellowexit.nbe.gov.in,gov.in,Could not resolve host: cpanel.fellowexit.nbe.gov.in,none
cpanel.fmge.nbe.gov.in,gov.in,Could not resolve host: cpanel.fmge.nbe.gov.in,none
cpanel.gallery.nbe.gov.in,gov.in,Could not resolve host: cpanel.gallery.nbe.gov.in,none
cpanel.hcidhaka.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
cpanel.hcisingapore.gov.in,gov.in,Connection timed out after 3002 milliseconds,none
cpanel.hcizambia.gov.in,gov.in,Could not resolve host: cpanel.hcizambia.gov.in,none
cpanel.indembassy-tokyo.gov.in,gov.in,SSL: no alternative certificate subject name matches target hostname 'cpanel.indembassy-tokyo.gov.in',none
cpanel.jalgaonpolice.gov.in,gov.in,Could not resolve host: cpanel.jalgaonpolice.gov.in,none
cpanel.jnvadilabad.gov.in,gov.in,Could not resolve host: cpanel.jnvadilabad.gov.in,none
cpanel.jnvamravati.gov.in,gov.in,Could not resolve host: cpanel.jnvamravati.gov.in,none
cpanel.jnvauramaha.gov.in,gov.in,Could not resolve host: cpanel.jnvauramaha.gov.in,none
cpanel.jnvbhavnagar.gov.in,gov.in,Could not resolve host: cpanel.jnvbhavnagar.gov.in,none
cpanel.jnvbikaner.gov.in,gov.in,Could not resolve host: cpanel.jnvbikaner.gov.in,none
cpanel.jnvcanaconasg.gov.in,gov.in,Could not resolve host: cpanel.jnvcanaconasg.gov.in,none
cpanel.jnvchittoor.gov.in,gov.in,Could not resolve host: cpanel.jnvchittoor.gov.in,none
cpanel.jnvchuru.gov.in,gov.in,Could not resolve host: cpanel.jnvchuru.gov.in,none
cpanel.jnvdahod.gov.in,gov.in,Could not resolve host: cpanel.jnvdahod.gov.in,none
cpanel.jnvdavanagere.gov.in,gov.in,Could not resolve host: cpanel.jnvdavanagere.gov.in,none
cpanel.jnvdewas.gov.in,gov.in,Could not resolve host: cpanel.jnvdewas.gov.in,none
cpanel.jnvgadag.gov.in,gov.in,Could not resolve host: cpanel.jnvgadag.gov.in,none
cpanel.jnvgadchiroli.gov.in,gov.in,Could not resolve host: cpanel.jnvgadchiroli.gov.in,none
cpanel.jnvguntur.gov.in,gov.in,Could not resolve host: cpanel.jnvguntur.gov.in,none
cpanel.jnvhingoli.gov.in,gov.in,Could not resolve host: cpanel.jnvhingoli.gov.in,none
