domain,level,source,name
mpcb.gov.in,central-1,manual,Maharashtra Pollution Control Board
mpenagarpalika.gov.in,central-1,manual,e-Nagarpalika urban services (Madhya Pradesh)
mpeproc.gov.in,central-1,manual,Madhya Pradesh e-procurement
mpforest.gov.in,central-1,manual,Forest Department (Madhya Pradesh)
mponline.gov.in,central-1,manual,MPOnline e-services (Madhya Pradesh)
mpsc.gov.in,central-1,manual,Maharashtra Public Service Commission
mpwrd.gov.in,central-1,manual,Water Resources Department (Madhya Pradesh)
nagaland.gov.in,central-1,manual,Nagaland
nagalandtenders.gov.in,central-1,manual,Nagaland e-procurement
odisha.gov.in,central-1,manual,Odisha
odishaonline.gov.in,central-1,manual,Odisha Online
odishatax.gov.in,central-1,manual,Commercial Taxes (Odisha)
odishatreasury.gov.in,central-1,manual,Directorate of Treasuries (Odisha)
onlinevotinggujarat.gov.in,central-1,manual,State Election Commission online voting (Gujarat)
orissa.gov.in,central-1,manual,Odisha
orissaonline.gov.in,central-1,manual,Odisha Online
orissatreasury.gov.in,central-1,manual,Directorate of Treasuries (Odisha)
pbirrigation.gov.in,central-1,manual,Irrigation Department (Punjab)
pdsodisha.gov.in,central-1,manual,Public Distribution System (Odisha)
ppsc.gov.in,central-1,manual,Punjab Public Service Commission
prbdb.gov.in,central-1,manual,Punjab Roads and Bridges Development Board
prdbihar.gov.in,central-1,manual,Panchayati Raj Department (Bihar)
pscwbonline.gov.in,central-1,manual,Public Service Commission (West Bengal)
puducherry.gov.in,central-1,manual,Puducherry
pudutenders.gov.in,central-1,manual,Puducherry e-procurement
punjab.gov.in,central-1,manual,Punjab
punjabgovt.gov.in,central-1,manual,Punjab
pwddelhi.gov.in,central-1,manual,Public Works Department (Delhi)
pwdpunjab.gov.in,central-1,manual,Public Works Department (Punjab)
py.gov.in,central-1,manual,Puducherry
rajasthan.gov.in,central-1,manual,Rajasthan
rajexcise.gov.in,central-1,manual,Excise Department (Rajasthan)
rajivswagruhaap.gov.in,central-1,manual,Rajiv Swagruha Corporation (Andhra Pradesh)
rajpolice.gov.in,central-1,manual,Rajasthan Police
scrbbihar.gov.in,central-1,manual,State Crime Records Bureau (Bihar)
sikkim.gov.in,central-1,manual,Sikkim
sikkimssdg.gov.in,central-1,manual,Sikkim State Service Delivery Gateway
sikkimtax.gov.in,central-1,manual,Commercial Taxes Division (Sikkim)
sikkimtender.gov.in,central-1,manual,Sikkim e-procurement
spark.gov.in,central-1,manual,SPARK payroll system (Kerala)
tamilnadu.gov.in,central-1,manual,Tamil Nadu
telangana.gov.in,central-1,manual,Telangana
telanganafin.gov.in,central-1,manual,Finance Department (Telangana)
tendersodisha.gov.in,central-1,manual,Odisha e-procurement
tgct.gov.in,central-1,manual,Commercial Taxes Department (Telangana)
tn.gov.in,central-1,manual,Tamil Nadu
tncctns.gov.in,central-1,manual,Tamil Nadu Police CCTNS
tnregipayment.gov.in,central-1,manual,Registration Department payments (Tamil Nadu)
tnsamb.gov.in,central-1,manual,Tamil Nadu State Agricultural Marketing Board
tnschools.gov.in,central-1,manual,School Education Department (Tamil Nadu)
tnsta.gov.in,central-1,manual,State Transport Authority (Tamil Nadu)
tntenders.gov.in,central-1,manual,Tamil Nadu e-procurement
tnvat.gov.in,central-1,manual,Commercial Taxes Department (Tamil Nadu)
tnvelaivaaippu.gov.in,central-1,manual,Employment and Training Department (Tamil Nadu)
tripura.gov.in,central-1,manual,Tripura
tripuratenders.gov.in,central-1,manual,Tripura e-procurement
tspsc.gov.in,central-1,manual,Telangana State Public Service Commission
uk.gov.in,central-1,manual,Uttarakhand
ukpscappl.gov.in,central-1,manual,Uttarakhand Public Service Commission
uktenders.gov.in,central-1,manual,Uttarakhand e-procurement
ulbodisha.gov.in,central-1,manual,Directorate of Urban Local Bodies (Odisha)
ulborissa.gov.in,central-1,manual,Directorate of Urban Local Bodies (Odisha)
up.gov.in,central-1,manual,Uttar Pradesh
uppolice.gov.in,central-1,manual,Uttar Pradesh Police
upsdm.gov.in,central-1,manual,Uttar Pradesh Skill Development Mission
uttarakhand.gov.in,central-1,manual,Uttarakhand
vtpckarnataka.gov.in,central-1,manual,Visvesvaraya Trade Promotion Centre (Karnataka)
wb.gov.in,central-1,manual,West Bengal
wbagrisnet.gov.in,central-1,manual,Agriculture Department Agrisnet (West Bengal)
wbaitax.gov.in,central-1,manual,Agricultural Income Tax Directorate (West Bengal)
wbboilers.gov.in,central-1,manual,Directorate of Boilers (West Bengal)
wbcommissionerdisabilities.gov.in,central-1,manual,Commissioner for Persons with Disabilities (West Bengal)
wbcomtax.gov.in,central-1,manual,Commercial Taxes Directorate (West Bengal)
wbconsumers.gov.in,central-1,manual,Consumer Affairs Department (West Bengal)
wbexcise.gov.in,central-1,manual,Excise Directorate (West Bengal)
wbfes.gov.in,central-1,manual,Fire and Emergency Services (West Bengal)
wbhealthscheme.gov.in,central-1,manual,West Bengal Health Scheme
