subdomain,mx
storitve.si-trust.gov.si,none
submission-test.cwa.gov.si,none
submission.cwa.gov.si,none
supervisor.mp.gov.si,none
supervizor.mp.gov.si,none
svc90-test.cwa.gov.si,none
svc90.cwa.gov.si,none
tahoev-sola.gov.si,none
tahoev-test.gov.si,none
tahoev.gov.si,none
tahoevtest.gov.si,none
taric-curs.gov.si,none
taxca.gov.si,none
teorija-cpp-priprava.gov.si,none
teorija-cpp.gov.si,none
teorija-priprava.gov.si,none
testas2.ujp.gov.si,none
testeplacila.ujp.gov.si,none
testujpnet.ujp.gov.si,none
time.mzz.gov.si,none
tr.mss.gov.si,none
tracking.gov.si,none
traveler.mko.gov.si,none
tsa.si-trust.gov.si,none
tvs.gov.si,none
ua.gov.si,none
ujp-eplacila.gov.si,none
ujp-testeplacila.gov.si,none
ujp.gov.si,none
ujpnet.gov.si,none
ujpnet.ujp.gov.si,none
ujpzbs.gov.si,none
umar.gov.si,none
uporabniki.programdela.gov.si,none
ure.arso.gov.si,none
urednik.typo3.sigov.si,none
urednik2.lamp.gov.si,none
valid.si-trust.gov.si,none
vard.gov.si,none
verification-test.cwa.gov.si,none
verification.cwa.gov.si,none
vispro.arso.gov.si,none
vnosnesrec-test.gov.si,none
vnosnesrec-test.mnz.gov.si,none
vnosnesrec.gov.si,none
vnosnesrec.mnz.gov.si,none
vode-test.dv.gov.si,none
vode-test.dv.sigov.si,none
vode.arso.gov.si,none
vode.dv.gov.si,none
vode.dv.sigov.si,none
volitve.gov.si,none
vpn.client.gov.si,none
vpn.gov.si,none
vpn.ujp.gov.si,none
vpn3000.gov.si,none
vpndist.gov.si,none
vpnklient.gov.si,none
vprasalnik.gu.gov.si,none
vrednotenje.gov.si,none
vreme.arso.gov.si,none
vs-sola.gov.si,none
vs-test.gov.si,none
vs.gov.si,none
vzd.mddsz.gov.si,none
w3d-new.arso.gov.si,none
wbsl-test.ess.gov.si,none
wbsl.ess.gov.si,none
webapl.mkgp.gov.si,none
webposta.mss.gov.si,none
wlcgov01.sigov.si,none
ws.drsc.gov.si,none
ws.si-trust.gov.si,none
ws.spot.gov.si,none
www-beta.arso.gov.si,none
www-test.arso.gov.si,none
www.acme-test.sigov.si,none
www.arhiv.mm.gov.si,none
www.arrs.gov.si,none
www.arso.gov.si,none
www.blagajne.fu.gov.si,none
www.ca.gov.si,none
www.csca-si.gov.si,none
www.csca.gov.si,none
www.datoteke.fu.gov.si,none
www.e-posta.gov.si,none
www.e-prostor.gov.si,none
www.e-storitve-zirs.gov.si,none
www.ecarina-test.carina.gov.si,none
www.ecarina.carina.gov.si,none
www.ekultura.gov.si,none
www.epos-de.gov.si,none
www.eprostor.gov.si,none
www.ess.gov.si,none
www.fu.gov.si,none
www.gea.arso.gov.si,none
www.geoportal.gov.si,none
www.gis.zgs.gov.si,none
www.gov.si,none
www.hidopazovanja.arso.gov.si,none
www.lamp.gov.si,none
www.miniblagajna.fu.gov.si,none
www.mvn.e-prostor.gov.si,none
www.natura2000.gov.si,none
www.prenos.mm.gov.si,none
www.projekt.e-prostor.gov.si,none
www.prostor.zgs.gov.si,none
www.s-kzg.gov.si,none
www.si-trust.gov.si,none
www.sigov-ca.gov.si,none
www.sipeps-test.gov.si,none
