domain,name
gmwda.gov.uk,Greater Manchester Waste Disposal Authority
goytre.gov.uk,Goetre Fawr Community Council
grampian-ero.gov.uk,Grampian electoral registration office
great-linford.gov.uk,Great Linford Parish Council
greatbursteadsouthgreen-vc.gov.uk,Great Burstead and South Green Village Council
greaternorthkent.gov.uk,Greater North Kent partnership
guildenmorden.gov.uk,Guilden Morden Parish Council
gwentarchives.gov.uk,Gwent Archives
gwynedd.gov.uk,Gwynedd Council
halchereford.gov.uk,Herefordshire Association of Local Councils
hatfield.gov.uk,Hatfield Town Council
hertspartnership-ala.gov.uk,Hertfordshire association of local authorities
hiow.gov.uk,Hampshire and Isle of Wight local authorities
hixon.gov.uk,Hixon Parish Council
hull.gov.uk,Hull City Council
hullandgoolepha.gov.uk,Hull and Goole Port Health Authority
humberlrf.gov.uk,Humber Local Resilience Forum
hyndburn.gov.uk,Hyndburn Borough Council
hytheanddibden.gov.uk,Hythe and Dibden Parish Council
kentconnects.gov.uk,Kent public-sector partnership
kingsteignton.gov.uk,Kingsteignton Town Council
lancsmuseums.gov.uk,Lancashire County Council museums
lbwf.gov.uk,London Borough of Waltham Forest
leics.gov.uk,Leicestershire County Council
lga.gov.uk,Local Government Association
lge.gov.uk,Local Government Employers
lisburncityandcastlereagh.gov.uk,Lisburn and Castlereagh City Council
llanelli-rural.gov.uk,Llanelli Rural Council
localcounciljobs.gov.uk,Local council jobs portal
localgoveasteng.gov.uk,East of England local government association
localgovernmentjobsni.gov.uk,Northern Ireland councils jobs portal
londonpsn.gov.uk,London Public Services Network
londonscb.gov.uk,London Safeguarding Children Board
londontribunals.gov.uk,London parking and traffic tribunals (boroughs)
londonworks.gov.uk,London boroughs employment portal
lookinglocal.gov.uk,LookingLocal (councils digital service)
lwarb.gov.uk,London Waste and Recycling Board
maidenhead.gov.uk,Royal Borough of Windsor and Maidenhead
manchesterpha.gov.uk,Manchester Port Health Authority
martham.gov.uk,Martham Parish Council
mersey-pha.gov.uk,Mersey Port Health Authority
merseysidewda.gov.uk,Merseyside Waste Disposal Authority
merseytravel.gov.uk,Merseytravel (passenger transport executive)
merseytunnels.gov.uk,Mersey Tunnels (Merseytravel)
middlelevel.gov.uk,Middle Level Commissioners (drainage)
midkent.gov.uk,Mid Kent councils shared services
migrationwestmidlands.gov.uk,West Midlands migration partnership
mole-valley.gov.uk,Mole Valley District Council
moray-edunet.gov.uk,Moray Council schools network
mumbles.gov.uk,Mumbles Community Council
mycounciltax.gov.uk,Council tax lookup (local government)
myjobscotland.gov.uk,Scottish councils jobs portal
nelson-mid-glam.gov.uk,Nelson Community Council (Mid Glamorgan)
nereo.gov.uk,North East Regional Employers Organisation
newforestcouncil.gov.uk,New Forest District Council
newquay.gov.uk,Newquay Town Council
newtonlongville.gov.uk,Newton Longville Parish Council
newtownabbey.gov.uk,Antrim and Newtownabbey Borough Council
nlwa.gov.uk,North London Waste Authority
norfolkprepared.gov.uk,Norfolk Local Resilience Forum
northants-ecl.gov.uk,Northamptonshire councils shared service
northantslicensing.gov.uk,Northamptonshire licensing partnership
northeast-tadu.gov.uk,North East traffic and accident data unit
northglos.gov.uk,North Gloucestershire councils partnership
northumberlandfireandrescue.gov.uk,Northumberland Fire and Rescue Service
nottingham.gov.uk,Nottingham City Council
oldbasing.gov.uk,Old Basing and Lychpit Parish Council
onelondon.gov.uk,London boroughs partnership
orchardpark.gov.uk,Orchard Park Community Council
oxfordshire-online.gov.uk,Oxfordshire County Council
oxfordshireonline.gov.uk,Oxfordshire County Council
oxon.gov.uk,Oxfordshire County Council
paessex.gov.uk,Parking adjudication Essex (councils)
parking-adjudication.gov.uk,Parking adjudication (councils joint committee)
parking-appeals.gov.uk,Parking appeals (councils joint committee)
patrol.gov.uk,PATROL parking adjudication joint committee
penybontarogwr.gov.uk,Bridgend County Borough Council (Welsh name)
plymouthmuseum.gov.uk,Plymouth City Council museum
prestbury.gov.uk,Prestbury Parish Council
rayne-essex.gov.uk,Rayne Parish Council (Essex)
relondon.gov.uk,ReLondon (GLA and boroughs waste partnership)
richmondandwandsworth.gov.uk,Richmond and Wandsworth shared staffing
rodborough.gov.uk,Rodborough Parish Council
s-norfolk.gov.uk,South Norfolk Council
saa.gov.uk,Scottish Assessors Association
sandudb.gov.uk,Stour (Kent) internal drainage board
saughall.gov.uk,Saughall and Shotwick Park Parish Council
scpha.gov.uk,South Coast Port Health Authority
selcp.gov.uk,South East Lincolnshire councils partnership
sestran.gov.uk,South East of Scotland Transport Partnership
shenstone-staffs.gov.uk,Shenstone Parish Council (Staffordshire)
shetland-library.gov.uk,Shetland Islands Council library
sigoma.gov.uk,Special Interest Group of Municipal Authorities
silverdale-pc-lancs.gov.uk,Silverdale Parish Council (Lancashire)
sir-benfro.gov.uk,Pembrokeshire County Council (Welsh name)
sirddinbych.gov.uk,Denbighshire County Council (Welsh name)
sirfynwy.gov.uk,Monmouthshire County Council (Welsh name)
sirgaerfyrddin.gov.uk,Carmarthenshire County Council (Welsh name)
sirgar.gov.uk,Carmarthenshire County Council (Welsh name)
siryfflint.gov.uk,Flintshire County Council (Welsh name)
skelton-york.gov.uk,Skelton Parish Council (York)
sopley.gov.uk,Sopley Parish Council
southandvale.gov.uk,South Oxfordshire and Vale of White Horse councils
southbrent.gov.uk,South Brent Parish Council
southnorfolkandbroadland.gov.uk,South Norfolk and Broadland councils
southwales-tra.gov.uk,South Wales Trunk Road Agent (councils)
southworcestershirebuildingcontrol.gov.uk,South Worcestershire building control
southworcestershirerevenues.gov.uk,South Worcestershire revenues partnership
sparse.gov.uk,Sparsity Partnership (rural councils)
staffordshireprepared.gov.uk,Staffordshire resilience forum
staffs.gov.uk,Staffordshire County Council
staffslc.gov.uk,Staffordshire local councils association
star-procurement.gov.uk,STAR Procurement (councils shared service)
stdavids.gov.uk,St Davids City Council
stoke-pc-worcs.gov.uk,Stoke Parish Council (Worcestershire)
stratfield-mortimer.gov.uk,Stratfield Mortimer Parish Council
surrey.gov.uk,Surrey County Council
surreycoroner.gov.uk,Surrey coroner (county council)
surreyheathonline.gov.uk,Surrey Heath Borough Council
surreyi.gov.uk,Surrey County Council data service
surreylgrhub.gov.uk,Surrey local government resilience hub
sussexsaferroads.gov.uk,Sussex Safer Roads Partnership
swansea-edunet.gov.uk,Swansea Council schools network
swdevon.gov.uk,South West Devon councils partnership
sypn.gov.uk,South Yorkshire Pensions Authority
sypt.gov.uk,South Yorkshire Passenger Transport
tactran.gov.uk,Tayside and Central Scotland Transport Partnership
tfl.gov.uk,Transport for London
thecity.gov.uk,City of London Corporation
thurrockfostering.gov.uk,Thurrock Council fostering
tockwith.gov.uk,Tockwith Parish Council
traffic-penalty-tribunal.gov.uk,Traffic Penalty Tribunal (councils joint committee)
trafficpenaltytribunal.gov.uk,Traffic Penalty Tribunal (councils joint committee)
transport-for-london.gov.uk,Transport for London
transporteast.gov.uk,Transport East (sub-national transport body)
transportnortheast.gov.uk,Transport North East (sub-national transport body)
uptonbishop.gov.uk,Upton Bishop Parish Council
visitsaffronwalden.gov.uk,Saffron Walden Town Council tourism
warwick.gov.uk,Warwick Town Council
welwyn.gov.uk,Welwyn Parish Council
westcumbria.gov.uk,West Cumbria councils partnership
westmidlands.gov.uk,West Midlands Combined Authority
westmidlandsprepared.gov.uk,West Midlands resilience forum
westsurrey.gov.uk,West Surrey councils partnership
westyorksjointservices.gov.uk,West Yorkshire Joint Services
windsor.gov.uk,Royal Borough of Windsor and Maidenhead
winnersh.gov.uk,Winnersh Parish Council
wirksworth.gov.uk,Wirksworth Town Council
wlga.gov.uk,Welsh Local Government Association
worcestershirehub.gov.uk,Worcestershire councils hub
worcestershirets.gov.uk,Worcestershire Trading Standards
worcsregservices.gov.uk,Worcestershire Regulatory Services
worthing.gov.uk,Worthing Borough Council
wrecsam.gov.uk,Wrexham County Borough Council (Welsh name)
wyreforest.gov.uk,Wyre Forest District Council
yorkconsort.gov.uk,York Consortium of Drainage Boards
yorkshirehumberdrainage.gov.uk,Yorkshire and Humber drainage boards
