domain,level,name
chihuahua.gob.mx,central-1,Chihuahua (estado)
cmascoatepec.gob.mx,local,CMAS Coatepec (agua municipal - Veracruz)
cmasxalapa.gob.mx,local,CMAS Xalapa (agua municipal - Veracruz)
coahuila.gob.mx,central-1,Coahuila de Zaragoza (estado)
coatlandelrio.gob.mx,local,Coatlán del Río (Morelos)
coesvidgo.gob.mx,central-1,Comisión Estatal de Vivienda de Durango
col.gob.mx,central-1,Colima (estado)
colima.gob.mx,local,Colima (municipio)
comprasbc.gob.mx,central-1,Compras del Gobierno de Baja California
compraver.gob.mx,central-1,Compras del Gobierno del Estado de Veracruz
comunicadoscoatzacoalcos.gob.mx,local,Coatzacoalcos (Veracruz)
congresobc.gob.mx,central-1,Congreso del Estado de Baja California
congresochiapas.gob.mx,central-1,Congreso del Estado de Chiapas
congresogro.gob.mx,central-1,Congreso del Estado de Guerrero
congresogto.gob.mx,central-1,Congreso del Estado de Guanajuato
congresooaxaca.gob.mx,central-1,Congreso del Estado de Oaxaca
corregidora.gob.mx,local,Corregidora (Querétaro)
corregidoraenlinea.gob.mx,local,Corregidora (Querétaro)
cozumel.gob.mx,local,Cozumel (Quintana Roo)
cuernavaca.gob.mx,local,Cuernavaca (Morelos)
culiacan.gob.mx,local,Culiacán (Sinaloa)
culturabcs.gob.mx,central-1,Cultura del Estado de Baja California Sur
culturaqueretaro.gob.mx,central-1,Cultura del Estado de Querétaro
declaranetcoahuila.gob.mx,central-1,DeclaraNet Coahuila (Gobierno del Estado)
df.gob.mx,central-1,Ciudad de México (ex-Distrito Federal)
difayotlan.gob.mx,local,DIF municipal de Ayotlán (Jalisco)
difbc.gob.mx,central-1,DIF estatal de Baja California
difjalisco.gob.mx,central-1,DIF estatal de Jalisco
diflerdo.gob.mx,local,DIF municipal de Lerdo (Durango)
difpuertovallarta.gob.mx,local,DIF municipal de Puerto Vallarta (Jalisco)
difsinaloa.gob.mx,central-1,DIF estatal de Sinaloa
difzapopan.gob.mx,local,DIF municipal de Zapopan (Jalisco)
doloreshidalgo.gob.mx,local,Dolores Hidalgo (Guanajuato)
durango.gob.mx,central-1,Durango (estado)
e-hidalgo.gob.mx,central-1,Hidalgo (portal estatal)
ebajacalifornia.gob.mx,central-1,Baja California (portal estatal)
ecespm.gob.mx,central-1,Comisión Estatal de Servicios Públicos de Mexicali (Baja California)
edomex.gob.mx,central-1,Estado de México
edomexico.gob.mx,central-1,Estado de México (antiguo portal)
eduardoneri.gob.mx,local,Eduardo Neri (Guerrero)
eguanajuato.gob.mx,central-1,Guanajuato (portal estatal)
elmarquesenlinea.gob.mx,local,El Marqués (Querétaro)
ensenada.gob.mx,local,Ensenada (Baja California)
esonora.gob.mx,central-1,Sonora (portal estatal)
finanzasdurango.gob.mx,central-1,Secretaría de Finanzas del Estado de Durango
finanzasoaxaca.gob.mx,central-1,Secretaría de Finanzas del Estado de Oaxaca
finanzastlax.gob.mx,central-1,Finanzas del Estado de Tlaxcala
fuerzacivil.gob.mx,central-1,Fuerza Civil (policía estatal de Nuevo León)
gob.mx,central,
gobiernodeveracruz.gob.mx,central-1,Veracruz (estado)
gomezpalacio.gob.mx,local,Gómez Palacio (Durango)
guadalajara.gob.mx,local,Guadalajara (Jalisco)
guadalupe.gob.mx,local,Guadalupe (Nuevo León)
guanajuato.gob.mx,central-1,Guanajuato (estado)
guanajuatocapital.gob.mx,local,Guanajuato capital (municipio)
guerrero.gob.mx,central-1,Guerrero (estado)
hacienda-nayarit.gob.mx,central-1,Hacienda del Estado de Nayarit
hecelchakan.gob.mx,local,Hecelchakán (Campeche)
hermosillo.gob.mx,local,Hermosillo (Sonora)
hidalgo.gob.mx,central-1,Hidalgo (estado)
hopelchen.gob.mx,local,Hopelchén (Campeche)
huascapueblomagico.gob.mx,local,Huasca de Ocampo (Hidalgo)
huatulco.gob.mx,local,Santa María Huatulco (Oaxaca)
hueyapan.gob.mx,local,Hueyapan (municipio)
huixquilucan.gob.mx,local,Huixquilucan (México)
icvnl.gob.mx,central-1,Instituto de Control Vehicular de Nuevo León
idpnl.gob.mx,central-1,Instituto de Defensoría Pública de Nuevo León
ifrem.gob.mx,central-1,Instituto de la Función Registral del Estado de México
imtsaltillo.gob.mx,local,Instituto Municipal del Transporte de Saltillo (Coahuila)
indebc.gob.mx,central-1,Instituto del Deporte de Baja California
indicadoresmqro.gob.mx,local,Indicadores del Municipio de Querétaro
indivibc.gob.mx,central-1,Instituto para el Desarrollo Inmobiliario y de la Vivienda de Baja California
ipejal.gob.mx,central-1,Instituto de Pensiones del Estado de Jalisco
irapuato.gob.mx,local,Irapuato (Guanajuato)
isapeg.gob.mx,central-1,Instituto de Salud Pública del Estado de Guanajuato
isseg.gob.mx,central-1,Instituto de Seguridad Social del Estado de Guanajuato
issemym.gob.mx,central-1,Instituto de Seguridad Social del Estado de México y Municipios
issstecali.gob.mx,central-1,ISSSTECALI (seguridad social del Estado de Baja California)
ixtapaluca.gob.mx,local,Ixtapaluca (México)
ixtlahuaca.gob.mx,local,Ixtlahuaca (México)
jalisco.gob.mx,central-1,Jalisco (estado)
japami.gob.mx,local,JAPAMI (agua municipal de Irapuato)
juarez-nl.gob.mx,local,Juárez (Nuevo León)
juarez.gob.mx,local,Ciudad Juárez (Chihuahua)
juicioenlineasinaloa.gob.mx,central-1,Juicio en línea (justicia del Estado de Sinaloa)
justiciapenalaguascalientes.gob.mx,central-1,Sistema de Justicia Penal de Aguascalientes
juventinorosas.gob.mx,local,Santa Cruz de Juventino Rosas (Guanajuato)
la-antigua.gob.mx,local,La Antigua (Veracruz)
lapiedad.gob.mx,local,La Piedad (Michoacán)
lazaro-cardenas.gob.mx,local,Lázaro Cárdenas (Michoacán)
legislaturaqueretaro.gob.mx,central-1,Legislatura del Estado de Querétaro
leon.gob.mx,local,León (Guanajuato)
lerdo.gob.mx,local,Lerdo (Durango)
manzanillo.gob.mx,local,Manzanillo (Colima)
martinezdelatorre.gob.mx,local,Martínez de la Torre (Veracruz)
matehuala.gob.mx,local,Matehuala (San Luis Potosí)
mazatlan.gob.mx,local,Mazatlán (Sinaloa)
medellin.gob.mx,local,Medellín de Bravo (Veracruz)
merida.gob.mx,local,Mérida (Yucatán)
mexicali.gob.mx,local,Mexicali (Baja California)
mexicocity.gob.mx,central-1,Ciudad de México (portal turístico)
michoacan.gob.mx,central-1,Michoacán (estado)
monterrey.gob.mx,local,Monterrey (Nuevo León)
morelia.gob.mx,local,Morelia (Michoacán)
morelos.gob.mx,central-1,Morelos (estado)
mpiochih.gob.mx,local,Municipio de Chihuahua
mqro.gob.mx,local,Municipio de Querétaro
mty.gob.mx,local,Monterrey (Nuevo León)
municipiochihuahua.gob.mx,local,Municipio de Chihuahua
municipiodemorelosmex.gob.mx,local,Morelos (municipio del Estado de México)
municipiodequeretaro.gob.mx,local,Municipio de Querétaro
municipiodeslp.gob.mx,local,Municipio de San Luis Potosí
municipiodetancanhuitz.gob.mx,local,Tancanhuitz (San Luis Potosí)
municipiodezimatlan.gob.mx,local,Zimatlán de Álvarez (Oaxaca)
municipiodurango.gob.mx,local,Municipio de Durango
municipiotlaxcala.gob.mx,local,Municipio de Tlaxcala
navojoa.gob.mx,local,Navojoa (Sonora)
nay.gob.mx,central-1,Nayarit (estado)
nayarit.gob.mx,central-1,Nayarit (estado)
nl.gob.mx,central-1,Nuevo León (estado)
nuevolaredo.gob.mx,local,Nuevo Laredo (Tamaulipas)
nuevoleon.gob.mx,central-1,Nuevo León (estado)
oaxaca.gob.mx,central-1,Oaxaca (estado)
ocampo-gto.gob.mx,local,Ocampo (Guanajuato)
ofsbc.gob.mx,central-1,Órgano de Fiscalización Superior de Baja California
ofsgto.gob.mx,central-1,Órgano de Fiscalización Superior de Guanajuato
ofstlaxcala.gob.mx,central-1,Órgano de Fiscalización Superior de Tlaxcala
olinala.gob.mx,local,Olinalá (Guerrero)
ooapas.gob.mx,local,OOAPAS (agua municipal de Morelia)
oomapasc.gob.mx,local,OOMAPAS de Cajeme (agua municipal - Sonora)
orfis.gob.mx,central-1,Órgano de Fiscalización Superior de Veracruz
pagostepeapulco.gob.mx,local,Tepeapulco (Hidalgo)
patzcuaro.gob.mx,local,Pátzcuaro (Michoacán)
pensionessaltillo.gob.mx,local,Pensiones municipales de Saltillo (Coahuila)
periban.gob.mx,local,Peribán (Michoacán)
perote.gob.mx,local,Perote (Veracruz)
pgjdf.gob.mx,central-1,Procuraduría General de Justicia del Distrito Federal
pgjebc.gob.mx,central-1,Procuraduría General de Justicia de Baja California
pgjeguerrero.gob.mx,central-1,Procuraduría General de Justicia de Guerrero
pgjgto.gob.mx,central-1,Procuraduría General de Justicia de Guanajuato
pgjguanajuato.gob.mx,central-1,Procuraduría General de Justicia de Guanajuato
pgjoaxaca.gob.mx,central-1,Procuraduría General de Justicia de Oaxaca
pgjqro.gob.mx,central-1,Procuraduría General de Justicia de Querétaro
piedrasnegras.gob.mx,local,Piedras Negras (Coahuila)
pjbc.gob.mx,central-1,Poder Judicial de Baja California
pjenl.gob.mx,central-1,Poder Judicial del Estado de Nuevo León
pjeveracruz.gob.mx,central-1,Poder Judicial del Estado de Veracruz
poderjudicial-gto.gob.mx,central-1,Poder Judicial de Guanajuato
poderjudicialcdmx.gob.mx,central-1,Poder Judicial de la Ciudad de México
poderjudicialdf.gob.mx,central-1,Poder Judicial del Distrito Federal
poderjudicialyucatan.gob.mx,central-1,Poder Judicial de Yucatán
predialchapala.gob.mx,local,Chapala (Jalisco)
puebla.gob.mx,central-1,Puebla (estado)
puertovallarta.gob.mx,local,Puerto Vallarta (Jalisco)
qroo.gob.mx,central-1,Quintana Roo (estado)
queretaro.gob.mx,central-1,Querétaro (estado)
regulacionsanitarianl.gob.mx,central-1,Regulación Sanitaria de Nuevo León
repssbc.gob.mx,central-1,Régimen Estatal de Protección Social en Salud de Baja California
rosarito.gob.mx,local,Playas de Rosarito (Baja California)
sabinashidalgo.gob.mx,local,Sabinas Hidalgo (Nuevo León)
sadm.gob.mx,central-1,Servicios de Agua y Drenaje de Monterrey (organismo estatal de Nuevo León)
saludsonora.gob.mx,central-1,Servicios de Salud del Estado de Sonora
saludtlax.gob.mx,central-1,Salud del Estado de Tlaxcala
sanfranciscolachigolo.gob.mx,local,San Francisco Lachigoló (Oaxaca)
sanjosedelrincon.gob.mx,local,San José del Rincón (México)
sanjuandelrio.gob.mx,local,San Juan del Río (Querétaro)
sanluis.gob.mx,local,Municipio de San Luis Potosí
sanmigueldeallende.gob.mx,local,San Miguel de Allende (Guanajuato)
sanpedro.gob.mx,local,San Pedro Garza García (Nuevo León)
sansalvadorelseco.gob.mx,local,San Salvador el Seco (Puebla)
santaanatavela.gob.mx,local,Santa Ana Tavela (Oaxaca)
sapal.gob.mx,local,SAPAL (agua municipal de León)
sapasa.gob.mx,local,SAPASA (agua municipal de Atizapán de Zaragoza)
sdrguerrero.gob.mx,central-1,Secretaría de Desarrollo Rural de Guerrero
secogem.gob.mx,central-1,Secretaría de la Contraloría del Estado de México
secomver.gob.mx,central-1,Secretaría de Comunicaciones del Estado de Veracruz
secturveracruz.gob.mx,central-1,Secretaría de Turismo del Estado de Veracruz
sefiplan.gob.mx,central-1,Secretaría de Finanzas y Planeación de Veracruz
seg-gto.gob.mx,central-1,Secretaría de Educación de Guanajuato
seg.gob.mx,central-1,Secretaría de Educación de Guanajuato
segey.gob.mx,central-1,Secretaría de Educación del Gobierno del Estado de Yucatán
seguridadbc.gob.mx,central-1,Seguridad Pública del Estado de Baja California
setyde.gob.mx,central-1,Secretaría de Turismo y Desarrollo Económico de Tlaxcala
sf-nayarit.gob.mx,central-1,Secretaría de Finanzas de Nayarit
sfapuebla.gob.mx,central-1,Secretaría de Finanzas y Administración de Puebla
sfcoahuila.gob.mx,central-1,Secretaría de Finanzas de Coahuila
simasmyf.gob.mx,local,SIMAS Monclova y Frontera (Coahuila)
simastorreon.gob.mx,local,SIMAS Torreón (agua municipal - Coahuila)
sinaloa.gob.mx,central-1,Sinaloa (estado)
slp.gob.mx,central-1,San Luis Potosí (estado)
slpfinanzas.gob.mx,central-1,Secretaría de Finanzas de San Luis Potosí
smapa.gob.mx,local,SMAPA (agua municipal de Tuxtla Gutiérrez)
soapap.gob.mx,local,SOAPAP (agua municipal de Puebla)
sonora.gob.mx,central-1,Sonora (estado)
ssaver.gob.mx,central-1,Servicios de Salud de Veracruz
sspo.gob.mx,central-1,Secretaría de Seguridad Pública de Oaxaca
sspver.gob.mx,central-1,Secretaría de Seguridad Pública de Veracruz
stjsonora.gob.mx,central-1,Supremo Tribunal de Justicia de Sonora
tabasco.gob.mx,central-1,Tabasco (estado)
talpadeallende.gob.mx,local,Talpa de Allende (Jalisco)
tamaulipas.gob.mx,central-1,Tamaulipas (estado)
taxco.gob.mx,local,Taxco de Alarcón (Guerrero)
taxcodealarcon.gob.mx,local,Taxco de Alarcón (Guerrero)
tcagto.gob.mx,central-1,Tribunal de lo Contencioso Administrativo de Guanajuato
tcanl.gob.mx,central-1,Tribunal de lo Contencioso Administrativo de Nuevo León
tecamachalco.gob.mx,local,Tecamachalco (Puebla)
tecate.gob.mx,local,Tecate (Baja California)
tecoman.gob.mx,local,Tecomán (Colima)
tepic.gob.mx,local,Tepic (Nayarit)
tesoreria-naucalpan.gob.mx,local,Tesorería de Naucalpan (México)
tesoreriacoatzacoalcos.gob.mx,local,Tesorería de Coatzacoalcos (Veracruz)
tesoreriaecatepec.gob.mx,local,Tesorería de Ecatepec (México)
tesoreriaguaymas.gob.mx,local,Tesorería de Guaymas (Sonora)
texcaltitlan.gob.mx,local,Texcaltitlán (México)
tijuana.gob.mx,local,Tijuana (Baja California)
tlajomulco.gob.mx,local,Tlajomulco de Zúñiga (Jalisco)
tlalnepantladigital.gob.mx,local,Tlalnepantla de Baz (México)
tlaquepaque.gob.mx,local,San Pedro Tlaquepaque (Jalisco)
tlaxcala.gob.mx,central-1,Tlaxcala (estado)
tocumbo.gob.mx,local,Tocumbo (Michoacán)
tonala.gob.mx,local,Tonalá (Jalisco)
torreon.gob.mx,local,Torreón (Coahuila)
trancosozac.gob.mx,local,Trancoso (Zacatecas)
tribunaloaxaca.gob.mx,central-1,Tribunal Superior de Justicia de Oaxaca
tribunalqro.gob.mx,central-1,Tribunal Superior de Justicia de Querétaro
tsjdf.gob.mx,central-1,Tribunal Superior de Justicia del Distrito Federal
tsjqroo.gob.mx,central-1,Tribunal Superior de Justicia de Quintana Roo
tuxtla.gob.mx,local,Tuxtla Gutiérrez (Chiapas)
uniondetula.gob.mx,local,Unión de Tula (Jalisco)
uruapan.gob.mx,local,Uruapan (Michoacán)
valledechalco.gob.mx,local,Valle de Chalco Solidaridad (México)
veracruz-puerto.gob.mx,local,Municipio de Veracruz
veracruz.gob.mx,central-1,Veracruz (estado)
veracruzmunicipio.gob.mx,local,Municipio de Veracruz
villadealvarez.gob.mx,local,Villa de Álvarez (Colima)
villadetezontepec.gob.mx,local,Villa de Tezontepec (Hidalgo)
xalapa.gob.mx,local,Xalapa (Veracruz)
xochistlahuaca.gob.mx,local,Xochistlahuaca (Guerrero)
yucatan.gob.mx,central-1,Yucatán (estado)
zacatecas.gob.mx,central-1,Zacatecas (estado)
zacatlan.gob.mx,local,Zacatlán (Puebla)
zapotlan.gob.mx,local,Zapotlán el Grande (Jalisco)
