domain,level,source,name
gassnova.no,central,brreg,GASSNOVA SF
generaladvokaten.no,central,brreg,GENERALADVOKATEMBETET
gjenopptakelse.no,central,brreg,KOMMISJONEN FOR GJENOPPTAKELSE AV STRAFFESAKER
harmonien.no,central,brreg,STIFTELSEN MUSIKKSELSKAPET HARMONIEN
havtil.no,central,brreg,HAVINDUSTRITILSYNET
hdo.no,central,brreg,HELSETJENESTENS DRIFTSORGANISASJON FOR NØDNETT HF
helgelandssykehuset.no,central,brreg,HELGELANDSSYKEHUSET HF
helse-bergen.no,central,brreg,HELSE BERGEN HF
helse-fonna.no,central,brreg,HELSE FONNA HF
helse-forde.no,central,brreg,HELSE FØRDE HF
helse-midt.no,central,brreg,HELSE MIDT-NORGE RHF
helse-mr.no,central,brreg,HELSE MØRE OG ROMSDAL HF
helse-nord.no,central,brreg,HELSE NORD RHF
helse-sorost.no,central,brreg,HELSE SØR-ØST RHF
helse-vest-ikt.no,central,brreg,HELSE VEST IKT AS
helse-vest.no,central,brreg,HELSE VEST RHF
helsedirektoratet.no,central,brreg,HELSEDIREKTORATET
helsetilsynet.no,central,brreg,STATENS HELSETILSYN
hemit.no,central,brreg,HEMIT HF
hivolda.no,central,brreg,HØGSKULEN I VOLDA
hkdir.no,central,brreg,DIREKTORATET FOR HØYERE UTDANNING OG KOMPETANSE
hnt.no,central,brreg,HELSE NORD-TRØNDELAG HF
hol-fjellstyre.no,central,brreg,HOL FJELLSTYRE
hovedredningssentralen.no,central,brreg,HOVEDREDNINGSSENTRALEN
hvl.no,central,brreg,HØGSKULEN PÅ VESTLANDET
imdi.no,central,brreg,INTEGRERINGS- OG MANGFOLDSDIREKTORATET
imr.no,central,brreg,HAVFORSKNINGSINSTITUTTET
inatur.no,central,brreg,ÅFJORD FJELLSTYRE
jomfrulandnasjonalpark.no,central,brreg,JOMFRULAND NASJONALPARK
justervesenet.no,central,brreg,JUSTERVESENET
justismuseet.no,central,brreg,"STIFTELSEN JUSTISMUSEET NASJONALT MUSEUM FOR POLITI, RETTSVESEN OG KRIMINALOMSORG"
kfir.no,central,brreg,KLAGENEMNDA FOR INDUSTRIELLE RETTAR
konfliktraadet.no,central,brreg,KONFLIKTRÅDET
kongehuset.no,central,brreg,DET KONGELIGE HOFF
konkurransetilsynet.no,central,brreg,KONKURRANSETILSYNET
koro.no,central,brreg,KUNST I OFFENTLIGE ROM KORO
kulturdirektoratet.no,central,brreg,KULTURDIREKTORATET
kulturminnefondet.no,central,brreg,NORSK KULTURMINNEFOND
kulturtanken.no,central,brreg,KULTURTANKEN - DEN KULTURELLE SKOLESEKKEN NORGE
kunnskapsdepartementet.no,central,manual,
kunstfond.no,central,brreg,BILDENDE KUNSTNERES HJELPEFOND
kystverket.no,central,brreg,KYSTVERKET
landbruksdirektoratet.no,central,brreg,LANDBRUKSDIREKTORATET
lesja-fjellstyre.no,central,brreg,LESJA FJELLSTYRE
lottstift.no,central,brreg,LOTTERI- OG STIFTELSESTILSYNET
luftambulanse.no,central,brreg,LUFTAMBULANSETJENESTEN HF
luftfart.museum.no,central,brreg,NORSK LUFTFARTSMUSEUM STI
luftfartstilsynet.no,central,brreg,LUFTFARTSTILSYNET
mattilsynet.no,central,brreg,MATTILSYNET
medietilsynet.no,central,brreg,MEDIETILSYNET
mesterbrev.no,central,brreg,MESTERBREVNEMNDA
met.no,central,brreg,METEOROLOGISK INSTITUTT
mil.no,central,brreg,FORSVARET
miljodirektoratet.no,central,brreg,MILJØDIREKTORATET
mpk.no,central,brreg,MARITIM PENSJONSKASSE
nasjonalarkivet.no,central,brreg,NASJONALARKIVET
nasjonalparkstyre.no,central,brreg,NASJONALPARKSTYRET FOR REISA NASJONALPARK OG RÁISDOUTTARHÁLTI LANDSKAPSVERNOMRÅDE | NORDKVALØYA-REBBENESØYA VERNEOMRÅDESTYRE | RAET NASJONALPARKSTYRE | ROHKUNBORRI NASJONALPARKSTYRE | SEILAND NASJONALPARKSTYRE | STABBURSDALEN NASJONALPARKSTYRE | VERNEOMRÅDESTYRET FOR BRATTEFJELL-VINDEGGEN LANDSKAPSVERNOMRÅDE | VERNEOMRÅDESTYRET FOR OKSØY-RYVINGEN OG FLEKKEFJORD LANDSKAPSVERNOMRÅDER | ØVRE PASVIK NASJONALPARKSTYRE/ BÁHCAVEAJI ÁLBMOTMEAHCCI
nationaltheatret.no,central,brreg,NATIONALTHEATRET AS
nav.no,central,brreg,ARBEIDS- OG VELFERDSETATEN | NAV AGDER | NAV ARBEID OG YTELSER | NAV INNLANDET | NAV MØRE OG ROMSDAL | NAV NORDLAND | NAV OSLO | NAV TROMS OG FINNMARK | NAV VEST-VIKEN | NAV VESTFOLD OG TELEMARK | NAV ØST-VIKEN
nb.no,central,brreg,NASJONALBIBLIOTEKET
nfi.no,central,brreg,NORSK FILMINSTITUTT
ngu.no,central,brreg,NORGES GEOLOGISKE UNDERSØKELSE
nhri.no,central,brreg,NORGES INSTITUSJON FOR MENNESKERETTIGHETER
nibio.no,central,brreg,NIBIO - NORSK INSTITUTT FOR BIOØKONOMI
nidarosdomen.no,central,brreg,NIDAROS DOMKIRKES RESTAURERINGSARBEIDER
nidsenter.no,central,brreg,NASJONALT ID-SENTER
nkom.no,central,brreg,NASJONAL KOMMUNIKASJONSMYNDIGHET
nokut.no,central,brreg,NASJONALT ORGAN FOR KVALITET I UTDANNINGEN NOKUT
norad.no,central,brreg,DIREKTORATET FOR UTVIKLINGSSAMARBEID (NORAD)
norddal-fjellstyre.no,central,brreg,NORDDAL FJELLSTYRE
nordlandssykehuset.no,central,brreg,NORDLANDSSYKEHUSET HF
norec.no,central,brreg,NORSK SENTER FOR UTVEKSLINGSSAMARBEID (NOREC)
norla.no,central,brreg,"NORLA, STIFTELSE FOR NORSK LITTERATUR I UTLANDET"
norskbergverksmuseum.no,central,brreg,NORSK BERGVERKSMUSEUM STI
norskdekommisjonering.no,central,brreg,NORSK NUKLEÆR DEKOMMISJONERING
norskfolkemuseum.no,central,brreg,NORSK FOLKEMUSEUM STI
npe.no,central,brreg,NORSK PASIENTSKADEERSTATNING
npweb.npolar.no,central,brreg,NORSK POLARINSTITUTT
nsia.no,central,brreg,STATENS HAVARIKOMMISJON
nsm.no,central,brreg,NASJONAL SIKKERHETSMYNDIGHET (NSM)
nupi.no,central,brreg,NORSK UTENRIKSPOLITISK INSTITUTT
nve.no,central,brreg,NORGES VASSDRAGS- OG ENERGIDIREKTORAT (NVE)
odin.dep.no,central,brreg,FORSVARSDEPARTEMENTET | HELSE- OG OMSORGSDEPARTEMENTET | KULTUR- OG LIKESTILLINGSDEPARTEMENTET
ofo.no,central,brreg,STIFTELSEN OSLO-FILHARMONIEN
okokrim.no,central,brreg,ØKOKRIM
operaen.no,central,brreg,DEN NORSKE OPERA & BALLETT AS
osenfjellstyre.no,central,brreg,OSEN FJELLSTYRE
oslo-universitetssykehus.no,central,brreg,OSLO UNIVERSITETSSYKEHUS HF
patentstyret.no,central,brreg,PATENTSTYRET
politi.no,central,brreg,AGDER POLITIDISTRIKT | MØRE OG ROMSDAL POLITIDISTRIKT | NORDLAND POLITIDISTRIKT | POLITIDIREKTORATET | POLITIETS FELLESTJENESTER | TROMS POLITIDISTRIKT | TRØNDELAG POLITIDISTRIKT | VEST POLITIDISTRIKT | ØST POLITIDISTRIKT
politiet.no,central,brreg,FINNMARK POLITIDISTRIKT | INNLANDET POLITIDISTRIKT | KRIPOS | OSLO POLITIDISTRIKT | POLITI- OG LENSMANNSETATEN | POLITIETS IT-ENHET | SØR-VEST POLITIDISTRIKT | SØR-ØST POLITIDISTRIKT
preusmuseum.no,central,brreg,PREUS MUSEUM STI
pst.politiet.no,central,brreg,POLITIETS SIKKERHETSTJENESTE DEN SENTRALE ENHET
ramsasen.no,central,brreg,RAMSÅS STATSALLMENNING
rdm.no,central,brreg,RIDDODUOTTARMUSEAT STI
regelradet.no,central,brreg,REGELRÅDET
regjeringen.no,central,manual,
regjeringsadvokaten.no,central,brreg,REGJERINGSADVOKATEN
riksadvokaten.no,central,brreg,RIKSADVOKATEN
riksantikvaren.no,central,brreg,RIKSANTIKVAREN
riksmekleren.no,central,brreg,RIKSMEKLEREN
riksrevisjonen.no,central,brreg,RIKSREVISJONEN
riksteatret.no,central,brreg,RIKSTEATRET
rogaland-teater.no,central,brreg,ROGALAND TEATER AS
romdirektoratet.no,central,brreg,DIREKTORATET FOR ROMVIRKSOMHET
saemiensijte.no,central,brreg,STIFTELSEN SAEMIEN SIJTE
samediggi.no,central,brreg,SAMEDIGGI / SAMETINGET
sdir.no,central,brreg,SJØFARTSDIREKTORATET
sel-fjellstyre.no,central,brreg,SEL FJELLSTYRE STATSALMENNING
sismo.no,central,brreg,INNKREVINGSMYNDIGHETEN - OPPDRAGSKRAV
siv.no,central,brreg,SYKEHUSET I VESTFOLD HF
sivilombudet.no,central,brreg,SIVILOMBUDET STORTINGETS OMBUD FOR KONTROLL MED FORVALTNINGEN
sivilrett.no,central,brreg,STATENS SIVILRETTSFORVALTNING
sjt.no,central,brreg,STATENS JERNBANETILSYN
skatteetaten.no,central,brreg,SKATTEETATEN
skm.stat.no,central,brreg,SIVIL KLARERINGSMYNDIGHET
skogtiltaksfondet.no,central,brreg,SKOGTILTAKSFONDET
slottet.no,central,brreg,DD.KK.HH. KRONPRINSEN OG KRONPRINSESSENS STAB
snasafjellstyre.no,central,brreg,SNÅSA FJELLSTYRE
sodir.no,central,brreg,SOKKELDIREKTORATET
sprakradet.no,central,brreg,SPRÅKRÅDET
ssb.no,central,brreg,STATISTISK SENTRALBYRÅ
sshf.no,central,brreg,SØRLANDET SYKEHUS HF
sso.no,central,brreg,STAVANGER SYMFONIORKESTER STIFTELSE
stami.no,central,brreg,STATENS ARBEIDSMILJØINSTITUTT
statped.no,central,brreg,STATPED
statsforvalteren.no,central,brreg,"STATSFORVALTAREN I ROGALAND | STATSFORVALTAREN I VESTLAND | STATSFORVALTEREN I INNLANDET | STATSFORVALTEREN I NORDLAND | STATSFORVALTEREN I TROMS OG FINNMARK | STATSFORVALTEREN I TRØNDELAG | STATSFORVALTEREN I VESTFOLD OG TELEMARK | STATSFORVALTEREN I ØSTFOLD, BUSKERUD, OSLO OG AKERSHUS"
steinkjer-fjellstyre.no,central,brreg,STEINKJER FJELLSTYRE
sthf.no,central,brreg,SYKEHUSET TELEMARK HF
stiftelsenpilar.no,central,brreg,PILAR - KOMPETANSETJENESTEN FOR PSYKISK HELSE OG BARNEVERN STI
stolav.no,central,brreg,ST. OLAVS HOSPITAL HF
stortinget.no,central,manual,
sunnaas.no,central,brreg,SUNNAAS SYKEHUS HF
sus.no,central,brreg,HELSE STAVANGER HF
svalbardmuseum.no,central,brreg,STIFTELSEN SVALBARD MUSEUM
sykehusbygg.no,central,brreg,SYKEHUSBYGG HF
sykehuset-innlandet.no,central,brreg,SYKEHUSET INNLANDET HF
sykehuset-ostfold.no,central,brreg,SYKEHUSET ØSTFOLD HF
sykehusinnkjop.no,central,brreg,SYKEHUSINNKJØP HF
sykehuspartner.no,central,brreg,SYKEHUSPARTNER HF
sysselmesteren.no,central,brreg,SVALBARDS MILJØVERNFOND | SYSSELMESTEREN PÅ SVALBARD
tekniskmuseum.no,central,brreg,STIFTELSEN NORSK TEKNISK MUSEUM
toll.no,central,brreg,TOLLETATEN
torpa-fjellstyre.no,central,brreg,TORPA FJELLSTYRE
trygderetten.no,central,brreg,TRYGDERETTEN
tso.no,central,brreg,TRONDHEIM SYMFONIORKESTER & OPERA STI
udi.no,central,brreg,UTLENDINGSDIREKTORATET
udir.no,central,brreg,UTDANNINGSDIREKTORATET
ukom.no,central,brreg,STATENS UNDERSØKELSESKOMMISJON FOR HELSE- OG OMSORGSTJENESTEN
une.no,central,brreg,UTLENDINGSNEMNDA
unn.no,central,brreg,UNIVERSITETSSYKEHUSET NORD-NORGE HF
vaga-fjellstyre.no,central,brreg,VÅGÅ FJELLSTYRE
valg.no,central,brreg,VALGDIREKTORATET
vegamot.no,central,brreg,VEGAMOT AS
vegfinans.no,central,brreg,VEGFINANS BYPAKKE NEDRE GLOMMA AS | VEGFINANS E134 BUSKERUD AS | VEGFINANS E134 OSLOFJORDFORBINDELSEN AS | VEGFINANS E6 GARDERMOEN-MOELV AS | VEGFINANS E6 RINGEBU-OTTA AS | VEGFINANS FV33 OPPLAND AS | VEGFINANS HALLINGPORTEN AS | VEGFINANS RV3 OG RV25 HAMAR-ELVERUM AS | VEGFINANS RV4 OPPLAND AS
vegvesen.no,central,brreg,STATENS VEGVESEN
vestre-slidre-fjellstyre.no,central,brreg,VESTRE SLIDRE FJELLSTYRE
vestreviken.no,central,brreg,VESTRE VIKEN HF
vetinst.no,central,brreg,VETERINÆRINSTITUTTET
vetlis.no,central,brreg,VETERINÆRMEDISINSK LEGEMIDDELINFORMASJONSSENTER
vitenparken.no,central,brreg,VITENPARKEN CAMPUS ÅS STI
