subdomain,parent_domain,http_status,mx
eprostor-test.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
eprostor.gov.si,gov.si,302,none
equidae.mkgp.gov.si,gov.si,Connection timed out after 3000 milliseconds,none
eracuni.ujp.gov.si,gov.si,Could not resolve host: eracuni.ujp.gov.si,none
erkg.gov.si,gov.si,Connection timed out after 3002 milliseconds,none
esamonarocanje.gov.si,gov.si,200,none
esp.azil-test.gov.si,gov.si,Could not resolve host: esp.azil-test.gov.si,none
espatial.gov.si,gov.si,Could not resolve host: espatial.gov.si,none
ess.gov.si,gov.si,Could not resolve host: ess.gov.si,none
esvetovanje.ess.gov.si,gov.si,Could not resolve host: esvetovanje.ess.gov.si,none
etkv.gov.si,gov.si,200,none
etn.gu.gov.si,gov.si,Could not resolve host: etn.gu.gov.si,none
etn.gurs.sigov.si,gov.si,Could not resolve host: etn.gurs.sigov.si,none
etor-test.mnz.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
etor.mnz.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
eua-admin.gov.si,gov.si,Could not resolve host: eua-admin.gov.si,none
eua-ankete.gov.si,gov.si,Could not resolve host: eua-ankete.gov.si,none
eua-lms.gov.si,gov.si,Could not resolve host: eua-lms.gov.si,none
eua-prijave.gov.si,gov.si,200,none
eua.gov.si,gov.si,Could not resolve host: eua.gov.si,none
eup-ls.gov.si,gov.si,Could not resolve host: eup-ls.gov.si,none
euprava-storitve-test.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
euprava-storitve.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
euprava.jep.gov.si,gov.si,Could not resolve host: euprava.jep.gov.si,none
euz.gov.si,gov.si,Could not resolve host: euz.gov.si,none
evem-sola.gov.si,gov.si,Could not resolve host: evem-sola.gov.si,none
evem-test.gov.si,gov.si,Could not resolve host: evem-test.gov.si,none
evem.gov.si,gov.si,301,none
evidence-sola.gov.si,gov.si,Could not resolve host: evidence-sola.gov.si,none
evidence.gov.si,gov.si,200,none
evidim-test.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
evidim.gov.si,gov.si,Could not resolve host: evidim.gov.si,none
eviz.gov.si,gov.si,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
evrocanje-test.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
evrocanje.gov.si,gov.si,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
expired.si-trust.gov.si,gov.si,SSL certificate problem: unable to get local issuer certificate,none
extra.gov.si,gov.si,Could not resolve host: extra.gov.si,none
ezrlkv.gov.si,gov.si,403,none
ffws-rp.arso.gov.si,gov.si,403,none
fizicna.jep.gov.si,gov.si,SSL: no alternative certificate subject name matches target hostname 'fizicna.jep.gov.si',none
forum2.arsktrp.gov.si,gov.si,200,none
fu.gov.si,gov.si,302,none
furs.gov.si,gov.si,Could not resolve host: furs.gov.si,none
gea.arso.gov.si,gov.si,200,none
geohub.gov.si,gov.si,Could not resolve host: geohub.gov.si,none
geohubstage.gov.si,gov.si,301,none
geoportal.gov.si,gov.si,302,none
gis.arso.gov.si,gov.si,302,none
gis.gov.si,gov.si,SSL certificate problem: certificate has expired,none
gis.zgs.gov.si,gov.si,Could not resolve host: gis.zgs.gov.si,none
gisedit.gov.si,gov.si,Could not resolve host: gisedit.gov.si,none
gismobile.gov.si,gov.si,SSL certificate problem: certificate has expired,none
gisportal.gov.si,gov.si,SSL certificate problem: certificate has expired,none
gisserver.gov.si,gov.si,Could not resolve host: gisserver.gov.si,none
gistiles.arso.gov.si,gov.si,302,none
gistiles1.arso.gov.si,gov.si,302,none
gistiles2.arso.gov.si,gov.si,302,none
gistiles3.arso.gov.si,gov.si,302,none
gistiles4.arso.gov.si,gov.si,Could not resolve host: gistiles4.arso.gov.si,none
