subdomain,http_status,mx
congvan.drvn.gov.vn,Connection timed out after 3001 milliseconds,none
connect.csid.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
cosocainghien.soldtbxh.baria-vungtau.gov.vn,Could not resolve host: cosocainghien.soldtbxh.baria-vungtau.gov.vn,none
cpanel.antoanthucphamlamdong.gov.vn,Could not resolve host: cpanel.antoanthucphamlamdong.gov.vn,none
cpanel.bacgiang-iza.gov.vn,Could not resolve host: cpanel.bacgiang-iza.gov.vn,none
cpanel.bg.gov.vn,Could not resolve host: cpanel.bg.gov.vn,none
cpanel.bhxhangiang.gov.vn,Could not resolve host: cpanel.bhxhangiang.gov.vn,none
cpanel.bhxhbinhdinh.gov.vn,Could not resolve host: cpanel.bhxhbinhdinh.gov.vn,none
cpanel.bhxhbugiamap.gov.vn,Could not resolve host: cpanel.bhxhbugiamap.gov.vn,none
cpanel.danangtourism.gov.vn,Could not resolve host: cpanel.danangtourism.gov.vn,none
cpanel.danangwtocenter.gov.vn,Could not resolve host: cpanel.danangwtocenter.gov.vn,none
cpanel.dofabrvt.gov.vn,Could not resolve host: cpanel.dofabrvt.gov.vn,none
cpanel.dongphu.gov.vn,Could not resolve host: cpanel.dongphu.gov.vn,none
cpanel.foodsafety.gov.vn,Could not resolve host: cpanel.foodsafety.gov.vn,dig error
cpanel.haiquancamau.gov.vn,Could not resolve host: cpanel.haiquancamau.gov.vn,none
cpanel.hdndbudang.gov.vn,Could not resolve host: cpanel.hdndbudang.gov.vn,none
cpanel.ictc-binhphuoc.gov.vn,Could not resolve host: cpanel.ictc-binhphuoc.gov.vn,none
cpanel.ictninhbinh.gov.vn,Could not resolve host: cpanel.ictninhbinh.gov.vn,none
cpanel.locan.gov.vn,Could not resolve host: cpanel.locan.gov.vn,none
cpanel.longphuoc.gov.vn,Could not resolve host: cpanel.longphuoc.gov.vn,none
cpanel.pctnxhbrvt.gov.vn,Could not resolve host: cpanel.pctnxhbrvt.gov.vn,none
cpanel.quanhelaodong.gov.vn,Could not resolve host: cpanel.quanhelaodong.gov.vn,none
cpanel.smedec.gov.vn,Could not resolve host: cpanel.smedec.gov.vn,none
cpanel.tccbbyt.gov.vn,Could not resolve host: cpanel.tccbbyt.gov.vn,none
cpanel.thuvientphcm.gov.vn,Could not resolve host: cpanel.thuvientphcm.gov.vn,none
cpanel.ttptntthanhhoa.gov.vn,Could not resolve host: cpanel.ttptntthanhhoa.gov.vn,none
cpanel.ubndp14q3.gov.vn,Could not resolve host: cpanel.ubndp14q3.gov.vn,none
cpanel.vienkiemsathungyen.gov.vn,Could not resolve host: cpanel.vienkiemsathungyen.gov.vn,none
cpanel.vienkiemsatyenbai.gov.vn,Could not resolve host: cpanel.vienkiemsatyenbai.gov.vn,none
cpanel.vinhdien.gov.vn,Could not resolve host: cpanel.vinhdien.gov.vn,none
cpanel.vksbinhphuoc.gov.vn,Could not resolve host: cpanel.vksbinhphuoc.gov.vn,none
cpanel.vttc.gov.vn,Could not resolve host: cpanel.vttc.gov.vn,none
cpt.gov.vn,Could not resolve host: cpt.gov.vn,none
cqdt.mongcai.gov.vn,Could not resolve host: cqdt.mongcai.gov.vn,none
csdl.tayninh.gov.vn,Could not resolve host: csdl.tayninh.gov.vn,none
csdlmoitruong.ceid.gov.vn,Could not resolve host: csdlmoitruong.ceid.gov.vn,none
csed.gov.vn,SSL certificate problem: unable to get local issuer certificate,10 mx9066.maychuemail.net.; 5 mail9066.maychuemail.com.
csid.gov.vn,Could not resolve host: csid.gov.vn,10 mail.csid.gov.vn.
cti.gov.vn,Could not resolve host: cti.gov.vn,none
customs.gov.vn,301,15 mail2.customs.gov.vn.; 15 mail1.customs.gov.vn.; 5 mail.customs.gov.vn.
dafo.danang.gov.vn,Could not resolve host: dafo.danang.gov.vn,none
daiptththachha.hatinh.gov.vn,Could not resolve host: daiptththachha.hatinh.gov.vn,none
daitruyenthanhcujut.daknong.gov.vn,SSL certificate problem: self-signed certificate,none
daittthcamxuyen.hatinh.gov.vn,Could not resolve host: daittthcamxuyen.hatinh.gov.vn,none
daklak.gov.vn,Connection timed out after 3002 milliseconds,none
daln.gov.vn,200,none
danang.gov.vn,Operation timed out after 3002 milliseconds with 0 bytes received,5 mx01.danang.gov.vn.
danangtourism.gov.vn,302,10 mail.danangtourism.gov.vn.
danangwtocenter.gov.vn,Could not resolve host: danangwtocenter.gov.vn,none
dangky.vista.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
dangkykinhdoanh.gov.vn,Could not resolve host: dangkykinhdoanh.gov.vn,none
dangkyquamang.dkkd.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
dangnhap.bacninh.gov.vn,Connection timed out after 3000 milliseconds,none
dangnhap.danang.gov.vn,404,none
dangnhap.dichvucong.mt.gov.vn,Could not resolve host: dangnhap.dichvucong.mt.gov.vn,none
dangnhap.dvctt.camau.gov.vn,Could not resolve host: dangnhap.dvctt.camau.gov.vn,none
dangnhap.hanoi.gov.vn,Resolving timed out after 3000 milliseconds,none
dangnhap.mt.gov.vn,SSL certificate problem: certificate has expired,none
dangnhap.ngoquyen.gov.vn,Could not resolve host: dangnhap.ngoquyen.gov.vn,none
daotao.isconline.gov.vn,Could not resolve host: daotao.isconline.gov.vn,none
data.moet.gov.vn,Could not resolve host: data.moet.gov.vn,none
datdai.stnmt.dongnai.gov.vn,Could not resolve host: datdai.stnmt.dongnai.gov.vn,none
daugia.hatinh.gov.vn,200,none
dautucong.mpi.gov.vn,Could not resolve host: dautucong.mpi.gov.vn,none
dautunuocngoai.gov.vn,Could not resolve host: dautunuocngoai.gov.vn,none
dawapi.gov.vn,Failed to connect to dawapi.gov.vn port 443 after 1979 ms: Could not connect to server,5 ALT2.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
dbnd.hagiang.gov.vn,SSL certificate problem: certificate has expired,none
dbnd.longan.gov.vn,Connection timed out after 3001 milliseconds,none
dbonline.cesti.gov.vn,Connection timed out after 3001 milliseconds,none
dccq.bacgiang.gov.vn,Could not resolve host: dccq.bacgiang.gov.vn,none
demo.khuyencongbinhphuoc.gov.vn,Could not resolve host: demo.khuyencongbinhphuoc.gov.vn,none
dev.csid.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
dhtnapi.ais.gov.vn,Could not resolve host: dhtnapi.ais.gov.vn,none
dhtnauthen.ais.gov.vn,Could not resolve host: dhtnauthen.ais.gov.vn,none
dichvucong.longan.gov.vn,SSL certificate problem: self-signed certificate,none
dichvucong.moj.gov.vn,302,none
dichvucong.mt.gov.vn,Could not resolve host: dichvucong.mt.gov.vn,none
dichvucong.nghean.gov.vn,302,none
dichvucong.stnmt.dongnai.gov.vn,405,none
dichvuhoadon.gdt.gov.vn,Could not resolve host: dichvuhoadon.gdt.gov.vn,none
dichvuthongtin.dkkd.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
dienbien.gov.vn,Connection timed out after 3001 milliseconds,10 secureidcmb.vnptdata.vn.
dinhgiacongnghe.gov.vn,Could not resolve host: dinhgiacongnghe.gov.vn,none
dkkd.gov.vn,Could not resolve host: dkkd.gov.vn,none
dknsd.customs.gov.vn,302,none
dmptc.gov.vn,200,none
dms.luutru.gov.vn,200,none
doankhoicaccoquancaobang.gov.vn,Could not resolve host: doankhoicaccoquancaobang.gov.vn,none
