domain,type,organization
changeofaddress.gov,Federal - Executive,United States Postal Service
chcoc.gov,Federal - Executive,Office of Personnel Management
childcare.gov,Federal - Executive,Department of Health and Human Services
childreninadversity.gov,Federal - Executive,Department of State
childstats.gov,Federal - Executive,Department of Education
childwelfare.gov,Federal - Executive,Department of Health and Human Services
chips.gov,Federal - Executive,Department of Commerce
choosemyplate.gov,Federal - Executive,Department of Agriculture
cia.gov,Federal - Executive,Central Intelligence Agency
cigie.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency
cio.gov,Federal - Executive,General Services Administration
cisa.gov,Federal - Executive,Department of Homeland Security
citap.gov,Federal - Executive,Department of Energy
citizenscience.gov,Federal - Executive,General Services Administration
cjis.gov,Federal - Executive,Department of Justice
climate.gov,Federal - Executive,Department of Commerce
clinicaltrial.gov,Federal - Executive,Department of Health and Human Services
clinicaltrials.gov,Federal - Executive,Department of Health and Human Services
clintonlibrary.gov,Federal - Executive,National Archives and Records Administration
cloud.gov,Federal - Executive,General Services Administration
cms.gov,Federal - Executive,Department of Health and Human Services
cmts.gov,Federal - Executive,Department of Defense
cncs.gov,Federal - Executive,Corporation for National and Community Service
cns.gov,Federal - Executive,Corporation for National and Community Service
cnss.gov,Federal - Executive,Department of Defense
code.gov,Federal - Executive,General Services Administration
coffa.gov,Federal - Executive,General Services Administration
coil.gov,Federal - Legislative,Open World Leadership Center
coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board
collegedrinkingprevention.gov,Federal - Executive,Department of Health and Human Services
collegenavigator.gov,Federal - Executive,Department of Education
commerce.gov,Federal - Executive,Department of Commerce
complaintreferralexpress.gov,Federal - Executive,Department of the Treasury
compliance.gov,Federal - Legislative,Office of Congressional Workplace Rights
comptrollerofthecurrency.gov,Federal - Executive,Department of the Treasury
computersforlearning.gov,Federal - Executive,General Services Administration
congress.gov,Federal - Legislative,Library of Congress
congressionaldirectory.gov,Federal - Legislative,Government Publishing Office
congressionalrecord.gov,Federal - Legislative,Government Publishing Office
connect.gov,Federal - Executive,Department of Agriculture
conservation.gov,Federal - Executive,Department of the Interior
consumer.gov,Federal - Executive,Federal Trade Commission
consumeraction.gov,Federal - Executive,General Services Administration
consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau
consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau
consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau
consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau
consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau
consumersentinel.gov,Federal - Executive,Federal Trade Commission
consumidor.gov,Federal - Executive,Federal Trade Commission
contractdirectory.gov,Federal - Executive,General Services Administration
copyright.gov,Federal - Legislative,Library of Congress
copyrightclaimsboard.gov,Federal - Legislative,Library of Congress
coronavirus.gov,Federal - Executive,Executive Office of the President
councils.gov,Federal - Executive,General Services Administration
covid.gov,Federal - Executive,Executive Office of the President
covidtest.gov,Federal - Executive,Executive Office of the President
covidtests.gov,Federal - Executive,Executive Office of the President
cpars.gov,Federal - Executive,General Services Administration
cpnireporting.gov,Federal - Executive,Department of Homeland Security
cpsc.gov,Federal - Executive,Consumer Product Safety Commission
crb.gov,Federal - Legislative,Library of Congress
creators.gov,Federal - Executive,Executive Office of the President
crimesolutions.gov,Federal - Executive,Department of Justice
criticalminerals.gov,Federal - Executive,Department of the Interior
crs.gov,Federal - Legislative,Library of Congress
crypto.gov,Federal - Executive,Executive Office of the President
csb.gov,Federal - Executive,Chemical Safety and Hazard Investigation Board
csce.gov,Federal - Legislative,United States House of Representatives
csosa.gov,Federal - Executive,Court Services and Offender Supervision Agency for the District of Columbia
cssbmb.gov,Federal - Executive,U.S. Commission on Civil Rights
cttso.gov,Federal - Executive,Department of Defense
cuidadodesalud.gov,Federal - Executive,Department of Health and Human Services
cupcao.gov,Federal - Executive,Department of the Interior
currencyreader.gov,Federal - Legislative,Library of Congress
currencyreaderapplication.gov,Federal - Legislative,Library of Congress
cwc.gov,Federal - Executive,Department of Commerce
cyber.gov,Federal - Executive,Department of Homeland Security
cybercareers.gov,Federal - Executive,Office of Personnel Management
cybercrime.gov,Federal - Executive,Department of Justice
cybersecurity.gov,Federal - Executive,Department of Homeland Security
d250.gov,Federal - Executive,National Archives and Records Administration
data.gov,Federal - Executive,General Services Administration
dataprivacyframework.gov,Federal - Executive,Department of Commerce
dc3on.gov,Federal - Executive,Department of Defense
dd214.gov,Federal - Executive,National Archives and Records Administration
dea.gov,Federal - Executive,Department of Justice
deaecom.gov,Federal - Executive,Department of Justice
declaration250.gov,Federal - Executive,National Archives and Records Administration
defense.gov,Federal - Executive,Department of Defense
dei.gov,Federal - Executive,Executive Office of the President
democraticleader.gov,Federal - Legislative,United States House of Representatives
democraticwhip.gov,Federal - Legislative,United States House of Representatives
democrats.gov,Federal - Legislative,United States House of Representatives
dems.gov,Federal - Legislative,United States House of Representatives
denali.gov,Federal - Executive,Denali Commission
deregulation.gov,Federal - Executive,Executive Office of the President
devcftc.gov,Federal - Executive,Commodity Futures Trading Commission
devtestfan1.gov,Federal - Executive,Department of State
dfafacts.gov,Federal - Executive,Department of State
dfc.gov,Federal - Executive,United States International Development Finance Corporation
dhhs.gov,Federal - Executive,Department of Health and Human Services
dhs.gov,Federal - Executive,Department of Homeland Security
diabetescommittee.gov,Federal - Executive,Department of Health and Human Services
dietaryguidelines.gov,Federal - Executive,Department of Agriculture
digital.gov,Federal - Executive,General Services Administration
digitaldashboard.gov,Federal - Executive,General Services Administration
digitalgov.gov,Federal - Executive,General Services Administration
digitalpreservation.gov,Federal - Legislative,Library of Congress
digitizationguidelines.gov,Federal - Legislative,Library of Congress
directoasucuenta.gov,Federal - Executive,Department of the Treasury
disasterassistance.gov,Federal - Executive,Department of Homeland Security
disasterhousing.gov,Federal - Executive,Department of Housing and Urban Development
distracteddriving.gov,Federal - Executive,Department of Transportation
distraction.gov,Federal - Executive,Department of Transportation
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board
dni.gov,Federal - Executive,Office of the Director of National Intelligence
dns.gov,Federal - Executive,.gov Administration
dnsops.gov,Federal - Executive,.gov Administration
doc.gov,Federal - Executive,Department of Commerce
docline.gov,Federal - Executive,Department of Health and Human Services
doddns.gov,Federal - Executive,Department of Defense
doe.gov,Federal - Executive,Department of Energy
doge.gov,Federal - Executive,Executive Office of the President
doi.gov,Federal - Executive,Department of the Interior
doioig.gov,Federal - Executive,Department of the Interior
doj.gov,Federal - Executive,Department of Justice
dol-esa.gov,Federal - Executive,Department of Labor
dol.gov,Federal - Executive,Department of Labor
doleta.gov,Federal - Executive,Department of Labor
domainops.gov,Federal - Executive,.gov Administration
donaciondeorganos.gov,Federal - Executive,Department of Health and Human Services
donotcall.gov,Federal - Executive,Federal Trade Commission
dontserveteens.gov,Federal - Executive,Federal Trade Commission
dot.gov,Federal - Executive,Department of Transportation
dotgov.gov,Federal - Executive,.gov Administration
dotideahub.gov,Federal - Executive,Department of Transportation
dra.gov,Federal - Executive,Delta Regional Authority
driveelectric.gov,Federal - Executive,Department of Energy
drought.gov,Federal - Executive,Department of Commerce
drugabuse.gov,Federal - Executive,Department of Health and Human Services
drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission
dsac.gov,Federal - Executive,Department of Justice
e-qip.gov,Federal - Executive,Office of Personnel Management
e-verify.gov,Federal - Executive,Department of Homeland Security
eac.gov,Federal - Executive,Election Assistance Commission
eaglecash.gov,Federal - Executive,Department of the Treasury
earlycareers.gov,Federal - Executive,Executive Office of the President
earmarks.gov,Federal - Executive,Executive Office of the President
earth.gov,Federal - Executive,National Aeronautics and Space Administration
earthquake.gov,Federal - Executive,Department of the Interior
ecfc.gov,Federal - Executive,.gov Administration
ecfr.gov,Federal - Legislative,Government Publishing Office
econsumer.gov,Federal - Executive,Federal Trade Commission
ecpic.gov,Federal - Executive,General Services Administration
ecr.gov,Federal - Executive,Morris K. Udall and Stewart L. Udall Foundation
ecs.gov,Federal - Executive,Department of Defense
ed.gov,Federal - Executive,Department of Education
eda.gov,Federal - Executive,Department of Commerce
edison.gov,Federal - Executive,Department of Commerce
eeoc.gov,Federal - Executive,Equal Employment Opportunity Commission
eftps.gov,Federal - Executive,Department of the Treasury
ehr.gov,Federal - Executive,Department of Defense
eia.gov,Federal - Executive,Department of Energy
eisenhowerlibrary.gov,Federal - Executive,National Archives and Records Administration
eldercare.gov,Federal - Executive,Department of Health and Human Services
elderjustice.gov,Federal - Executive,Department of Justice
emergency-federal-register.gov,Federal - Executive,National Archives and Records Administration
employeeexpress.gov,Federal - Executive,Office of Personnel Management
employer.gov,Federal - Executive,Department of Labor
empowhr.gov,Federal - Executive,Department of Agriculture
ems.gov,Federal - Executive,Department of Transportation
encuentraapoyo.gov,Federal - Executive,Department of Health and Human Services
energy.gov,Federal - Executive,Department of Energy
energycodes.gov,Federal - Executive,Department of Energy
energysaver.gov,Federal - Executive,Department of Energy
energysavers.gov,Federal - Executive,Department of Energy
energystar.gov,Federal - Executive,Environmental Protection Agency
eop.gov,Federal - Executive,Executive Office of the President
epa.gov,Federal - Executive,Environmental Protection Agency
epaoig.gov,Federal - Executive,Environmental Protection Agency
epic.gov,Federal - Executive,Department of Justice
erpo.gov,Federal - Executive,.gov Administration
esc.gov,Federal - Executive,Department of Transportation
eseclab.gov,Federal - Legislative,Government Accountability Office
esrs.gov,Federal - Executive,General Services Administration
eta-find.gov,Federal - Executive,Department of the Treasury
evaluation.gov,Federal - Executive,General Services Administration
evergladesrestoration.gov,Federal - Executive,Department of the Interior
everify.gov,Federal - Executive,Department of Homeland Security
everykidoutdoors.gov,Federal - Executive,Department of the Interior
everytrycounts.gov,Federal - Executive,Department of Health and Human Services
evus.gov,Federal - Executive,Department of Homeland Security
execsec.gov,Federal - Executive,Department of Agriculture
exim.gov,Federal - Executive,Export-Import Bank of the United States
explore.gov,Federal - Executive,Executive Office of the President
exploretsp.gov,Federal - Executive,Federal Retirement Thrift Investment Board
export.gov,Federal - Executive,Department of Commerce
eyenote.gov,Federal - Executive,Department of the Treasury
faa.gov,Federal - Executive,Department of Transportation
faasafety.gov,Federal - Executive,Department of Transportation
fac.gov,Federal - Executive,General Services Administration
faca.gov,Federal - Executive,General Services Administration
facadatabase.gov,Federal - Executive,General Services Administration
fafsa.gov,Federal - Executive,Department of Education
fai.gov,Federal - Executive,General Services Administration
familyplanning.gov,Federal - Executive,Department of Health and Human Services
fan.gov,Federal - Executive,Department of State
fapiis.gov,Federal - Executive,General Services Administration
fara.gov,Federal - Executive,Department of Justice
farmerfairness.gov,Federal - Executive,Department of Agriculture
farmers.gov,Federal - Executive,Department of Agriculture
fasab.gov,Federal - Legislative,Government Accountability Office
fatherhood.gov,Federal - Executive,Department of Health and Human Services
fbf.gov,Federal - Executive,General Services Administration
fbi.gov,Federal - Executive,Department of Justice
fbiic.gov,Federal - Executive,Board of Governors of the Federal Reserve
fbijobs.gov,Federal - Executive,Department of Justice
fbilab.gov,Federal - Executive,Department of Justice
fbo.gov,Federal - Executive,General Services Administration
fca.gov,Federal - Executive,Farm Credit Administration
fcc.gov,Federal - Executive,Federal Communications Commission
fcic.gov,Federal - Executive,National Archives and Records Administration
fcsic.gov,Federal - Executive,Farm Credit System Insurance Corporation
fcsm.gov,Federal - Executive,General Services Administration
fd.gov,Federal - Judicial,Administrative Office of the United States Courts
fda.gov,Federal - Executive,Department of Health and Human Services
fdic.gov,Federal - Executive,Federal Deposit Insurance Corporation
fdicconnect.gov,Federal - Executive,Federal Deposit Insurance Corporation
fdicig.gov,Federal - Executive,Federal Deposit Insurance Corporation
fdicoig.gov,Federal - Executive,Federal Deposit Insurance Corporation
fdlp.gov,Federal - Legislative,Government Publishing Office
fdms.gov,Federal - Executive,General Services Administration
fdsys.gov,Federal - Legislative,Government Publishing Office
feb.gov,Federal - Executive,Office of Personnel Management
fec.gov,Federal - Executive,Federal Election Commission
fedcenter.gov,Federal - Executive,Environmental Protection Agency
federalcourts.gov,Federal - Judicial,Administrative Office of the United States Courts
federalinvestments.gov,Federal - Executive,Department of the Treasury
