domain,type,organization
sji.gov,Federal - Executive,State Justice Institute
slgs.gov,Federal - Executive,Department of the Treasury
smart.gov,Federal - Executive,Department of Justice
smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission
smartgrid.gov,Federal - Executive,Department of Energy
smithsonian.gov,Federal,Smithsonian Institution
smokefree.gov,Federal - Executive,Department of Health and Human Services
sns.gov,Federal - Executive,Department of Energy
soarc.gov,Federal - Executive,Department of Defense
socialsecurity.gov,Federal - Executive,Social Security Administration
solardecathlon.gov,Federal - Executive,Department of Energy
sotu.gov,Federal - Executive,Executive Office of the President
spaceweather.gov,Federal - Executive,Department of Commerce
spd15revision.gov,Federal - Executive,Department of Commerce
speaker.gov,Federal - Legislative,United States House of Representatives
spectrum.gov,Federal - Executive,Department of Commerce
srnl.gov,Federal - Executive,Department of Energy
srs.gov,Federal - Executive,Department of Energy
ssa.gov,Federal - Executive,Social Security Administration
ssab.gov,Federal - Executive,Social Security Advisory Board
sss.gov,Federal - Executive,Selective Service System
standards.gov,Federal - Executive,Department of Commerce
state.gov,Federal - Executive,Department of State
stateoig.gov,Federal - Executive,Department of State
statspolicy.gov,Federal - Executive,General Services Administration
stb.gov,Federal - Executive,Surface Transportation Board
stennis.gov,Federal - Legislative,Stennis Center for Public Service
stopalcoholabuse.gov,Federal - Executive,Department of Health and Human Services
stopbullying.gov,Federal - Executive,Department of Health and Human Services
stopfakes.gov,Federal - Executive,Department of Commerce
stopransomware.gov,Federal - Executive,Department of Homeland Security
studentaid.gov,Federal - Executive,Department of Education
studentloans.gov,Federal - Executive,Department of Education
supervisioncentral.gov,Federal - Executive,Board of Governors of the Federal Reserve
supportfan.gov,Federal - Executive,Department of State
supreme-court.gov,Federal - Judicial,Supreme Court of the United States
supremecourt.gov,Federal - Judicial,Supreme Court of the United States
supremecourtus.gov,Federal - Judicial,Supreme Court of the United States
surgeongeneral.gov,Federal - Executive,Department of Health and Human Services
sustainability.gov,Federal - Executive,Environmental Protection Agency
sworm.gov,Federal - Executive,Department of Commerce
swpa.gov,Federal - Executive,Department of Energy
symbols.gov,Federal - Executive,Department of Agriculture
taaps.gov,Federal - Executive,Department of the Treasury
tak.gov,Federal - Executive,Department of Defense
tasefiling.gov,Federal - Executive,Department of Commerce
tax.gov,Federal - Executive,Department of the Treasury
taxreform.gov,Federal - Legislative,United States House of Representatives
tcis.gov,Federal - Executive,Department of the Treasury
techforce.gov,Federal - Executive,Executive Office of the President
techhubs.gov,Federal - Executive,Department of Commerce
techprosperitycorps.gov,Federal - Executive,Peace Corps
telework.gov,Federal - Executive,Office of Personnel Management
thebraininitiative.gov,Federal - Executive,Department of Health and Human Services
therealcost.gov,Federal - Executive,Department of Health and Human Services
thisfreelife.gov,Federal - Executive,Department of Health and Human Services
thomas.gov,Federal - Legislative,Library of Congress
tigta.gov,Federal - Executive,Department of the Treasury
tigtanet.gov,Federal - Executive,Department of the Treasury
time.gov,Federal - Executive,Department of Commerce
tobacco.gov,Federal - Executive,Department of Health and Human Services
together.gov,Federal - Executive,Department of Homeland Security
tox21.gov,Federal - Executive,Department of Health and Human Services
tps.gov,Federal - Legislative,Library of Congress
trabajadormigrante.gov,Federal - Executive,Department of Labor
tracss.gov,Federal - Executive,Department of Commerce
trade.gov,Federal - Executive,Department of Commerce
trafficsafetymarketing.gov,Federal - Executive,Department of Transportation
trainingproviderresults.gov,Federal - Executive,Department of Labor
transparency.gov,Federal - Executive,Executive Office of the President
transportation.gov,Federal - Executive,Department of Transportation
treas.gov,Federal - Executive,Department of the Treasury
treaslockbox.gov,Federal - Executive,Department of the Treasury
treasury.gov,Federal - Executive,Department of the Treasury
treasuryauction.gov,Federal - Executive,Department of the Treasury
treasuryauctions.gov,Federal - Executive,Department of the Treasury
treasurydirect.gov,Federal - Executive,Department of the Treasury
treasuryecm.gov,Federal - Executive,Department of the Treasury
treasuryhunt.gov,Federal - Executive,Department of the Treasury
treasuryscams.gov,Federal - Executive,Department of the Treasury
tribaljusticeandsafety.gov,Federal - Executive,Department of Justice
truman.gov,Federal - Executive,Harry S Truman Scholarship Foundation
trumanlibrary.gov,Federal - Executive,National Archives and Records Administration
trumpaccounts.gov,Federal - Executive,Department of the Treasury
trumpcard.gov,Federal - Executive,Executive Office of the President
trumpgoldcard.gov,Federal - Executive,Department of Commerce
trumpira.gov,Federal - Executive,Executive Office of the President
trumplibrary.gov,Federal - Executive,National Archives and Records Administration
trumprx.gov,Federal - Executive,Executive Office of the President
trumpwhitehouse.gov,Federal - Executive,National Archives and Records Administration
tsa.gov,Federal - Executive,Department of Homeland Security
tsc.gov,Federal - Executive,Department of Justice
tsp.gov,Federal - Executive,Federal Retirement Thrift Investment Board
tsptest.gov,Federal - Executive,Federal Retirement Thrift Investment Board
tsunami.gov,Federal - Executive,Department of Commerce
tswg.gov,Federal - Executive,Department of Defense
ttb.gov,Federal - Executive,Department of the Treasury
ttbonline.gov,Federal - Executive,Department of the Treasury
ttlplus.gov,Federal - Executive,Department of the Treasury
tva.gov,Federal - Executive,Tennessee Valley Authority
tvaoig.gov,Federal - Executive,Tennessee Valley Authority
twai.gov,Federal - Executive,Department of the Treasury
ucia.gov,Federal - Executive,Central Intelligence Agency
udall.gov,Federal - Executive,Morris K. Udall and Stewart L. Udall Foundation
ugov.gov,Federal - Executive,Office of the Director of National Intelligence
ui.gov,Federal - Executive,Department of Labor
ukraineoversight.gov,Federal - Executive,Department of Defense
unemployment.gov,Federal - Executive,Department of Labor
unicor.gov,Federal - Executive,Department of Justice
unionreports.gov,Federal - Executive,Department of Labor
unitedstatescongress.gov,Federal - Legislative,Library of Congress
unlocktalent.gov,Federal - Executive,Office of Personnel Management
unnpp.gov,Federal - Executive,Department of Energy
unrpnet.gov,Federal - Executive,Department of Energy
urbanwaters.gov,Federal - Executive,Environmental Protection Agency
us-cert.gov,Federal - Executive,Department of Homeland Security
us.gov,Federal - Executive,General Services Administration
usa.gov,Federal - Executive,General Services Administration
usa250.gov,Federal - Legislative,U.S. Semiquincentennial Commission
usability.gov,Federal - Executive,General Services Administration
usadf.gov,Federal - Executive,United States African Development Foundation
usagm.gov,Federal - Executive,United States Agency for Global Media
usagov.gov,Federal - Executive,General Services Administration
usai.gov,Federal - Executive,General Services Administration
usaid.gov,Federal - Executive,Department of State
usajobs.gov,Federal - Executive,Office of Personnel Management
usalearning.gov,Federal - Executive,Office of Personnel Management
usandc.gov,Federal - Executive,Department of Defense
usap.gov,Federal - Executive,National Science Foundation
usaseanconnect.gov,Federal - Executive,Department of State
usaspending.gov,Federal - Executive,Department of the Treasury
usastaffing.gov,Federal - Executive,Office of Personnel Management
usbankruptcy.gov,Federal - Judicial,Administrative Office of the United States Courts
usbg.gov,Federal - Legislative,Architect of the Capitol
usbm.gov,Federal - Executive,Department of Health and Human Services
usbr.gov,Federal - Executive,Department of the Interior
usc.gov,Federal - Judicial,Administrative Office of the United States Courts
uscapital.gov,Federal - Legislative,Architect of the Capitol
uscapitalgiftshop.gov,Federal - Legislative,Architect of the Capitol
uscapitol.gov,Federal - Legislative,Architect of the Capitol
uscapitolgiftshop.gov,Federal - Legislative,Architect of the Capitol
uscapitolgiftstore.gov,Federal - Legislative,Architect of the Capitol
uscapitolpolice.gov,Federal - Legislative,Capitol Police
uscavc.gov,Federal - Judicial,Administrative Office of the United States Courts
uscc.gov,Federal - Legislative,U.S.-China Economic and Security Review Commission
usccr.gov,Federal - Executive,U.S. Commission on Civil Rights
uscg.gov,Federal - Executive,Department of Homeland Security
uscirf.gov,Federal - Legislative,U.S. Commission on International Religious Freedom
uscis.gov,Federal - Executive,Department of Homeland Security
uscode.gov,Federal - Legislative,Government Publishing Office
uscongress.gov,Federal - Legislative,Library of Congress
usconsulate.gov,Federal - Executive,Department of State
uscourts.gov,Federal - Judicial,Administrative Office of the United States Courts
uscp.gov,Federal - Legislative,Capitol Police
uscpoig.gov,Federal - Legislative,"U.S. Capitol Police, Office of the Inspector General"
uscurrency.gov,Federal - Executive,Board of Governors of the Federal Reserve
usda.gov,Federal - Executive,Department of Agriculture
usdapii.gov,Federal - Executive,Department of Agriculture
usdebitcard.gov,Federal - Executive,Department of the Treasury
usdfc.gov,Federal - Executive,United States International Development Finance Corporation
usdigitalservice.gov,Federal - Executive,Executive Office of the President
usdoj.gov,Federal - Executive,Department of Justice
usdoscloud.gov,Federal - Executive,Department of State
usds.gov,Federal - Executive,Executive Office of the President
usembassy.gov,Federal - Executive,Department of State
usgcrp.gov,Federal - Executive,United States Global Change Research Program
usgeo.gov,Federal - Executive,National Aeronautics and Space Administration
usgovdod.gov,Federal - Executive,Department of Defense
usgovernmentmanual.gov,Federal - Legislative,Government Publishing Office
usgs.gov,Federal - Executive,Department of the Interior
ushmm.gov,Federal - Executive,United States Holocaust Memorial Museum
ushouse.gov,Federal - Legislative,United States House of Representatives
ushr.gov,Federal - Legislative,United States House of Representatives
usicecenter.gov,Federal - Executive,Department of Commerce
usich.gov,Federal - Executive,U.S. Interagency Council on Homelessness
usidfc.gov,Federal - Executive,United States International Development Finance Corporation
usip.gov,Federal - Executive,United States Institute of Peace
usitc.gov,Federal - Executive,International Trade Commission
usitcoig.gov,Federal - Executive,International Trade Commission
usmarshals.gov,Federal - Executive,Department of Justice
usmint.gov,Federal - Executive,Department of the Treasury
usmission.gov,Federal - Executive,Department of State
usphs.gov,Federal - Executive,Department of Health and Human Services
uspis.gov,Federal - Executive,United States Postal Service
usprobation.gov,Federal - Judicial,Administrative Office of the United States Courts
usps.gov,Federal - Executive,United States Postal Service
uspsinformeddelivery.gov,Federal - Executive,United States Postal Service
uspsinnovates.gov,Federal - Executive,United States Postal Service
uspsoig.gov,Federal - Executive,United States Postal Service
uspto.gov,Federal - Executive,Department of Commerce
ussc.gov,Federal - Judicial,United States Sentencing Commission
ussemiquincentennial.gov,Federal - Legislative,U.S. Semiquincentennial Commission
ussm.gov,Federal - Executive,General Services Administration
usss.gov,Federal - Executive,Department of Homeland Security
ustaxcourt.gov,Federal - Judicial,United States Tax Court
ustda.gov,Federal - Executive,Trade And Development Agency
ustr.gov,Federal - Executive,Executive Office of the President
ustreas.gov,Federal - Executive,Department of the Treasury
usvisabond.gov,Federal - Executive,Department of the Treasury
usxports.gov,Federal - Executive,Department of State
utahfireinfo.gov,Federal - Executive,Department of the Interior
va.gov,Federal - Executive,Department of Veterans Affairs
vaccine.gov,Federal - Executive,Department of Health and Human Services
vaccines.gov,Federal - Executive,Department of Health and Human Services
vacine.gov,Federal - Executive,Department of Health and Human Services
vacines.gov,Federal - Executive,Department of Health and Human Services
vacuna.gov,Federal - Executive,Department of Health and Human Services
vacunas.gov,Federal - Executive,Department of Health and Human Services
vaoig.gov,Federal - Executive,Department of Veterans Affairs
vcf.gov,Federal - Executive,Department of Justice
vehiclehistory.gov,Federal - Executive,Department of Justice
veterans.gov,Federal - Executive,Department of Labor
vets.gov,Federal - Executive,Department of Veterans Affairs
visitthecapital.gov,Federal - Legislative,Architect of the Capitol
visitthecapitol.gov,Federal - Legislative,Architect of the Capitol
vistacampus.gov,Federal - Executive,Corporation for National and Community Service
voa.gov,Federal - Executive,United States Agency for Global Media
volcano.gov,Federal - Executive,Department of the Interior
volunteer.gov,Federal - Executive,Department of the Interior
volunteeringinamerica.gov,Federal - Executive,Corporation for National and Community Service
vote.gov,Federal - Executive,Election Assistance Commission
votebymail.gov,Federal - Executive,Election Assistance Commission
vsafe.gov,Federal - Executive,Department of Veterans Affairs
wapa.gov,Federal - Executive,Department of Energy
war.gov,Federal - Executive,Department of Defense
wartimecontracting.gov,Federal - Executive,National Archives and Records Administration
waste.gov,Federal - Executive,Executive Office of the President
weather.gov,Federal - Executive,Department of Commerce
webharvest.gov,Federal - Executive,National Archives and Records Administration
wh.gov,Federal - Executive,Executive Office of the President
whaging.gov,Federal - Executive,Department of Health and Human Services
whatcanyoudocampaign.gov,Federal - Executive,Department of Labor
whcs.gov,Federal - Executive,Executive Office of the President
whes.gov,Federal - Executive,Executive Office of the President
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission
whistleblowers.gov,Federal - Executive,Department of Labor
whitehouse.gov,Federal - Executive,Executive Office of the President
whitehouseconferenceonaging.gov,Federal - Executive,Department of Health and Human Services
whms.gov,Federal - Executive,Executive Office of the President
why.gov,Federal - Executive,Executive Office of the President
wildfire.gov,Federal - Executive,Department of Agriculture
wizard.gov,Federal - Executive,Department of the Treasury
wlci.gov,Federal - Executive,Department of the Interior
womenshealth.gov,Federal - Executive,Department of Health and Human Services
womenshistorymonth.gov,Federal - Legislative,Library of Congress
workcenter.gov,Federal - Executive,Department of Labor
worker.gov,Federal - Executive,Department of Labor
workplace.gov,Federal - Executive,Department of the Treasury
wrp.gov,Federal - Executive,Department of Labor
wwtg.gov,Federal - Executive,Department of Commerce
xd.gov,Federal - Executive,Department of Commerce
ymp.gov,Federal - Executive,Department of Energy
youth.gov,Federal - Executive,Department of Health and Human Services
youthrules.gov,Federal - Executive,Department of Labor
