hostname,score,sources,label,level
chadembassy.ca,4,wikidata,embassy of Chad in Canada,central
chamber.ca,4,wikidata,Canadian Chamber of Commerce,
charlottetown.ca,4,wikidata,Charlottetown,
chrc-ccdp.ca,4,wikidata,Canadian Human Rights Commission,
cityofkingston.ca,4,wikidata,Kingston/Norman Rogers Airport,
clearview.ab.ca,4,wikidata,Clearview School Division No. 71,
cmac-cacm.ca,4,wikidata,Court Martial Appeal Court of Canada,central
cmec.ca,4,wikidata,Council of Ministers of Education,
cmm.qc.ca,4,wikidata,Greater Montreal,
cn.ca,4,wikidata,CN Police,
conseildelamagistrature.qc.ca,4,wikidata,Q109019020,
consulatdumaroc.ca,4,wikidata,"General Consulate of Morocco, Montreal",
corhealthontario.ca,4,wikidata,CorHealth Ontario,
cs-soreltracy.qc.ca,4,wikidata,Q15918422,
csaffluents.qc.ca,4,wikidata,Commission scolaire des Affluents,
csappalaches.qc.ca,4,wikidata,Q2986753,
csbf.qc.ca,4,wikidata,Q2986754,
csbj.qc.ca,4,wikidata,Q52147864,
cscmonavenir.ca,4,wikidata,Conseil scolaire de district catholique Centre-Sud,
cscprovidence.ca,4,wikidata,Conseil Scolaire Catholique Providence,
cscree.qc.ca,4,wikidata,Cree School Board,
csdcab.on.ca,4,wikidata,Conseil scolaire de district catholique des Aurores boréales,
csdceo.ca,4,wikidata,Conseil scolaire de district catholique de l'Est ontarien,
csdgs.qc.ca,4,wikidata,Centre de services scolaire des Grandes-Seigneuries,
csdhr.qc.ca,4,wikidata,Commission scolaire des Hautes-Rivières,
csdufer.qc.ca,4,wikidata,Q52148917,
csdulittoral.qc.ca,4,wikidata,Commission scolaire du Littoral,
csenergie.qc.ca,4,wikidata,Commission scolaire de l'Énergie,
csestuaire.qc.ca,4,wikidata,Q52148869,
csfl.qc.ca,4,wikidata,Q52148970,
csharricana.qc.ca,4,wikidata,Commission scolaire Harricana,
cshm-schm.ca,4,wikidata,Canadian Society for the History of Medicine,
cslaurentides.qc.ca,4,wikidata,Commission scolaire des Laurentides,
cslaval.qc.ca,4,wikidata,Commission scolaire de Laval,
csleroyer.qc.ca,4,wikidata,Commission scolaire Jérôme-Le Royer,
csmcn.qc.ca,4,wikidata,Q52150043,
csmm.qc.ca,4,wikidata,Commission scolaire des Monts-et-Marées,
csno.ab.ca,4,wikidata,Northwest Francophone Education Region No. 1,
csob.qc.ca,4,wikidata,Q52150279,
csp.ca,4,wikidata,Commission scolaire des Patriotes,
csphares.qc.ca,4,wikidata,Commission scolaire des Phares,
cspi.qc.ca,4,wikidata,commission scolaire de la Pointe-de-l'Île,
cspn.qc.ca,4,wikidata,Commission scolaire Pierre-Neveu,
cspne.ca,4,wikidata,Conseil scolaire public du Nord-Est de l'Ontario,
csrdn.qc.ca,4,wikidata,Commission scolaire de la Rivière-du-Nord,
csrn.qc.ca,4,wikidata,Q52151269,
csrsaguenay.qc.ca,4,wikidata,Centre de services scolaire des Rives-du-Saguenay,
cssamares.qc.ca,4,wikidata,Commission scolaire des Samares,
cssh.qc.ca,4,wikidata,Commission scolaire de Saint-Hyacinthe,
cssmi.qc.ca,4,wikidata,Commission scolaire de la Seigneurie-des-Mille-Îles,
csviamonde.ca,4,wikidata,Conseil scolaire Viamonde,
cvse.ca,4,wikidata,British Columbia Commercial Vehicle Safety and Enforcement,
cwb.ca,4,wikidata,Canadian Wheat Board,
dcdsb.ca,4,wikidata,Durham Catholic District School Board,
ddsb.ca,4,wikidata,Durham District School Board,
deltapolice.ca,4,wikidata,Delta Police Department,
dsb1.ca,4,wikidata,District School Board Ontario North East,
ecolecatholique.ca,4,wikidata,Conseil des écoles catholiques du Centre-Est,
edmonton.ca,4,wikidata,Edmonton Fire Rescue Services,
edmontonpolice.ca,4,wikidata,Edmonton Police Service,
electionsnb.ca,4,wikidata,Elections New Brunswick,
electionspei.ca,4,wikidata,Elections Prince Edward Island,
embassyecuador.ca,4,wikidata,embassy of Ecuador in Canada,central
embassyoflibya.ca,4,wikidata,Embassy of Libya in Canada,central
embassyofpanama.ca,4,wikidata,embassy of Panama in Canada,central
embassyofperu.ca,4,wikidata,embassy of Peru in Canada,central
embassyofuruguay.ca,4,wikidata,embassy of Uruguay in Canada,central
emsb.qc.ca,4,wikidata,English Montreal School Board,
en.ccunesco.ca,4,wikidata,Canadian Commission for UNESCO,
energy.alberta.ca,4,wikidata,Alberta Energy,
energy.novascotia.ca,4,wikidata,Nova Scotia Department of Energy,
epsb.ca,4,wikidata,Edmonton Public Schools,
esrd.alberta.ca,4,wikidata,Alberta Environment and Sustainable Resource Development,
essb.qc.ca,4,wikidata,Eastern Shores School Board,
fgcouncil.bc.ca,4,wikidata,Forest Genetics Council,
fjmc.ca,4,wikidata,Fisheries Joint Management Committee,
gdg.ca,4,wikidata,GDG Environnement,
ghanahighcommission.ca,4,wikidata,high commission of Ghana in Canada,central
grandchallenges.ca,4,wikidata,Grand Challenges Canada,
granderie.ca,4,wikidata,Grand Erie District School Board,
grandnord.ca,4,wikidata,Conseil scolaire public du Grand Nord de l'Ontario,
grc.ca,4,wikidata,Royal Canadian Mounted Police,
grrb.nt.ca,4,wikidata,Gwich'in Renewable Resources Board,
gsacrd.ab.ca,4,wikidata,Greater St. Albert Catholic Schools,
gscs.ca,4,wikidata,Greater Saskatoon Catholic School Division,
gvha.ca,4,wikidata,Greater Victoria Harbour Authority,
gypsd.ca,4,wikidata,Grande Yellowhead Public School Division No. 77,
halton.ca,4,wikidata,Halton Region Health Department,
hamiltonpolice.on.ca,4,wikidata,Hamilton Police Service,
healthforceontario.ca,4,wikidata,HealthForceOntario,
honeycouncil.ca,4,wikidata,Canadian Honey Council,
horizon.ab.ca,4,wikidata,Horizon School Division No. 67,
hparb.on.ca,4,wikidata,Health Professions Appeal and Review Board,
hpedsb.on.ca,4,wikidata,Hastings & Prince Edward District School Board,
hpsd48.ab.ca,4,wikidata,High Prairie School Division No. 48,
hscdsb.on.ca,4,wikidata,Huron-Superior Catholic District School Board,
