hostname,score,sources,label,level,http_status,mx
ecolefrancophone.com,6,wikidata;wikidata,Conseil des écoles fransaskoises,,,
exo.quebec,6,wikidata;wikidata,Exo,,,
gotransit.com,6,wikidata;wikidata,GO Transit,,,
idetr.com,6,wikidata;wikidata,Innovation and Economic Development Trois Rivières,,,
internationalboundarycommission.org,6,wikidata;wikidata,International Boundary Commission,,,
ola.org,6,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Legislative Assembly of Ontario,central-1,,
ontarioparks.com,6,wikidata;wikidata,Ontario Parks,,,
acls-aatc.ca,5,directory,Association of Canada Lands Surveyors,,,
aecl.ca,5,directory,Atomic Energy of Canada Limited,,,
ag.gov.bc.ca,5,wikidata,British Columbia Sheriff Service,,,
archives.gov.on.ca,5,wikidata,Archives of Ontario,,,
asiapacific.ca,5,directory,Asia-Pacific Foundation of Canada,,,
bape.gouv.qc.ca,5,wikidata,Bureau d'audiences publiques sur l'environnement,central-1,,
bcbudget.gov.bc.ca,5,wikidata,"Ministry of Tourism, Sport and the Arts",,,
bdc.ca,5,directory,Business Development Bank of Canada,,,
bei.gouv.qc.ca,5,wikidata,Q97161210,,,
canadacouncil.ca,5,directory,Canada Council for the Arts,,,
canadagames.ca,5,directory,Canada Games Council,,,
canadapost.ca,5,directory,Canada Post Corporation,,,
cbc.radio-canada.ca,5,directory,Canadian Broadcasting Corporation,,,
ccc.ca,5,directory,Canadian Commercial Corporation,,,
ceri.ca,5,directory,Canadian Energy Research Institute,,,
cfhi-fcass.ca,5,directory,Canadian Foundation for Healthcare Improvement (CFHI),,,
cfta-alec.ca,5,directory,Internal Trade Secretariat Corporation,,,
cihi.ca,5,directory,Canadian Institute for Health Information (CIHI),,,
clc-sic.ca,5,directory,Canada Lands Company Limited,,,
clrc.ca,5,directory,Canadian Livestock Records Corporation,,,
cmf-fmc.ca,5,directory,Canada Media Fund,,,
cmhc.ca,5,directory,Canada Mortgage and Housing Corporation,,,
cnesst.gouv.qc.ca,5,wikidata,"Commission des normes, de l'équité, de la santé et de la sécurité du travail",central-1,,
cnloer.ca,5,directory,Canada-Newfoundland and Labrador Offshore Energy Regulator,,,
cnsoer.ca,5,directory,Canada-Nova Scotia Offshore Energy Regulator,,,
coach.ca,5,directory,Coaching Association of Canada,,,
courts.gov.bc.ca,5,wikidata,British Columbia Court of Appeal,central-1,,
cpmt.gouv.qc.ca,5,wikidata,Labour Market Partners Board,,,
crdsc-sdrcc.ca,5,directory,Sport Dispute Resolution Centre of Canada,,,
crr.ca,5,directory,Canadian Race Relations Foundation,,,
csiontario.ca,5,directory,Canadian Sport Institute Ontario,,,
cssbe.gouv.qc.ca,5,wikidata,Centre de services scolaire de la Beauce-Etchemin,,,
cssc.gouv.qc.ca,5,wikidata,Centre de services scolaire de la Capitale,,,
csscv.gouv.qc.ca,5,wikidata,Centre de services scolaire au Cœur-des-Vallées,,,
cssd.gouv.qc.ca,5,wikidata,Draveurs school service center,,,
cssdd.gouv.qc.ca,5,wikidata,Centre de services scolaire des Découvreurs,,,
cssdhr.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hautes-Rivières,,,
cssdm.gouv.qc.ca,5,wikidata,Centre de services scolaire de Montréal,,,
cssds.gouv.qc.ca,5,wikidata,Centre de services scolaire des Sommets,,,
cssdulittoral.gouv.qc.ca,5,wikidata,Centre de services scolaire du Littoral,,,
cssenergie.gouv.qc.ca,5,wikidata,Centre de services scolaire de l'Énergie,,,
cssh.gouv.qc.ca,5,wikidata,Centre de services scolaire Harricana,,,
csshbo.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hauts-Bois-de-l'Outaouais,,,
csshc.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hauts-Cantons,,,
csshl.gouv.qc.ca,5,wikidata,Centre de services scolaire des Hautes-Laurentides,,,
csslaurentides.gouv.qc.ca,5,wikidata,Centre de services scolaire des Laurentides,,,
csslaval.gouv.qc.ca,5,wikidata,Centre de services scolaire de Laval,,,
cssmb.gouv.qc.ca,5,wikidata,Centre de services scolaire Marguerite-Bourgeoys,,,
cssmm.gouv.qc.ca,5,wikidata,Centre de services scolaire des Monts-et-Marées,,,
cssmv.gouv.qc.ca,5,wikidata,Centre de services scolaire Marie-Victorin,,,
cssob.gouv.qc.ca,5,wikidata,Centre de services scolaire de l'Or-et-des-Bois,,,
cssp.gouv.qc.ca,5,wikidata,Centre de services scolaire des Patriotes,,,
csspi.gouv.qc.ca,5,wikidata,Centre de services scolaire de la Pointe-de-l'Île,,,
csspo.gouv.qc.ca,5,wikidata,Centre de services scolaire des Portages-de-l'Outaouais,,,
cssportneuf.gouv.qc.ca,5,wikidata,Centre de services scolaire de Portneuf,,,
cssrl.gouv.qc.ca,5,wikidata,Centre de services scolaire René-Lévesque,,,
cssrs.gouv.qc.ca,5,wikidata,Centre de services scolaire de la Région-de-Sherbrooke,,,
csssamares.gouv.qc.ca,5,wikidata,Centre de services scolaire des Samares,,,
csssh.gouv.qc.ca,5,wikidata,Centre de services scolaire de Saint-Hyacinthe,,,
cssst.gouv.qc.ca,5,wikidata,Centre de services scolaire de Sorel-Tracy,,,
csstl.gouv.qc.ca,5,wikidata,Centre de services scolaire des Trois-Lacs,,,
cssvdc.gouv.qc.ca,5,wikidata,Centre de services scolaire du Val-des-Cerfs,,,
curateur.gouv.qc.ca,5,wikidata,Q3007613,central-1,,
cyqm.ca,5,directory,Greater Moncton International Airport Authority Inc.,,,
data.geology.gov.yk.ca,5,wikidata,Yukon Geological Survey,,,
debates-debats.ca,5,directory,Leaders’ Debates Commission,,,
downsviewpark.ca,5,directory,Parc Downsview Park Inc.,,,
ecoledespompiers.gouv.qc.ca,5,wikidata,Q16507824,,,
edc.ca,5,directory,Export Development Canada,,,
education.gov.yk.ca,5,wikidata,Yukon Department of Education,,,
env.gov.nl.ca,5,wikidata,Department of Environment and Conservation,,,
epq.gouv.qc.ca,5,wikidata,Épargne Placements Québec,central-1,,
ethique.gouv.qc.ca,5,wikidata,Commission on Ethics in Science and Technology,central-1,,
fcc-fac.ca,5,directory,Farm Credit Canada,,,
federalbridge.ca,5,directory,The Federal Bridge Corporation Limited,,,
flylondon.ca,5,directory,Greater London International Airport Authority,,,
frederictonairport.ca,5,directory,Fredericton International Airport Authority Inc.,,,
frq.gouv.qc.ca,5,wikidata,Fonds de recherche du Québec,central-1,,
gallery.ca,5,directory,National Gallery of Canada,,,
gouv.qc.ca,5,linkgraph,Linked from 3 public-sector domains,,,
gov.nt.ca,5,wikidata,Northwest Territories Department of Environment and Climate Change,,,
habitation.gouv.qc.ca,5,wikidata,Société d'habitation du Québec,central-1,,
healthcareexcellence.ca,5,directory,Healthcare Excellence Canada (HEC),,,
hfr-tgf.ca,5,directory,VIA HFR - VIA TGF Inc.,,,
hiaa.ca,5,directory,Halifax International Airport Authority,,,
historymuseum.ca,5,directory,Canadian Museum of History,,,
hopaports.ca,5,directory,Hamiton-Oshawa Port Authority (HOPA),,,
hss.gov.yk.ca,5,wikidata,Yukon Health and Social Services,,,
humanrights.ca,5,directory,Canadian Museum for Human Rights,,,
idrc.ca,5,directory,International Development Research Centre,,,
inf.gov.nt.ca,5,wikidata,Department of Infrastructure,central-1,,
infoway-inforoute.ca,5,directory,Canada Health Infoway Inc.,,,
investpsp.ca,5,directory,Public Sector Pension Investment Board,,,
iti.gov.nt.ca,5,wikidata,"Industry, Tourism and Investment",,,
jacquescartierchamplain.ca,5,directory,The Jacques-Cartier and Champlain Bridges Inc.,,,
lwcb.ca,5,directory,Lake of the Woods Control Board,,,
marine-atlantic.ca,5,directory,Marine Atlantic Inc.,,,
mint.ca,5,directory,Royal Canadian Mint,,,
nac-cna.ca,5,directory,National Arts Centre Corporation,,,
nature.ca,5,directory,Canadian Museum of Nature,,,
naturetrust.bc.ca,5,directory,"Nature Trust of British Columbia, The",,,
navcanada.ca,5,directory,NAV CANADA,,,
npa.ca,5,directory,Nanaimo Port Authority,,,
nr.gov.nl.ca,5,wikidata,Geological Survey of Newfoundland and Labrador,,,
nwtpls.gov.nt.ca,5,wikidata,Northwest Territories Public Library Services,,,
ofrb.gov.on.ca,5,wikidata,Ontario Film Review Board,,,
ophq.gouv.qc.ca,5,wikidata,Office of the handicapped of Quebec,central-1,,
oqlf.gouv.qc.ca,5,wikidata,Office québécois de la langue française,central-1,,
osc.gov.on.ca,5,wikidata,Ontario Securities Commission,central-1,,
ouranos.ca,5,directory,Ouranos Consortium,,,
p3canada.ca,5,directory,PPP Canada Inc.,,,
partnershipagainstcancer.ca,5,directory,Canadian Partnership Against Cancer Corporation (CPAC),,,
patientsafetyinstitute.ca,5,directory,Canadian Patient Safety Institute (CPSI),,,
pcmb.ca,5,directory,Porcupine Caribou Management Board,,,
pgairport.ca,5,directory,Prince George Airport Authority Inc.,,,
pier21.ca,5,directory,Canadian Museum of Immigration at Pier 21,,,
portalberniportauthority.ca,5,directory,Port Alberni Port Authority,,,
portofbelledune.ca,5,directory,Belledune Port Authority,,,
portofhalifax.ca,5,directory,Halifax Port Authority,,,
portofoshawa.ca,5,directory,Oshawa Port Authority,,,
portquebec.ca,5,directory,Québec Port Authority,,,
portsaguenay.ca,5,directory,Saguenay Port Authority,,,
racj.gouv.qc.ca,5,wikidata,"Régie des alcools, des courses et des jeux",central-1,,
recyc-quebec.gouv.qc.ca,5,wikidata,Q107092161,central-1,,
rnc.gov.nl.ca,5,wikidata,Royal Newfoundland Constabulary,,,
rti.ca,5,directory,Ridley Terminals Inc.,,,
scc.ca,5,directory,Standards Council of Canada,,,
sq.gouv.qc.ca,5,wikidata,Sûreté du Québec,central-1,,
taq.gouv.qc.ca,5,wikidata,Tribunal administratif du Québec,,,
tbairport.on.ca,5,directory,Thunder Bay International Airports Authority Inc.,,,
telefilm.ca,5,directory,Telefilm Canada,,,
terryfoxawards.ca,5,directory,Terry Fox Humanitarian Award Inc.,,,
tmf.gouv.qc.ca,5,wikidata,Q86664095,,,
trudeaufoundation.ca,5,directory,"Pierre Elliott Trudeau Foundation, The",,,
tv5.ca,5,directory,TV5 Québec Canada,,,
waa.ca,5,directory,Winnipeg Airports Authority Inc.,,,
waterfrontoronto.ca,5,directory,Waterfront Toronto,,,
