subdomain,http_status
join.cea.gov.ru,"Could not resolve host: join.cea.gov.ru"
economy.gov.ru,"Connection timed out after 3001 milliseconds"
edu.gov.ru,"Resolving timed out after 3000 milliseconds"
is.mon.gov.ru,"Could not resolve host: is.mon.gov.ru"
efir.genproc.gov.ru,"Connection timed out after 3002 milliseconds"
eias.fas.gov.ru,"Connection timed out after 3002 milliseconds"
einform.council.gov.ru,"Connection timed out after 3002 milliseconds"
kadry.sakha.gov.ru,"Could not resolve host: kadry.sakha.gov.ru"
knd-project.ac.gov.ru,"Could not resolve host: knd-project.ac.gov.ru"
eldikan.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
emercom28-proxy.28.mchs.gov.ru,"Resolving timed out after 3001 milliseconds"
kids.minpromtorg.gov.ru,"Could not resolve host: kids.minpromtorg.gov.ru"
en.invest.khv.gov.ru,"Connection timed out after 3000 milliseconds"
izor.sakha.gov.ru,"Could not resolve host: izor.sakha.gov.ru"
kcsotm7.social.tomsk.gov.ru,"Could not resolve host: kcsotm7.social.tomsk.gov.ru"
en.mchs.gov.ru,"Resolving timed out after 3001 milliseconds"
kcsoale.social.tomsk.gov.ru,"Could not resolve host: kcsoale.social.tomsk.gov.ru"
kolcssp.social.tomsk.gov.ru,"Could not resolve host: kolcssp.social.tomsk.gov.ru"
lync-vm01.cea.gov.ru,"Could not resolve host: lync-vm01.cea.gov.ru"
knd.ac.gov.ru,"403"
kchr.gov.ru,"SSL: no alternative certificate subject name matches target hostname 'kchr.gov.ru'"
en.new.fsa.gov.ru,"Connection timed out after 3002 milliseconds"
ksv.rpn.gov.ru,"200"
kostroma.gov.ru,"403"
kpi.rpn.gov.ru,"403"
lync-vm02.cea.gov.ru,"Could not resolve host: lync-vm02.cea.gov.ru"
irk.gov.ru,"SSL certificate problem: self-signed certificate in certificate chain"
ld.social.tomsk.gov.ru,"Could not resolve host: ld.social.tomsk.gov.ru"
lk.rpn.gov.ru,"200"
lyncext.cea.gov.ru,"Could not resolve host: lyncext.cea.gov.ru"
liam.rpn.gov.ru,"403"
fano.gov.ru,"Could not resolve host: fano.gov.ru"
mail.21.mchs.gov.ru,"Could not resolve host: mail.21.mchs.gov.ru"
lyncdiscover.sakha.gov.ru,"Could not resolve host: lyncdiscover.sakha.gov.ru"
lyncdiscoverinternal.sakha.gov.ru,"Could not resolve host: lyncdiscoverinternal.sakha.gov.ru"
mail.23.mchs.gov.ru,"Could not resolve host: mail.23.mchs.gov.ru"
madeinrussia.gov.ru,"301"
mail.30.fskn.gov.ru,"Could not resolve host: mail.30.fskn.gov.ru"
mail.64.mchs.gov.ru,"Could not resolve host: mail.64.mchs.gov.ru"
mail.76.mchs.gov.ru,"Could not resolve host: mail.76.mchs.gov.ru"
mail.92.mchs.gov.ru,"Could not resolve host: mail.92.mchs.gov.ru"
eng.genproc.gov.ru,"Connection timed out after 3002 milliseconds"
eo.gkreg.rk.gov.ru,"Connection timed out after 3001 milliseconds"
fin.rosnedra.gov.ru,"404"
er.mis.zdrav.tomsk.gov.ru,"Resolving timed out after 3000 milliseconds"
mail.dpo.tomsk.gov.ru,"Failed to connect to mail.dpo.tomsk.gov.ru port 443 after 206 ms: Could not connect to server"
esb.rgistest.rk.gov.ru,"Connection timed out after 3001 milliseconds"
mail.fskn.gov.ru,"Could not resolve host: mail.fskn.gov.ru"
esed.sakha.gov.ru,"Connection timed out after 3000 milliseconds"
ex.wto.economy.gov.ru,"Connection timed out after 3001 milliseconds"
esia.fsa.gov.ru,"Connection timed out after 3001 milliseconds"
kargasok.social.tomsk.gov.ru,"Could not resolve host: kargasok.social.tomsk.gov.ru"
mail.lk.rosnedra.gov.ru,"Could not resolve host: mail.lk.rosnedra.gov.ru"
mail.rosnedra.gov.ru,"Could not resolve host: mail.rosnedra.gov.ru"
exwaye.khv.gov.ru,"Connection timed out after 3002 milliseconds"
kedrovyi.social.tomsk.gov.ru,"Could not resolve host: kedrovyi.social.tomsk.gov.ru"
kolpashevo.social.tomsk.gov.ru,"Could not resolve host: kolpashevo.social.tomsk.gov.ru"
kozhevnikovo.social.tomsk.gov.ru,"Could not resolve host: kozhevnikovo.social.tomsk.gov.ru"
mail.mvd.gov.ru,"Could not resolve host: mail.mvd.gov.ru"
imap.atr.gov.ru,"Could not resolve host: imap.atr.gov.ru"
mail.pay.gov.ru,"Could not resolve host: mail.pay.gov.ru"
mail.sev.gov.ru,"Could not resolve host: mail.sev.gov.ru"
fas.gov.ru,"Connection timed out after 3002 milliseconds"
mail.rpn.gov.ru,"403"
lync.sakha.gov.ru,"Could not resolve host: lync.sakha.gov.ru"
mari-el.gov.ru,"SSL certificate problem: unable to get local issuer certificate"
mfc.kamchatka.gov.ru,"Could not resolve host: mfc.kamchatka.gov.ru"
meet.sakha.gov.ru,"Could not resolve host: meet.sakha.gov.ru"
fgistp.economy.gov.ru,"Connection timed out after 3002 milliseconds"
