subdomain,parent_domain,http_status
sfrsa.gov.sc,gov.sc,404
shca.gov.sc,gov.sc,200
siah.gov.sc,gov.sc,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure
sla.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
smsa.gov.sc,gov.sc,404
snl.gov.sc,gov.sc,Connection timed out after 3001 milliseconds
snpa.gov.sc,gov.sc,301
socialaffairs.gov.sc,gov.sc,301
socialdevelopment.gov.sc,gov.sc,Connection timed out after 3001 milliseconds
spa.gov.sc,gov.sc,Could not resolve host: spa.gov.sc
spga.gov.sc,gov.sc,Could not resolve host: spga.gov.sc
sqais.gov.sc,gov.sc,404
src.gov.sc,gov.sc,200
src.gov.sc.cloudsrc.name,gov.sc,301
srcaeoiuat.src.gov.sc,gov.sc,200
srcaeoiuat.src.gov.sc.encoun.tech,gov.sc,200
srcdev.auction.src.gov.sc,gov.sc,Could not resolve host: srcdev.auction.src.gov.sc
stage.permits.ics.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
staging.src.gov.sc,gov.sc,503
stagingauction.src.gov.sc,gov.sc,Could not resolve host: stagingauction.src.gov.sc
stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: stagingpublicsale.src.gov.sc
statehouse.gov.sc,gov.sc,200
stats.scts.gov.sc,gov.sc,Connection timed out after 3002 milliseconds
syn.meteo.gov.sc,gov.sc,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name
teacherscouncil.gov.sc,gov.sc,Could not resolve host: teacherscouncil.gov.sc
test.sbfa.gov.sc,gov.sc,Could not resolve host: test.sbfa.gov.sc
tickets.spga.gov.sc,gov.sc,Could not resolve host: tickets.spga.gov.sc
tms.src.gov.sc,gov.sc,404
tms.teacherscouncil.gov.sc,gov.sc,Could not resolve host: tms.teacherscouncil.gov.sc
tmshelpdesk.src.gov.sc,gov.sc,Could not resolve host: tmshelpdesk.src.gov.sc
tourism.gov.sc,gov.sc,200
training.src.gov.sc,gov.sc,Could not resolve host: training.src.gov.sc
transport.gov.sc,gov.sc,200
verify.gov.sc,gov.sc,Operation timed out after 3002 milliseconds with 0 bytes received
verifyme.sla.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
vwayaz.ics.gov.sc,gov.sc,404
webdisk.macce.gov.sc,gov.sc,401
webdisk.meteo.gov.sc,gov.sc,Could not resolve host: webdisk.meteo.gov.sc
webdisk.nihss.gov.sc,gov.sc,401
webdisk.polls.src.gov.sc,gov.sc,Could not resolve host: webdisk.polls.src.gov.sc
webdisk.siah.gov.sc,gov.sc,Could not resolve host: webdisk.siah.gov.sc
webdisk.snpa.gov.sc,gov.sc,Could not resolve host: webdisk.snpa.gov.sc
webdisk.spga.gov.sc,gov.sc,Operation timed out after 3000 milliseconds with 0 bytes received
webdisk.srcaeoiuat.src.gov.sc,gov.sc,Could not resolve host: webdisk.srcaeoiuat.src.gov.sc
webdisk.stagingauction.src.gov.sc,gov.sc,Could not resolve host: webdisk.stagingauction.src.gov.sc
webdisk.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: webdisk.stagingpublicsale.src.gov.sc
webdisk.teacherscouncil.gov.sc,gov.sc,401
webdisk.ysd.gov.sc,gov.sc,Could not resolve host: webdisk.ysd.gov.sc
webgis.gov.sc,gov.sc,302
webmail.macce.gov.sc,gov.sc,Could not resolve host: webmail.macce.gov.sc
webmail.meteo.gov.sc,gov.sc,Could not resolve host: webmail.meteo.gov.sc
webmail.nihss.gov.sc,gov.sc,200
webmail.polls.src.gov.sc,gov.sc,Could not resolve host: webmail.polls.src.gov.sc
webmail.siah.gov.sc,gov.sc,Could not resolve host: webmail.siah.gov.sc
webmail.snpa.gov.sc,gov.sc,Could not resolve host: webmail.snpa.gov.sc
webmail.spga.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
webmail.srcaeoiuat.src.gov.sc,gov.sc,Could not resolve host: webmail.srcaeoiuat.src.gov.sc
webmail.stagingauction.src.gov.sc,gov.sc,Could not resolve host: webmail.stagingauction.src.gov.sc
webmail.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: webmail.stagingpublicsale.src.gov.sc
webmail.teacherscouncil.gov.sc,gov.sc,200
webmail.ysd.gov.sc,gov.sc,Could not resolve host: webmail.ysd.gov.sc
whm.polls.src.gov.sc,gov.sc,Could not resolve host: whm.polls.src.gov.sc
whm.stagingauction.src.gov.sc,gov.sc,Could not resolve host: whm.stagingauction.src.gov.sc
whm.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: whm.stagingpublicsale.src.gov.sc
wod.meteo.gov.sc,gov.sc,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name
www.amu.finance.gov.sc,gov.sc,301
www.anhrd.gov.sc,gov.sc,Connection timed out after 3002 milliseconds
www.app.spga.gov.sc,gov.sc,200
