subdomain,parent_domain,http_status,mx
concejoreconquista.gob.ar,gob.ar,200,10 mx.concejoreconquista.gob.ar.
concejovillamaria.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'concejovillamaria.gob.ar',none
concursar.gob.ar,gob.ar,Could not resolve host: concursar.gob.ar,10 pmg2.multidominio.gob.ar.; 20 pmg1.multidominio.gob.ar.
conectados.gob.ar,gob.ar,Could not resolve host: conectados.gob.ar,none
conectarigualdad.gob.ar,gob.ar,Could not resolve host: conectarigualdad.gob.ar,none
conference.ign.gob.ar,gob.ar,Could not resolve host: conference.ign.gob.ar,none
conference.tcptdf.gob.ar,gob.ar,Could not resolve host: conference.tcptdf.gob.ar,none
conocimiento.gob.ar,gob.ar,200,none
conozcomisiones.gob.ar,gob.ar,Could not resolve host: conozcomisiones.gob.ar,none
conquistadores.gob.ar,gob.ar,200,none
conrecsecex.educacion.gob.ar,gob.ar,Could not resolve host: conrecsecex.educacion.gob.ar,none
consulta.slyt.gba.gob.ar,gob.ar,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
consultapublica.argentina.gob.ar,gob.ar,200,none
consultas.anses.gob.ar,gob.ar,Could not resolve host: consultas.anses.gob.ar,none
consultas.slyt.gba.gob.ar,gob.ar,Could not resolve host: consultas.slyt.gba.gob.ar,none
consumoprotegido.gob.ar,gob.ar,Connection timed out after 3002 milliseconds,none
contaduria.mcrweb.gob.ar,gob.ar,200,none
convenio.jefatura.gob.ar,gob.ar,Could not resolve host: convenio.jefatura.gob.ar,none
convenios.trabajo.gob.ar,gob.ar,Could not resolve host: convenios.trabajo.gob.ar,none
cookie-creator.ardifusion.gob.ar,gob.ar,Could not resolve host: cookie-creator.ardifusion.gob.ar,none
corfo.gob.ar,gob.ar,Could not resolve host: corfo.gob.ar,none
coronda.coronda.gob.ar,gob.ar,Could not resolve host: coronda.coronda.gob.ar,none
coronda.gob.ar,gob.ar,Could not resolve host: coronda.gob.ar,none
correo.arg.gob.ar,gob.ar,302,none
correo.dnic.gob.ar,gob.ar,Connection timed out after 3001 milliseconds,none
correo.fffir.gob.ar,gob.ar,Could not resolve host: correo.fffir.gob.ar,none
correo.gna.gob.ar,gob.ar,Could not resolve host: correo.gna.gob.ar,none
correo.mendoza-conicet.gob.ar,gob.ar,Could not resolve host: correo.mendoza-conicet.gob.ar,dig error
correo.politicassociales.gob.ar,gob.ar,403,none
correo.uif.gob.ar,gob.ar,Could not resolve host: correo.uif.gob.ar,none
correo.ushuaia.gob.ar,gob.ar,200,none
corrientes.gob.ar,corrientes.gob.ar,,
corrientesexporta.gob.ar,gob.ar,Could not resolve host: corrientesexporta.gob.ar,none
corrientesprensa.gob.ar,gob.ar,Could not resolve host: corrientesprensa.gob.ar,none
corrientesturismo.gob.ar,gob.ar,Could not resolve host: corrientesturismo.gob.ar,none
coverage.pinamar.gob.ar,gob.ar,Could not resolve host: coverage.pinamar.gob.ar,none
criptomail.afi.gob.ar,gob.ar,Could not resolve host: criptomail.afi.gob.ar,none
crjppf.gob.ar,gob.ar,Could not resolve host: crjppf.gob.ar,none
cruzdelosmilagros.gob.ar,gob.ar,Could not resolve host: cruzdelosmilagros.gob.ar,none
crypt.hacienda.gob.ar,gob.ar,Could not resolve host: crypt.hacienda.gob.ar,none
csegura.catamarca.gob.ar,gob.ar,Could not resolve host: csegura.catamarca.gob.ar,none
csw.ign.gob.ar,gob.ar,Could not resolve host: csw.ign.gob.ar,none
ctacte.afip.gob.ar,gob.ar,Could not resolve host: ctacte.afip.gob.ar,none
cuestablanca.gob.ar,gob.ar,Could not resolve host: cuestablanca.gob.ar,none
cultura.dorrego.gob.ar,gob.ar,301,none
cultura.gob.ar,gob.ar,Could not resolve host: cultura.gob.ar,10 mx.mailcultura.gob.ar.
culturasantiago.gob.ar,gob.ar,Could not resolve host: culturasantiago.gob.ar,none
culturaydesarrollo.gob.ar,gob.ar,Could not resolve host: culturaydesarrollo.gob.ar,none
curso.seguridadvial.gob.ar,gob.ar,Could not resolve host: curso.seguridadvial.gob.ar,none
cus.msal.gob.ar,gob.ar,Could not resolve host: cus.msal.gob.ar,none
dalmaciovelez.gob.ar,gob.ar,Could not resolve host: dalmaciovelez.gob.ar,none
dat.jefatura.gob.ar,gob.ar,Could not resolve host: dat.jefatura.gob.ar,none
dat.modernizacion.gob.ar,gob.ar,Could not resolve host: dat.modernizacion.gob.ar,none
datosproductores.ssn.gob.ar,gob.ar,Could not resolve host: datosproductores.ssn.gob.ar,none
dcitucuman.gob.ar,gob.ar,Could not resolve host: dcitucuman.gob.ar,none
defensadelpublico.gob.ar,gob.ar,200,none
defensoriabariloche.gob.ar,gob.ar,301,0 defensoriabariloche.gob.ar.
defensoriaformosa.gob.ar,defensoriaformosa.gob.ar,,
defensoriatucuman.gob.ar,gob.ar,SSL: no alternative certificate subject name matches target hostname 'defensoriatucuman.gob.ar',none
defensorsantiago.gob.ar,gob.ar,Could not resolve host: defensorsantiago.gob.ar,none
