domain,name
cordoba.gob.ar,Municipalidad de Córdoba
coronda.gob.ar,Municipalidad de Coronda (Santa Fe)
cruzdelosmilagros.gob.ar,Municipalidad de Cruz de los Milagros (Corrientes)
cuestablanca.gob.ar,Comuna de Cuesta Blanca (Córdoba)
dalmaciovelez.gob.ar,Municipalidad de Dalmacio Vélez (Córdoba)
defensoriabariloche.gob.ar,Defensoría del Pueblo de San Carlos de Bariloche (Río Negro)
deliberanteobera.gob.ar,Concejo Deliberante de Oberá (Misiones)
dorrego.gob.ar,Municipalidad de Coronel Dorrego (Buenos Aires)
eduardocastex.gob.ar,Municipalidad de Eduardo Castex (La Pampa)
elchalten.gob.ar,Municipalidad de El Chaltén (Santa Cruz)
eltio.gob.ar,Municipalidad de El Tío (Córdoba)
eltrebol.gob.ar,Municipalidad de El Trébol (Santa Fe)
estebanecheverria.gob.ar,Municipalidad de Esteban Echeverría (Buenos Aires)
federal.gob.ar,Municipalidad de Federal (Entre Ríos)
generalarenales.gob.ar,Municipalidad de General Arenales (Buenos Aires)
generalroca.gob.ar,Municipalidad de General Roca (Río Negro)
godoycruz.gob.ar,Municipalidad de Godoy Cruz (Mendoza)
gonzaleschaves.gob.ar,Municipalidad de Adolfo Gonzales Chaves (Buenos Aires)
gralfernandezoro.gob.ar,Municipalidad de General Fernández Oro (Río Negro)
hcdbahiablanca.gob.ar,Concejo Deliberante de Bahía Blanca (Buenos Aires)
hcdcaletaolivia.gob.ar,Concejo Deliberante de Caleta Olivia (Santa Cruz)
hcddorrego.gob.ar,Concejo Deliberante de Coronel Dorrego (Buenos Aires)
hcdeduardocastex.gob.ar,Concejo Deliberante de Eduardo Castex (La Pampa)
hcdlanus.gob.ar,Concejo Deliberante de Lanús (Buenos Aires)
hcdmarcospaz.gob.ar,Concejo Deliberante de Marcos Paz (Buenos Aires)
hcdnecochea.gob.ar,Concejo Deliberante de Necochea (Buenos Aires)
hcdptosantacruz.gob.ar,Concejo Deliberante de Puerto Santa Cruz (Santa Cruz)
hcdpuertorico.gob.ar,Concejo Deliberante de Puerto Rico (Misiones)
hcdsancayetano.gob.ar,Concejo Deliberante de San Cayetano (Buenos Aires)
hcdvictorica.gob.ar,Concejo Deliberante de Victorica (La Pampa)
hcdvlopez.gob.ar,Concejo Deliberante de Vicente López (Buenos Aires)
hipolitoyrigoyen.gob.ar,Municipalidad de Hipólito Yrigoyen
lacautiva.gob.ar,Municipalidad de La Cautiva (Córdoba)
lacumbre.gob.ar,Municipalidad de La Cumbre (Córdoba)
lafrancia.gob.ar,Municipalidad de La Francia (Córdoba)
lagranja.gob.ar,Municipalidad de La Granja (Córdoba)
lamendieta.gob.ar,Municipalidad de La Mendieta (Jujuy)
lanus.gob.ar,Municipalidad de Lanus (Buenos Aires)
lapaz.gob.ar,Municipalidad de La Paz
laplata.gob.ar,Municipalidad de La Plata (Buenos Aires)
lapuertaambato.gob.ar,Municipalidad de La Puerta - Ambato (Catamarca)
laquiaca.gob.ar,Municipalidad de La Quiaca (Jujuy)
lasgrutasturismo.gob.ar,Turismo de Las Grutas - San Antonio Oeste (Río Negro)
lastermasderiohondo.gob.ar,Municipalidad de Las Termas de Río Hondo (Santiago del Estero)
lavalle.gob.ar,Municipalidad de Lavalle
lavallemendoza.gob.ar,Municipalidad de Lavalle (Mendoza)
lincoln.gob.ar,Municipalidad de Lincoln (Buenos Aires)
macia.gob.ar,Municipalidad de Maciá (Entre Ríos)
mardelplata.gob.ar,Municipalidad de General Pueyrredon - Mar del Plata
marull.gob.ar,Municipalidad de Marull (Córdoba)
mercedescorrientes.gob.ar,Municipalidad de Mercedes (Corrientes)
merlo.gob.ar,Municipalidad de Merlo
mibicitubici.gob.ar,Mi Bici Tu Bici - Municipalidad de Rosario (Santa Fe)
montecaseros.gob.ar,Municipalidad de Monte Caseros (Corrientes)
montehermoso.gob.ar,Municipalidad de Monte Hermoso (Buenos Aires)
montemaiz.gob.ar,Municipalidad de Monte Maíz (Córdoba)
montesdeoca.gob.ar,Comuna de Montes de Oca (Santa Fe)
moreno.gob.ar,Municipalidad de Moreno (Buenos Aires)
moron.gob.ar,Municipalidad de Morón (Buenos Aires)
mosconi.gob.ar,Municipalidad de General Mosconi (Salta)
mplibres.gob.ar,Municipalidad de Paso de los Libres (Corrientes)
munsenillosa.gob.ar,Municipalidad de Senillosa (Neuquén)
noetinger.gob.ar,Municipalidad de Noetinger (Córdoba)
nono.gob.ar,Municipalidad de Nono (Córdoba)
nonoturismo.gob.ar,Turismo de Nono (Córdoba)
oncativo.gob.ar,Municipalidad de Oncativo (Córdoba)
oroverde.gob.ar,Municipalidad de Oro Verde (Entre Ríos)
pasodeloslibres.gob.ar,Municipalidad de Paso de los Libres (Corrientes)
pehuajo.gob.ar,Municipalidad de Pehuajó (Buenos Aires)
pinamar.gob.ar,Municipalidad de Pinamar (Buenos Aires)
pinedo.gob.ar,Municipalidad de General Pinedo (Chaco)
pocito.gob.ar,Municipalidad de Pocito (San Juan)
portalandresito.gob.ar,Municipalidad de Comandante Andresito (Misiones)
potrerodelosfunes.gob.ar,Municipalidad de Potrero de los Funes (San Luis)
produccionrosario.gob.ar,Producción - Municipalidad de Rosario (Santa Fe)
puan.gob.ar,Municipalidad de Puan (Buenos Aires)
puertolibertad.gob.ar,Municipalidad de Puerto Libertad (Misiones)
pujato.gob.ar,Comuna de Pujato (Santa Fe)
quemuquemu.gob.ar,Municipalidad de Quemú Quemú (La Pampa)
quilmes.gob.ar,Municipalidad de Quilmes (Buenos Aires)
rafaela.gob.ar,Municipalidad de Rafaela (Santa Fe)
resistencia.gob.ar,Municipalidad de Resistencia (Chaco)
riogrande.gob.ar,Municipalidad de Río Grande (Tierra del Fuego)
rosario.gob.ar,Municipalidad de Rosario (Santa Fe)
rosariomasjoven.gob.ar,Rosario Más Joven - Municipalidad de Rosario (Santa Fe)
rosarionoticias.gob.ar,Noticias - Municipalidad de Rosario (Santa Fe)
sampacho.gob.ar,Municipalidad de Sampacho (Córdoba)
sanisidro.gob.ar,Municipalidad de San Isidro (Buenos Aires)
sanjorge.gob.ar,Municipalidad de San Jorge (Santa Fe)
sanmartinmza.gob.ar,Municipalidad de General San Martín (Mendoza)
sanpedrodejujuy.gob.ar,Municipalidad de San Pedro de Jujuy
sansalvadordejujuy.gob.ar,Municipalidad de San Salvador de Jujuy
sansalvadorer.gob.ar,Municipalidad de San Salvador (Entre Ríos)
santarosa.gob.ar,Municipalidad de Santa Rosa (La Pampa)
santotome.gob.ar,Municipalidad de Santo Tomé
tancacha.gob.ar,Municipalidad de Tancacha (Córdoba)
tanti.gob.ar,Municipalidad de Tanti (Córdoba)
tcmriogrande.gob.ar,Tribunal de Cuentas Municipal de Río Grande (Tierra del Fuego)
teodelina.gob.ar,Comuna de Teodelina (Santa Fe)
terminalrosario.gob.ar,Terminal de Ómnibus de Rosario (Santa Fe)
tigre.gob.ar,Municipalidad de Tigre (Buenos Aires)
toay.gob.ar,Municipalidad de Toay (La Pampa)
tornquist.gob.ar,Municipalidad de Tornquist (Buenos Aires)
tortugas.gob.ar,Comuna de Tortugas (Santa Fe)
trevelin.gob.ar,Municipalidad de Trevelin (Chubut)
unquillo.gob.ar,Municipalidad de Unquillo (Córdoba)
ushuaia.gob.ar,Municipalidad de Ushuaia (Tierra del Fuego)
vicentelopez.gob.ar,Municipalidad de Vicente Lopez (Buenos Aires)
victorica.gob.ar,Municipalidad de Victorica (La Pampa)
viedma.gob.ar,Municipalidad de Viedma (Río Negro)
villaberthet.gob.ar,Municipalidad de Villa Berthet (Chaco)
villamaria.gob.ar,Municipalidad de Villa María (Córdoba)
villapehuenia.gob.ar,Municipalidad de Villa Pehuenia (Neuquén)
villatrinidad.gob.ar,Comuna de Villa Trinidad (Santa Fe)
xn--caadadegomez-bhb.gob.ar,Municipalidad de Cañada de Gómez (Santa Fe)
xn--cauelas-5za.gob.ar,Municipalidad de Cañuelas (Buenos Aires)
zapala.gob.ar,Municipalidad de Zapala (Neuquén)
