subdomain,http_status,mx
test.gov.fj,Could not resolve host: test.gov.fj,none
test.mcttt.gov.fj,302,none
test.rbf.gov.fj,Could not resolve host: test.rbf.gov.fj,none
testing.gov.fj,Could not resolve host: testing.gov.fj,none
testsite.fccc.gov.fj,406,none
ticket.mcttt.gov.fj,Operation timed out after 3000 milliseconds with 0 bytes received,none
uat-sormas.gov.fj,Connection timed out after 3001 milliseconds,none
uateservices.e.gov.fj,Connection timed out after 3000 milliseconds,none
vanuagis.lands.gov.fj,Connection timed out after 3000 milliseconds,none
vanuainfo.lands.gov.fj,Could not resolve host: vanuainfo.lands.gov.fj,none
vp.tab.gov.fj,Could not resolve host: vp.tab.gov.fj,none
vp2.tab.gov.fj,Could not resolve host: vp2.tab.gov.fj,none
vps.fccc.gov.fj,526,none
vra.digitalfiji.gov.fj,Connection timed out after 3000 milliseconds,none
vrs.digitalfiji.gov.fj,Connection timed out after 3000 milliseconds,none
vrs2.digitalfiji.gov.fj,Failed to connect to vrs2.digitalfiji.gov.fj port 443 after 879 ms: Could not connect to server,none
web04.met.gov.fj,Could not resolve host: web04.met.gov.fj,none
webdisk.ag.gov.fj,Could not resolve host: webdisk.ag.gov.fj,none
webdisk.commcomm.gov.fj,Could not resolve host: webdisk.commcomm.gov.fj,none
webdisk.dns.fccc.gov.fj,Could not resolve host: webdisk.dns.fccc.gov.fj,none
webdisk.education.gov.fj,Could not resolve host: webdisk.education.gov.fj,none
webdisk.fccc.gov.fj,401,none
webdisk.fijianmade.gov.fj,500,none
webdisk.fisheries.gov.fj,Could not resolve host: webdisk.fisheries.gov.fj,none
webdisk.hris.mitt.gov.fj,Could not resolve host: webdisk.hris.mitt.gov.fj,none
webdisk.mcttt.gov.fj,500,none
webdisk.mitt.gov.fj,Could not resolve host: webdisk.mitt.gov.fj,none
webdisk.rise.gov.fj,500,none
webdisk.youthawards.gov.fj,500,none
webmail.ag.gov.fj,Could not resolve host: webmail.ag.gov.fj,none
webmail.commcomm.gov.fj,Could not resolve host: webmail.commcomm.gov.fj,none
webmail.dns.fccc.gov.fj,Could not resolve host: webmail.dns.fccc.gov.fj,none
webmail.education.gov.fj,Could not resolve host: webmail.education.gov.fj,none
webmail.fccc.gov.fj,308,none
webmail.fijianmade.gov.fj,500,0 mail.fijianmade.gov.fj.
webmail.fisheries.gov.fj,Could not resolve host: webmail.fisheries.gov.fj,none
webmail.gov.fj,Connection timed out after 3000 milliseconds,none
webmail.hris.mitt.gov.fj,Could not resolve host: webmail.hris.mitt.gov.fj,none
webmail.mcttt.gov.fj,500,0 mail.mcttt.gov.fj.
webmail.mitt.gov.fj,Could not resolve host: webmail.mitt.gov.fj,none
webmail.rise.gov.fj,500,none
webmail.youthawards.gov.fj,500,none
whm.dns.fccc.gov.fj,Could not resolve host: whm.dns.fccc.gov.fj,none
whm.fccc.gov.fj,Could not resolve host: whm.fccc.gov.fj,none
www.20ccem.gov.fj,SSL: no alternative certificate subject name matches target hostname 'www.20ccem.gov.fj',none
