hostname,score,sources,label,level,http_status,mx
kirovsky.svd.sudrf.ru,4,wikidata,Kirovsky Districtional Court of Yekaterinburg,,200,none
kitaphane.tatarstan.ru,4,wikidata,National Library of the Republic of Tatarstan,,HttpConnectTimeoutException: HTTP connect timed out,none
klp.spb.sudrf.ru,4,wikidata,Kolpinsky districtional court,,200,none
kosoblduma.ru,4,wikidata,Kostroma Oblast Duma,central-1,200,0 mx1.masterhost.ru.
krags.ru,4,wikidata,Komi Republican Academy of State Service and Administration,,301,10 mx.yandex.ru.
kremlin.ru,4,wikidata,The Russian Federation State Council,,HttpConnectTimeoutException: HTTP connect timed out,10 mx4.gov.ru.; 5 mx3.gov.ru.
ksrf.ru,4,wikidata;wikidata;wikidata;wikidata,Constitutional Court of Russia,central,HttpConnectTimeoutException: HTTP connect timed out,10 mail3.ksrf.ru.
kubzsk.ru,4,wikidata,Legislative Assembly of Krasnodar Krai,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
kurskduma.ru,4,wikidata,Kursk Oblast Duma,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.kurskduma.ru.
kzn.ru,4,wikidata,Kazan Police,,HttpConnectTimeoutException: HTTP connect timed out,10 mx.yandex.net.
leninskyeka.svd.sudrf.ru,4,wikidata,Leninsky Districtional Court of Yekaterinburg,,200,none
lenoblzaks.ru,4,wikidata,Legislative Assembly of Leningrad Oblast,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 mx02.nicmail.ru.; 10 mx01.nicmail.ru.; 20 mx03.nicmail.ru.
library.karelia.ru,4,wikidata,The National Library of the Republic of Karelia,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.library.karelia.ru.
library.saransk.ru,4,wikidata,National Library of (the Republic of) Mordovia,,HttpConnectTimeoutException: HTTP connect timed out,none
magoblduma.ru,4,wikidata,Magadan Oblast Duma,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mx-1.magoblduma.ru.
mchs.tatarstan.ru,4,wikidata,Q65301623,,HttpConnectTimeoutException: HTTP connect timed out,none
mcx.ru,4,wikidata,State supervision of the technical condition of self-propelled machines and other types of equipment,,HttpConnectTimeoutException: HTTP connect timed out,10 filter2.mcx.ru.; 10 filter.mcx.ru.
md.mos.ru,4,wikidata,My documents,,HttpConnectTimeoutException: HTTP connect timed out,none
mednet.ru,4,wikidata,Federal Research Institute for Health Organization and Informatics,,200,10 mx.yandex.net.
megagrant.ru,4,wikidata,Mega Grants,,200,10 mail.megagrant.ru.
mfc-kursk.ru,4,wikidata,My documents,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.mfc-kursk.ru.
minfin.tatarstan.ru,4,wikidata,Ministry of Finances of the Republic of Tatarstan,,HttpConnectTimeoutException: HTTP connect timed out,none
minjust.tatarstan.ru,4,wikidata,Ministry of Justice of the Republic of Tatarstan,,HttpConnectTimeoutException: HTTP connect timed out,none
minobr.permkrai.ru,4,wikidata,Ministry of Education and Science of Perm Region,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mx10.permkrai.ru.; 20 cgp.permkrai.ru.
minstroy.tatarstan.ru,4,wikidata,"Ministry of Construction, Architecture and Housing and Communal Services of the Republic of Tatarstan",central-1,HttpConnectTimeoutException: HTTP connect timed out,none
mosgorzdrav.ru,4,wikidata,Department of health of Moscow,,HttpConnectTimeoutException: HTTP connect timed out,10 mx.yandex.net.
moszkva.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Moscow",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
msk.arbitr.ru,4,wikidata,Q47171548,,200,10 mx1.arbitr.ru.
msso-kogan.ru,4,wikidata,Moscow State Symphony Orchestra,,SSLException: (internal_error) Received fatal alert: internal_error,10 mail.msso-kogan.ru.
mugiso.midural.ru,4,wikidata,Q24935840,,HttpConnectTimeoutException: HTTP connect timed out,none
mvd.altai-republic.ru,4,wikidata,Ministry of Internal Affairs of Altai Republic,,ConnectException,none
mvdrb.ru,4,wikidata,Ministry of Internal Affairs of Bashkortostan,,IOException: closed,30 mx1.hosting.reg.ru.; 10 mxs.activeby.net.; 40 mx2.hosting.reg.ru.; 5 1st.mail-gate.ru.
namibian-embassy.ru,4,wikidata,"Embassy of Namibia, Moscow",central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching namibian-embassy.ru found.,10 mx.yandex.net.
nasledie.volgograd.ru,4,wikidata,Q109475246,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
natlibraryrm.ru,4,wikidata,National Library of (the Republic of) Mordovia,,200,10 mx.yandex.net.
nb12.ru,4,wikidata,National Library of the Mari El Republic,,200,10 mail.nb12.ru.
nbri.ru,4,wikidata,Q129775349,,200,10 cluster.relay.agava.net.
nbrkomi.ru,4,wikidata,Komi National Library,,HttpConnectTimeoutException: HTTP connect timed out,5 mxs1.reg.ru.; 10 mxs2.reg.ru.
new.nlrs.ru,4,wikidata,National Library of the Republic of Sakha (Yakutia),,301,none
new.novoblduma.ru,4,wikidata,Novgorod Oblast Duma,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
nigerianembassy.ru,4,wikidata,"Embassy of Nigeria, Moscow",central,200,20 mx2.beget.com.; 10 mx1.beget.com.
nlr.ru,4,wikidata,National Library of Russia,,200,10 m.nlr.ru.
novreg.ru,4,wikidata,Government of the Novgorod region,,HttpConnectTimeoutException: HTTP connect timed out,1 mailer.novreg.ru.
oblsovet.ru,4,wikidata,Lipetsk Oblast Council of Deputies,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 relay.admlr.lipetsk.ru.
