subdomain,http_status
www.aemtp.minjust.gov.tm,Could not resolve host: www.aemtp.minjust.gov.tm
www.afghanistan.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.afghanistan.tmembassy.gov.tm'
www.ahalhakimlik.gov.tm,Could not resolve host: www.ahalhakimlik.gov.tm
www.ahalkitaphana.gov.tm,Could not resolve host: www.ahalkitaphana.gov.tm
www.akb.gov.tm,Could not resolve host: www.akb.gov.tm
www.aoc.gov.tm,302
www.api.dayhanbank.gov.tm,Could not resolve host: www.api.dayhanbank.gov.tm
www.app.mlsp.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.app.mlsp.gov.tm'
www.arassachylyk.gov.tm,200
www.archive.gov.tm,Could not resolve host: www.archive.gov.tm
www.armenia.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.armenia.tmembassy.gov.tm'
www.ashauk.gov.tm,Connection timed out after 3001 milliseconds
www.ashgabat.gov.tm,403
www.ashgabatairport.gov.tm,SSL certificate problem: certificate has expired
www.ashgabatcity.gov.tm,200
www.ashgabatyylylyk.gov.tm,200
www.asuda.gov.tm,200
www.austria.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.austria.tmembassy.gov.tm'
www.auth.dayhanbank.gov.tm,Could not resolve host: www.auth.dayhanbank.gov.tm
www.awaza.gov.tm,Could not resolve host: www.awaza.gov.tm
www.awazasport.gov.tm,Could not resolve host: www.awazasport.gov.tm
www.awtohyzmat.gov.tm,Could not resolve host: www.awtohyzmat.gov.tm
www.awtoulag.gov.tm,200
www.ayauk.gov.tm,200
www.azerbaijan.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.azerbaijan.tmembassy.gov.tm'
www.azykharytlar.gov.tm,Could not resolve host: www.azykharytlar.gov.tm
www.b24.tstb.gov.tm,Connection timed out after 3001 milliseconds
www.bagtkoshgi.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.bagtkoshgi.gov.tm'
www.bagtyyarlyk.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.bagtyyarlyk.gov.tm'
www.balkan.gov.tm,302
www.balkanagyzsuw.gov.tm,Could not resolve host: www.balkanagyzsuw.gov.tm
www.balkankitaphana.gov.tm,Could not resolve host: www.balkankitaphana.gov.tm
www.balkanmuseum.gov.tm,200
www.balykgorag.gov.tm,200
www.belarus.tmembassy.gov.tm,SSL: no alternative certificate subject name matches target hostname 'www.belarus.tmembassy.gov.tm'
