domain,label,level,name
gov.uk,ansdellandfairhaven-pc,local,
gov.uk,ansford-pc,local,
gov.uk,ansleyparishcouncil,local,
gov.uk,anstystaplefield-pc,local,Ansty and Staplefield
gov.uk,anstywiltsparish,local,
gov.uk,antinghamparishcouncil,local,
gov.uk,antony-pc,local,
gov.uk,antrimandnewtownabbey,local,Antrim and Newtownabbey District Council
gov.uk,antrobus-pc,local,
gov.uk,anwick-pc,local,
gov.uk,appleby-pc,local,
gov.uk,appledoreparishcouncil,local,
gov.uk,appleford-pc,local,
gov.uk,appleton-eaton-pc,local,
gov.uk,appletonparish,local,
gov.uk,appletonroebuckandacasterselby-pc,local,
gov.uk,appletonwiske-pc,local,
gov.uk,appletreewick-pc,local,
gov.uk,apuldramparish,local,
gov.uk,arborfieldparish,local,
gov.uk,arclidparishcouncil,local,
gov.uk,ardeleyparishcouncil,local,
gov.uk,ardingtonandlockinge-pc,local,
gov.uk,ardleigh-pc,local,
gov.uk,ardleywf-pc,local,
gov.uk,ardsandnorthdown,local,Ards and North Down
gov.uk,argoedcommunitycouncil,local,
gov.uk,argyll-bute,local,Argyll and Bute Council
gov.uk,arkholmewithcawood-pc,local,
gov.uk,arlesey-tc,local,
gov.uk,arlingham-pc,local,
gov.uk,arlington-pc,local,
gov.uk,armaghbanbridgecraigavon,local,"Armagh City, Banbridge and Craigavon Borough Council"
gov.uk,armitagewithhandsacre-pc,local,
gov.uk,armthorpeparishcouncil,local,
gov.uk,arneparishcouncil,local,
gov.uk,arnsideparishcouncil,local,
gov.uk,arreton-pc,local,
gov.uk,arringtonparishcouncil,local,
gov.uk,arthingtonparishcouncil,local,
gov.uk,arthingworth-pc,local,
gov.uk,arthuretparishcouncil,local,
gov.uk,artington-pc,local,
gov.uk,arun,local,Arun District Council
gov.uk,arundeltowncouncil,local,Arundel Town Council
gov.uk,asenbyparish,local,
gov.uk,asfordbyparishcouncil,local,
gov.uk,ash-somerset-pc,local,
gov.uk,ashbournetowncouncil,local,Ashbourne Town Council
gov.uk,ashburtontowncouncil,local,
gov.uk,ashburyparishcouncil,local,
gov.uk,ashbymagnaparishcouncil,local,
gov.uk,ashbyparvaparish,local,
gov.uk,ashbystmaryparish,local,
gov.uk,ashbytowncouncil,local,
gov.uk,ashbywouldstowncouncil,local,
gov.uk,ashchurchrural-pc,local,
gov.uk,ashcottparishcouncil,local,
gov.uk,ashcumridley-pc,local,
gov.uk,ashdonparishcouncil,local,
gov.uk,ashendon-pc,local,
gov.uk,ashfield,local,Ashfield District Council
gov.uk,ashfield-dc,local,
gov.uk,ashfieldcumthorpe-pc,local,
gov.uk,ashford,local,Ashford Borough Council
gov.uk,ashford-in-the-water-pc,local,
gov.uk,ashfordcarbonellparishcouncil,local,
gov.uk,ashfordporthealth,local,
gov.uk,ashingdonparishcouncil,local,
gov.uk,ashingtontowncouncil,local,Ashington Town Council
gov.uk,ashleyparishcouncil,local,
gov.uk,ashmanhaughparishcouncil,local,
gov.uk,ashover-pc,local,
gov.uk,ashparishcouncil,local,
gov.uk,ashperton-pc,local,
gov.uk,ashreigneyparishcouncil,local,
gov.uk,ashton-pc,local,
gov.uk,ashtonhayesparishcouncil,local,
gov.uk,ashtonparishcouncil,local,
gov.uk,ashurstandcolbury-pc,local,
gov.uk,ashurstparish,local,
gov.uk,ashurstwood-vc,local,Ashurst Wood
gov.uk,ashwellparishcouncil,local,
gov.uk,ashwellthorpeandfundenhall-pc,local,
gov.uk,askamandirelethparishcouncil,local,
gov.uk,askderbyshire,local,
gov.uk,askerntowncouncil,local,
gov.uk,askhamandhelton-pc,local,
gov.uk,askhamparishmeeting,local,
gov.uk,askhamrichard-pc,local,
gov.uk,askriggandlowabbotside-pc,local,
gov.uk,aslactonparishcouncil,local,
gov.uk,aspatria-tc,local,
gov.uk,aspleyguiseparishcouncil,local,
gov.uk,asselbyparishcouncil,local,
gov.uk,assembly-ni,central-1,
gov.uk,assington-pc,local,
gov.uk,astbury-moreton-pc,local,
gov.uk,asterbygoulceby-pc,local,
gov.uk,asthalparishcouncil,local,
gov.uk,astleyanddunley-pc,local,
gov.uk,astleyshropshireparishcouncil,local,
gov.uk,aston-pc,local,
gov.uk,astonabbotts-pc,local,
gov.uk,astoncantlowparish,local,
gov.uk,astonclinton-pc,local,
gov.uk,astoningham-pc,local,
gov.uk,astonlewallsparishcouncil,local,
gov.uk,astonontrentparishcouncil,local,
gov.uk,astonoxon-pc,local,
gov.uk,astonrowantparishcouncil,local,
gov.uk,astonsandfordparishmeeting,local,
gov.uk,astwoodandhardmead-pc,local,
gov.uk,atchamparishcouncil,local,
gov.uk,atheringtonparishcouncil,local,
gov.uk,atherstone-tc,local,
gov.uk,atworthparishcouncil,local,
gov.uk,aubournwithhaddington-pc,local,
gov.uk,auchterarderdistrict-cc,local,
gov.uk,auckleyparishcouncil,local,
gov.uk,audlemparishcouncil,local,
gov.uk,audleyparishcouncil,local,
gov.uk,aulthucknallparishcouncil,local,
gov.uk,austerfield-pc,local,
gov.uk,austparishcouncil,local,
gov.uk,aveburyparishcouncil,local,
gov.uk,avening-pc,local,
gov.uk,avonandsomerset-pcc,local,Avon and Somerset Police and Crime Commissioner
gov.uk,avondassettparishcouncil,local,
gov.uk,avonfire,local,
gov.uk,awliscombeparishcouncil,local,
gov.uk,awsworthparishcouncil,local,
gov.uk,axbridge-tc,local,Axbridge Town Council
gov.uk,axminstertowncouncil,local,Axminster Town Council
gov.uk,aylburton-pc,local,
gov.uk,aylesburytowncouncil,local,Aylesbury Town Council
gov.uk,aylesburyvaledc,local,Aylesbury Vale District Council
gov.uk,aylesford-pc,local,
gov.uk,aylesham-pc,local,
gov.uk,ayleshamparishcouncil,local,
gov.uk,aylmertonparishcouncil,local,
gov.uk,aylsham-tc,local,Aylsham Town Council
gov.uk,aynho-pc,local,
gov.uk,ayrshire,local,
gov.uk,ayrshire-vjb,local,
gov.uk,aysgarthanddistrict-pc,local,
gov.uk,aythorpe-pc,local,
gov.uk,azerley-pc,local,
gov.uk,babergh,local,Babergh District Council
gov.uk,babraham-pc,local,
gov.uk,babworthparishcouncil,local,
gov.uk,backwell-pc,local,
gov.uk,bacton-pc,local,
gov.uk,bactonandedingthorpeparishcouncil,local,
gov.uk,badby-pc,local,
gov.uk,baddesleyensor-pc,local,
gov.uk,badgerfarm-pc,local,
gov.uk,badgerparishcouncil,local,
gov.uk,badgersmountparishcouncil,local,
gov.uk,badgeworthparishcouncil,local,
gov.uk,badgworth-pc,local,
gov.uk,badinghamparishcouncil,local,
gov.uk,badmintonparishcouncil,local,
gov.uk,badsworthparishcouncil,local,
gov.uk,badwellashparishcouncil,local,
gov.uk,bagbyandbalk-pc,local,
gov.uk,bagilltcommunitycouncil,local,
gov.uk,bagintonparish,local,
gov.uk,bagnallparishcouncil,local,
gov.uk,bagworthandthornton-pc,local,
gov.uk,baildontowncouncil,local,
gov.uk,bainbridgeparishcouncil,local,
gov.uk,baintonandashton-pc,local,
gov.uk,bakewelltowncouncil,local,Bakewell Town Council
gov.uk,balcombeparishcouncil,local,
gov.uk,baldersby-pc,local,
gov.uk,baldersbyparishcouncil,local,
gov.uk,balderstoneparishcouncil,local,
gov.uk,baldertonparishcouncil,local,
gov.uk,ballinghambolstonehentland-pc,local,
gov.uk,balsallparishcouncil,local,
gov.uk,baltonsboroughparish,local,
gov.uk,bamburghparishcouncil,local,
gov.uk,bamfordwiththornhill-pc,local,
gov.uk,bamptonoxon-parishcouncil,local,
gov.uk,bamptonparishcouncil,local,
gov.uk,bamptontowncouncil,local,Bampton Town Council
gov.uk,banbury,local,Banbury Town Council
gov.uk,banchorycommunitycouncil,local,
gov.uk,bandleyside-pc,local,
gov.uk,bandt-pc,local,
gov.uk,banhamparishcouncil,local,
gov.uk,banknewtonparishcouncil,local,
gov.uk,banwellparishcouncil,local,
gov.uk,barbon-pc,local,
gov.uk,barbyandonleyparishcouncil,local,
gov.uk,barcombeparish,local,
gov.uk,bardneygroup-pc,local,
gov.uk,bardonmill-pc,local,
gov.uk,bardonmillparishcouncil,local,
gov.uk,bardseyparishcouncil,local,
gov.uk,bardwell-pc,local,
gov.uk,barford-pc,local,
gov.uk,barfords-pc,local,
gov.uk,barfordsherbournewasperton-jpc,local,
gov.uk,barhamparish,local,
gov.uk,barhamparishcouncil,local,
gov.uk,barhill-pc,local,
gov.uk,barkbyparishcouncil,local,
gov.uk,barkhamparish,local,
gov.uk,barkingparishcouncil,local,
gov.uk,barkstonandsystonparishcouncil,local,
gov.uk,barkstonashparishcouncil,local,
gov.uk,barkwayparishcouncil,local,
gov.uk,barlastonparishcouncil,local,
gov.uk,barlboroughparishcouncil,local,
gov.uk,barlestoneparishcouncil,local,
gov.uk,barleyparishcouncil,local,
gov.uk,barlingmagna-pc,local,
gov.uk,barlowparishcouncil,local,
gov.uk,barmbymoorparishcouncil,local,
gov.uk,barmingparishcouncil,local,
gov.uk,barmouthtowncouncil,local,
gov.uk,barnack-pc,local,
gov.uk,barnacre-with-bonds-pc,local,
gov.uk,barnardcastletowncouncil,local,Barnard Castle Town Council
gov.uk,barnbyparishcouncil,local,
gov.uk,barnet,local,Barnet London Borough Council
gov.uk,barnetby-pc,local,
gov.uk,barnham-pc,local,
gov.uk,barnhamandeastergate-pc,local,
gov.uk,barnhambroom-pc,local,
gov.uk,barningham-pc,local,
gov.uk,barnoldbylebeck-pc,local,
gov.uk,barnoldswicktowncouncil,local,Barnoldswick Town Council
gov.uk,barnsley,local,Barnsley Metropolitan Borough Council
gov.uk,barnstapletowncouncil,local,
gov.uk,barnston-pc,local,
gov.uk,barntgreenparishcouncil,local,
gov.uk,barnton-pc,local,
gov.uk,barrington-pc,local,
gov.uk,barringtonglos-pc,local,
gov.uk,barringtonparishcouncil,local,
gov.uk,barrow-pc,local,
gov.uk,barrowbc,local,Barrow-in-Furness Borough Council
gov.uk,barrowbyparishcouncil,local,
gov.uk,barrowcumdenham-pc,local,
gov.uk,barrowden-pc,local,
gov.uk,barrowparish,local,
gov.uk,barrowtowncouncil,local,Barrow
gov.uk,barrowupontrentparish,local,
gov.uk,barrytowncouncil,local,Barry Town Council
gov.uk,barshamparishcouncil,local,
gov.uk,barshamshipmeadow-pc,local,
gov.uk,barstonparishcouncil,local,
gov.uk,bartestreewithlugwardinegroup-pc,local,
gov.uk,barthomley-pc,local,
gov.uk,bartlowparishmeeting,local,
gov.uk,barton-pc,local,
gov.uk,bartonandpooleybridge-pc,local,
gov.uk,bartonbendish-pc,local,
gov.uk,bartoninfabis-pc,local,
gov.uk,bartonleclay-pc,local,
gov.uk,bartonlewillowsparishcouncil,local,
gov.uk,bartonmills-pc,local,
gov.uk,bartonseagrave-pc,local,
gov.uk,bartonstaceyparishcouncil,local,
gov.uk,bartonstdavidparish,local,
gov.uk,bartonunderneedwood-pc,local,
gov.uk,bartonuponhumbertowncouncil,local,
gov.uk,barwell-pc,local,
gov.uk,basildon,local,Basildon Borough Council
gov.uk,basildon-berks-pc,local,Basildon
gov.uk,basingstoke,local,Basingstoke and Deane Borough Council
gov.uk,baslowandbubnellparishcouncil,local,
gov.uk,bassenthwaite-pc,local,
gov.uk,bassetlaw,local,Bassetlaw District Council
gov.uk,bassingbournparishcouncil,local,
gov.uk,bassinghamparishcouncil,local,
gov.uk,batchworth-ecc,local,
gov.uk,batheaston-pc,local,
gov.uk,bathnes,local,Bath and North East Somerset Council
gov.uk,battisford-pc,local,
gov.uk,battletowncouncil,local,Battle Town Council
gov.uk,baughurst-pc,local,Baughurst
gov.uk,baumberparishcouncil,local,
gov.uk,bawdsey-pc,local,
gov.uk,bawtrytowncouncil,local,
gov.uk,baxterley-pc,local,
gov.uk,baylham-pc,local,
gov.uk,baystonhillparishcouncil,local,
gov.uk,baytonparishcouncil,local,
gov.uk,bbh-pc,local,
gov.uk,bbsparish,local,
gov.uk,bbsparishcouncil,local,
gov.uk,bcpcouncil,local,"Bournemouth, Christchurch and Poole Council"
gov.uk,bdnhparishmeeting,local,
gov.uk,beachamptonparish,local,
gov.uk,beachamwellparishcouncil,local,
gov.uk,beacons-npa,local,
gov.uk,beaconsfieldtowncouncil,local,Beaconsfield Town Council
gov.uk,beadnellparishcouncil,local,
gov.uk,bealparishcouncil,local,
gov.uk,beaminster-tc,local,Beaminster Town Council
gov.uk,beanparishcouncil,local,
gov.uk,bearley-pc,local,
gov.uk,bearpark-pc,local,
gov.uk,bearstedparishcouncil,local,
gov.uk,beaumaristowncouncil,local,Beaumaris
gov.uk,beaumontparishcouncil,local,
gov.uk,beaworthyparishcouncil,local,
