subdomain,http_status
isutic.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'isutic.gov.ao'"
ebumba.gov.ao,"Could not resolve host: ebumba.gov.ao"
lync.oapr.gov.ao,"Could not resolve host: lync.oapr.gov.ao"
lyncdiscoverinternal.oapr.gov.ao,"Could not resolve host: lyncdiscoverinternal.oapr.gov.ao"
centros-comunitarios.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'centros-comunitarios.gov.ao'"
jns.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'jns.gov.ao'"
investigacaocientifica.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'investigacaocientifica.gov.ao'"
empresas.gov.ao,"Could not resolve host: empresas.gov.ao"
kwanzasul.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'kwanzasul.gov.ao'"
macvp.gov.ao,"Could not resolve host: macvp.gov.ao"
irccop.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'irccop.gov.ao'"
mail.benguela.gov.ao,"Could not resolve host: mail.benguela.gov.ao"
ggpen.gov.ao,"200"
ine.gov.ao,"405"
isep.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'isep.gov.ao'"
macvg.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'macvg.gov.ao'"
inacom.gov.ao,"200"
juventude.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'juventude.gov.ao'"
kwanzanorte.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'kwanzanorte.gov.ao'"
maianga.gov.ao,"SSL: no alternative certificate subject name matches target hostname 'maianga.gov.ao'"
mail.bombeirosdeangola.gov.ao,"Could not resolve host: mail.bombeirosdeangola.gov.ao"
mail.cabinda.gov.ao,"Could not resolve host: mail.cabinda.gov.ao"
mail.angotic.gov.ao,"Could not resolve host: mail.angotic.gov.ao"
lyncdiscover.oapr.gov.ao,"Could not resolve host: lyncdiscover.oapr.gov.ao"
mail.casamilitar.gov.ao,"Could not resolve host: mail.casamilitar.gov.ao"
mail.angola-info.gov.ao,"Could not resolve host: mail.angola-info.gov.ao"
mail.centros-comunitarios.gov.ao,"Could not resolve host: mail.centros-comunitarios.gov.ao"
mail.cazenga.gov.ao,"Could not resolve host: mail.cazenga.gov.ao"
mail.boletiminformativo.gov.ao,"Could not resolve host: mail.boletiminformativo.gov.ao"
mail.cgpn.gov.ao,"Could not resolve host: mail.cgpn.gov.ao"
mail.angolaonline.gov.ao,"Could not resolve host: mail.angolaonline.gov.ao"
candidaturas.mep.gov.ao,"Could not resolve host: candidaturas.mep.gov.ao"
mail.angolainveste.gov.ao,"Could not resolve host: mail.angolainveste.gov.ao"
mail.bengo.gov.ao,"Could not resolve host: mail.bengo.gov.ao"
mail.cacl.gov.ao,"Could not resolve host: mail.cacl.gov.ao"
irsea.gov.ao,"200"
mail.cnc-angola.gov.ao,"Could not resolve host: mail.cnc-angola.gov.ao"
mail.biga.gov.ao,"Could not resolve host: mail.biga.gov.ao"
mail.bne.gov.ao,"Could not resolve host: mail.bne.gov.ao"
mail.cnpf.gov.ao,"Could not resolve host: mail.cnpf.gov.ao"
angola.gov.ao,"Could not resolve host: angola.gov.ao"
mail.corrpv.gov.ao,"Could not resolve host: mail.corrpv.gov.ao"
ciam.gov.ao,"200"
mail.casacivil.gov.ao,"Could not resolve host: mail.casacivil.gov.ao"
mail.cidadedeluanda.gov.ao,"Failed to connect to mail.cidadedeluanda.gov.ao port 443 after 531 ms: Could not connect to server"
mail.casacivilpr.gov.ao,"Could not resolve host: mail.casacivilpr.gov.ao"
mail.centroortopedicodeviana.gov.ao,"Could not resolve host: mail.centroortopedicodeviana.gov.ao"
cnic.gov.ao,"200"
bengo.gov.ao,"200"
cpanel.ciam.gov.ao,"200"
