subdomain,http_status,mx
cpcontacts.certification.gouv.ml,Could not resolve host: cpcontacts.certification.gouv.ml,none
cpcontacts.cigma.gouv.ml,Could not resolve host: cpcontacts.cigma.gouv.ml,none
cpcontacts.cnlcp.gouv.ml,Could not resolve host: cpcontacts.cnlcp.gouv.ml,none
cpcontacts.cps-industries.gouv.ml,Could not resolve host: cpcontacts.cps-industries.gouv.ml,none
cpcontacts.crsikasso.gouv.ml,Could not resolve host: cpcontacts.crsikasso.gouv.ml,none
cpcontacts.ctrca.gouv.ml,Could not resolve host: cpcontacts.ctrca.gouv.ml,none
cpcontacts.decentralisation-oise.gouv.ml,Could not resolve host: cpcontacts.decentralisation-oise.gouv.ml,none
cpcontacts.developpementlocal.gouv.ml,Could not resolve host: cpcontacts.developpementlocal.gouv.ml,none
cpcontacts.dgce.gouv.ml,Could not resolve host: cpcontacts.dgce.gouv.ml,none
cpcontacts.dgct.gouv.ml,Could not resolve host: cpcontacts.dgct.gouv.ml,none
cpcontacts.diplomatie.gouv.ml,Could not resolve host: cpcontacts.diplomatie.gouv.ml,none
cpcontacts.fonctionpublique.gouv.ml,Could not resolve host: cpcontacts.fonctionpublique.gouv.ml,none
cpcontacts.fp.gouv.ml,Could not resolve host: cpcontacts.fp.gouv.ml,none
cpcontacts.infj.gouv.ml,Could not resolve host: cpcontacts.infj.gouv.ml,none
cpcontacts.investir.gouv.ml,Could not resolve host: cpcontacts.investir.gouv.ml,none
cpcontacts.kayes.gouv.ml,Could not resolve host: cpcontacts.kayes.gouv.ml,none
cpcontacts.maliens-exterieur.gouv.ml,Could not resolve host: cpcontacts.maliens-exterieur.gouv.ml,none
cpcontacts.miic.gouv.ml,Could not resolve host: cpcontacts.miic.gouv.ml,none
cpcontacts.mines.gouv.ml,Could not resolve host: cpcontacts.mines.gouv.ml,none
cpcontacts.mopti.gouv.ml,Could not resolve host: cpcontacts.mopti.gouv.ml,none
cpcontacts.mpfef.gouv.ml,Could not resolve host: cpcontacts.mpfef.gouv.ml,none
cpcontacts.pme.gouv.ml,Could not resolve host: cpcontacts.pme.gouv.ml,none
cpcontacts.reforme-justice.gouv.ml,Could not resolve host: cpcontacts.reforme-justice.gouv.ml,none
cpcontacts.reformes.gouv.ml,Could not resolve host: cpcontacts.reformes.gouv.ml,none
cpcontacts.seagriculture.gouv.ml,Could not resolve host: cpcontacts.seagriculture.gouv.ml,none
cpcontacts.securite.gouv.ml,401,none
cpcontacts.tourisme.gouv.ml,Could not resolve host: cpcontacts.tourisme.gouv.ml,none
cps-industries.gouv.ml,SSL certificate problem: certificate has expired,none
crsikasso.gouv.ml,200,none
cs1.gouv.ml,SSL certificate problem: certificate has expired,none
cs2.gouv.ml,SSL certificate problem: certificate has expired,none
ctrca.gouv.ml,200,none
decentralisation-oise.gouv.ml,Could not resolve host: decentralisation-oise.gouv.ml,none
defense.gouv.ml,SSL certificate problem: certificate has expired,none
demadmin.gouv.ml,Could not resolve host: demadmin.gouv.ml,none
demarchesadministratives.gouv.ml,Could not resolve host: demarchesadministratives.gouv.ml,none
developpementlocal.gouv.ml,Could not resolve host: developpementlocal.gouv.ml,none
dfmeducation.gouv.ml,Could not resolve host: dfmeducation.gouv.ml,none
dgce.gouv.ml,200,none
dgct.gouv.ml,200,none
dgemali.gouv.ml,Could not resolve host: dgemali.gouv.ml,5 smtpcitad.gouv.ml.; 0 smtpag.gouv.ml.
dgi.gouv.ml,301,none
dgmp.gouv.ml,200,none
dgsmali.gouv.ml,Could not resolve host: dgsmali.gouv.ml,none
diplomatie-dcm.gouv.ml,Could not resolve host: diplomatie-dcm.gouv.ml,none
diplomatie.gouv.ml,SSL certificate problem: certificate has expired,none
dnat.gouv.ml,200,none
dndc.gouv.ml,Could not resolve host: dndc.gouv.ml,none
dnec.gouv.ml,Operation timed out after 3001 milliseconds with 0 bytes received,none
dngr.gouv.ml,200,none
dnpd.gouv.ml,Could not resolve host: dnpd.gouv.ml,none
douanes.gouv.ml,200,none
e-conseil.gouv.ml,Could not resolve host: e-conseil.gouv.ml,none
e-impot.dgi.gouv.ml,SSL certificate problem: unable to get local issuer certificate,none
eca-agetic.gouv.ml,302,none
eca-antim.gouv.ml,SSL certificate problem: unable to get local issuer certificate,none
ecabinet-defense.gouv.ml,Could not resolve host: ecabinet-defense.gouv.ml,none
ecabinet-mcen.gouv.ml,Could not resolve host: ecabinet-mcen.gouv.ml,none
ecabinet-menp.gouv.ml,Could not resolve host: ecabinet-menp.gouv.ml,none
ecabinet-mjsports.gouv.ml,302,none
ecabinet-reformes.gouv.ml,Could not resolve host: ecabinet-reformes.gouv.ml,none
