hostname,mentions,evidence
judicialappointments.gov.uk,1,Judicial Appointments Commission (Executive non-departmental public body)
judiciary.uk,3,Civil Justice Council (Advisory non-departmental public body) | Family Justice Council (Advisory non-departmental public body) | Judicial Office (O...
justice-ni.gov.uk,5,Department of Justice (Northern Ireland) (Other) | Legal Services Agency (Northern Ireland) (Executive agency) | Northern Ireland Courts and Tribun...
justice.gov.uk,3,Advisory Committees on Justices of the Peace (Advisory non-departmental public body) | HM Inspectorate of Prisons (Other) | HM Inspectorate of Prob...
justiceinspectorates.gov.uk,2,HM Crown Prosecution Service Inspectorate (Other) | HM Inspectorate of Constabulary and Fire & Rescue Services (Other)
kew.org,1,Board of Trustees of the Royal Botanic Gardens Kew (Executive non-departmental public body)
lakedistrict.gov.uk,1,Lake District National Park Authority (Other)
lawcom.gov.uk,1,Law Commission (Advisory non-departmental public body)
lease-advice.org,1,Leasehold Advisory Service (Executive non-departmental public body)
legalombudsman.org.uk,1,The Legal Ombudsman (Other)
legalservicesboard.org.uk,1,Legal Services Board (Executive non-departmental public body)
lgo.org.uk,1,Local Government and Social Care Ombudsman (Other)
liverpoolmuseums.org.uk,1,National Museums Liverpool (Executive non-departmental public body)
lmcni.com,1,Livestock and Meat Commission for Northern Ireland (Executive non-departmental public body)
lordsappointments.independent.gov.uk,1,House of Lords Appointments Commission (Advisory non-departmental public body)
lowcarboncontracts.uk,2,Electricity Settlements Company (Other) | Low Carbon Contracts Company (Other)
lra.org.uk,1,Labour Relations Agency (Northern Ireland) (Other)
marshallscholarship.org,1,Marshall Aid Commemoration Commission (Executive non-departmental public body)
metoffice.gov.uk,1,Met Office (Executive agency)
mexe.org.uk,1,Military Engineering Experimental Establishment (Other)
mi5.gov.uk,1,The Security Service (Other)
moneyandpensionsservice.org.uk,1,Money and Pensions Service (Executive non-departmental public body)
mrc.ac.uk,1,Medical Research Council (Sub organisation)
museumofthehome.org.uk,1,Museum of the Home (Executive non-departmental public body)
nam.ac.uk,1,National Army Museum (Executive non-departmental public body)
nationalarchives.gov.uk,2,The Advisory Council on National Records and Archives (Advisory non-departmental public body) | The National Archives (Non-ministerial department)
nationalcrimeagency.gov.uk,1,National Crime Agency (Non-ministerial department)
nationalforest.org,1,National Forest Company (Other)
