subdomain,parent_domain,http_status
fiu.gov.tt,gov.tt,200
fiuconnect.fiu.gov.tt,gov.tt,Could not resolve host: fiuconnect.fiu.gov.tt
foreign.gov.tt,gov.tt,200
forensic.gov.tt,gov.tt,Could not resolve host: forensic.gov.tt
fte.tha.gov.tt,gov.tt,Could not resolve host: fte.tha.gov.tt
ftps.energy.gov.tt,gov.tt,Could not resolve host: ftps.energy.gov.tt
gecf20mm.energy.gov.tt,gov.tt,SSL certificate problem: certificate has expired
ghrs.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
gis.energy.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
globalskills.gov.tt,gov.tt,Could not resolve host: globalskills.gov.tt
gold.social.gov.tt,gov.tt,Could not resolve host: gold.social.gov.tt
gov.tt,gov.tt,301
gpsic.opm.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'gpsic.opm.gov.tt'
hacktt.gov.tt,gov.tt,SSL certificate problem: unable to get local issuer certificate
hdc.gov.tt,gov.tt,406
healthcard.health.gov.tt,gov.tt,Could not resolve host: healthcard.health.gov.tt
hiv.opm.gov.tt,gov.tt,Could not resolve host: hiv.opm.gov.tt
hod.moe.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
hybrid1.gov.tt,gov.tt,Could not resolve host: hybrid1.gov.tt
hybrid2.gov.tt,gov.tt,Could not resolve host: hybrid2.gov.tt
ictsymposiumtt.gov.tt,gov.tt,SSL certificate problem: certificate has expired
ima.gov.tt,gov.tt,301
imap.trha.gov.tt,gov.tt,Could not resolve host: imap.trha.gov.tt
incoming.mnsegis.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
infolounge.mpa.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
infolounge.pos.pai.gov.tt,gov.tt,Could not resolve host: infolounge.pos.pai.gov.tt
inspect.mowt.gov.tt,gov.tt,403
intecpdr.wasa.gov.tt,gov.tt,Could not resolve host: intecpdr.wasa.gov.tt
intecpho.wasa.gov.tt,gov.tt,Could not resolve host: intecpho.wasa.gov.tt
intranet.nalis.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
ipms.gov.tt,gov.tt,Could not resolve host: ipms.gov.tt
ipo.gov.tt,gov.tt,200
ircp.gov.tt,gov.tt,Could not resolve host: ircp.gov.tt
itc.gov.tt,gov.tt,301
jobs.ytepp.gov.tt,gov.tt,Could not resolve host: jobs.ytepp.gov.tt
labour.gov.tt,gov.tt,403
learn.moe.gov.tt,gov.tt,Could not resolve host: learn.moe.gov.tt
legacy.ird.gov.tt,gov.tt,403
legacy.mail.mpa.gov.tt,gov.tt,Could not resolve host: legacy.mail.mpa.gov.tt
legacy.sautt.gov.tt,gov.tt,Could not resolve host: legacy.sautt.gov.tt
legacymail.wasa.gov.tt,gov.tt,Could not resolve host: legacymail.wasa.gov.tt
lifeguard.gov.tt,gov.tt,Could not resolve host: lifeguard.gov.tt
lime.social.gov.tt,gov.tt,SSL: no alternative certificate subject name matches target hostname 'lime.social.gov.tt'
lists.mpa.gov.tt,gov.tt,Could not resolve host: lists.mpa.gov.tt
login.caa.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
lync.social.gov.tt,gov.tt,Could not resolve host: lync.social.gov.tt
lync.wasa.gov.tt,gov.tt,Could not resolve host: lync.wasa.gov.tt
lyncdiscover.energy.gov.tt,gov.tt,Could not resolve host: lyncdiscover.energy.gov.tt
lyncdiscover.envw.gov.tt,gov.tt,Could not resolve host: lyncdiscover.envw.gov.tt
lyncdiscover.mns.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
lyncdiscover.wasa.gov.tt,gov.tt,Could not resolve host: lyncdiscover.wasa.gov.tt
lyncdiscoverexternal.mpa.gov.tt,gov.tt,Could not resolve host: lyncdiscoverexternal.mpa.gov.tt
lyncdiscoverinternal.mpa.gov.tt,gov.tt,Could not resolve host: lyncdiscoverinternal.mpa.gov.tt
m.mowt.gov.tt,gov.tt,403
mail.ag.gov.tt,gov.tt,302
mail.arimaborough.gov.tt,gov.tt,Could not resolve host: mail.arimaborough.gov.tt
mail.artsandculture.gov.tt,gov.tt,Resolving timed out after 3001 milliseconds
mail.auditorgeneral.gov.tt,gov.tt,Could not resolve host: mail.auditorgeneral.gov.tt
mail.biodiversity.gov.tt,gov.tt,403
mail.ccib.gov.tt,gov.tt,Could not resolve host: mail.ccib.gov.tt
mail.cdca.gov.tt,gov.tt,Could not resolve host: mail.cdca.gov.tt
mail.cdf.gov.tt,gov.tt,Could not resolve host: mail.cdf.gov.tt
mail.cisl.gov.tt,gov.tt,200
mail.cityofportofspain.gov.tt,gov.tt,Could not resolve host: mail.cityofportofspain.gov.tt
mail.cso.gov.tt,gov.tt,200
mail.customs.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
mail.ec.gov.tt,gov.tt,Could not resolve host: mail.ec.gov.tt
mail.energy.gov.tt,gov.tt,Connection timed out after 3002 milliseconds
mail.foreign.gov.tt,gov.tt,SSL certificate problem: self-signed certificate
mail.globalskills.gov.tt,gov.tt,Could not resolve host: mail.globalskills.gov.tt
mail.hacktt.gov.tt,gov.tt,SSL certificate problem: unable to get local issuer certificate
mail.hdc.gov.tt,gov.tt,Could not resolve host: mail.hdc.gov.tt
mail.metaviation.gov.tt,gov.tt,Could not resolve host: mail.metaviation.gov.tt
mail.metoffice.gov.tt,gov.tt,Could not resolve host: mail.metoffice.gov.tt
mail.metproducts.gov.tt,gov.tt,Could not resolve host: mail.metproducts.gov.tt
mail.mns.gov.tt,gov.tt,Could not resolve host: mail.mns.gov.tt
mail.molsed.gov.tt,gov.tt,Could not resolve host: mail.molsed.gov.tt
mail.molsmed.gov.tt,gov.tt,Could not resolve host: mail.molsmed.gov.tt
mail.mpa.gov.tt,gov.tt,Connection timed out after 3000 milliseconds
mail.mpu.gov.tt,gov.tt,Connection timed out after 3001 milliseconds
mail.msya.gov.tt,gov.tt,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name
mail.natt.gov.tt,gov.tt,Could not resolve host: mail.natt.gov.tt
mail.nedco.gov.tt,gov.tt,Could not resolve host: mail.nedco.gov.tt
mail.prison.gov.tt,gov.tt,TLS connect error: error:0A0000C6:SSL routines::packet length too long
mail.scholarships.gov.tt,gov.tt,Could not resolve host: mail.scholarships.gov.tt
mail.sport.gov.tt,gov.tt,Could not resolve host: mail.sport.gov.tt
mail.ssa.gov.tt,gov.tt,Could not resolve host: mail.ssa.gov.tt
mail.tradeind.gov.tt,gov.tt,Could not resolve host: mail.tradeind.gov.tt
mail.trha.gov.tt,gov.tt,Connection timed out after 3001 milliseconds
mail.ttps.gov.tt,gov.tt,302
mail.wasa.gov.tt,gov.tt,Connection timed out after 3003 milliseconds
mail1.foreign.gov.tt,gov.tt,Could not resolve host: mail1.foreign.gov.tt
mail2.hdc.gov.tt,gov.tt,Could not resolve host: mail2.hdc.gov.tt
mail2.mns.gov.tt,gov.tt,Could not resolve host: mail2.mns.gov.tt
mailserver02.nalis.gov.tt,gov.tt,Could not resolve host: mailserver02.nalis.gov.tt
mailt.hdc.gov.tt,gov.tt,Connection timed out after 3001 milliseconds
meet.mpa.gov.tt,gov.tt,Could not resolve host: meet.mpa.gov.tt
meetmoe.moe.gov.tt,gov.tt,Connection timed out after 3001 milliseconds
mercury.ssa.gov.tt,gov.tt,302
metaviation.gov.tt,gov.tt,302
