hostname,http_status,mx
consiglio.regione.fvg.it,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.lazio.it,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.lombardia.it,HttpConnectTimeoutException: HTTP connect timed out,50 consiglio-regione-lombardia-it.mail.protection.outlook.com.
consiglio.regione.molise.it,HttpConnectTimeoutException: HTTP connect timed out,10 smtp-in-1.consiglio.regione.molise.it.; 10 smtp-in-3.molisedati.it.; 10 smtp-in-2.consiglio.regione.molise.it.
consiglio.regione.sardegna.it,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.toscana.it,HttpConnectTimeoutException: HTTP connect timed out,20 mail.consiglio.regione.toscana.it.; 10 email.consiglio.regione.toscana.it.
consiglio.regione.umbria.it,200,none
consiglio.regione.vda.it,ConnectException: Host is unreachable,10 consprim.consiglio.regione.vda.it.
consiglionazionaleforense.it,HttpConnectTimeoutException: HTTP connect timed out,none
consiglioregionale.calabria.it,ConnectException: Host is unreachable,10 mx.impresasemplice.it.
consiglioveneto.it,301,none
consip.it,HttpConnectTimeoutException: HTTP connect timed out,none
consob.it,HttpConnectTimeoutException: HTTP connect timed out,10 sms2-mailin.consob.it.; 10 sms1-mailin.consob.it.
consorziofabre.it,301,10 mx.consorziofabre.it.
consulado.pe,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 consulado-pe.mail.protection.outlook.com.
corpoguardieaifuochi.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx2.pub.mailpod8-cph3.one.com.; 10 mx3.pub.mailpod8-cph3.one.com.; 10 mx1.pub.mailpod8-cph3.one.com.
corteconti.it,ConnectException,10 corteconti-it.mail.protection.outlook.com.
cortecostituzionale.it,302,0 esg.cortecostituzionale.it.
cortedicassazione.it,HttpConnectTimeoutException: HTTP connect timed out,0 mx0.nettuno.it.; 10 mx2.nettuno.it.
