subdomain,http_status
app.tjgaj.gov.cn,"Could not resolve host: app.tjgaj.gov.cn"
app.tjlottery.gov.cn,"Could not resolve host: app.tjlottery.gov.cn"
app.xmhrss.gov.cn,"Could not resolve host: app.xmhrss.gov.cn"
app.yngs.gov.cn,"Could not resolve host: app.yngs.gov.cn"
app.ywrl.gov.cn,"Could not resolve host: app.ywrl.gov.cn"
app.zhiji.gov.cn,"Connection timed out after 3001 milliseconds"
app.zjlsfx.gov.cn,"Resolving timed out after 3000 milliseconds"
app.zmws.gov.cn,"Could not resolve host: app.zmws.gov.cn"
app.zztour.gov.cn,"Resolving timed out after 3000 milliseconds"
appitf.sme.sipac.gov.cn,"403"
apply.pdxxh.gov.cn,"Could not resolve host: apply.pdxxh.gov.cn"
apply.szsti.gov.cn,"Could not resolve host: apply.szsti.gov.cn"
apply.sztb.gov.cn,"Could not resolve host: apply.sztb.gov.cn"
appoa.zgwj.gov.cn,"Resolving timed out after 3002 milliseconds"
appservice.jl.gov.cn,"Could not resolve host: appservice.jl.gov.cn"
aqtyj.gov.cn,"Could not resolve host: aqtyj.gov.cn"
as.hda.gov.cn,"Could not resolve host: as.hda.gov.cn"
atestsc.mot.gov.cn,"Connection timed out after 3000 milliseconds"
auction.rmfysszc.gov.cn,"Could not resolve host: auction.rmfysszc.gov.cn"
audit.bjkw.gov.cn,"Could not resolve host: audit.bjkw.gov.cn"
auth.tjgaj.gov.cn,"Could not resolve host: auth.tjgaj.gov.cn"
authorb.shunde.gov.cn,"403"
autodiscover.bjnac.gov.cn,"Could not resolve host: autodiscover.bjnac.gov.cn"
autodiscover.ckzx.czj.sh.gov.cn,"Resolving timed out after 3001 milliseconds"
autodiscover.fjkl.gov.cn,"Could not resolve host: autodiscover.fjkl.gov.cn"
autodiscover.gdd.gov.cn,"Could not resolve host: autodiscover.gdd.gov.cn"
autodiscover.gmjd.gov.cn,"Could not resolve host: autodiscover.gmjd.gov.cn"
autodiscover.gzcc.gov.cn,"Resolving timed out after 3001 milliseconds"
autodiscover.hrajj.gov.cn,"Could not resolve host: autodiscover.hrajj.gov.cn"
autodiscover.sditds.gov.cn,"Could not resolve host: autodiscover.sditds.gov.cn"
autodiscover.shmh.gov.cn,"Could not resolve host: autodiscover.shmh.gov.cn"
autodiscover.sz.msa.gov.cn,"Could not resolve host: autodiscover.sz.msa.gov.cn"
autodiscover.thnet.gov.cn,"Resolving timed out after 3000 milliseconds"
autodiscover.zzcbdj.hazz.hrss.gov.cn,"Resolving timed out after 3000 milliseconds"
autopay.ggfw.hzcgw.gov.cn,"Could not resolve host: autopay.ggfw.hzcgw.gov.cn"
avas.cs.mfa.gov.cn,"Could not resolve host: avas.cs.mfa.gov.cn"
b.gxdx.gov.cn,"Could not resolve host: b.gxdx.gov.cn"
b.tmfda.gov.cn,"Could not resolve host: b.tmfda.gov.cn"
b.ts.gxdx.gov.cn,"Could not resolve host: b.ts.gxdx.gov.cn"
baidu.yngs.gov.cn,"Could not resolve host: baidu.yngs.gov.cn"
baihualin.triph.gov.cn,"Could not resolve host: baihualin.triph.gov.cn"
bbs.dingcheng.gov.cn,"Could not resolve host: bbs.dingcheng.gov.cn"
bbs.shunde.gov.cn,"Could not resolve host: bbs.shunde.gov.cn"
bbs.yizheng.gov.cn,"Could not resolve host: bbs.yizheng.gov.cn"
bda.gov.cn,"Resolving timed out after 3000 milliseconds"
beian.gov.cn,"Could not resolve host: beian.gov.cn"
beian.hlbrga.gov.cn,"Could not resolve host: beian.hlbrga.gov.cn"
beian.shca.gov.cn,"Could not resolve host: beian.shca.gov.cn"
beiwan.gov.cn,"Could not resolve host: beiwan.gov.cn"
bigdata.gxst.gov.cn,"Could not resolve host: bigdata.gxst.gov.cn"
binhai.gov.cn,"Could not resolve host: binhai.gov.cn"
biz.jnfda.gov.cn,"Connection timed out after 3001 milliseconds"
bj.zybh.gov.cn,"Could not resolve host: bj.zybh.gov.cn"
bjab.gov.cn,"Could not resolve host: bjab.gov.cn"
bjcoc.gov.cn,"Could not resolve host: bjcoc.gov.cn"
bjcs.gov.cn,"Could not resolve host: bjcs.gov.cn"
bjcxylapp.bjrs.gov.cn,"Could not resolve host: bjcxylapp.bjrs.gov.cn"
bjcxylxc.bjrs.gov.cn,"Could not resolve host: bjcxylxc.bjrs.gov.cn"
bjedu.gov.cn,"Could not resolve host: bjedu.gov.cn"
bjgjj.gov.cn,"Could not resolve host: bjgjj.gov.cn"
bjhi.gov.cn,"Could not resolve host: bjhi.gov.cn"
bjjfy.gov.cn,"Could not resolve host: bjjfy.gov.cn"
bjld.gov.cn,"Could not resolve host: bjld.gov.cn"
bjlsj.gov.cn,"Could not resolve host: bjlsj.gov.cn"
bjnac.gov.cn,"Could not resolve host: bjnac.gov.cn"
bjpta.gov.cn,"Resolving timed out after 3000 milliseconds"
bjrbj.gov.cn,"Could not resolve host: bjrbj.gov.cn"
