subdomain,parent_domain,http_status
kg.tunduk.gov.kg,gov.kg,"Could not resolve host: kg.tunduk.gov.kg"
kitep.edu.gov.kg,gov.kg,"Could not resolve host: kitep.edu.gov.kg"
kk-test.mfa.gov.kg,gov.kg,"Connection timed out after 3000 milliseconds"
kk.mfa.gov.kg,gov.kg,"Connection timed out after 3000 milliseconds"
kp.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
kt.kyrgyztest.gov.kg,gov.kg,"Could not resolve host: kt.kyrgyztest.gov.kg"
kyrgyzkomur.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
kyrgyztest.gov.kg,gov.kg,"200"
legalaid.gov.kg,gov.kg,"Could not resolve host: legalaid.gov.kg"
licensing.edu.gov.kg,gov.kg,"SSL certificate problem: EE certificate key too weak"
lk.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
lk.it.gov.kg,gov.kg,"Could not resolve host: lk.it.gov.kg"
lk.uslugi.gov.kg,gov.kg,"Connection timed out after 3000 milliseconds"
local.gov.kg,gov.kg,"Could not resolve host: local.gov.kg"
mail.agro.gov.kg,gov.kg,"200"
mail.cert.gov.kg,gov.kg,"200"
mail.edu.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
mail.fiu.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
mail.fsa.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
mail.gknb.gov.kg,gov.kg,"200"
mail.gov.kg,gov.kg,"307"
mail.hfmd.mes.gov.kg,gov.kg,"Could not resolve host: mail.hfmd.mes.gov.kg"
mail.hmfd.mes.gov.kg,gov.kg,"Could not resolve host: mail.hmfd.mes.gov.kg"
mail.invest.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
mail.it.gov.kg,gov.kg,"Could not resolve host: mail.it.gov.kg"
mail.mfa.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'mail.mfa.gov.kg'"
mail.minjust.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
mail.mkk.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'mail.mkk.gov.kg'"
mail.ordo.gov.kg,gov.kg,"Could not resolve host: mail.ordo.gov.kg"
mail.transcom.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
mail.tunduk.gov.kg,gov.kg,"200"
mail01.transcom.gov.kg,gov.kg,"Resolving timed out after 3001 milliseconds"
map.tourism.gov.kg,gov.kg,"200"
mcs.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
me.e.gov.kg,gov.kg,"Could not resolve host: me.e.gov.kg"
meet.ds.edu.gov.kg,gov.kg,"Could not resolve host: meet.ds.edu.gov.kg"
mektep.edu.gov.kg,gov.kg,"200"
mfa.gov.kg,gov.kg,"403"
mfks.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
mil.gov.kg,gov.kg,"301"
mirbalkonov.kyrgyztest.gov.kg,gov.kg,"Could not resolve host: mirbalkonov.kyrgyztest.gov.kg"
mirror.edu.gov.kg,gov.kg,"Could not resolve host: mirror.edu.gov.kg"
mirror02.edu.gov.kg,gov.kg,"Could not resolve host: mirror02.edu.gov.kg"
mj.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
mkit.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
mkit.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
mkk.gov.kg,gov.kg,"200"
mlsp.gov.kg,gov.kg,"Could not resolve host: mlsp.gov.kg"
mmk.minjust.gov.kg,gov.kg,"Could not resolve host: mmk.minjust.gov.kg"
mon.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
moodle.mlsp.gov.kg,gov.kg,"Could not resolve host: moodle.mlsp.gov.kg"
mtd.gov.kg,gov.kg,"200"
mtsr.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
mvd.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
mvd.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
mx1.fiu.gov.kg,gov.kg,"Could not resolve host: mx1.fiu.gov.kg"
myktyaimak.gov.kg,gov.kg,"200"
mz.e.gov.kg,gov.kg,"Could not resolve host: mz.e.gov.kg"
nagrady.edu.gov.kg,gov.kg,"Could not resolve host: nagrady.edu.gov.kg"
nas.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
needs.mes.gov.kg,gov.kg,"Could not resolve host: needs.mes.gov.kg"
new.tunduk.gov.kg,gov.kg,"Could not resolve host: new.tunduk.gov.kg"
nextcloud.hfmd.mes.gov.kg,gov.kg,"Could not resolve host: nextcloud.hfmd.mes.gov.kg"
nextcloud.hmfd.mes.gov.kg,gov.kg,"Could not resolve host: nextcloud.hmfd.mes.gov.kg"
nlkr.e.gov.kg,gov.kg,"Could not resolve host: nlkr.e.gov.kg"
nm.ordo.gov.kg,gov.kg,"Could not resolve host: nm.ordo.gov.kg"
numeration.nas.gov.kg,gov.kg,"Could not resolve host: numeration.nas.gov.kg"
nwrmp.water.gov.kg,gov.kg,"302"
ocdstools.zakupki.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'ocdstools.zakupki.gov.kg'"
okno.gosstroy.gov.kg,gov.kg,"Could not resolve host: okno.gosstroy.gov.kg"
oku.edu.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
okuuluk.edu.gov.kg,gov.kg,"Could not resolve host: okuuluk.edu.gov.kg"
online.minjust.gov.kg,gov.kg,"200"
open.edu.gov.kg,gov.kg,"200"
ord.gosstroy.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
ordo.gov.kg,gov.kg,"502"
p.103.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
passport.water.gov.kg,gov.kg,"502"
pbx.it.gov.kg,gov.kg,"Could not resolve host: pbx.it.gov.kg"
pbx.mlsp.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
pochta.edu.gov.kg,gov.kg,"Could not resolve host: pochta.edu.gov.kg"
pop3.ordo.gov.kg,gov.kg,"Could not resolve host: pop3.ordo.gov.kg"
portal.gamsumo.gov.kg,gov.kg,"Could not resolve host: portal.gamsumo.gov.kg"
portal.water.gov.kg,gov.kg,"301"
post.edu.gov.kg,gov.kg,"Could not resolve host: post.edu.gov.kg"
probation.gov.kg,gov.kg,"302"
probation.minjust.gov.kg,gov.kg,"302"
public.edu.gov.kg,gov.kg,"200"
raioo.balabakcha.edu.gov.kg,gov.kg,"Could not resolve host: raioo.balabakcha.edu.gov.kg"
raioo.mektep.edu.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
reg.mkk.gov.kg,gov.kg,"Could not resolve host: reg.mkk.gov.kg"
register.minjust.gov.kg,gov.kg,"200"
rgvk.mil.gov.kg,gov.kg,"Could not resolve host: rgvk.mil.gov.kg"
rupoi.mlsp.gov.kg,gov.kg,"Could not resolve host: rupoi.mlsp.gov.kg"
salyk.it.gov.kg,gov.kg,"Could not resolve host: salyk.it.gov.kg"
sertification.nas.gov.kg,gov.kg,"Could not resolve host: sertification.nas.gov.kg"
sf.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
shailoo.gov.kg,gov.kg,"200"
siasar.water.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'siasar.water.gov.kg'"
smtp.ordo.gov.kg,gov.kg,"Could not resolve host: smtp.ordo.gov.kg"
spuz.edu.gov.kg,gov.kg,"Could not resolve host: spuz.edu.gov.kg"
srs.e.gov.kg,gov.kg,"Resolving timed out after 3001 milliseconds"
stat.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
stat.gamsumo.gov.kg,gov.kg,"Could not resolve host: stat.gamsumo.gov.kg"
sti.gov.kg,gov.kg,"200"
tailings.mes.gov.kg,gov.kg,"Could not resolve host: tailings.mes.gov.kg"
tamakash.edu.gov.kg,gov.kg,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
tandoo.gov.kg,gov.kg,"Could not resolve host: tandoo.gov.kg"
tandoo.zakupki.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
test.edu.gov.kg,gov.kg,"302"
test.mfa.gov.kg,gov.kg,"Could not resolve host: test.mfa.gov.kg"
test.tunduk.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
test1.edu.gov.kg,gov.kg,"Could not resolve host: test1.edu.gov.kg"
testordo.tunduk.gov.kg,gov.kg,"Could not resolve host: testordo.tunduk.gov.kg"
tizme.gov.kg,gov.kg,"403"
to.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
tourism.gov.kg,gov.kg,"200"
tract.water.gov.kg,gov.kg,"Could not resolve host: tract.water.gov.kg"
tunduk.agro.gov.kg,gov.kg,"Could not resolve host: tunduk.agro.gov.kg"
tunduk.gov.kg,gov.kg,"307"
udpp.e.gov.kg,gov.kg,"Could not resolve host: udpp.e.gov.kg"
ukuk-jardam.gov.kg,gov.kg,"302"
ukuk.gov.kg,gov.kg,"Could not resolve host: ukuk.gov.kg"
uslugi.gosstroy.gov.kg,gov.kg,"Could not resolve host: uslugi.gosstroy.gov.kg"
uslugi.gov.kg,gov.kg,"Connection timed out after 3001 milliseconds"
vak.e.gov.kg,gov.kg,"SSL certificate problem: self-signed certificate"
water.gov.kg,gov.kg,"303"
web.gvfi.gov.kg,gov.kg,"Could not resolve host: web.gvfi.gov.kg"
webalyzer.ordo.gov.kg,gov.kg,"Could not resolve host: webalyzer.ordo.gov.kg"
webmail.nas.gov.kg,gov.kg,"Could not resolve host: webmail.nas.gov.kg"
wiki.ordo.gov.kg,gov.kg,"Could not resolve host: wiki.ordo.gov.kg"
world.nas.gov.kg,gov.kg,"SSL certificate problem: unable to get local issuer certificate"
