hostname,mentions,evidence
bundesdrogenbeauftragter.de,1,Beauftragter der Bundesregierung für Sucht- und Drogenfragen
bundesdruckerei.de,1,Bundesdruckerei GmbH
bundesfinanzhof.de,1,Bundesfinanzhof
bundesfinanzministerium.de,1,Bundesministerium der Finanzen
bundesgerichtshof.de,1,Bundesgerichtshof
bundesgesundheitsministerium.de,1,Bundesministerium für Gesundheit
bundesimmobilien.de,1,Bundesanstalt für Immobilienaufgaben
bundesjustizamt.de,1,Bundesamt für Justiz
bundeskanzler.de,1,Bundeskanzler
bundeskartellamt.de,1,Bundeskartellamt
bundeskunsthalle.de,1,Kunst- und Ausstellungshalle der Bundesrepublik Deutschland GmbH
bundeslotsenkammer.de,1,Bundeslotsenkammer
bundesnetzagentur.de,1,Bundesnetzagentur
bundespatentgericht.de,1,Bundespatentgericht
bundespolizei.de,14,Bundespolizei | Bundespolizeiakademie | Bundespolizeidirektion 11 | Bundespolizeidirektion Bad Bramstedt | Bundespolizeidirektion Berlin | Bundespo...
bundespraesident.de,2,Bundespräsident | Bundespräsidialamt
bundesrat.de,2,Bundesrat | Sekreatariat des Bundesrates
bundesrechnungshof.de,2,Bundesbeauftragter für Wirtschaftlichkeit in der Verwaltung | Bundesrechnungshof
bundesregierung.de,5,Beauftragter der Bundesregierung für die Nachrichtendienste des Bundes | Bundeskanzleramt | Persönlicher Beauftragter des Bundeskanzlers für die G7...
bundessortenamt.de,1,Bundessortenamt
bundesstiftung-aufarbeitung.de,1,Bundesstiftung zur Aufarbeitung der SED-Diktatur
bundesstiftung-friedensforschung.de,1,Deutsche Stiftung Friedensforschung
bundesstiftung-gleichstellung.de,1,Bundesstiftung Gleichstellung
bundesstiftung-helmut-kohl.de,1,Bundeskanzler Helmut Kohl Stiftung
bundesstiftung-mutter-und-kind.de,1,Bundesstiftung Mutter und Kind - Schutz des ungeborenen Lebens
bundestag.de,3,Deutscher Bundestag | Verwaltung des Deutschen Bundestages | Wehrbeauftragte des Deutschen Bundestages
