subdomain,http_status
cppm.wifiguest.cbs.gov.il,Could not resolve host: cppm.wifiguest.cbs.gov.il
cps.igcas.gov.il,200
ctep.iaa.gov.il,Could not resolve host: ctep.iaa.gov.il
ctet.iaa.gov.il,Could not resolve host: ctet.iaa.gov.il
ctip.iaa.gov.il,Could not resolve host: ctip.iaa.gov.il
ctit.iaa.gov.il,Connection timed out after 3001 milliseconds
cyber.gov.il,301
cybernet.cert.gov.il,Could not resolve host: cybernet.cert.gov.il
d2397.moin.gov.il,Could not resolve host: d2397.moin.gov.il
d922.shivyon.gov.il,Could not resolve host: d922.shivyon.gov.il
dalpak.btl.gov.il,Could not resolve host: dalpak.btl.gov.il
dat.gov.il,Operation timed out after 3002 milliseconds with 0 bytes received
data.gov.il,200
data.health.gov.il,Could not resolve host: data.health.gov.il
designsonline-sc.justice.gov.il,302
designsonline.justice.gov.il,200
dev.police.gov.il,Could not resolve host: dev.police.gov.il
devskeleton.mof.gov.il,SSL certificate problem: unable to get local issuer certificate
dialin.education.gov.il,Could not resolve host: dialin.education.gov.il
dialin.most.gov.il,Could not resolve host: dialin.most.gov.il
digitalisrael-rfi.gov.il,Could not resolve host: digitalisrael-rfi.gov.il
dira.moch.gov.il,247
divuachsoker.cbs.gov.il,Could not resolve host: divuachsoker.cbs.gov.il
doris.soreq.gov.il,Could not resolve host: doris.soreq.gov.il
driverschool.mot.gov.il,Recv failure: Connexion ré-initialisée par le correspondant
drpvotes.isa.gov.il,Could not resolve host: drpvotes.isa.gov.il
drpyael.isa.gov.il,Could not resolve host: drpyael.isa.gov.il
dsz.mof.gov.il,Could not resolve host: dsz.mof.gov.il
dth.police.gov.il,Could not resolve host: dth.police.gov.il
dvs.economy.gov.il,302
dynamiclogin.moia.gov.il,Could not resolve host: dynamiclogin.moia.gov.il
e.agmon.tehila.gov.il,Could not resolve host: e.agmon.tehila.gov.il
eca.gov.il,301
ecom.gov.il,404
edu.gov.il,Connection timed out after 3002 milliseconds
education.gov.il,Connection timed out after 3002 milliseconds
edutoolbox.edu.gov.il,Could not resolve host: edutoolbox.edu.gov.il
eforms.moital.gov.il,Resolving timed out after 3000 milliseconds
egov.gov.il,Could not resolve host: egov.gov.il
eid.smartid.gov.il,Could not resolve host: eid.smartid.gov.il
ejobs.gov.il,Connection timed out after 3002 milliseconds
elections.esb.gov.il,Could not resolve host: elections.esb.gov.il
elections.mevaker.gov.il,Connection timed out after 3002 milliseconds
elections2008.mevaker.gov.il,Connection timed out after 3002 milliseconds
embassies.gov.il,Could not resolve host: embassies.gov.il
emus.gov.il,Could not resolve host: emus.gov.il
en.caa.gov.il,Could not resolve host: en.caa.gov.il
entrance.moch.gov.il,SSL certificate problem: certificate has expired
entrance.mops.gov.il,403
entrance.most.gov.il,Could not resolve host: entrance.most.gov.il
esb.gov.il,200
estatescommittee.justice.gov.il,302
estatescommitteecontact.justice.gov.il,Could not resolve host: estatescommitteecontact.justice.gov.il
et.data.gov.il,403
etenderspass.gov.il,Could not resolve host: etenderspass.gov.il
ev.education.gov.il,Could not resolve host: ev.education.gov.il
eventapi.police.gov.il,Could not resolve host: eventapi.police.gov.il
ex.most.gov.il,Could not resolve host: ex.most.gov.il
ex1.emus.gov.il,301
exchange.antidrugs.gov.il,Could not resolve host: exchange.antidrugs.gov.il
excmr07.mr.nioi.gov.il,Could not resolve host: excmr07.mr.nioi.gov.il
exhub01.cbs.gov.il,Could not resolve host: exhub01.cbs.gov.il
exhub02.cbs.gov.il,Could not resolve host: exhub02.cbs.gov.il
expe.lab.tel-aviv.gov.il,Could not resolve host: expe.lab.tel-aviv.gov.il
export.gov.il,247
exporters.mod.gov.il,Could not resolve host: exporters.mod.gov.il
ext-mail.gov.il,Could not resolve host: ext-mail.gov.il
external.justice.gov.il,Could not resolve host: external.justice.gov.il
extranet.iaa.gov.il,Could not resolve host: extranet.iaa.gov.il
fb.mod.gov.il,Could not resolve host: fb.mod.gov.il
fds.edu.gov.il,Could not resolve host: fds.edu.gov.il
fed.education.gov.il,Could not resolve host: fed.education.gov.il
fid.forms.gov.il,Could not resolve host: fid.forms.gov.il
fileretrieval.justice.gov.il,302
fileupload.gov.il,Could not resolve host: fileupload.gov.il
filing.drpmagna.isa.gov.il,Recv failure: Connexion ré-initialisée par le correspondant
filing.magna.isa.gov.il,Recv failure: Connexion ré-initialisée par le correspondant
fld.gov.il,Could not resolve host: fld.gov.il
foi-tluna.justice.gov.il,302
foi.gov.il,301
form-backend.mse.gov.il,Could not resolve host: form-backend.mse.gov.il
form.mse.gov.il,Connection timed out after 3002 milliseconds
forms.economy.gov.il,302
forms.energy.gov.il,Could not resolve host: forms.energy.gov.il
forms.gov.il,200
forms.most.gov.il,Could not resolve host: forms.most.gov.il
forms.police.gov.il,Could not resolve host: forms.police.gov.il
formspdf-sc.justice.gov.il,Recv failure: Connexion ré-initialisée par le correspondant
formspdf.justice.gov.il,404
forum-mavat.moin.gov.il,Could not resolve host: forum-mavat.moin.gov.il
forum.mapi.gov.il,Could not resolve host: forum.mapi.gov.il
forum.pnim.gov.il,Could not resolve host: forum.pnim.gov.il
forums.civil-service.gov.il,Could not resolve host: forums.civil-service.gov.il
forums.mof.gov.il,Could not resolve host: forums.mof.gov.il
forums.tamat.gov.il,Could not resolve host: forums.tamat.gov.il
franchisees.justice.gov.il,Could not resolve host: franchisees.justice.gov.il
fsl.cma.gov.il,403
ft.auth.govforms.gov.il,302
ft.govforms.gov.il,403
gadol.edu.gov.il,Connection timed out after 3001 milliseconds
geo.mapi.gov.il,Could not resolve host: geo.mapi.gov.il
geo.mot.gov.il,SSL certificate problem: unable to get local issuer certificate
geofiles.mapi.gov.il,Could not resolve host: geofiles.mapi.gov.il
gimlaim.mod.gov.il,302
gis-appraisal.justice.gov.il,Could not resolve host: gis-appraisal.justice.gov.il
gmc.gov.il,Connection timed out after 3002 milliseconds
govcarins.mof.gov.il,403
govforms.gov.il,403
govmap.gov.il,302
govpro.gov.il,Could not resolve host: govpro.gov.il
govshare.gov.il,Could not resolve host: govshare.gov.il
greeneconomy.blog.tamat.gov.il,Could not resolve host: greeneconomy.blog.tamat.gov.il
greenlicensing.sviva.gov.il,Could not resolve host: greenlicensing.sviva.gov.il
gsi.gov.il,301
hachvana.mod.gov.il,Could not resolve host: hachvana.mod.gov.il
hackathon.tel-aviv.gov.il,Could not resolve host: hackathon.tel-aviv.gov.il
hadshon.edu.gov.il,302
harb.cma.gov.il,403
hasamba.tel-aviv.gov.il,Could not resolve host: hasamba.tel-aviv.gov.il
havarot.justice.gov.il,Could not resolve host: havarot.justice.gov.il
havarotsc.justice.gov.il,Connection timed out after 3002 milliseconds
hayomtori.tel-aviv.gov.il,Could not resolve host: hayomtori.tel-aviv.gov.il
health.gov.il,301
healthcare-israel.gov.il,SSL certificate problem: certificate has expired
helpdesk.gov.il,200
hinuch.education.gov.il,Could not resolve host: hinuch.education.gov.il
hishtalmuyot.justice.gov.il,Could not resolve host: hishtalmuyot.justice.gov.il
hly.gov.il,403
horizon.tel-aviv.gov.il,Could not resolve host: horizon.tel-aviv.gov.il
