domain,http_status,mx
ddd.gov.in,200,
dded.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
delhi.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
delhiexcise.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
djb.gov.in,302,
dnh.gov.in,200,
dtemaharashtra.gov.in,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching dtemaharashtra.gov.in found.,
dvat.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
dvet.gov.in,301,
dwsspunjab.gov.in,ConnectException,
eassemblygoa.gov.in,200,
emitra.gov.in,ConnectException,
employmentbankwb.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
eprocpbpwd.gov.in,ConnectException,
eserviceshp.gov.in,ConnectException,
esiwb.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
finance-jharkhand.gov.in,ConnectException,
goa.gov.in,301,
goadmg.gov.in,ConnectException,
goaelectricity.gov.in,301,
goaonline.gov.in,404,
goaprisons.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
goaspcb.gov.in,HttpTimeoutException: request timed out,
goavidhansabha.gov.in,200,
goawrd.gov.in,200,
gujarat.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
gujaratindia.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
hartrans.gov.in,200,
haryana.gov.in,301,
haryanaeprocurement.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
haryanaeseva.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
haryanaindustries.gov.in,200,
haryanatransport.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
herc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
himachal.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
hp.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
hptax.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
hptenders.gov.in,200,
hrmsorissa.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
huda.gov.in,ConnectException,
ifmsodisha.gov.in,ConnectException,
igrmaharashtra.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
investkarnataka.gov.in,ConnectException,
investpunjab.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
itschool.gov.in,ConnectException,
jharkhand.gov.in,200,
jharkhandcomtax.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
jharkhandtenders.gov.in,200,
jhpolice.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
jk.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
jkcomtax.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
jktenders.gov.in,200,
jpsc.gov.in,200,
karnataka.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
kerala.gov.in,200,
keralamvd.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
keralanews.gov.in,200,
keralapolice.gov.in,200,
keralapoliceacademy.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
keralaprisons.gov.in,301,
keralawomen.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
khajane2.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
kmvn.gov.in,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching kmvn.gov.in found.,
ksp.gov.in,ConnectException,
ladakh.gov.in,200,
lakpds.gov.in,200,
lakshadweep.gov.in,200,
lsgkerala.gov.in,200,
mahaagriiqc.gov.in,ConnectException,
mahafireservice.gov.in,302,
mahagst.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mahakosh.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mahaonline.gov.in,"ProtocolException: Invalid header name ""HTTP strict transport security""",
maharain.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
maharashtra.gov.in,200,
maharashtratourism.gov.in,200,
maharojgar.gov.in,ConnectException,
mahasugarcom.gov.in,ConnectException,
mahatenders.gov.in,200,
mahavat.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
manassembly.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
manipur.gov.in,200,
manipureducation.gov.in,200,
manipurtenders.gov.in,200,
manipurtourism.gov.in,200,
manipurwomencommission.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
meeseva.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
meghalaya.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
meghalayaonline.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
meghalayatenders.gov.in,200,
mhada.gov.in,403,
mizoram.gov.in,403,
mizoramtenders.gov.in,200,
mn.gov.in,ConnectException,
mp.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mpanashik.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mpcb.gov.in,200,
mpenagarpalika.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mpeproc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mpforest.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mponline.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
mpsc.gov.in,200,
mpwrd.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
nagaland.gov.in,200,
nagalandtenders.gov.in,200,
odisha.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
odishaonline.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
odishatax.gov.in,403,
odishatreasury.gov.in,301,
onlinevotinggujarat.gov.in,ConnectException,
orissa.gov.in,ConnectException,
orissaonline.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
orissatreasury.gov.in,ConnectException: Host is unreachable,
pbirrigation.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
pdsodisha.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
ppsc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
prbdb.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
prdbihar.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
pscwbonline.gov.in,ConnectException: Host is unreachable,
puducherry.gov.in,ConnectException,
pudutenders.gov.in,200,
punjab.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
punjabgovt.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
pwddelhi.gov.in,301,
pwdpunjab.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
py.gov.in,200,
rajasthan.gov.in,200,
rajexcise.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
rajivswagruhaap.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
rajpolice.gov.in,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching rajpolice.gov.in found.,
scrbbihar.gov.in,ConnectException,
sikkim.gov.in,404,
sikkimssdg.gov.in,ConnectException,
sikkimtax.gov.in,"SSLHandshakeException: (protocol_version) The server selected protocol version TLS10 is not accepted by client preferences [TLS13, TLS12]",
sikkimtender.gov.in,200,
spark.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tamilnadu.gov.in,ConnectException,
telangana.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
telanganafin.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tendersodisha.gov.in,200,
tgct.gov.in,200,
tn.gov.in,301,
tncctns.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tnregipayment.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tnsamb.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tnschools.gov.in,200,
tnsta.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tntenders.gov.in,200,
tnvat.gov.in,ConnectException,
tnvelaivaaippu.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tripura.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
tripuratenders.gov.in,200,
tspsc.gov.in,ConnectException,
uk.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
ukpscappl.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
uktenders.gov.in,200,
ulbodisha.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
ulborissa.gov.in,ConnectException,
up.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
uppolice.gov.in,200,
upsdm.gov.in,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,
uttarakhand.gov.in,ConnectException,
vtpckarnataka.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wb.gov.in,200,
wbagrisnet.gov.in,ConnectException,
wbaitax.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbboilers.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbcommissionerdisabilities.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbcomtax.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbconsumers.gov.in,302,
wbexcise.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbfes.gov.in,200,
wbhealthscheme.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbhousing.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbifms.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbisgpp.gov.in,ConnectException,
wbkanyashree.gov.in,ConnectException,
wblc.gov.in,HttpConnectTimeoutException: HTTP connect timed out,
wbpds.gov.in,200,
wbphed.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
wbregistration.gov.in,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
wbsed.gov.in,ConnectException,
wbtdc.gov.in,ConnectException,
wbtenders.gov.in,200,
wburbandev.gov.in,ConnectException,
westbengal.gov.in,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching westbengal.gov.in found.,
