domain,http_status,mx
durango.gob.mx,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching durango.gob.mx found.,
e-hidalgo.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
ebajacalifornia.gob.mx,ConnectException,
ecespm.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
edomex.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
edomexico.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
eguanajuato.gob.mx,301,
esonora.gob.mx,ConnectException,
finanzasdurango.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
finanzasoaxaca.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
finanzastlax.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
fuerzacivil.gob.mx,ConnectException,
gobiernodeveracruz.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
guanajuato.gob.mx,200,
guerrero.gob.mx,403,
hacienda-nayarit.gob.mx,200,
hidalgo.gob.mx,301,
icvnl.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
idpnl.gob.mx,SSLHandshakeException: Remote host terminated the handshake,
ifrem.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
indebc.gob.mx,200,
indivibc.gob.mx,302,
ipejal.gob.mx,200,
isapeg.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
isseg.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
issemym.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
issstecali.gob.mx,302,
jalisco.gob.mx,200,
juicioenlineasinaloa.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
justiciapenalaguascalientes.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
legislaturaqueretaro.gob.mx,ConnectException,
mexicocity.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
michoacan.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
morelos.gob.mx,301,
nay.gob.mx,ConnectException,
nayarit.gob.mx,403,
nl.gob.mx,403,
nuevoleon.gob.mx,SSLHandshakeException: Remote host terminated the handshake,
oaxaca.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
ofsbc.gob.mx,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ofsbc.gob.mx found.,
ofsgto.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
ofstlaxcala.gob.mx,200,
orfis.gob.mx,301,
pgjdf.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
pgjebc.gob.mx,ConnectException,
pgjeguerrero.gob.mx,301,
pgjgto.gob.mx,ConnectException,
pgjguanajuato.gob.mx,ConnectException,
pgjoaxaca.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
pgjqro.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
pjbc.gob.mx,200,
pjenl.gob.mx,ConnectException,
pjeveracruz.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
poderjudicial-gto.gob.mx,301,
poderjudicialcdmx.gob.mx,403,
poderjudicialdf.gob.mx,HttpTimeoutException: request timed out,
poderjudicialyucatan.gob.mx,301,
puebla.gob.mx,ConnectException,
qroo.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
queretaro.gob.mx,200,
regulacionsanitarianl.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
repssbc.gob.mx,ConnectException,
sadm.gob.mx,HttpTimeoutException: request timed out,
saludsonora.gob.mx,ConnectException,
saludtlax.gob.mx,ConnectException,
sdrguerrero.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
secogem.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
secomver.gob.mx,ConnectException,
secturveracruz.gob.mx,ConnectException,
sefiplan.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
seg-gto.gob.mx,ConnectException,
seg.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
segey.gob.mx,ConnectException,
seguridadbc.gob.mx,200,
setyde.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
sf-nayarit.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
sfapuebla.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
sfcoahuila.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
sinaloa.gob.mx,200,
slp.gob.mx,200,
slpfinanzas.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
sonora.gob.mx,403,
ssaver.gob.mx,302,
sspo.gob.mx,200,
sspver.gob.mx,ConnectException,
stjsonora.gob.mx,200,
tabasco.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
tamaulipas.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
tcagto.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
tcanl.gob.mx,SSLHandshakeException: Remote host terminated the handshake,
tlaxcala.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
tribunaloaxaca.gob.mx,200,
tribunalqro.gob.mx,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching tribunalqro.gob.mx found.,
tsjdf.gob.mx,ConnectException,
tsjqroo.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
veracruz.gob.mx,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
yucatan.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
zacatecas.gob.mx,HttpConnectTimeoutException: HTTP connect timed out,
