subdomain,http_status,mx
autodiscover.ried-traunkreis.ooe.gv.at,Failed to connect to autodiscover.ried-traunkreis.ooe.gv.at port 443 after 92 ms: Could not connect to server,none
autodiscover.ried.gv.at,Failed to connect to autodiscover.ried.gv.at port 443 after 144 ms: Could not connect to server,none
autodiscover.rohr.ooe.gv.at,Failed to connect to autodiscover.rohr.ooe.gv.at port 443 after 72 ms: Could not connect to server,none
autodiscover.scg.gv.at,302,none
autodiscover.schienencontrol.gv.at,302,none
autodiscover.schwertberg.ooe.gv.at,Could not resolve host: autodiscover.schwertberg.ooe.gv.at,none
autodiscover.seiersberg-pirka.gv.at,Connection timed out after 3001 milliseconds,none
autodiscover.sierning.ooe.gv.at,Failed to connect to autodiscover.sierning.ooe.gv.at port 443 after 133 ms: Could not connect to server,none
autodiscover.sport.gv.at,Could not resolve host: autodiscover.sport.gv.at,none
autodiscover.st-aegidi.ooe.gv.at,Failed to connect to autodiscover.st-aegidi.ooe.gv.at port 443 after 89 ms: Could not connect to server,none
autodiscover.st-florian.ooe.gv.at,Failed to connect to autodiscover.st-florian.ooe.gv.at port 443 after 138 ms: Could not connect to server,none
autodiscover.st-gotthard.ooe.gv.at,Failed to connect to autodiscover.st-gotthard.ooe.gv.at port 443 after 139 ms: Could not connect to server,none
autodiscover.st-johann-wimberg.ooe.gv.at,Failed to connect to autodiscover.st-johann-wimberg.ooe.gv.at port 443 after 120 ms: Could not connect to server,none
autodiscover.st-lorenz.ooe.gv.at,Failed to connect to autodiscover.st-lorenz.ooe.gv.at port 443 after 86 ms: Could not connect to server,none
autodiscover.st-marien.ooe.gv.at,Failed to connect to autodiscover.st-marien.ooe.gv.at port 443 after 92 ms: Could not connect to server,none
autodiscover.st-peter-wimberg.ooe.gv.at,Failed to connect to autodiscover.st-peter-wimberg.ooe.gv.at port 443 after 81 ms: Could not connect to server,none
autodiscover.st-poelten.gv.at,Connection timed out after 3002 milliseconds,none
autodiscover.st-wolfgang.ooe.gv.at,Connection timed out after 3002 milliseconds,none
autodiscover.stbh.gv.at,302,none
autodiscover.taufkirchen-trattnach.ooe.gv.at,Failed to connect to autodiscover.taufkirchen-trattnach.ooe.gv.at port 443 after 166 ms: Could not connect to server,none
autodiscover.thal.gv.at,Failed to connect to autodiscover.thal.gv.at port 443 after 179 ms: Could not connect to server,none
autodiscover.tirol.gv.at,Could not resolve host: autodiscover.tirol.gv.at,none
autodiscover.traiskirchen.gv.at,302,none
autodiscover.usp.gv.at,Could not resolve host: autodiscover.usp.gv.at,none
autodiscover.vfgh.gv.at,Failed to connect to autodiscover.vfgh.gv.at port 443 after 774 ms: Could not connect to server,none
autodiscover.vorchdorf.ooe.gv.at,Failed to connect to autodiscover.vorchdorf.ooe.gv.at port 443 after 124 ms: Could not connect to server,none
autodiscover.vst.gv.at,302,none
autodiscover.weyer.ooe.gv.at,Failed to connect to autodiscover.weyer.ooe.gv.at port 443 after 102 ms: Could not connect to server,none
autodiscover.zell-pettenfirst.ooe.gv.at,Failed to connect to autodiscover.zell-pettenfirst.ooe.gv.at port 443 after 50 ms: Could not connect to server,none
av.fma.gv.at,Could not resolve host: av.fma.gv.at,none
av.ktn.gv.at,Could not resolve host: av.ktn.gv.at,none
avs.gemeindebund.gv.at,200,none
awi.bev.gv.at,"OpenSSL SSL_read: OpenSSL/3.5.3: error:0A00045C:SSL routines::tlsv13 alert certificate required, errno 0",none
awi.bmnt.gv.at,Could not resolve host: awi.bmnt.gv.at,none
awp-qs.justiz.gv.at,Could not resolve host: awp-qs.justiz.gv.at,none
awp-test.justiz.gv.at,Could not resolve host: awp-test.justiz.gv.at,none
awp-test.noe.gv.at,"OpenSSL SSL_read: OpenSSL/3.5.3: error:0A00045C:SSL routines::tlsv13 alert certificate required, errno 0",none
awp-test.noel.gv.at,302,none
awp.bbg.gv.at,403,none
awp.entw.portal.bka.gv.at,Could not resolve host: awp.entw.portal.bka.gv.at,none
awp.justiz.gv.at,Could not resolve host: awp.justiz.gv.at,none
awp.noe.gv.at,"OpenSSL SSL_read: OpenSSL/3.5.3: error:0A00045C:SSL routines::tlsv13 alert certificate required, errno 0",none
awp.noel.gv.at,Could not resolve host: awp.noel.gv.at,none
awp.portal.bka.gv.at,Could not resolve host: awp.portal.bka.gv.at,none
awp.test.portal.bka.gv.at,403,none
awp.webportal.justiz.gv.at,Failed to connect to awp.webportal.justiz.gv.at port 443 after 45 ms: Could not connect to server,none
awp2.bbg.gv.at,403,none
awptest.noe.gv.at,"OpenSSL SSL_read: OpenSSL/3.5.3: error:0A00045C:SSL routines::tlsv13 alert certificate required, errno 0",none
awptest.noel.gv.at,302,none
bach.tirol.gv.at,Could not resolve host: bach.tirol.gv.at,none
bad-goisern.ooe.gv.at,Could not resolve host: bad-goisern.ooe.gv.at,0 badgoisern-ooe-gv-at0i.mail.protection.outlook.com.
bad-leonfelden.ooe.gv.at,301,none
bad-waltersdorf.gv.at,301,none
badgams.gv.at,Resolving timed out after 3000 milliseconds,0 badgams.gv.at.
baes.gv.at,200,5 baes-gv-at.mail.protection.outlook.com.
basg.gv.at,301,5 basg-gv-at.mail.protection.outlook.com.
baustellenkontrolle-qm.wien.gv.at,Could not resolve host: baustellenkontrolle-qm.wien.gv.at,none
baustellenkontrolle.wien.gv.at,Could not resolve host: baustellenkontrolle.wien.gv.at,none
bbr.innsbruck.gv.at,503,none
bc.bmwf.gv.at,Could not resolve host: bc.bmwf.gv.at,none
bcms-stats.bmbf.gv.at,Could not resolve host: bcms-stats.bmbf.gv.at,none
bda.gv.at,301,none
behamberg.gv.at,200,none
bergis.bmwa.gv.at,Could not resolve host: bergis.bmwa.gv.at,none
bev.gv.at,301,none
bewerbung1.noe.gv.at,SSL certificate problem: self-signed certificate,none
bewerbung1.noel.gv.at,SSL certificate problem: self-signed certificate,none
bewerbung2.noe.gv.at,SSL certificate problem: self-signed certificate,none
bewerbung2.noel.gv.at,SSL certificate problem: unable to get local issuer certificate,none
bewerbung3.noe.gv.at,Could not resolve host: bewerbung3.noe.gv.at,none
bewerbung3.noel.gv.at,Could not resolve host: bewerbung3.noel.gv.at,none
bewerbung4.noe.gv.at,Could not resolve host: bewerbung4.noe.gv.at,none
bewerbung4.noel.gv.at,Could not resolve host: bewerbung4.noel.gv.at,none
bewerbungen.noel.gv.at,SSL certificate problem: unable to get local issuer certificate,none
beyond-europe.era.gv.at,Could not resolve host: beyond-europe.era.gv.at,none
bfg.gv.at,301,none
bfw.gv.at,301,10 mx1.bfw.gv.at.
bfwmail.bfw.gv.at,SSL certificate problem: unable to get local issuer certificate,none
bg-portal-test.noe.gv.at,404,none
bg-portal-test.noel.gv.at,302,none
bg-portal.noe.gv.at,Could not resolve host: bg-portal.noe.gv.at,none
bg-portal.noel.gv.at,302,none
bg-stp-test.noe.gv.at,Could not resolve host: bg-stp-test.noe.gv.at,none
bg-stp-test.noel.gv.at,302,none
bgem-e1.bgld.gv.at,200,none
bgem-e2.bgld.gv.at,Could not resolve host: bgem-e2.bgld.gv.at,none
bgem-mobil.bgld.gv.at,302,none
bgld.gv.at,302,none
biberbach.gv.at,200,none
bibis.bmlv.gv.at,302,none
bibis.bmlvs.gv.at,302,none
bibliothekskatalog.noe.gv.at,SSL certificate problem: unable to get local issuer certificate,none
bibliothekskatalog.noel.gv.at,SSL certificate problem: unable to get local issuer certificate,none
bichlbach.tirol.gv.at,Could not resolve host: bichlbach.tirol.gv.at,none
bka.gv.at,301,10 maild.bka.gv.at.
bksuche-app.brz.gv.at,Could not resolve host: bksuche-app.brz.gv.at,none
bksuche-service.brz.gv.at,Could not resolve host: bksuche-service.brz.gv.at,none
bksuche.brz.gv.at,Connection timed out after 3002 milliseconds,none
bku.vorarlberg.gv.at,Could not resolve host: bku.vorarlberg.gv.at,none
blackout.ooe.gv.at,Connection timed out after 3002 milliseconds,none
blancco.ooe.gv.at,Could not resolve host: blancco.ooe.gv.at,none
