subdomain,parent_domain,http_status,mx
fssisuppliertest.ext.fss-nsso.gov.ie,gov.ie,Connection timed out after 3000 milliseconds,none
fssmft.ext.fss-nsso.gov.ie,gov.ie,Could not resolve host: fssmft.ext.fss-nsso.gov.ie,none
fssmfttest.ext.fss-nsso.gov.ie,gov.ie,Connection timed out after 3000 milliseconds,none
fsstest.ext.fss-nsso.gov.ie,gov.ie,Could not resolve host: fsstest.ext.fss-nsso.gov.ie,none
geata-test.dccae.gov.ie,gov.ie,Could not resolve host: geata-test.dccae.gov.ie,none
geata-test.dcenr.gov.ie,gov.ie,Could not resolve host: geata-test.dcenr.gov.ie,none
geata.dccae.gov.ie,gov.ie,Could not resolve host: geata.dccae.gov.ie,none
geata.dcenr.gov.ie,gov.ie,Could not resolve host: geata.dcenr.gov.ie,none
geata.decc.gov.ie,gov.ie,Could not resolve host: geata.decc.gov.ie,none
geata2.dccae.gov.ie,gov.ie,Could not resolve host: geata2.dccae.gov.ie,none
geata2.dcenr.gov.ie,gov.ie,Could not resolve host: geata2.dcenr.gov.ie,none
geata2.decc.gov.ie,gov.ie,Could not resolve host: geata2.decc.gov.ie,none
ggbudgetreporting.gov.ie,gov.ie,Could not resolve host: ggbudgetreporting.gov.ie,none
gn.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,10 cwext.gn.gov.ie.; 10 gbext.gn.gov.ie.
gov.ie,gov.ie,301,none
govacc.per.gov.ie,gov.ie,302,none
gsi.geodata.gov.ie,gov.ie,403,none
gwfi.itservices.gov.ie,gov.ie,Could not resolve host: gwfi.itservices.gov.ie,none
gwfic.itservices.gov.ie,gov.ie,Could not resolve host: gwfic.itservices.gov.ie,none
health.gov.ie,gov.ie,302,none
heritage.gov.ie,gov.ie,Could not resolve host: heritage.gov.ie,none
hert-jnr-mail1.heritage.gov.ie,gov.ie,Could not resolve host: hert-jnr-mail1.heritage.gov.ie,none
housing.gov.ie,gov.ie,Could not resolve host: housing.gov.ie,none
housing.gov.ie.master-7rqtwti-ycsaupgtdlwvo.eu.platform.sh,gov.ie,Could not resolve host: housing.gov.ie.master-7rqtwti-ycsaupgtdlwvo.eu.platform.sh,none
housing.old.gov.ie.master-7rqtwti-ycsaupgtdlwvo.eu.platform.sh,gov.ie,SSL: no alternative certificate subject name matches target hostname 'housing.old.gov.ie.master-7rqtwti-ycsaupgtdlwvo.eu.platform.sh',none
hr.old.gov.ie,gov.ie,Could not resolve host: hr.old.gov.ie,none
hr.per.gov.ie,gov.ie,Could not resolve host: hr.per.gov.ie,none
hr.testing.gov.ie,gov.ie,Could not resolve host: hr.testing.gov.ie,none
i.bts.gov.ie,gov.ie,Could not resolve host: i.bts.gov.ie,none
iamsso.agriculture.gov.ie,gov.ie,Could not resolve host: iamsso.agriculture.gov.ie,none
iamsso.iuat.agriculture.gov.ie,gov.ie,SSL: no alternative certificate subject name matches target hostname 'iamsso.iuat.agriculture.gov.ie',none
ictstrategy.per.gov.ie,gov.ie,Could not resolve host: ictstrategy.per.gov.ie,none
ifisws.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
ifisws.iprelive.agriculture.gov.ie,gov.ie,Could not resolve host: ifisws.iprelive.agriculture.gov.ie,none
ifisws.iuat.agriculture.gov.ie,gov.ie,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,none
igees.gov.ie,gov.ie,Could not resolve host: igees.gov.ie,none
igees.testing.gov.ie,gov.ie,Could not resolve host: igees.testing.gov.ie,none
immigration.gov.ie,gov.ie,Could not resolve host: immigration.gov.ie,none
implementationbody.gov.ie,gov.ie,Could not resolve host: implementationbody.gov.ie,none
inis.gov.ie,gov.ie,Could not resolve host: inis.gov.ie,none
int.fss-nsso.gov.ie,gov.ie,Could not resolve host: int.fss-nsso.gov.ie,none
int.nsso.gov.ie,gov.ie,Could not resolve host: int.nsso.gov.ie,none
ipoi.gov.ie,gov.ie,200,none
ireland.ie,ireland.ie,403,20 ALT2.ASPMX.L.GOOGLE.COM.; 20 ALT1.ASPMX.L.GOOGLE.COM.; 10 ASPMX.L.GOOGLE.COM.
ireland2016.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
isi.gov.ie,gov.ie,302,none
itest.agriculture.gov.ie,gov.ie,Could not resolve host: itest.agriculture.gov.ie,none
itest.ws.agriculture.gov.ie,gov.ie,Could not resolve host: itest.ws.agriculture.gov.ie,none
itrain.agriculture.gov.ie,gov.ie,Could not resolve host: itrain.agriculture.gov.ie,none
its.education.gov.ie,gov.ie,Could not resolve host: its.education.gov.ie,none
itservices.gov.ie,gov.ie,Could not resolve host: itservices.gov.ie,none
iuat.agriculture.gov.ie,gov.ie,Could not resolve host: iuat.agriculture.gov.ie,none
iuat.agws.agriculture.gov.ie,gov.ie,Could not resolve host: iuat.agws.agriculture.gov.ie,none
iuat.aimws.agriculture.gov.ie,gov.ie,Could not resolve host: iuat.aimws.agriculture.gov.ie,none
iuat.marinews.agriculture.gov.ie,gov.ie,Could not resolve host: iuat.marinews.agriculture.gov.ie,none
jdeweb.itservices.gov.ie,gov.ie,Could not resolve host: jdeweb.itservices.gov.ie,none
jira.agriculture.gov.ie,gov.ie,Could not resolve host: jira.agriculture.gov.ie,none
jira.centest.agriculture.gov.ie,gov.ie,Could not resolve host: jira.centest.agriculture.gov.ie,none
jira.dev.agriculture.gov.ie,gov.ie,Could not resolve host: jira.dev.agriculture.gov.ie,none
jira.lrp.agriculture.gov.ie,gov.ie,Could not resolve host: jira.lrp.agriculture.gov.ie,none
jira.prelive.agriculture.gov.ie,gov.ie,Could not resolve host: jira.prelive.agriculture.gov.ie,none
jira.uat.agriculture.gov.ie,gov.ie,Could not resolve host: jira.uat.agriculture.gov.ie,none
join.vc.gov.ie,gov.ie,200,none
join1.vc.gov.ie,gov.ie,400,none
join2.vc.gov.ie,gov.ie,400,none
kerry-ex1.tsr.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
kerry-ironport.ahg.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
kild-ex1.tsr.gov.ie,gov.ie,Could not resolve host: kild-ex1.tsr.gov.ie,none
kild-ironport.ahg.gov.ie,gov.ie,Connection timed out after 3003 milliseconds,none
kild-skype-pexipconf.vc.ahg.gov.ie,gov.ie,Could not resolve host: kild-skype-pexipconf.vc.ahg.gov.ie,none
kilskypewebsrvext01.dbei.gov.ie,gov.ie,Could not resolve host: kilskypewebsrvext01.dbei.gov.ie,none
leads.gov.ie,gov.ie,Could not resolve host: leads.gov.ie,none
legacy.agriculture.gov.ie,gov.ie,Could not resolve host: legacy.agriculture.gov.ie,none
legacy.education.gov.ie,gov.ie,Could not resolve host: legacy.education.gov.ie,none
lfdipsvcse.vc.gov.ie,gov.ie,Could not resolve host: lfdipsvcse.vc.gov.ie,none
lfdvcse.vc.gov.ie,gov.ie,Could not resolve host: lfdvcse.vc.gov.ie,none
liquidfiles.csso.gov.ie,gov.ie,200,none
litir.dcenr.gov.ie,gov.ie,Connection timed out after 3002 milliseconds,none
lyncdiscover.chg.gov.ie,gov.ie,Could not resolve host: lyncdiscover.chg.gov.ie,none
lyncdiscover.dbei.gov.ie,gov.ie,Could not resolve host: lyncdiscover.dbei.gov.ie,none
lyncdiscover.education.gov.ie,gov.ie,Could not resolve host: lyncdiscover.education.gov.ie,none
lyncexternal.chg.gov.ie,gov.ie,Could not resolve host: lyncexternal.chg.gov.ie,none
