hostname,score,sources,label,level,http_status,mx
ethemb.se,4,wikidata,embassy of Ethiopia to Sweden,central,403,none
etikprovning.se,4,wikidata,Swedish Ethical Review Authority,central,301,30 se.mx3.mailanyone.net.; 10 se.mx1.mailanyone.net.; 40 se.mx4.mx25.net.; 20 se.mx2.mx25.net.
fba.se,4,wikidata,Folke Bernadotte Academy,central,200,0 fba-se.mail.protection.outlook.com.
fhs.se,4,wikidata,Swedish Defence University,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 fhs-se.mail.protection.outlook.com.
fmi.se,4,wikidata,Swedish Estate Agents Inspectorate,central,200,10 fmi-se.mail.protection.outlook.com.
foi.se,4,wikidata,Swedish Defence Research Agency,central,200,0 ip1-m.foi.se.
folkhalsomyndigheten.se,4,wikidata,Public Health Agency of Sweden,central,301,30 se.mx3.mailanyone.net.; 20 se.mx2.mx25.net.; 40 se.mx4.mx25.net.; 10 se.mx1.mailanyone.net.
formas.se,4,wikidata,Formas,central,200,10 mailgw5.vinnova.se.; 20 mailgw6.vinnova.se.
forsakringskassan.se,4,wikidata,Swedish Social Insurance Agency,central,301,5 maily2.forsakringskassan.se.; 5 maily1.forsakringskassan.se.
forskarskattenamnden.se,4,wikidata,The Taxation of Research Workers Board,central,IOException: HTTP/1.1 header parser received no bytes,10 marathon.skatteverket.se.; 10 telegraf.skatteverket.se.; 10 ansible.skatteverket.se.
forsvarsmakten.se,4,wikidata,Swedish Armed Forces,central,301,10 mx-70.mil.se.; 10 mx-50.mil.se.; 10 mx-60.mil.se.; 10 mx-80.mil.se.
fortifikationsverket.se,4,wikidata,National Fortifications Administration,central,302,10 mail02.fortifikationsverket.se.; 10 mail01.fortifikationsverket.se.
fpr.se,4,wikidata,Swedish Fiscal Policy Council,central,301,10 mx-01-eu-central-1.prod.hydra.sophos.com.; 20 mx-02-eu-central-1.prod.hydra.sophos.com.
fra.se,4,wikidata,National Defence Radio Establishment,central,405,40 mx-03.fra.se.; 30 mx-04.fra.se.
ftn.se,4,wikidata,Swedish Fund Selection Agency,,301,20 smtp3.pensionsmyndigheten.se.; 30 smtp4.pensionsmyndigheten.se.
genteknik.se,4,wikidata,Swedish Gene Technology Advisory Board,central,200,0 genteknik-se.mail.protection.outlook.com.
