subdomain,mx
webmail.prs-mesrs.gov.mr,none
webmail.tekwini.gov.mr,none
ws.taazour.gov.mr,none
ws.tekavoul.gov.mr,none
ws2.tekavoul.gov.mr,none
www.aacpresidentunivnkc.mesrs.gov.mr,none
www.admin.elearning.gov.mr,none
www.affairesislamiques.gov.mr,none
www.agriculture.gov.mr,none
www.anrpts.gov.mr,none
www.apim.gov.mr,none
www.assainissement.gov.mr,none
www.awqaf.gov.mr,none
www.backend-temwin.csa.gov.mr,none
www.bnm.gov.mr,none
www.cdd.gov.mr,none
www.cdhahrsc.gov.mr,none
www.cdn.gov.mr,none
www.cet-mahadra.gov.mr,none
www.cfed.gov.mr,none
www.chinguetti.gov.mr,none
www.cm-kitab.gov.mr,none
www.cn-lct.gov.mr,none
www.cnc.gov.mr,none
www.commerce.gov.mr,none
www.concours-sup.gov.mr,none
www.coordination-dgcg.gov.mr,none
www.couverture.gov.mr,none
www.cpmpmidec.gov.mr,none
www.csa.gov.mr,none
www.culture.gov.mr,none
www.ddfa-sub-engrais.gov.mr,none
www.decentralisation.gov.mr,none
www.dgpsp.gov.mr,none
www.diplomatie.gov.mr,none
www.diplomes.gov.mr,none
www.domaines.gov.mr,none
www.economie.gov.mr,none
www.education.gov.mr,none
www.elearning.gov.mr,none
www.elevage.gov.mr,none
www.emploi.gov.mr,none
www.en.gov.mr,none
www.energies-petrole.gov.mr,none
www.environnement.gov.mr,none
www.exp-c1.mtnima.gov.mr,none
www.exp-e1.mtnima.gov.mr,none
www.fdpc.gov.mr,none
www.finances.gov.mr,none
www.fonctionpublique.gov.mr,none
www.govcom-call.gov.mr,none
www.govcom-chat.gov.mr,none
www.govcom.gov.mr,none
www.habitat.gov.mr,none
www.hydraulique.gov.mr,none
www.impots.gov.mr,none
www.interieur.gov.mr,none
www.ipv6.gov.mr,none
www.iskan.gov.mr,none
www.islah.gov.mr,none
www.jcom.gov.mr,none
www.justice.gov.mr,none
www.kennach.gov.mr,none
www.khidmaty.gov.mr,none
