subdomain,http_status
autodiscover.gov.bw,"302"
npc.gov.bw,"Could not resolve host: npc.gov.bw"
nowtv.gov.bw,"200"
op.gov.bw,"Could not resolve host: op.gov.bw"
mohmbg.gov.bw,"SSL certificate problem: certificate has expired"
outlook.gob.gov.bw,"Could not resolve host: outlook.gob.gov.bw"
privatesecurityportal.gov.bw,"Could not resolve host: privatesecurityportal.gov.bw"
permits-admin.gov.bw,"Failed to connect to permits-admin.gov.bw port 443 after 402 ms: Could not connect to server"
prodappl.bpol.gov.bw,"Could not resolve host: prodappl.bpol.gov.bw"
prodccrs.bpol.gov.bw,"Could not resolve host: prodccrs.bpol.gov.bw"
permits-app.gov.bw,"Could not resolve host: permits-app.gov.bw"
rab-cus-acc.gov.bw,"Could not resolve host: rab-cus-acc.gov.bw"
mohmicc.gov.bw,"SSL certificate problem: certificate has expired"
cssdptapi-trade-acc.gov.bw,"404"
onlineauction-uat.gov.bw,"200"
next.botswanaspeaks.gov.bw,"SSL: no alternative certificate subject name matches target hostname 'next.botswanaspeaks.gov.bw'"
mohinnovations.gov.bw,"200"
cssrmq-trade-acc.gov.bw,"404"
pbcs.mlha.gov.bw,"Failed to connect to pbcs.mlha.gov.bw port 443 after 561 ms: Could not connect to server"
portal.miningcadastre.gov.bw,"Could not resolve host: portal.miningcadastre.gov.bw"
radiobotswana.gov.bw,"Could not resolve host: radiobotswana.gov.bw"
mysc-ims-uat.gov.bw,"200"
palapye.cdc.gov.bw,"Could not resolve host: palapye.cdc.gov.bw"
parliament.gov.bw,"SSL certificate problem: certificate has expired"
prosperitybotswana.gov.bw,"Could not resolve host: prosperitybotswana.gov.bw"
rab-cus.gov.bw,"Could not resolve host: rab-cus.gov.bw"
rab-dev-acc.gov.bw,"Could not resolve host: rab-dev-acc.gov.bw"
cssmtiapi-trade-acc.gov.bw,"403"
rab-dev.gov.bw,"Could not resolve host: rab-dev.gov.bw"
landfolio.miningcadastre.gov.bw,"302"
1gov-dev-gateway-acc.gov.bw,"Connection timed out after 3000 milliseconds"
slmseservap.gov.bw,"Could not resolve host: slmseservap.gov.bw"
rab-odo-acc.gov.bw,"Could not resolve host: rab-odo-acc.gov.bw"
1gov-accesschannels.gov.bw,"Connection timed out after 3001 milliseconds"
accdev.gov.bw,"Connection timed out after 3002 milliseconds"
1gov-int-gateway.gov.bw,"Operation timed out after 3000 milliseconds with 0 bytes received"
rab-odo.gov.bw,"Could not resolve host: rab-odo.gov.bw"
ppm.gov.bw,"SSL certificate problem: certificate has expired"
baits3.gov.bw,"Resolving timed out after 3000 milliseconds"
bobirwa.cdc.gov.bw,"Connection timed out after 3000 milliseconds"
boteti.cdc.gov.bw,"Connection timed out after 3002 milliseconds"
bodamis.gov.bw,"Connection timed out after 3000 milliseconds"
bhrims.gov.bw,"Connection timed out after 3001 milliseconds"
rts-db-acc.gov.bw,"Could not resolve host: rts-db-acc.gov.bw"
botswana.gov.bw,"Connection timed out after 3001 milliseconds"
botswanaemr.gov.bw,"Connection timed out after 3000 milliseconds"
bpermit.gov.bw,"Connection timed out after 3002 milliseconds"
rts-app-acc.gov.bw,"Could not resolve host: rts-app-acc.gov.bw"
refsim.gov.bw,"Could not resolve host: refsim.gov.bw"
cdc.gov.bw,"Connection timed out after 3001 milliseconds"
reg-eur-acc.gov.bw,"Failed to connect to reg-eur-acc.gov.bw port 443 after 391 ms: Could not connect to server"
pslregistration.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
onegov-serviceregistry.gov.bw,"200"
pimsbackups.gov.bw,"200"
registry.gov.bw,"Could not resolve host: registry.gov.bw"
rsm01sw46.gov.bw,"Could not resolve host: rsm01sw46.gov.bw"
mohmicollab.gov.bw,"SSL certificate problem: certificate has expired"
police.gov.bw,"Could not resolve host: police.gov.bw"
social-support.gov.bw,"Could not resolve host: social-support.gov.bw"
rts-app.gov.bw,"Could not resolve host: rts-app.gov.bw"
sponsor.gov.bw,"Could not resolve host: sponsor.gov.bw"
supplychain.gov.bw,"Could not resolve host: supplychain.gov.bw"
reg-eur.gov.bw,"Could not resolve host: reg-eur.gov.bw"
server.gov.bw,"Could not resolve host: server.gov.bw"
temo.gov.bw,"Could not resolve host: temo.gov.bw"
reg-ui.gov.bw,"Could not resolve host: reg-ui.gov.bw"
rsm01sw42.gob.gov.bw,"Could not resolve host: rsm01sw42.gob.gov.bw"
social-support-acc.gov.bw,"Could not resolve host: social-support-acc.gov.bw"
societies.gov.bw,"Could not resolve host: societies.gov.bw"
rts.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
societyregistration.gov.bw,"Could not resolve host: societyregistration.gov.bw"
supplies-ecsrm.gov.bw,"Could not resolve host: supplies-ecsrm.gov.bw"
t-stats.gov.bw,"Could not resolve host: t-stats.gov.bw"
tef2.gov.bw,"Could not resolve host: tef2.gov.bw"
reg-ui-acc.gov.bw,"401"
pinagare.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
thuo-letlotlo.gov.bw,"Could not resolve host: thuo-letlotlo.gov.bw"
rims.gov.bw,"Could not resolve host: rims.gov.bw"
rsm01sw46.gob.gov.bw,"Could not resolve host: rsm01sw46.gob.gov.bw"
dev-baits3.gov.bw,"Connection timed out after 3002 milliseconds"
trainingcra.gov.bw,"Could not resolve host: trainingcra.gov.bw"
dev.cdc.gov.bw,"Connection timed out after 3001 milliseconds"
trainingrims.gov.bw,"Could not resolve host: trainingrims.gov.bw"
tef1.gov.bw,"SSL certificate problem: self-signed certificate in certificate chain"
devadmin-baits3.gov.bw,"Connection timed out after 3001 milliseconds"
tef.gov.bw,"SSL certificate problem: self-signed certificate in certificate chain"
test.imaap.gov.bw,"Failed to connect to test.imaap.gov.bw port 443 after 598 ms: Could not connect to server"
serviceregistry.gov.bw,"200"
dpms.mfdp.gov.bw,"Connection timed out after 3002 milliseconds"
trafaltes.bpol.gov.bw,"Could not resolve host: trafaltes.bpol.gov.bw"
trafdss.bpol.gov.bw,"Could not resolve host: trafdss.bpol.gov.bw"
dreams.gov.bw,"Connection timed out after 3002 milliseconds"
uatadmin-thuo-letlotlo.gov.bw,"Could not resolve host: uatadmin-thuo-letlotlo.gov.bw"
smartbots.gov.bw,"SSL certificate problem: certificate has expired"
server.botswanaspeaks.gov.bw,"200"
esaamlg.gov.bw,"Connection timed out after 3002 milliseconds"
uatsocietyreg.gov.bw,"Could not resolve host: uatsocietyreg.gov.bw"
unique-configurator-ems-test.gov.bw,"Could not resolve host: unique-configurator-ems-test.gov.bw"
uat-thuo-letlotlo.gov.bw,"Could not resolve host: uat-thuo-letlotlo.gov.bw"
fileshare.gov.bw,"Connection timed out after 3002 milliseconds"
forums.gov.bw,"Connection timed out after 3000 milliseconds"
test.tsogojwame.gov.bw,"SSL: no alternative certificate subject name matches target hostname 'test.tsogojwame.gov.bw'"
ftmms.gov.bw,"Connection timed out after 3001 milliseconds"
societiesportal.gov.bw,"302"
unique-main-ems-test.gov.bw,"Could not resolve host: unique-main-ems-test.gov.bw"
unique-main-ems.gov.bw,"Could not resolve host: unique-main-ems.gov.bw"
vpn8.gov.bw,"Could not resolve host: vpn8.gov.bw"
webmail.stc.gov.bw,"Could not resolve host: webmail.stc.gov.bw"
uatapp.bpol.gov.bw,"Could not resolve host: uatapp.bpol.gov.bw"
uatappl.bpol.gov.bw,"Could not resolve host: uatappl.bpol.gov.bw"
thuoletlotloadmin-uat.gov.bw,"401"
gateway-ext.gov.bw,"Operation timed out after 3000 milliseconds with 0 bytes received"
tsogojwame.gov.bw,"502"
webmail.botswanaspeaks.gov.bw,"Could not resolve host: webmail.botswanaspeaks.gov.bw"
unique-configurator-ems.gov.bw,"Could not resolve host: unique-configurator-ems.gov.bw"
trade-acc.gov.bw,"Could not resolve host: trade-acc.gov.bw"
jenkins.gov.bw,"Failed to connect to jenkins.gov.bw port 443 after 2443 ms: Could not connect to server"
webmail.cdc.gov.bw,"Could not resolve host: webmail.cdc.gov.bw"
unique-dashbord-ems-test.gov.bw,"Could not resolve host: unique-dashbord-ems-test.gov.bw"
unique-dashbord-ems.gov.bw,"Could not resolve host: unique-dashbord-ems.gov.bw"
trade.gov.bw,"200"
unique-listener-ems-test.gov.bw,"Could not resolve host: unique-listener-ems-test.gov.bw"
unique-listener-ems.gov.bw,"Could not resolve host: unique-listener-ems.gov.bw"
wazuhmonitoring.gov.bw,"Could not resolve host: wazuhmonitoring.gov.bw"
gcc.gov.bw,"Connection timed out after 3001 milliseconds"
thebeonline.gov.bw,"Failed to connect to thebeonline.gov.bw port 443 after 968 ms: Could not connect to server"
gismap-test.imaap.gov.bw,"Connection timed out after 3001 milliseconds"
gisservices-test.imaap.gov.bw,"Connection timed out after 3001 milliseconds"
gitlab.gov.bw,"Connection timed out after 3002 milliseconds"
thuoletlotlo-uat.gov.bw,"401"
hcp.moh.gov.bw,"Connection timed out after 3001 milliseconds"
webdisk.stc.gov.bw,"Could not resolve host: webdisk.stc.gov.bw"
trn.ccrs.bpol.gov.bw,"Could not resolve host: trn.ccrs.bpol.gov.bw"
webdisk.cdc.gov.bw,"Could not resolve host: webdisk.cdc.gov.bw"
training.cra.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
registration.tsogojwame.gov.bw,"502"
trls-uat.gov.bw,"307"
ww.gov.bw,"Could not resolve host: ww.gov.bw"
uatportal.gov.bw,"200"
webconnect.gov.bw,"SSL certificate problem: self-signed certificate in certificate chain"
lands-acc.gov.bw,"Failed to connect to lands-acc.gov.bw port 443 after 2617 ms: Could not connect to server"
idverification-acc.gov.bw,"Connection timed out after 3001 milliseconds"
webdisk.botswanaspeaks.gov.bw,"Could not resolve host: webdisk.botswanaspeaks.gov.bw"
www.boteti.cdc.gov.bw,"Could not resolve host: www.boteti.cdc.gov.bw"
uikit-acc.gov.bw,"200"
www.dib.gov.bw,"Could not resolve host: www.dib.gov.bw"
www.doingbusiness.gov.bw,"Failed to connect to www.doingbusiness.gov.bw port 443 after 13 ms: Could not connect to server"
vpn6.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
www.agrima.gov.bw,"SSL certificate problem: certificate has expired"
training.rims.gov.bw,"302"
images.gov.bw,"Connection timed out after 3001 milliseconds"
intsup.gov.bw,"Connection timed out after 3001 milliseconds"
iseguest-gbe08.gov.bw,"Connection timed out after 3002 milliseconds"
www.1gov.gov.bw,"Could not resolve host: www.1gov.gov.bw"
www.bobirwa.cdc.gov.bw,"Could not resolve host: www.bobirwa.cdc.gov.bw"
www.gob.gov.bw,"Could not resolve host: www.gob.gov.bw"
www.dhis2sms.gov.bw,"Could not resolve host: www.dhis2sms.gov.bw"
www.christmasnote.gov.bw,"Could not resolve host: www.christmasnote.gov.bw"
www.botswana-tourism.gov.bw,"Could not resolve host: www.botswana-tourism.gov.bw"
www.gov.bw,"Could not resolve host: www.gov.bw"
www.build.gov.bw,"Could not resolve host: www.build.gov.bw"
liveupdate.gov.bw,"Connection timed out after 3002 milliseconds"
www.cto.gov.bw,"Could not resolve host: www.cto.gov.bw"
www.cfi.gov.bw,"Could not resolve host: www.cfi.gov.bw"
www.departmentofroads.gov.bw,"Could not resolve host: www.departmentofroads.gov.bw"
mahalapye.cdc.gov.bw,"Connection timed out after 3002 milliseconds"
www.atlas.gov.bw,"SSL certificate problem: certificate has expired"
www.dev.cdc.gov.bw,"Could not resolve host: www.dev.cdc.gov.bw"
www.beh.gov.bw,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
www.chobedistrictcouncil.gov.bw,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
mbg.mysc.gov.bw,"Connection timed out after 3001 milliseconds"
www.dev.cra.gov.bw,"Could not resolve host: www.dev.cra.gov.bw"
www.botswanaspeaks.gov.bw,"200"
www.dev.rims.gov.bw,"Could not resolve host: www.dev.rims.gov.bw"
mx6.gov.bw,"Connection timed out after 3000 milliseconds"
www.dailynews.gov.bw,"SSL: no alternative certificate subject name matches target hostname 'www.dailynews.gov.bw'"
vaccine.tsogojwame.gov.bw,"502"
nelscom.gov.bw,"Connection timed out after 3000 milliseconds"
webmail.gov.bw,"SSL certificate problem: certificate has expired"
www.eservices.gov.bw,"Could not resolve host: www.eservices.gov.bw"
noodle.gov.bw,"Connection timed out after 3001 milliseconds"
noko.imaap.gov.bw,"Connection timed out after 3001 milliseconds"
www.agc.gov.bw,"SSL certificate problem: certificate has expired"
www.btv.gov.bw,"SSL certificate problem: certificate has expired"
www.dar.gov.bw,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
www.brandlogo.gov.bw,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
www.botswana-museum.gov.bw,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
www.landsandhousing.gov.bw,"Could not resolve host: www.landsandhousing.gov.bw"
www.kwenenglandboard.gov.bw,"Could not resolve host: www.kwenenglandboard.gov.bw"
www.lis.gov.bw,"Could not resolve host: www.lis.gov.bw"
payments.gov.bw,"Connection timed out after 3002 milliseconds"
www.finance.gov.bw,"Could not resolve host: www.finance.gov.bw"
permits-api.gov.bw,"Connection timed out after 3000 milliseconds"
