subdomain,parent_domain,http_status
cpanel.muhafazamountlebanon.gov.lb,gov.lb,"Could not resolve host: cpanel.muhafazamountlebanon.gov.lb"
cpanel.qrayeh.gov.lb,gov.lb,"Could not resolve host: cpanel.qrayeh.gov.lb"
cpanel.rayfoun.gov.lb,gov.lb,"200"
cpanel.saida.gov.lb,gov.lb,"Could not resolve host: cpanel.saida.gov.lb"
cpanel.sinelfil.gov.lb,gov.lb,"Could not resolve host: cpanel.sinelfil.gov.lb"
cpanel.state-security.gov.lb,gov.lb,"Failed to connect to cpanel.state-security.gov.lb port 443 after 375 ms: Could not connect to server"
cpanel.urbcomfayhaa.gov.lb,gov.lb,"200"
cpanel.womenaffairs.gov.lb,gov.lb,"Could not resolve host: cpanel.womenaffairs.gov.lb"
cpanel.zgharta.gov.lb,gov.lb,"Could not resolve host: cpanel.zgharta.gov.lb"
culture.gov.lb,gov.lb,"SSL certificate problem: unable to get local issuer certificate"
dahiehmunicipalities.gov.lb,gov.lb,"301"
darelfatwa.gov.lb,gov.lb,"301"
dawlati.gov.lb,gov.lb,"403"
dgca.gov.lb,gov.lb,"404"
dgcs.gov.lb,gov.lb,"302"
dguh.gov.lb,gov.lb,"Connection timed out after 3001 milliseconds"
dialin.finance.gov.lb,gov.lb,"Connection timed out after 3001 milliseconds"
digitaltransformation.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'digitaltransformation.gov.lb'"
digitaltransformation.omsar.gov.lb,gov.lb,"Could not resolve host: digitaltransformation.omsar.gov.lb"
dmi.gov.lb,gov.lb,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
download.lebarmy.gov.lb,gov.lb,"Could not resolve host: download.lebarmy.gov.lb"
dplus.greenplan.gov.lb,gov.lb,"Could not resolve host: dplus.greenplan.gov.lb"
dreibalawsat.gov.lb,gov.lb,"Could not resolve host: dreibalawsat.gov.lb"
drmgis.pcm.gov.lb,gov.lb,"Resolving timed out after 3000 milliseconds"
druzecourts.gov.lb,gov.lb,"Could not resolve host: druzecourts.gov.lb"
economy.gov.lb,gov.lb,"403"
eeln.gov.lb,gov.lb,"200"
eeway-org.eeway.gov.lb,gov.lb,"Could not resolve host: eeway-org.eeway.gov.lb"
eeway.gov.lb,gov.lb,"Could not resolve host: eeway.gov.lb"
email.ogero.gov.lb,gov.lb,"Connection timed out after 3001 milliseconds"
energyandwater.gov.lb,gov.lb,"200"
enrollment.beirutsummit.gov.lb,gov.lb,"Could not resolve host: enrollment.beirutsummit.gov.lb"
eservices.finance.gov.lb,gov.lb,"SSL certificate problem: unable to get local issuer certificate"
esu.moph.gov.lb,gov.lb,"200"
extmail.bguh.gov.lb,gov.lb,"302"
fatawa.darelfatwa.gov.lb,gov.lb,"Could not resolve host: fatawa.darelfatwa.gov.lb"
feytroun.gov.lb,gov.lb,"Could not resolve host: feytroun.gov.lb"
files.kafarmatta.gov.lb,gov.lb,"Could not resolve host: files.kafarmatta.gov.lb"
fnaydek.gov.lb,gov.lb,"Could not resolve host: fnaydek.gov.lb"
foras.greenplan.gov.lb,gov.lb,"Could not resolve host: foras.greenplan.gov.lb"
ghalboun.gov.lb,gov.lb,"500"
ghazir.gov.lb,gov.lb,"Could not resolve host: ghazir.gov.lb"
ghobeiry.gov.lb,gov.lb,"200"
git.army.gov.lb,gov.lb,"Connection timed out after 3002 milliseconds"
greenplan.gov.lb,gov.lb,"Could not resolve host: greenplan.gov.lb"
gsf-api.general-security.gov.lb,gov.lb,"503"
gsf-cms.general-security.gov.lb,gov.lb,"503"
habbouch.gov.lb,gov.lb,"Could not resolve host: habbouch.gov.lb"
hadat.gov.lb,gov.lb,"Could not resolve host: hadat.gov.lb"
hajjandumrah.gov.lb,gov.lb,"200"
hcp.gov.lb,gov.lb,"Could not resolve host: hcp.gov.lb"
hero.lebarmy.gov.lb,gov.lb,"Could not resolve host: hero.lebarmy.gov.lb"
imap.dmi.gov.lb,gov.lb,"Connection timed out after 3002 milliseconds"
investinlebanon.gov.lb,gov.lb,"200"
iranianembassy.gov.lb,gov.lb,"Could not resolve host: iranianembassy.gov.lb"
jadra.gov.lb,gov.lb,"Could not resolve host: jadra.gov.lb"
jaleldibbkenaya.gov.lb,gov.lb,"Could not resolve host: jaleldibbkenaya.gov.lb"
jbail-byblos.gov.lb,gov.lb,"200"
jdeidetmarjeyoun.gov.lb,gov.lb,"Could not resolve host: jdeidetmarjeyoun.gov.lb"
jgpmo.greenplan.gov.lb,gov.lb,"Could not resolve host: jgpmo.greenplan.gov.lb"
jieh.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'jieh.gov.lb'"
jo.pcm.gov.lb,gov.lb,"200"
