domain,http_status,mx
jiangsu.gov.cn,ConnectException,
jiangxi.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
jl.gov.cn,200,
jljt.gov.cn,ConnectException,
jlta.gov.cn,ConnectException,
js-l-tax.gov.cn,ConnectException,
js.gov.cn,ConnectException,
jsds.gov.cn,ConnectException,
jsfpc.gov.cn,ConnectException,
jsga.gov.cn,ConnectException,
jsgsj.gov.cn,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching jsgsj.gov.cn found.,
jshb.gov.cn,ConnectException,
jssi.gov.cn,ConnectException,
jswjw.gov.cn,ConnectException,
jsws.gov.cn,ConnectException,
jszwfw.gov.cn,ConnectException,
jx.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
jxedu.gov.cn,ConnectException,
jxwater.gov.cn,ConnectException,
ln.gov.cn,ConnectException,
lntj.gov.cn,ConnectException,
ningxiadata.gov.cn,ConnectException,
nmg.gov.cn,ConnectException,
nx.gov.cn,ConnectException,
nxzwfw.gov.cn,ConnectException,
qinghai.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
sc-l-tax.gov.cn,ConnectException,
sc.gov.cn,ConnectException,
scaudit.gov.cn,ConnectException,
scga.gov.cn,ConnectException,
scofcom.gov.cn,ConnectException,
scpta.gov.cn,ConnectException,
scsafety.gov.cn,ConnectException,
scta.gov.cn,ConnectException,
scwater.gov.cn,ConnectException,
sd.gov.cn,ConnectException,
sepb.gov.cn,ConnectException,
sh.gov.cn,301,
shaanxi.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
shagri.gov.cn,ConnectException,
shandong.gov.cn,ConnectException,
shanghai.gov.cn,301,
shanghailaw.gov.cn,ConnectException,
shanghaiwater.gov.cn,ConnectException,
shanxi.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
shdrc.gov.cn,ConnectException,
sheitc.gov.cn,ConnectException,
shfao.gov.cn,ConnectException,
shfda.gov.cn,ConnectException,
shgrain.gov.cn,ConnectException,
shgtj.gov.cn,ConnectException,
shgzw.gov.cn,ConnectException,
shmec.gov.cn,ConnectException,
shmzj.gov.cn,ConnectException,
shsafety.gov.cn,ConnectException,
shsports.gov.cn,ConnectException,
snedu.gov.cn,ConnectException,
stats-sh.gov.cn,ConnectException,
stcsm.gov.cn,ConnectException,
sxga.gov.cn,ConnectException,
tianjindangjian.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
tj.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
tjgaj.gov.cn,ConnectException,
tjny.gov.cn,ConnectException,
tjtyj.gov.cn,ConnectException,
tjzzb.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
xinjiang.gov.cn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
xizang.gov.cn,404,
xj-l-tax.gov.cn,ConnectException,
xjbt.gov.cn,ConnectException,
yn.gov.cn,ConnectException,
zj.gov.cn,ConnectException,
zjagri.gov.cn,ConnectException,
zjczj.gov.cn,ConnectException,
zjds.gov.cn,ConnectException,
zjedu.gov.cn,ConnectException,
zjhrss.gov.cn,ConnectException,
zjsafety.gov.cn,ConnectException,
zjwjw.gov.cn,ConnectException,
zjzwfw.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
