country_dir,un_id,un_name
BEN_benin,19,Benin
YEM_yemen,190,Yemen
ZMB_zambia,191,Zambia
ZWE_zimbabwe,192,Zimbabwe
SSD_south_sudan,193,South-Sudan
ALB_albania,2,Albania
BTN_bhutan,20,Bhutan
BOL_bolivia,21,Bolivia
BIH_bosnia_and_herzegovina,22,Bosnia-and-Herzegovina
BWA_botswana,23,Botswana
BRA_brazil,24,Brazil
BGR_bulgaria,26,Bulgaria
BFA_burkina_faso,27,Burkina-Faso
BDI_burundi,28,Burundi
KHM_cambodia,29,Cambodia
DZA_algeria,3,Algeria
CMR_cameroon,30,Cameroon
CAN_canada,31,Canada
CAF_central_african_republic,33,Central-African-Republic
TCD_chad,34,Chad
CHL_chile,35,Chile
CHN_china,36,China
COL_colombia,37,Colombia
COM_comoros,38,Comoros
AND_andorra,4,Andorra
CRI_costa_rica,40,Costa-Rica
HRV_croatia,42,Croatia
CUB_cuba,43,Cuba
CYP_cyprus,44,Cyprus
COD_democratic_republic_of_the_congo,47,Democratic-Republic-of-the-Congo
DNK_denmark,48,Denmark
DJI_djibouti,49,Djibouti
AGO_angola,5,Angola
DMA_dominica,50,Dominica
DOM_dominican_republic,51,Dominican-Republic
ECU_ecuador,52,Ecuador
EGY_egypt,53,Egypt
SLV_el_salvador,54,El-Salvador
GNQ_equatorial_guinea,55,Equatorial-Guinea
ERI_eritrea,56,Eritrea
EST_estonia,57,Estonia
ETH_ethiopia,58,Ethiopia
FJI_fiji,59,Fiji
ATG_antigua_and_barbuda,6,Antigua-and-Barbuda
FIN_finland,60,Finland
FRA_france,61,France
GAB_gabon,62,Gabon
GMB_gambia,63,Gambia
DEU_germany,65,Germany
GHA_ghana,66,Ghana
GRC_greece,67,Greece
GRD_grenada,68,Grenada
GTM_guatemala,69,Guatemala
ARG_argentina,7,Argentina
GIN_guinea,70,Guinea
GNB_guinea_bissau,71,Guinea-Bissau
GUY_guyana,72,Guyana
HTI_haiti,73,Haiti
HND_honduras,74,Honduras
HUN_hungary,75,Hungary
ISL_iceland,76,Iceland
IND_india,77,India
IDN_indonesia,78,Indonesia
ARM_armenia,8,Armenia
IRQ_iraq,80,Iraq
IRL_ireland,81,Ireland
ISR_israel,82,Israel
ITA_italy,83,Italy
JAM_jamaica,84,Jamaica
JPN_japan,85,Japan
JOR_jordan,86,Jordan
KAZ_kazakhstan,87,Kazakhstan
KEN_kenya,88,Kenya
KIR_kiribati,89,Kiribati
AUS_australia,9,Australia
KWT_kuwait,90,Kuwait
KGZ_kyrgyzstan,91,Kyrgyzstan
LVA_latvia,93,Latvia
LBN_lebanon,94,Lebanon
LSO_lesotho,95,Lesotho
LBR_liberia,96,Liberia
LBY_libya,97,Libya
LIE_liechtenstein,98,Liechtenstein
LTU_lithuania,99,Lithuania
BRN_brunei,25,Brunei-Darussalam
CIV_cote_d_ivoire,41,Cte-dIvoire
COG_republic_of_the_congo,39,Congo
CPV_cape_verde,32,Cabo-Verde
CZE_czechia,45,Czech-Republic
FSM_micronesia,111,Micronesia-Federated-States-of
GBR_united_kingdom,182,United-Kingdom-of-Great-Britain-and-Northern-Ireland
GEO_georgia,64,Georgia-Country
IRN_iran,79,Iran-Islamic-Republic-of
KOR_south_korea,138,Republic-of-Korea
LAO_laos,92,Lao-Peoples-Democratic-Republic
MDA_moldova,139,Republic-of-Moldova
PRK_north_korea,46,Democratic-Peoples-Republic-of-Korea
RUS_russia,141,Russian-Federation
SYR_syria,167,Syrian-Arab-Republic
TUR_turkey,176,Trkiye
TZA_tanzania,183,United-Republic-of-Tanzania
USA_united_states,184,United-States-of-America
