domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
bmbfsfj.bund.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx2.bund.de.; 10 mx1.bund.de.
bmds.bund.de,DEU_germany,central,member,Europe,German,60496,,,,none
bmftr.bund.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx2.bund.de.; 10 mx1.bund.de.
bmi.bund.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx1.bund.de.; 10 mx2.bund.de.
bmjv.de,DEU_germany,central,member,Europe,German,60496,,,,none
bmleh.de,DEU_germany,central,member,Europe,German,60496,,,,0 .
bmv.de,DEU_germany,central,member,Europe,German,60496,,,,10 r2mr5.init.de.
bmvg.de,DEU_germany,central,member,Europe,German,60496,,,,0 .
bmwsb.bund.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx1.bund.de.; 10 mx2.bund.de.
bmz.de,DEU_germany,central,member,Europe,German,60496,,,,10 mail2.babiel.net.
bnf.fr,FRA_france,central,member,Europe,French,48986,,,,20 maputo.bnf.fr.
bnl.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00008201.gslb.pphosted.com.; 10 mxb-00008201.gslb.pphosted.com.
boem.gov,USA_united_states,central,member,Americas,English,84534,,,,1 boem-gov.mail.protection.outlook.com.
boemre.gov,USA_united_states,central,member,Americas,English,84534,,,,1 boemre-gov.mail.protection.outlook.com.
bondpro.gov,USA_united_states,central,member,Americas,English,84534,,,,10 cemailhub1in.treasury.gov.; 10 cwmailhub1in.treasury.gov.
bop.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx-da6.usdoj.gov.; 10 mx-jdcw.usdoj.gov.
bor.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bornostate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Borno State,,registry,
bosque.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bpa.gov,USA_united_states,central,member,Americas,English,84534,,,,0 bpa-gov.mail.protection.outlook.com.
brain.gov,USA_united_states,central,member,Americas,English,84534,,,,none
broadbandmap.gov,USA_united_states,central,member,Americas,English,84534,,,,none
brreg.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
bsee.gov,USA_united_states,central,member,Americas,English,84534,,,,1 bsee-gov.mail.protection.outlook.com.
btfa.gov,USA_united_states,central,member,Americas,English,84534,,,,0 btfa-gov.mail.protection.outlook.com.
bts.gov,USA_united_states,central,member,Americas,English,84534,,,,1 bts-dot-gov.mail.protection.outlook.com.
budget.gov,USA_united_states,central,member,Americas,English,84534,,,,none
budgetlob.gov,USA_united_states,central,member,Americas,English,84534,,,,none
buenosaires.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Ciudad Autónoma de Buenos Aires,,registry,
buenosairescompras.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Buenos Aires Compras - portal de compras del Gobierno de la Ciudad de Buenos Aires,,registry,
bufetat.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
buildingregulationsni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Building regulations Northern Ireland,,registry,
bund.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx1.bund.de.; 10 mx2.bund.de.
bundesfinanzministerium.de,DEU_germany,central,member,Europe,German,60496,,,,none
bundesgesundheitsministerium.de,DEU_germany,central,member,Europe,German,60496,,,,20 mx02.pixelpark.com.; 20 mx01.pixelpark.com.
bundesregierung.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx1.bund.de.; 10 mx2.bund.de.
bundestag.de,DEU_germany,central,member,Europe,German,60496,,,,50 mail1.dbtg.de.; 500 mail3.dbtg.de.; 50 mail4.dbtg.de.; 50 mail2.dbtg.de.
bundesumweltministerium.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx03.bmuv.de.
bundeswirtschaftsministerium.de,DEU_germany,central,member,Europe,German,60496,,,,10 r2mr5.init.de.
bush41library.gov,USA_united_states,central,member,Americas,English,84534,,,,none
business.gov,USA_united_states,central,member,Americas,English,84534,,,,none
businessdefense.gov,USA_united_states,central,member,Americas,English,84534,,,,none
businessusa.gov,USA_united_states,central,member,Americas,English,84534,,,,none
buyamerican.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bvhn.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
cadpemichoacan.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Comité de Adquisiciones del Poder Ejecutivo de Michoacán,,registry,
cafesg.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Comisión Administradora para el Fondo Especial de Salto Grande (Entre Ríos),,registry,
campeche.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Campeche (estado),,registry,
campusdrugprevention.gov,USA_united_states,central,member,Americas,English,84534,,,,none
canada.ca,CAN_canada,central,member,Americas,English; French,55698,,,,none
cancer.gov,USA_united_states,central,member,Americas,English,84534,,,,10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.; 10 nihcesxway2.hub.nih.gov.; 10 nihcesxwayst02.hub.nih.gov.; 10 nihcesxwayst01.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway.hub.nih.gov.; 10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.
cao.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cap.gov,USA_united_states,central,member,Americas,English,84534,,,,dig error
capital.gov,USA_united_states,central,member,Americas,English,84534,,,,5 mx04.aoc.gov.; 5 mx03.aoc.gov.
capitalgiftshop.gov,USA_united_states,central,member,Americas,English,84534,,,,none
capitol.gov,USA_united_states,central,member,Americas,English,84534,,,,5 mx03.aoc.gov.; 5 mx04.aoc.gov.
capitolgiftshop.gov,USA_united_states,central,member,Americas,English,84534,,,,none
capnhq.gov,USA_united_states,central,member,Americas,English,84534,,,,0 capnhq-gov.mail.protection.outlook.com.
