domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
corrientesprensa.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Prensa del Gobierno de Corrientes,,registry,
corrientesturismo.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Turismo de la Provincia de Corrientes,,registry,
councils.gov,USA_united_states,central,member,Americas,English,84534,,,,none
courtsni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Northern Ireland Courts and Tribunals Service,,registry,
covid.gov,USA_united_states,central,member,Americas,English,84534,,,,none
covidtest.gov,USA_united_states,central,member,Americas,English,84534,,,,none
covidtests.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cp.gov.lk,LKA_sri_lanka,central-1,member,Asia,Sinhala; Tamil,5002,Central Province,,registry,
cpars.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cpnireporting.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mail.cpnireporting.gov.
cpsc.gov,USA_united_states,central,member,Americas,English,84534,,,,0 cpsc-gov.mail.protection.outlook.com.
cq-l-tax.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing Local Taxation,,registry,
cq.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing,,registry,
cqdx.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing Local Taxation Bureau,,registry,
cqga.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing Public Security Bureau,,registry,
cqhrss.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing Human Resources and Social Security Bureau,,registry,
cqjcy.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing People's Procuratorate,,registry,
cqwater.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Chongqing Water Resources Bureau,,registry,
crb.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-00026101.gslb.gpphosted.com.; 10 mxa-00026101.gslb.gpphosted.com.
creators.gov,USA_united_states,central,member,Americas,English,84534,,,,none
crimesolutions.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx-dc2.usdoj.gov.; 10 mx-da6.usdoj.gov.
criticalminerals.gov,USA_united_states,central,member,Americas,English,84534,,,,none
crossriverstate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Cross River State,,registry,
crownoffice.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Crown Office (Scotland),,registry,
crs.gov,USA_united_states,central,member,Americas,English,84534,,,,none
crypto.gov,USA_united_states,central,member,Americas,English,84534,,,,none
csb.gov,USA_united_states,central,member,Americas,English,84534,,,,10 csb-gov.mail.protection.outlook.com.
csce.gov,USA_united_states,central,member,Americas,English,84534,,,,20 mxb-0018d802.gslb.pphosted.com.; 20 mxa-0018d802.gslb.pphosted.com.
cseb.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chhattisgarh State Electricity Board,,registry,
csoni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Chief Scientific Officer Northern Ireland,,registry,
csosa.gov,USA_united_states,central,member,Americas,English,84534,,,,1 Csosao365.mail.protection.outlook.com.
cssbmb.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ctdbihar.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Commercial Taxes Department (Bihar),,registry,
cttso.gov,USA_united_states,central,member,Americas,English,84534,,,,10 iwtsd.mail.protection.office365.us.
cuidadodesalud.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cultura.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,none
culturabcs.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Cultura del Estado de Baja California Sur,,registry,
culturaqueretaro.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Cultura del Estado de Querétaro,,registry,
cupcao.gov,USA_united_states,central,member,Americas,English,84534,,,,none
currencyreader.gov,USA_united_states,central,member,Americas,English,84534,,,,none
currencyreaderapplication.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cwc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 cwc-gov.mail.protection.outlook.com.
cyber.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-00376703.gslb.gpphosted.com.; 10 mxa-00376703.gslb.gpphosted.com.
cybercareers.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cybercrime.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cybersecurity.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cyfoethnaturiolcymru.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Natural Resources Wales (Welsh name),,registry,
cymru-wales.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Welsh Government,,registry,
cymru.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Welsh Government (Welsh name),,registry,
cymruhanesyddol.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Historic Wales (Welsh name),,registry,
d250.gov,USA_united_states,central,member,Americas,English,84534,,,,none
daera-ni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,,,registry,
dagligvaretilsynet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dardni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Department of Agriculture and Rural Development (NI),,registry,
dasscotland.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Debt Arrangement Scheme Scotland,,registry,
data.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dataprivacyframework.gov,USA_united_states,central,member,Americas,English,84534,,,,none
datatilsynet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dataunitwales.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Data Cymru,,registry,
dc3on.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mail.dc3on.gov.; 20 mail2.dc3on.gov.
dd.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Daman and Diu,,registry,
dd214.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ddd.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Dadra and Nagar Haveli and Daman and Diu,,registry,
dded.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Daman and Diu Electricity Department,,registry,
dea.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx-jdcw.usdoj.gov.; 10 mx-da6.usdoj.gov.
deaecom.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mail.deaecom.gov.
declaranetcoahuila.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,DeclaraNet Coahuila (Gobierno del Estado),,registry,
declaration250.gov,USA_united_states,central,member,Americas,English,84534,,,,none
decymru-tan.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,South Wales Fire and Rescue (Welsh name),,registry,
defensa.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,none
defense-mobilite.fr,FRA_france,central,member,Europe,French,48986,,,,10 spool.mail.gandi.net.; 50 fb.mail.gandi.net.
defense.gov,USA_united_states,central,member,Americas,English,84534,,,,none
defensoriaformosa.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Defensoría del Pueblo de Formosa,,registry,
defensoriatucuman.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Defensoría del Pueblo de Tucumán,,registry,
defensorsantiago.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Defensor del Pueblo de Santiago del Estero,,registry,
defmin.fi,FIN_finland,central,member,Europe,Finnish; Swedish,56149,,,,none
dei.gov,USA_united_states,central,member,Americas,English,84534,,,,none
delhi.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Delhi (National Capital Territory),,registry,
delhiexcise.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Excise Department (Delhi),,registry,
deltastate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Delta State,,registry,
democraticleader.gov,USA_united_states,central,member,Americas,English,84534,,,,none
democraticwhip.gov,USA_united_states,central,member,Americas,English,84534,,,,20 mxb-0018d802.gslb.pphosted.com.; 20 mxa-0018d802.gslb.pphosted.com.
democrats.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dems.gov,USA_united_states,central,member,Americas,English,84534,,,,none
denali.gov,USA_united_states,central,member,Americas,English,84534,,,,0 denali-gov.mail.protection.outlook.com.
denmark.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,10 qmail.itadel.dk.
deregulation.gov,USA_united_states,central,member,Americas,English,84534,,,,none
devcftc.gov,USA_united_states,central,member,Americas,English,84534,,,,none
devtestfan1.gov,USA_united_states,central,member,Americas,English,84534,,,,10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
df.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Ciudad de México (ex-Distrito Federal),,registry,
df.gov.br,BRA_brazil,central-1,member,Americas,Portuguese,10713,Distrito Federal,,registry,
dfafacts.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dfc.gov,USA_united_states,central,member,Americas,English,84534,,,,0 dfc-gov.mail.protection.outlook.com.
dfcni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Department for Communities (NI),,registry,
dfo.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dgesip.fr,FRA_france,central,member,Europe,French,48986,,,,1 mx4.mail.ovh.net.; 10 mx3.mail.ovh.net.
dhhs.gov,USA_united_states,central,member,Americas,English,84534,,,,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
dhs.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-00376703.gslb.gpphosted.com.; 10 mxb-00376703.gslb.gpphosted.com.
dhsspsni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Department of Health Social Services and Public Safety (NI),,registry,
diabetescommittee.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dibk.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dietaryguidelines.gov,USA_united_states,central,member,Americas,English,84534,,,,none
difbc.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,DIF estatal de Baja California,,registry,
difesa.it,ITA_italy,central,member,Europe,Italian; Catalan,43309,,,,10 mx.difesa.it.
difjalisco.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,DIF estatal de Jalisco,,registry,
difsinaloa.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,DIF estatal de Sinaloa,,registry,
digdir.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
digestomisiones.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Digesto Jurídico de la Provincia de Misiones,,registry,
digital.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,10 mail1.correo.gob.es.; 10 mail2.correo.gob.es.
digital.gov,USA_united_states,central,member,Americas,English,84534,,,,none
digitaldashboard.gov,USA_united_states,central,member,Americas,English,84534,,,,none
digitalgov.gov,USA_united_states,central,member,Americas,English,84534,,,,none
digitalni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Digital NI,,registry,
digitalpreservation.gov,USA_united_states,central,member,Americas,English,84534,,,,none
digitizationguidelines.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dilcrah.fr,FRA_france,central,member,Europe,French,48986,,,,none
directoasucuenta.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dirmin.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
disasterassistance.gov,USA_united_states,central,member,Americas,English,84534,,,,none
disasterhousing.gov,USA_united_states,central,member,Americas,English,84534,,,,none
diskrimineringsnemnda.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
distracteddriving.gov,USA_united_states,central,member,Americas,English,84534,,,,none
distraction.gov,USA_united_states,central,member,Americas,English,84534,,,,none
distriktssenteret.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
djb.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Delhi Jal Board,,registry,
dmp.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dnbe.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dnfsb.gov,USA_united_states,central,member,Americas,English,84534,,,,0 dnfsb-gov.mail.protection.outlook.com.
dnh.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Dadra and Nagar Haveli,,registry,
dni.gov,USA_united_states,central,member,Americas,English,84534,,,,0 dni-gov.mail.protection.office365.us.
dns.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dns.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dnsops.gov,USA_united_states,central,member,Americas,English,84534,,,,none
doc.gov,USA_united_states,central,member,Americas,English,84534,,,,0 doc-gov.mail.protection.outlook.com.
docline.gov,USA_united_states,central,member,Americas,English,84534,,,,10 nihcesxway4.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.
doddns.gov,USA_united_states,central,member,Americas,English,84534,,,,none
doe.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-002bc302.gslb.gpphosted.com.; 10 mxa-002bc302.gslb.gpphosted.com.
doge.gov,USA_united_states,central,member,Americas,English,84534,,,,0 inbound.mail.dmz.pitc.gov.
doi.gov,USA_united_states,central,member,Americas,English,84534,,,,0 doi-gov.mail.protection.outlook.com.
doioig.gov,USA_united_states,central,member,Americas,English,84534,,,,5 doioig-gov.mail.protection.outlook.com.
doj.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mx-da6.usdoj.gov.; 10 mx-dc2.usdoj.gov.
dojni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Department of Justice (NI),,registry,
dol-esa.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dol.gov,USA_united_states,central,member,Americas,English,84534,,,,0 dol-gov.mail.protection.outlook.com.
doleta.gov,USA_united_states,central,member,Americas,English,84534,,,,0 doleta-gov.mail.protection.outlook.com.
domainops.gov,USA_united_states,central,member,Americas,English,84534,,,,none
domstol.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
domstolasyslan.is,ISL_iceland,central,member,Europe,Icelandic,98323,,,,0 domstolasyslan-is.mail.protection.outlook.com.
donaciondeorganos.gov,USA_united_states,central,member,Americas,English,84534,,,,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
dondevotociudad.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Dónde Voto - elecciones de la Ciudad Autónoma de Buenos Aires,,registry,
dondorganes.fr,FRA_france,central,member,Europe,French,48986,,,,100 mx3.mail.ovh.net.; 1 mx1.mail.ovh.net.; 5 mx2.mail.ovh.net.
donotcall.gov,USA_united_states,central,member,Americas,English,84534,,,,10 donotcall-gov.mail.protection.outlook.com.
dontserveteens.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dot.gov,USA_united_states,central,member,Americas,English,84534,,,,1 dot-gov.mail.protection.outlook.com.
dotgov.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-00376703.gslb.gpphosted.com.; 10 mxa-00376703.gslb.gpphosted.com.
dotideahub.gov,USA_united_states,central,member,Americas,English,84534,,,,dig error
dovre-fjellstyre.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dprneuquen.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Dirección Provincial de Rentas del Neuquén,,registry,
dra.gov,USA_united_states,central,member,Americas,English,84534,,,,0 dra-gov.mail.protection.outlook.com.
driveelectric.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxa-002bc302.gslb.gpphosted.com.; 10 mxb-002bc302.gslb.gpphosted.com.
drought.gov,USA_united_states,central,member,Americas,English,84534,,,,none
drugabuse.gov,USA_united_states,central,member,Americas,English,84534,,,,10 nihcesxwayst01.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.; 10 nihcesxwayst02.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxway.hub.nih.gov.; 10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxway2.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.
drywallresponse.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dsa.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dsac.gov,USA_united_states,central,member,Americas,English,84534,,,,none
dsb.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dsca.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,20 mxres.msc.es.; 0 mx.msc.es.
dss.dep.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
dtemaharashtra.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Directorate of Technical Education (Maharashtra),,registry,
durango.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Durango (estado),,registry,
dvat.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Department of Trade and Taxes (Delhi),,registry,
dvet.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Directorate of Vocational Education and Training (Maharashtra),,registry,
dwsspunjab.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Department of Water Supply and Sanitation (Punjab),,registry,
e-hidalgo.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Hidalgo (portal estatal),,registry,
e-qip.gov,USA_united_states,central,member,Americas,English,84534,,,,none
e-socialdesarmees.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx3.mail.ovh.net.; 1 mx4.mail.ovh.net.
e-verify.gov,USA_united_states,central,member,Americas,English,84534,,,,none
e18vestfold.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
eac.gov,USA_united_states,central,member,Americas,English,84534,,,,0 eac-gov.mail.protection.outlook.com.
eaglecash.gov,USA_united_states,central,member,Americas,English,84534,,,,none
earlycareers.gov,USA_united_states,central,member,Americas,English,84534,,,,none
earmarks.gov,USA_united_states,central,member,Americas,English,84534,,,,none
earth.gov,USA_united_states,central,member,Americas,English,84534,,,,none
earthquake.gov,USA_united_states,central,member,Americas,English,84534,,,,none
eassemblygoa.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Goa Legislative Assembly e-Assembly,,registry,
ebajacalifornia.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Baja California (portal estatal),,registry,
ebonyistate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Ebonyi State,,registry,
ecespm.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Comisión Estatal de Servicios Públicos de Mexicali (Baja California),,registry,
ecfc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 inbound-smtp.us-east-1.amazonaws.com.
ecfr.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ecole-air-espace.fr,FRA_france,central,member,Europe,French,48986,,,,0 ecoleairespace-fr01cc.mail.protection.outlook.com.
ecoledespupillesdelair.fr,FRA_france,central,member,Europe,French,48986,,,,0 mail.ecoledespupillesdelair.fr.
economianqn.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Ministerio de Economía de la Provincia del Neuquén,,registry,
economie.fgov.be,BEL_belgium,central,member,Europe,German; French; Dutch,60750,,,,none
economy-ni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,,,registry,
econsumer.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ecpad.fr,FRA_france,central,member,Europe,French,48986,,,,100 mx.ecpad.fr.; 10 mx.ecpad.fr.
ecpic.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ecr.gov,USA_united_states,central,member,Americas,English,84534,,,,0 ecr-gov.mail.protection.outlook.com.
ecs.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ed.gov,USA_united_states,central,member,Americas,English,84534,,,,10 ed-gov.mail.protection.outlook.com.
eda.gov,USA_united_states,central,member,Americas,English,84534,,,,0 eda-gov.mail.protection.outlook.com.
edison.gov,USA_united_states,central,member,Americas,English,84534,,,,none
edomex.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Estado de México,,registry,
edomexico.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Estado de México (antiguo portal),,registry,
edostate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Edo State,,registry,
educacionfpydeportes.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,none
education-ni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,,,registry,
education.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx02.phm.education.gouv.fr.; 0 mx01.phm.education.gouv.fr.
eduskunta.fi,FIN_finland,central,member,Europe,Finnish; Swedish,56149,,,,10 smtpin.eduskunta.fi.
eeoc.gov,USA_united_states,central,member,Americas,English,84534,,,,0 eeoc-gov.mail.protection.outlook.com.
eesti.ee,EST_estonia,central,member,Europe,Estonian,34418,,,,none
eetaa722.fr,FRA_france,central,member,Europe,French,48986,,,,100 mx3.mail.ovh.net.; 1 mx1.mail.ovh.net.; 5 mx2.mail.ovh.net.
eftps.gov,USA_united_states,central,member,Americas,English,84534,,,,none
eguanajuato.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Guanajuato (portal estatal),,registry,
ehr.gov,USA_united_states,central,member,Americas,English,84534,,,,10 pri-jeemsg.eemsg.mail.mil.; 20 sec-jeemsg.eemsg.mail.mil.
eia.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-002bc302.gslb.gpphosted.com.; 10 mxa-002bc302.gslb.gpphosted.com.
eisenhowerlibrary.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ekitistate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Ekiti State,,registry,
eldercare.gov,USA_united_states,central,member,Americas,English,84534,,,,none
elderjustice.gov,USA_united_states,central,member,Americas,English,84534,,,,none
eleccionesciudad.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Elecciones de la Ciudad Autónoma de Buenos Aires,,registry,
electoralofficeni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Electoral Office for Northern Ireland,,registry,
electoralsde.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Tribunal Electoral de Santiago del Estero,,registry,
electoraltucuman.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Junta Electoral de Tucumán,,registry,
em.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.
emani.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Education and Museums Authority NI,,registry,
emergency-federal-register.gov,USA_united_states,central,member,Americas,English,84534,,,,none
emergencypreparednessni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Emergency preparedness Northern Ireland,,registry,
emitra.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,e-Mitra citizen services (Rajasthan),,registry,
employeeexpress.gov,USA_united_states,central,member,Americas,English,84534,,,,none
employer.gov,USA_united_states,central,member,Americas,English,84534,,,,none
employmentbankwb.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Employment Bank (West Bengal),,registry,
empowhr.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ems.gov,USA_united_states,central,member,Americas,English,84534,,,,none
encuentraapoyo.gov,USA_united_states,central,member,Americas,English,84534,,,,none
energianeuquen.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Energía de la Provincia del Neuquén,,registry,
energy.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-002bc302.gslb.gpphosted.com.; 10 mxa-002bc302.gslb.gpphosted.com.
energycodes.gov,USA_united_states,central,member,Americas,English,84534,,,,10 emailgw01.pnnl.gov.; 20 emailgw02.pnnl.gov.; 0 energycodes-gov.mail.protection.outlook.com.
energysaver.gov,USA_united_states,central,member,Americas,English,84534,,,,none
energysavers.gov,USA_united_states,central,member,Americas,English,84534,,,,none
energystar.gov,USA_united_states,central,member,Americas,English,84534,,,,50 grid1f6.gseg.att.com.; 5 grid1f.gseg.att.com.; 55 grid2f6.gseg.att.com.; 10 grid2f.gseg.att.com.
engerdal-fjellstyre.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
enova.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
entrerios.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Provincia de Entre Ríos,,registry,
enugustate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Enugu State,,registry,
envdiputadossantafe.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Cámara de Diputados de la Provincia de Santa Fe,,registry,
envir.ee,EST_estonia,central,member,Europe,Estonian,34418,,,,5 mx5.envir.ee.; 5 mx4.envir.ee.
eoni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Electoral Office for Northern Ireland,,registry,
eop.gov,USA_united_states,central,member,Americas,English,84534,,,,10 inbound.mail.dmz.pitc.gov.
ep.gov.lk,LKA_sri_lanka,central-1,member,Asia,Sinhala; Tamil,5002,Eastern Province,,registry,
epa.gov,USA_united_states,central,member,Americas,English,84534,,,,0 usepa.mail.protection.outlook.com.
epaoig.gov,USA_united_states,central,member,Americas,English,84534,,,,none
epec.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Empresa Provincial de Energía de Córdoba,,registry,
epic.gov,USA_united_states,central,member,Americas,English,84534,,,,none
eprocpbpwd.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Public Works Department e-procurement (Punjab),,registry,
erpo.gov,USA_united_states,central,member,Americas,English,84534,,,,10 inbound-smtp.us-east-1.amazonaws.com.
es.gov.br,BRA_brazil,central-1,member,Americas,Portuguese,10713,Espírito Santo,,registry,
esc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 relay4.faa.gov.; 10 amcrelay1.faa.gov.; 10 amcrelay2.faa.gov.; 10 relay3.faa.gov.; 10 amcrelay4.faa.gov.; 10 relay1.faa.gov.; 10 amcrelay3.faa.gov.; 10 relay2.faa.gov.
eseclab.gov,USA_united_states,central,member,Americas,English,84534,,,,dig error
eserviceshp.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,e-Services portal (Himachal Pradesh),,registry,
esiwb.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Directorate of ESI Scheme (West Bengal),,registry,
