domain,kind,country,level
bjchfp.gov.cn,exact,CHN_china,central-1
bjcourt.gov.cn,exact,CHN_china,central-1
bjdfz.gov.cn,exact,CHN_china,central-1
bjedu.gov.cn,exact,CHN_china,central-1
bjeit.gov.cn,exact,CHN_china,central-1
bjfao.gov.cn,exact,CHN_china,central-1
bjft.gov.cn,exclude,CHN_china,local
bjggzyfw.gov.cn,exact,CHN_china,central-1
bjgjj.gov.cn,exact,CHN_china,central-1
bjgzw.gov.cn,exact,CHN_china,central-1
bjhd.gov.cn,exclude,CHN_china,local
bjipo.gov.cn,exact,CHN_china,central-1
bjjtgl.gov.cn,exact,CHN_china,central-1
bjjtw.gov.cn,exact,CHN_china,central-1
bjkw.gov.cn,exact,CHN_china,central-1
bjld.gov.cn,exact,CHN_china,central-1
bjlsj.gov.cn,exact,CHN_china,central-1
bjmzj.gov.cn,exact,CHN_china,central-1
bjpta.gov.cn,exact,CHN_china,central-1
bjrbj.gov.cn,exact,CHN_china,central-1
bjrd.gov.cn,exact,CHN_china,central-1
bjrs.gov.cn,exact,CHN_china,central-1
bjs.gov,subtree,USA_united_states,central
bjsports.gov.cn,exact,CHN_china,central-1
bjwh.gov.cn,exact,CHN_china,central-1
bjwmb.gov.cn,exact,CHN_china,central-1
bjxch.gov.cn,exclude,CHN_china,local
blaby.gov.uk,exclude,GBR_united_kingdom,local
blabyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blackbirdleysparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blackburn.gov.uk,exclude,GBR_united_kingdom,local
blackhistorymonth.gov,subtree,USA_united_states,central
blackmore-hookend-wyattsgreen-pc.gov.uk,exclude,GBR_united_kingdom,local
blacknotley-pc.gov.uk,exclude,GBR_united_kingdom,local
blackoparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blackpool.gov.uk,exclude,GBR_united_kingdom,local
blackrodtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
blacksluiceidb.gov.uk,exclude,GBR_united_kingdom,local
blacktorrington-pc.gov.uk,exclude,GBR_united_kingdom,local
blackwaterandhawley-tc.gov.uk,exclude,GBR_united_kingdom,local
blackwaterandhawleytowncouncil.gov.uk,exclude,GBR_united_kingdom,local
blackwell-pc.gov.uk,exclude,GBR_united_kingdom,local
blackwoodtown.gov.uk,exclude,GBR_united_kingdom,local
bladon-pc.gov.uk,exclude,GBR_united_kingdom,local
blaenau-gwent.gov.uk,exclude,GBR_united_kingdom,local
blaenhonddan-wcc.gov.uk,exclude,GBR_united_kingdom,local
blagdonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blakeneyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blanchlandparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blandfordforum-tc.gov.uk,exclude,GBR_united_kingdom,local
blandfordstmary-pc.gov.uk,exclude,GBR_united_kingdom,local
blaxhall-pc.gov.uk,exclude,GBR_united_kingdom,local
blaxtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bldrdoc.gov,subtree,USA_united_states,central
bleanparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bleasby-pc.gov.uk,exclude,GBR_united_kingdom,local
bledlowcumsaundertonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bletchingley-pc.gov.uk,exclude,GBR_united_kingdom,local
bletchleyfennystratford-tc.gov.uk,exclude,GBR_united_kingdom,local
bletsoe-pc.gov.uk,exclude,GBR_united_kingdom,local
blewburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blidworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blindbothel-pc.gov.uk,exclude,GBR_united_kingdom,local
blislandparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blisworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blithfieldparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blm.gov,subtree,USA_united_states,central
blockleyparish.gov.uk,exclude,GBR_united_kingdom,local
blofield-pc.gov.uk,exclude,GBR_united_kingdom,local
bloxhamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bls.gov,subtree,USA_united_states,central
bluecampaign.gov,subtree,USA_united_states,central
blueroof.gov,subtree,USA_united_states,central
blundestonflixtonparish.gov.uk,exclude,GBR_united_kingdom,local
blunham-pc.gov.uk,exclude,GBR_united_kingdom,local
blunsdon-pc.gov.uk,exclude,GBR_united_kingdom,local
bluntisham-pc.gov.uk,exclude,GBR_united_kingdom,local
blyfordandsotherton-pc.gov.uk,exclude,GBR_united_kingdom,local
blythe.gov.uk,exclude,GBR_united_kingdom,local
blythparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blythtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
blytonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
blzq.gov.cn,exclude,CHN_china,local
blzqjjjc.gov.cn,exclude,CHN_china,local
bm.dk,subtree,DNK_denmark,central
bmas.de,subtree,DEU_germany,central
bmbf.de,subtree,DEU_germany,central
bmg-pc.gov.uk,exclude,GBR_united_kingdom,local
bmjv.de,subtree,DEU_germany,central
bmkalc.gov.uk,exclude,GBR_united_kingdom,local
bmleh.de,subtree,DEU_germany,central
bmv.de,subtree,DEU_germany,central
bmvg.de,subtree,DEU_germany,central
bmz.de,subtree,DEU_germany,central
bncmc.gov.in,exclude,IND_india,local
bnf.fr,subtree,FRA_france,central
bnl.gov,subtree,USA_united_states,central
boarhuntparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boarstallparish.gov.uk,exclude,GBR_united_kingdom,local
bobbing-pc.gov.uk,exclude,GBR_united_kingdom,local
bobbington-pc.gov.uk,exclude,GBR_united_kingdom,local
bocadelrio.gob.mx,exclude,MEX_mexico,local
boddington-pc.gov.uk,exclude,GBR_united_kingdom,local
bodenhamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bodhamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bodicoteparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bodmin.gov.uk,exclude,GBR_united_kingdom,local
boem.gov,subtree,USA_united_states,central
boemre.gov,subtree,USA_united_states,central
bognorregis.gov.uk,exclude,GBR_united_kingdom,local
boldparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boldreparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bollington-tc.gov.uk,exclude,GBR_united_kingdom,local
bolneyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bolnhurstkeysoe-pc.gov.uk,exclude,GBR_united_kingdom,local
bolsover.gov.uk,exclude,GBR_united_kingdom,local
bolton.gov.uk,exclude,GBR_united_kingdom,local
boltonlesandsparish.gov.uk,exclude,GBR_united_kingdom,local
boltonparish.gov.uk,exclude,GBR_united_kingdom,local
bomereheath-pc.gov.uk,exclude,GBR_united_kingdom,local
bonbyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bondpro.gov,subtree,USA_united_states,central
boningaleparish.gov.uk,exclude,GBR_united_kingdom,local
bonsall-pc.gov.uk,exclude,GBR_united_kingdom,local
bop.gov,subtree,USA_united_states,central
bor.gov,subtree,USA_united_states,central
bordengateparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bordenparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bordergroup-pc.gov.uk,exclude,GBR_united_kingdom,local
boreham-pc.gov.uk,exclude,GBR_united_kingdom,local
bornostate.gov.ng,exact,NGA_nigeria,central-1
boroughgreen.gov.uk,exclude,GBR_united_kingdom,local
bosburyandcoddingtong-gpc.gov.uk,exclude,GBR_united_kingdom,local
bosham-pc.gov.uk,exclude,GBR_united_kingdom,local
boston.gov.uk,exclude,GBR_united_kingdom,local
bostonspa-pc.gov.uk,exclude,GBR_united_kingdom,local
botesdale-pc.gov.uk,exclude,GBR_united_kingdom,local
botley-pc.gov.uk,exclude,GBR_united_kingdom,local
botleynorthhinksey-pc.gov.uk,exclude,GBR_united_kingdom,local
bottesford-pc.gov.uk,exclude,GBR_united_kingdom,local
bottesfordtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bottisham-pc.gov.uk,exclude,GBR_united_kingdom,local
boughton-pc.gov.uk,exclude,GBR_united_kingdom,local
boughtonalupheastwellparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boughtonmalherbe-pc.gov.uk,exclude,GBR_united_kingdom,local
boughtonmonchelsea-pc.gov.uk,exclude,GBR_united_kingdom,local
boughtonunderblean-pc.gov.uk,exclude,GBR_united_kingdom,local
bournemouth-tc.gov.uk,exclude,GBR_united_kingdom,local
bournemouth.gov.uk,exclude,GBR_united_kingdom,local
bournetowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bournheath-pc.gov.uk,exclude,GBR_united_kingdom,local
bourton-pc.gov.uk,exclude,GBR_united_kingdom,local
bourtononthewater-pc.gov.uk,exclude,GBR_united_kingdom,local
bourtons-cherwell-pc.gov.uk,exclude,GBR_united_kingdom,local
boveytracey.gov.uk,exclude,GBR_united_kingdom,local
bovingdonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bovril.gob.ar,exclude,ARG_argentina,local
bowbrickhill-pc.gov.uk,exclude,GBR_united_kingdom,local
bowersgiffordnorthbenfleet-pc.gov.uk,exclude,GBR_united_kingdom,local
bowesparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boxford-pc.gov.uk,exclude,GBR_united_kingdom,local
boxgroveparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boxleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boxparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boxted-pc.gov.uk,exclude,GBR_united_kingdom,local
boxworthparish.gov.uk,exclude,GBR_united_kingdom,local
boyattwood-pc.gov.uk,exclude,GBR_united_kingdom,local
boylestoneparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boyntonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
boyton-corton-pc.gov.uk,exclude,GBR_united_kingdom,local
bozeatparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bpa.gov,subtree,USA_united_states,central
brabourneparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bracebridgeheath-pc.gov.uk,exclude,GBR_united_kingdom,local
brackenfieldparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bracklacommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
brackleynorthants-tc.gov.uk,exclude,GBR_united_kingdom,local
bracknell-forest.gov.uk,exclude,GBR_united_kingdom,local
bracknelltowncouncil.gov.uk,exclude,GBR_united_kingdom,local
braconashandhethel-pc.gov.uk,exclude,GBR_united_kingdom,local
bradenham-pc.gov.uk,exclude,GBR_united_kingdom,local
bradenhamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bradfield-pc.gov.uk,exclude,GBR_united_kingdom,local
bradfield-yorks-pc.gov.uk,exclude,GBR_united_kingdom,local
bradfieldcombustwithstanningfieldparish.gov.uk,exclude,GBR_united_kingdom,local
bradford.gov.uk,exclude,GBR_united_kingdom,local
bradfordonavontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bradfordontone-pc.gov.uk,exclude,GBR_united_kingdom,local
bradfordpeverell-pc.gov.uk,exclude,GBR_united_kingdom,local
brading.gov.uk,exclude,GBR_united_kingdom,local
bradley-pc.gov.uk,exclude,GBR_united_kingdom,local
bradleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bradleysboth-pc.gov.uk,exclude,GBR_united_kingdom,local
bradleystoke.gov.uk,exclude,GBR_united_kingdom,local
bradninch-tc.gov.uk,exclude,GBR_united_kingdom,local
bradnopparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bradwallparish.gov.uk,exclude,GBR_united_kingdom,local
bradwell-pc.gov.uk,exclude,GBR_united_kingdom,local
bradwellonsea-pc.gov.uk,exclude,GBR_united_kingdom,local
bradwellparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bradwellwithpattiswick-pc.gov.uk,exclude,GBR_united_kingdom,local
braffertonhelperby-pc.gov.uk,exclude,GBR_united_kingdom,local
brailes-pc.gov.uk,exclude,GBR_united_kingdom,local
brailsfordandednastonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brain.gov,subtree,USA_united_states,central
braintree.gov.uk,exclude,GBR_united_kingdom,local
bramber-pc.gov.uk,exclude,GBR_united_kingdom,local
bramertonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bramfieldandthoringtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bramfordparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bramhamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bramhopecarlton-pc.gov.uk,exclude,GBR_united_kingdom,local
bramley-pc.gov.uk,exclude,GBR_united_kingdom,local
bramleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bramleypc.gov.uk,exclude,GBR_united_kingdom,local
brampfordspekeparish.gov.uk,exclude,GBR_united_kingdom,local
brampton-cambs-pc.gov.uk,exclude,GBR_united_kingdom,local
brampton-pc.gov.uk,exclude,GBR_united_kingdom,local
bramptonashparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bramptonbierlow-pc.gov.uk,exclude,GBR_united_kingdom,local
bramptonoxnead-pc.gov.uk,exclude,GBR_united_kingdom,local
bramshaw-pc.gov.uk,exclude,GBR_united_kingdom,local
bramshottandliphook-pc.gov.uk,exclude,GBR_united_kingdom,local
brancaster-pc.gov.uk,exclude,GBR_united_kingdom,local
brandesburtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brandeston-pc.gov.uk,exclude,GBR_united_kingdom,local
brandon-tc.gov.uk,exclude,GBR_united_kingdom,local
brandonandbyshottlesparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brandsbycumstearsbyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
branscombe-pc.gov.uk,exclude,GBR_united_kingdom,local
bransgore-parish.gov.uk,exclude,GBR_united_kingdom,local
branston-pc.gov.uk,exclude,GBR_united_kingdom,local
branstonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
branstontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
branthamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
branxtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brassingtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brastedparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brattlebyparish.gov.uk,exclude,GBR_united_kingdom,local
brattonclovelly-pc.gov.uk,exclude,GBR_united_kingdom,local
brattonflemingparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brattonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
braunston-pc.gov.uk,exclude,GBR_united_kingdom,local
braunstonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brauntonmarshdrainageboard.gov.uk,exclude,GBR_united_kingdom,local
brauntonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brawdycommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
brayparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
braytonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
breadsallparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
breamore.gov.uk,exclude,GBR_united_kingdom,local
breanparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
breastonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
breckland.gov.uk,exclude,GBR_united_kingdom,local
brede-pc.gov.uk,exclude,GBR_united_kingdom,local
bredenburygroup-pc.gov.uk,exclude,GBR_united_kingdom,local
bredfield-pc.gov.uk,exclude,GBR_united_kingdom,local
bredgarparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bredhurst-pc.gov.uk,exclude,GBR_united_kingdom,local
breedonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
breintonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brenchleyandmatfield-pc.gov.uk,exclude,GBR_united_kingdom,local
brent.gov.uk,exclude,GBR_united_kingdom,local
brenteleighparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brentknollparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brentwood.gov.uk,exclude,GBR_united_kingdom,local
breretonandravenhill-pc.gov.uk,exclude,GBR_united_kingdom,local
breretonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bretherton-pc.gov.uk,exclude,GBR_united_kingdom,local
bretton-pc.gov.uk,exclude,GBR_united_kingdom,local
brettonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brewham-pc.gov.uk,exclude,GBR_united_kingdom,local
brewoodandcoven-pc.gov.uk,exclude,GBR_united_kingdom,local
brickhillparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bridfordparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bridgend.gov.uk,exclude,GBR_united_kingdom,local
bridgendtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bridgeruleparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bridgham-pc.gov.uk,exclude,GBR_united_kingdom,local
bridgnorthtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bridgwater-tc.gov.uk,exclude,GBR_united_kingdom,local
bridgwaterwithout-pc.gov.uk,exclude,GBR_united_kingdom,local
bridlington.gov.uk,exclude,GBR_united_kingdom,local
bridport-tc.gov.uk,exclude,GBR_united_kingdom,local
bridstowparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
briercliffe-pc.gov.uk,exclude,GBR_united_kingdom,local
brierfield.gov.uk,exclude,GBR_united_kingdom,local
briggtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
brighstoneparish.gov.uk,exclude,GBR_united_kingdom,local
brightling-pc.gov.uk,exclude,GBR_united_kingdom,local
brightlingseatowncouncil.gov.uk,exclude,GBR_united_kingdom,local
brighton-hove.gov.uk,exclude,GBR_united_kingdom,local
brightwalton-pc.gov.uk,exclude,GBR_united_kingdom,local
brightwellcumsotwell-pc.gov.uk,exclude,GBR_united_kingdom,local
brightwellfoxhallpurdisfarm-pc.gov.uk,exclude,GBR_united_kingdom,local
brigstockparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brilley-pc.gov.uk,exclude,GBR_united_kingdom,local
brillparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brimfieldandlittleherefordgroup-pc.gov.uk,exclude,GBR_united_kingdom,local
brimpsfieldparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brimpton-pc.gov.uk,exclude,GBR_united_kingdom,local
brimscombeandthrupp-pc.gov.uk,exclude,GBR_united_kingdom,local
brindle-pc.gov.uk,exclude,GBR_united_kingdom,local
brindleyandfaddiley-pc.gov.uk,exclude,GBR_united_kingdom,local
brindleyheath-pc.gov.uk,exclude,GBR_united_kingdom,local
bringtonmolesworth-pc.gov.uk,exclude,GBR_united_kingdom,local
bringtons-pc.gov.uk,exclude,GBR_united_kingdom,local
brininghamparish.gov.uk,exclude,GBR_united_kingdom,local
brinkburn-pc.gov.uk,exclude,GBR_united_kingdom,local
brinkleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brinklowparish.gov.uk,exclude,GBR_united_kingdom,local
brinkworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brinsley-pc.gov.uk,exclude,GBR_united_kingdom,local
brinsworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brintonandsharrington-pc.gov.uk,exclude,GBR_united_kingdom,local
brisleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bristol.gov.uk,exclude,GBR_united_kingdom,local
bristonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
britfordparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brixhamtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
brixtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brixworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brizlincote-pc.gov.uk,exclude,GBR_united_kingdom,local
broadbandmap.gov,subtree,USA_united_states,central
broadbridgeheath-pc.gov.uk,exclude,GBR_united_kingdom,local
broadhembury-pc.gov.uk,exclude,GBR_united_kingdom,local
broadhempston-pc.gov.uk,exclude,GBR_united_kingdom,local
broadland.gov.uk,exclude,GBR_united_kingdom,local
broadmayneparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broads-authority.gov.uk,exclude,GBR_united_kingdom,local
broadstairs.gov.uk,exclude,GBR_united_kingdom,local
broadstone-tc.gov.uk,exclude,GBR_united_kingdom,local
broadwascotheridge-pc.gov.uk,exclude,GBR_united_kingdom,local
broadwaysomerset-pc.gov.uk,exclude,GBR_united_kingdom,local
broadwellparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broadwindsorgroup.gov.uk,exclude,GBR_united_kingdom,local
brockenhurst.gov.uk,exclude,GBR_united_kingdom,local
brockley-pc.gov.uk,exclude,GBR_united_kingdom,local
brockleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brockworth-pc.gov.uk,exclude,GBR_united_kingdom,local
brocton-pc.gov.uk,exclude,GBR_united_kingdom,local
brodsworth-pc.gov.uk,exclude,GBR_united_kingdom,local
bromeandoakleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bromeswellparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bromfield-pc.gov.uk,exclude,GBR_united_kingdom,local
bromfieldparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bromham-pc.gov.uk,exclude,GBR_united_kingdom,local
bromley.gov.uk,exclude,GBR_united_kingdom,local
bromorgannwg.gov.uk,exclude,GBR_united_kingdom,local
bromptononswaleparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bromptonralphparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bromptontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bromsgrove.gov.uk,exclude,GBR_united_kingdom,local
bromsgroveandredditch.gov.uk,exclude,GBR_united_kingdom,local
bromyardandwinslow-tc.gov.uk,exclude,GBR_united_kingdom,local
brookenby-pc.gov.uk,exclude,GBR_united_kingdom,local
brookeparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brooklandparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brookparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brookthorpewithwhaddon-pc.gov.uk,exclude,GBR_united_kingdom,local
broomeparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broomfield-pc.gov.uk,exclude,GBR_united_kingdom,local
broseley-tc.gov.uk,exclude,GBR_united_kingdom,local
brothertonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broughton-astley.gov.uk,exclude,GBR_united_kingdom,local
broughton-oxon-pc.gov.uk,exclude,GBR_united_kingdom,local
broughton-pc.gov.uk,exclude,GBR_united_kingdom,local
broughtonandbrettoncommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
broughtonandmkv-pc.gov.uk,exclude,GBR_united_kingdom,local
broughtondalbyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broughtoneast-pc.gov.uk,exclude,GBR_united_kingdom,local
broughtonhantsparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broughtonparish.gov.uk,exclude,GBR_united_kingdom,local
broughtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broughtontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
broughwithstgiles-pc.gov.uk,exclude,GBR_united_kingdom,local
brownedge-pc.gov.uk,exclude,GBR_united_kingdom,local
broxbourne.gov.uk,exclude,GBR_united_kingdom,local
broxted-pc.gov.uk,exclude,GBR_united_kingdom,local
broxtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
broxtowe.gov.uk,exclude,GBR_united_kingdom,local
brreg.no,subtree,NOR_norway,central
brundall-pc.gov.uk,exclude,GBR_united_kingdom,local
brunswickparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brutontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bryanston-pc.gov.uk,exclude,GBR_united_kingdom,local
brymptonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
brynfordcommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
bryningwithwarton-pc.gov.uk,exclude,GBR_united_kingdom,local
bsee.gov,subtree,USA_united_states,central
btfa.gov,subtree,USA_united_states,central
bts.gov,subtree,USA_united_states,central
btsmandw-pc.gov.uk,exclude,GBR_united_kingdom,local
bubbenhallparish.gov.uk,exclude,GBR_united_kingdom,local
buckdenparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
buckfastleigh.gov.uk,exclude,GBR_united_kingdom,local
buckfastleighwest-pc.gov.uk,exclude,GBR_united_kingdom,local
buckhornwestonkingtonmagna-pc.gov.uk,exclude,GBR_united_kingdom,local
buckhursthillpc.gov.uk,exclude,GBR_united_kingdom,local
buckingham-tc.gov.uk,exclude,GBR_united_kingdom,local
buckinghampark-pc.gov.uk,exclude,GBR_united_kingdom,local
buckinghamshire.gov.uk,exclude,GBR_united_kingdom,local
buckland-pc.gov.uk,exclude,GBR_united_kingdom,local
bucklandandchipping-pc.gov.uk,exclude,GBR_united_kingdom,local
bucklandbrewerparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bucklanddinham-pc.gov.uk,exclude,GBR_united_kingdom,local
bucklandmonachorum-pc.gov.uk,exclude,GBR_united_kingdom,local
bucklandnewtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bucklandparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bucklandstmarypc.gov.uk,exclude,GBR_united_kingdom,local
bucklebury-pc.gov.uk,exclude,GBR_united_kingdom,local
buckleshamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bucksalc.gov.uk,exclude,GBR_united_kingdom,local
bucksandsurreytradingstandards.gov.uk,exclude,GBR_united_kingdom,local
buckscc.gov.uk,exclude,GBR_united_kingdom,local
bucksfire.gov.uk,exclude,GBR_united_kingdom,local
budbrooke-pc.gov.uk,exclude,GBR_united_kingdom,local
bude-stratton.gov.uk,exclude,GBR_united_kingdom,local
budget.gov,subtree,USA_united_states,central
budgetlob.gov,subtree,USA_united_states,central
budleighsaltertontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
budockparish.gov.uk,exclude,GBR_united_kingdom,local
buenosaires.gob.ar,exact,ARG_argentina,central-1
buenosairescompras.gob.ar,exact,ARG_argentina,central-1
buertonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bufetat.no,subtree,NOR_norway,central
bugbrookeparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
buildingcontrolpartnershiphants.gov.uk,exclude,GBR_united_kingdom,local
buildingregulationsni.gov.uk,exact,GBR_united_kingdom,central-1
buildwas-pc.gov.uk,exclude,GBR_united_kingdom,local
bulcoteparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bulkingtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bulmer-pc.gov.uk,exclude,GBR_united_kingdom,local
bulwickparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
bunbury-pc.gov.uk,exclude,GBR_united_kingdom,local
bund.de,subtree,DEU_germany,central
bundesfinanzministerium.de,subtree,DEU_germany,central
bundesgesundheitsministerium.de,subtree,DEU_germany,central
bundesregierung.de,subtree,DEU_germany,central
bundestag.de,subtree,DEU_germany,central
bundesumweltministerium.de,subtree,DEU_germany,central
bundeswirtschaftsministerium.de,subtree,DEU_germany,central
bungaytowncouncil.gov.uk,exclude,GBR_united_kingdom,local
bunnyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
buntingford-tc.gov.uk,exclude,GBR_united_kingdom,local
bunwell-pc.gov.uk,exclude,GBR_united_kingdom,local
burbage-wilts-pc.gov.uk,exclude,GBR_united_kingdom,local
burbageparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
