hostname,country,label,website
aaub.edu.bd,BGD_bangladesh,"Aviation and Aerospace University, Bangladesh",http://www.aaub.edu.bd/
bau.edu.bd,BGD_bangladesh,Bangladesh Agricultural University,https://www.bau.edu.bd/
bmu.ac.bd,BGD_bangladesh,Bangladesh Medical University,https://bmu.ac.bd/
bou.edu.bd,BGD_bangladesh,Bangladesh Open University,http://www.bou.edu.bd/
brur.ac.bd,BGD_bangladesh,"Begum Rokeya University, Rangpur",http://www.brur.ac.bd/
bsfmstu.ac.bd,BGD_bangladesh,Jamalpur Science and Technology University,http://bsfmstu.ac.bd
bsmrmu.edu.bd,BGD_bangladesh,Bangladesh Maritime University,https://www.bsmrmu.edu.bd
bsmrstup.ac.bd,BGD_bangladesh,Pirojpur Science and Technology University,http://www.bsmrstup.ac.bd/
bsmru.ac.bd,BGD_bangladesh,Kishoreganj University,https://bsmru.ac.bd/
bu.ac.bd,BGD_bangladesh,University of Barishal,http://www.bu.ac.bd/
buet.ac.bd,BGD_bangladesh,Bangladesh University of Engineering and Technology,https://www.buet.ac.bd/
bup.edu.bd,BGD_bangladesh,Bangladesh University of Professionals,http://www.bup.edu.bd
butex.edu.bd,BGD_bangladesh,Bangladesh University of Textiles,http://www.butex.edu.bd
cmu.edu.bd,BGD_bangladesh,Chittagong Medical University,https://www.cmu.edu.bd/
cou.ac.bd,BGD_bangladesh,Comilla University,http://www.cou.ac.bd/
cu.ac.bd,BGD_bangladesh,University of Chittagong,http://www.cu.ac.bd
cuet.ac.bd,BGD_bangladesh,Chittagong University of Engineering & Technology,http://www.cuet.ac.bd/
cvasu.ac.bd,BGD_bangladesh,Chittagong Veterinary and Animal Sciences University,http://www.cvasu.ac.bd/
dcu.ac.bd,BGD_bangladesh,Dhaka Central University,https://www.dcu.ac.bd/
du.ac.bd,BGD_bangladesh,University of Dhaka,https://www.du.ac.bd/
duet.ac.bd,BGD_bangladesh,Dhaka University of Engineering & Technology,http://duet.ac.bd
gau.edu.bd,BGD_bangladesh,Gazipur Agricultural University,https://gau.edu.bd/
gstu.edu.bd,BGD_bangladesh,Gopalganj Science and Technology University,https://www.gstu.edu.bd/
hau.ac.bd,BGD_bangladesh,Habiganj Agricultural University,https://hau.ac.bd/
hstu.ac.bd,BGD_bangladesh,Hajee Mohammad Danesh Science & Technology University,https://hstu.ac.bd/
iau.edu.bd,BGD_bangladesh,Islamic Arabic University,https://iau.edu.bd/
iu.ac.bd,BGD_bangladesh,"Islamic University, Bangladesh",http://www.iu.ac.bd/
jkkniu.edu.bd,BGD_bangladesh,Jatiya Kabi Kazi Nazrul Islam University,http://www.jkkniu.edu.bd/
jnu.ac.bd,BGD_bangladesh,Jagannath University,https://www.jnu.ac.bd/
