subdomain,http_status,mx
ecom-exch1.energycom.gov.gh,Could not resolve host: ecom-exch1.energycom.gov.gh,none
ecowasgames.moys.gov.gh,Connection timed out after 3001 milliseconds,none
edge.mofep.gov.gh,Could not resolve host: edge.mofep.gov.gh,none
effutuma.gov.gh,Connection timed out after 3001 milliseconds,none
egovernmentworkshop.nita.gov.gh,Connection timed out after 3001 milliseconds,none
egovonline.gegov.gov.gh,Could not resolve host: egovonline.gegov.gov.gh,none
ejudgment.judicial.gov.gh,200,none
ejustice.jsg.gov.gh,Could not resolve host: ejustice.jsg.gov.gh,none
elip.nadmo.gov.gh,Could not resolve host: elip.nadmo.gov.gh,none
elogin.eservices.gov.gh,Could not resolve host: elogin.eservices.gov.gh,none
embassy.gov.gh,Could not resolve host: embassy.gov.gh,none
energycom.gov.gh,Could not resolve host: energycom.gov.gh,none
energymin.gov.gh,200,none
entities.portal.ppa.gov.gh,Could not resolve host: entities.portal.ppa.gov.gh,none
epa.gov.gh,301,none
epacdm.epa.gov.gh,301,none
epay.gov.gh,Could not resolve host: epay.gov.gh,none
erp.nita.gov.gh,SSL: no alternative certificate subject name matches target hostname 'erp.nita.gov.gh',none
erpnita.gov.gh,200,none
eservices.gov.gh,SSL: no alternative certificate subject name matches target hostname 'eservices.gov.gh',none
esma.gov.gh,200,none
eworkspace.gov.gh,Could not resolve host: eworkspace.gov.gh,10 smtp.eworkspace.gov.gh.
exams.ntc.gov.gh,200,none
external.mofep.gov.gh,Could not resolve host: external.mofep.gov.gh,none
fairwages.gov.gh,Connection timed out after 3001 milliseconds,none
fdaghana.gov.gh,200,none
fepool.mofep.gov.gh,SSL certificate problem: unable to get local issuer certificate,none
fic.gov.gh,Connection timed out after 3001 milliseconds,0 fic-gov-gh.mail.protection.outlook.com.
files.secghana.gov.gh,Could not resolve host: files.secghana.gov.gh,none
foresight.gnhr.gov.gh,Could not resolve host: foresight.gnhr.gov.gh,none
forms.epa.gov.gh,403,none
fpdf.gov.gh,SSL certificate problem: self-signed certificate,0 fpdf-gov-gh.mail.protection.outlook.com.
france.embassy.gov.gh,Could not resolve host: france.embassy.gov.gh,none
gafmed.gov.gh,Could not resolve host: gafmed.gov.gh,none
gamesvillage.moys.gov.gh,Connection timed out after 3002 milliseconds,none
gapte.gov.gh,Connection timed out after 3001 milliseconds,dig error
garh.gov.gh,403,none
gbdc.gov.gh,Connection timed out after 3002 milliseconds,none
gca2018.statsghana.gov.gh,Connection timed out after 3002 milliseconds,none
gegov.gov.gh,Connection timed out after 3001 milliseconds,none
geiti.gov.gh,SSL: no alternative certificate subject name matches target hostname 'geiti.gov.gh',none
geoserver.ghanalap.gov.gh,TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error,11 mx01.1and1.co.uk.; 10 mx00.1and1.co.uk.
gerid.gov.gh,SSL: no alternative certificate subject name matches target hostname 'gerid.gov.gh',none
ges.gov.gh,Connection timed out after 3002 milliseconds,none
gespromotions.gov.gh,Operation timed out after 3001 milliseconds with 0 bytes received,none
getfund.gov.gh,200,none
getserver.getfund.gov.gh,Could not resolve host: getserver.getfund.gov.gh,none
gfzb.gov.gh,SSL: no alternative certificate subject name matches target hostname 'gfzb.gov.gh',none
ghaccwecas.bog.gov.gh,Could not resolve host: ghaccwecas.bog.gov.gh,none
ghaccwehub.bog.gov.gh,Could not resolve host: ghaccwehub.bog.gov.gh,none
ghanacadet.moys.gov.gh,Connection timed out after 3001 milliseconds,none
ghanaculture.gov.gh,Could not resolve host: ghanaculture.gov.gh,none
ghanalap.gov.gh,SSL certificate problem: certificate has expired,11 mx01.1and1.co.uk.; 10 mx00.1and1.co.uk.
ghanaports.gov.gh,Operation timed out after 3002 milliseconds with 0 bytes received,none
ghanaports.gov.gh.wm5.my-hosting-panel.com,Could not resolve host: ghanaports.gov.gh.wm5.my-hosting-panel.com,none
ghanastradinghub.gov.gh,Connection timed out after 3001 milliseconds,none
ghanatrade.gov.gh,Resolving timed out after 3000 milliseconds,none
ghanatradehub.gov.gh,Connection timed out after 3002 milliseconds,none
gheiti.gov.gh,302,none
ghfishreg.gov.gh,SSL certificate problem: certificate has expired,none
ghksicas.bog.gov.gh,Could not resolve host: ghksicas.bog.gov.gh,none
gifmis-bm.mofep.gov.gh,Connection timed out after 3000 milliseconds,none
gipc.gov.gh,200,0 gipc-gov-gh.mail.protection.outlook.com.
glc.gov.gh,500,none
gnhr.gov.gh,Could not resolve host: gnhr.gov.gh,none
gov.gh,,none
gra.gov.gh,Connection timed out after 3000 milliseconds,none
grb.gov.gh,Connection timed out after 3001 milliseconds,none
gsa.gov.gh,200,0 gsa-gov-gh.mail.protection.outlook.com.
gsma.gov.gh,SSL certificate problem: certificate has expired,none
gsop.gov.gh,Could not resolve host: gsop.gov.gh,none
gsstc.gov.gh,Resolving timed out after 3000 milliseconds,none
healthinformatics.kbth.gov.gh,Could not resolve host: healthinformatics.kbth.gov.gh,none
healthtraining.gov.gh,Could not resolve host: healthtraining.gov.gh,none
hotcatt.gov.gh,200,none
hrm.epa.gov.gh,301,none
