subdomain,parent_domain,http_status,mx
cpanel.decentralisation.gov.bi,gov.bi,Could not resolve host: cpanel.decentralisation.gov.bi,none
cpanel.energie-mines.gov.bi,gov.bi,Could not resolve host: cpanel.energie-mines.gov.bi,none
cpanel.hosting.setic.gov.bi,gov.bi,Could not resolve host: cpanel.hosting.setic.gov.bi,dig error
cpanel.justice.gov.bi,gov.bi,200,none
cpanel.kwantare.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpanel.kwantare.gov.bi',none
cpanel.mctit.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpanel.mctit.gov.bi',none
cpanel.mesrs.gov.bi,gov.bi,Could not resolve host: cpanel.mesrs.gov.bi,none
cpanel.minagrie.gov.bi,gov.bi,Could not resolve host: cpanel.minagrie.gov.bi,none
cpanel.mincomedias.gov.bi,gov.bi,Could not resolve host: cpanel.mincomedias.gov.bi,none
cpanel.mincotim.gov.bi,gov.bi,SSL certificate problem: self-signed certificate,none
cpanel.mininterinfos.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpanel.mininterinfos.gov.bi',dig error
cpanel.minisante.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpanel.minisante.gov.bi',none
cpanel.ministere-energie-mines.gov.bi,gov.bi,Could not resolve host: cpanel.ministere-energie-mines.gov.bi,none
cpanel.mintic.gov.bi,gov.bi,Could not resolve host: cpanel.mintic.gov.bi,none
cpanel.mpls.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3001 milliseconds,none
cpanel.obr.gov.bi,gov.bi,200,none
cpanel.sante.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cpanel.sante.cousp-minisante.gov.bi,none
cpanel.securitepublique.gov.bi,gov.bi,Could not resolve host: cpanel.securitepublique.gov.bi,none
cpanel.setic.gov.bi,gov.bi,200,none
cpanel.vicepresidence2.gov.bi,gov.bi,Could not resolve host: cpanel.vicepresidence2.gov.bi,none
cpanel.vps.arct.gov.bi,gov.bi,Could not resolve host: cpanel.vps.arct.gov.bi,none
cpcalendars.agasandugu.gov.bi,gov.bi,SSL certificate problem: certificate has expired,none
cpcalendars.amategeko.gov.bi,gov.bi,Could not resolve host: cpcalendars.amategeko.gov.bi,none
cpcalendars.bonnegouvernance.gov.bi,gov.bi,Could not resolve host: cpcalendars.bonnegouvernance.gov.bi,none
cpcalendars.carpe.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cpcalendars.carpe.cousp-minisante.gov.bi,none
cpcalendars.cnps.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.cnps.gov.bi',none
cpcalendars.communegitega.gov.bi,gov.bi,Could not resolve host: cpcalendars.communegitega.gov.bi,none
cpcalendars.covid.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cpcalendars.covid.cousp-minisante.gov.bi,none
cpcalendars.covid19info.gov.bi,gov.bi,Could not resolve host: cpcalendars.covid19info.gov.bi,none
cpcalendars.hosting.setic.gov.bi,gov.bi,Could not resolve host: cpcalendars.hosting.setic.gov.bi,none
cpcalendars.justice.gov.bi,gov.bi,503,none
cpcalendars.kwantare.gov.bi,gov.bi,Could not resolve host: cpcalendars.kwantare.gov.bi,none
cpcalendars.mctit.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.mctit.gov.bi',none
cpcalendars.mesrs.gov.bi,gov.bi,401,none
cpcalendars.minagrie.gov.bi,gov.bi,Could not resolve host: cpcalendars.minagrie.gov.bi,none
cpcalendars.mincomedias.gov.bi,gov.bi,Could not resolve host: cpcalendars.mincomedias.gov.bi,none
cpcalendars.mincotim.gov.bi,gov.bi,Could not resolve host: cpcalendars.mincotim.gov.bi,none
cpcalendars.mininterinfos.gov.bi,gov.bi,Could not resolve host: cpcalendars.mininterinfos.gov.bi,none
cpcalendars.minisante.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcalendars.minisante.gov.bi',dig error
cpcalendars.ministere-energie-mines.gov.bi,gov.bi,Could not resolve host: cpcalendars.ministere-energie-mines.gov.bi,none
cpcalendars.mintic.gov.bi,gov.bi,Could not resolve host: cpcalendars.mintic.gov.bi,none
cpcalendars.mpls.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cpcalendars.mpls.cousp-minisante.gov.bi,none
cpcalendars.sante.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3002 milliseconds,none
cpcalendars.securitepublique.gov.bi,gov.bi,Could not resolve host: cpcalendars.securitepublique.gov.bi,none
cpcalendars.setic.gov.bi,gov.bi,401,none
cpcalendars.vps.arct.gov.bi,gov.bi,Could not resolve host: cpcalendars.vps.arct.gov.bi,none
cpcontact.carp.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3000 milliseconds,none
cpcontacts.agasandugu.gov.bi,gov.bi,SSL certificate problem: certificate has expired,none
cpcontacts.amategeko.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.amategeko.gov.bi',none
cpcontacts.bonnegouvernance.gov.bi,gov.bi,Could not resolve host: cpcontacts.bonnegouvernance.gov.bi,none
cpcontacts.carp.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3000 milliseconds,none
cpcontacts.carpe.cousp-minisante.gov.bi,gov.bi,Could not resolve host: cpcontacts.carpe.cousp-minisante.gov.bi,none
cpcontacts.cnps.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.cnps.gov.bi',none
cpcontacts.communegitega.gov.bi,gov.bi,Could not resolve host: cpcontacts.communegitega.gov.bi,none
cpcontacts.covid.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3001 milliseconds,none
cpcontacts.covid19info.gov.bi,gov.bi,Could not resolve host: cpcontacts.covid19info.gov.bi,none
cpcontacts.hosting.setic.gov.bi,gov.bi,Could not resolve host: cpcontacts.hosting.setic.gov.bi,none
cpcontacts.justice.gov.bi,gov.bi,503,none
cpcontacts.kwantare.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.kwantare.gov.bi',none
cpcontacts.mctit.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.mctit.gov.bi',none
cpcontacts.mesrs.gov.bi,gov.bi,401,none
cpcontacts.minagrie.gov.bi,gov.bi,Could not resolve host: cpcontacts.minagrie.gov.bi,none
cpcontacts.mincomedias.gov.bi,gov.bi,Could not resolve host: cpcontacts.mincomedias.gov.bi,none
cpcontacts.mincotim.gov.bi,gov.bi,SSL certificate problem: self-signed certificate,none
cpcontacts.mininterinfos.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.mininterinfos.gov.bi',none
cpcontacts.minisante.gov.bi,gov.bi,SSL: no alternative certificate subject name matches target hostname 'cpcontacts.minisante.gov.bi',none
cpcontacts.ministere-energie-mines.gov.bi,gov.bi,Could not resolve host: cpcontacts.ministere-energie-mines.gov.bi,none
cpcontacts.mintic.gov.bi,gov.bi,Could not resolve host: cpcontacts.mintic.gov.bi,none
cpcontacts.mpls.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3000 milliseconds,none
cpcontacts.sante.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3000 milliseconds,none
cpcontacts.securitepublique.gov.bi,gov.bi,Could not resolve host: cpcontacts.securitepublique.gov.bi,none
cpcontacts.setic.gov.bi,gov.bi,401,none
cpcontacts.vps.arct.gov.bi,gov.bi,Could not resolve host: cpcontacts.vps.arct.gov.bi,none
dad.cnca.gov.bi.burundiconference.gov.bi,gov.bi,Could not resolve host: dad.cnca.gov.bi.burundiconference.gov.bi,none
dad.sp-cnca.gov.bi,gov.bi,Could not resolve host: dad.sp-cnca.gov.bi,none
decentralisation.burundi.gov.bi,gov.bi,Could not resolve host: decentralisation.burundi.gov.bi,none
decentralisation.gov.bi,gov.bi,Could not resolve host: decentralisation.gov.bi,none
demo.mincotim.gov.bi,gov.bi,Could not resolve host: demo.mincotim.gov.bi,none
droitshumains.gov.bi,gov.bi,Could not resolve host: droitshumains.gov.bi,none
e-tourisme.gov.bi,gov.bi,Could not resolve host: e-tourisme.gov.bi,none
eac.covid19info.gov.bi,gov.bi,Could not resolve host: eac.covid19info.gov.bi,none
eac.gov.bi,gov.bi,Could not resolve host: eac.gov.bi,none
en.presidence.gov.bi,gov.bi,Could not resolve host: en.presidence.gov.bi,none
energie-mines.gov.bi,gov.bi,Could not resolve host: energie-mines.gov.bi,none
finances.gov.bi,gov.bi,Operation timed out after 3001 milliseconds with 0 bytes received,none
fr.covid19info.gov.bi,gov.bi,Could not resolve host: fr.covid19info.gov.bi,none
fr.presidence.gov.bi,gov.bi,Could not resolve host: fr.presidence.gov.bi,none
fsu.gov.bi,gov.bi,Operation timed out after 3001 milliseconds with 0 bytes received,0 fsu.gov.bi.
ged.justice.gov.bi,gov.bi,Could not resolve host: ged.justice.gov.bi,none
gov.bi,gov.bi,Connection timed out after 3002 milliseconds,none
healht-19.covid-19.cousp-minisante.gov.bi,gov.bi,Resolving timed out after 3001 milliseconds,none
hosting.setic.gov.bi,gov.bi,200,none
hotels.e-tourisme.gov.bi,gov.bi,Could not resolve host: hotels.e-tourisme.gov.bi,none
hotels.tourisme.gov.bi,gov.bi,Could not resolve host: hotels.tourisme.gov.bi,none
inss.gov.bi,gov.bi,200,0 inss.gov.bi.
ispg.vicepresidence2.gov.bi,gov.bi,Could not resolve host: ispg.vicepresidence2.gov.bi,none
justice.burundi.gov.bi,gov.bi,Could not resolve host: justice.burundi.gov.bi,none
justice.gov.bi,gov.bi,SSL certificate problem: certificate has expired,none
khs.covid19info.gov.bi,gov.bi,Could not resolve host: khs.covid19info.gov.bi,none
kr.covid19info.gov.bi,gov.bi,Could not resolve host: kr.covid19info.gov.bi,none
kr.presidence.gov.bi,gov.bi,Could not resolve host: kr.presidence.gov.bi,none
kwantare.gov.bi,gov.bi,Operation timed out after 3001 milliseconds with 0 bytes received,none
lync.courdescomptes.gov.bi,gov.bi,Could not resolve host: lync.courdescomptes.gov.bi,none
lync.minfinances.gov.bi,gov.bi,Could not resolve host: lync.minfinances.gov.bi,none
lyncdiscover.arct.gov.bi,gov.bi,Could not resolve host: lyncdiscover.arct.gov.bi,none
lyncdiscover.assemblee.gov.bi,gov.bi,Could not resolve host: lyncdiscover.assemblee.gov.bi,none
lyncdiscover.ceni.gov.bi,gov.bi,Could not resolve host: lyncdiscover.ceni.gov.bi,none
