qid,label
Q13378281,Municipality of Velike Lašče
Q13378288,Municipality of Vitanje
Q13378292,Municipality of Vodice
Q13378299,Municipality of Vransko
Q13378328,Zagorje ob Savi Municipality
Q13378373,Municipality of Šalovci
Q13378384,Šentjur Municipality
Q13378453,Municipality of Šmartno pri Litiji
Q1515842,Mirna Municipality
Q15283322,Komen Municipality
Q1569014,Municipality of Naklo
Q1587261,Municipality of Oplotnica
Q1587704,Municipality of Semič
Q15881,Municipality of Jesenice
Q15884,Municipality of Kočevje
Q15887,Laško Municipality
Q15891,Municipality of Litija
Q15892,Ljutomer Municipality
Q15893,Municipality of Logatec
Q15894,Municipality of Medvode
Q15895,Municipality of Mengeš
Q15900,Ormož Municipality
Q15910,Municipality of Radovljica
Q15912,Municipality of Ribnica
Q15913,Municipality of Rogaška Slatina
Q15923,Municipality of Šoštanj
Q15924,Municipality of Tolmin
Q15925,Municipality of Trbovlje
Q15927,Municipality of Tržič
Q15931,Municipality of Žalec
Q15932,Železniki Municipality
Q164123,Municipality of Bloke
Q167001,Municipality of Zavrč
Q1688771,Municipality of Jezersko
Q1784972,Municipality of Straža
Q1808143,Municipality of Makole
Q201074,Municipality of Turnišče
Q2134561,Municipality of Vojnik
Q2242799,Municipality of Postojna
Q227163,Zreče Municipality
Q2318898,Municipality of Škofja Loka
Q2346638,Municipality of Šenčur
Q25110,Municipality of Lovrenc na Pohorju
Q252154,Municipality of Pivka
Q279072,Municipality of Črna na Koroškem
Q3259688,Municipality of Bovec
Q3278915,Municipality of Apače
Q331701,Ajdovščina Municipality
Q3346841,Ruše Municipality
Q338743,Municipality of Radenci
Q341658,Municipality of Črenšovci
Q3434092,Kostel Municipality
Q3434113,Ljubljana City Municipality
Q3435104,Maribor City Municipality
Q3435117,Municipality of Razkrižje
Q3435478,City Municipality of Nova Gorica
Q3435496,Municipality of Kanal ob Soči
Q3435689,Municipality of Gornji Petrovci
Q3441796,Municipality of Središče ob Dravi
Q3441808,Urban Municipality of Ptuj
Q3441817,City Municipality of Slovenj Gradec
Q3441823,City Municipality of Celje
Q3441842,Municipality of Idrija
Q3441849,City Municipality of Velenje
Q3441856,Municipality of Metlika
Q3441893,City Municipality of Kranj
Q3482211,Črnomelj Municipality
Q3484655,City Municipality of Krško
Q3487128,Municipality of Šentrupert
Q3494723,Municipality of Moravske Toplice
Q3503123,Municipality of Dravograd
Q3503153,Municipality of Kamnik
Q3509893,Municipality of Šmarješke Toplice
Q3661628,Bohinj Municipality
Q370390,Municipality of Vuzenica
Q391428,Municipality of Šempeter–Vrtojba
Q391446,Municipality of Šentilj
Q391800,Municipality of Škocjan
Q392103,Municipality of Škofljica
Q392173,Municipality of Šmarje pri Jelšah
Q392188,Municipality of Šmartno ob Paki
Q392468,Municipality of Štore
Q393910,Municipality of Žetale
Q394087,Municipality of Žiri
Q394103,Municipality of Žirovnica
Q398116,City Municipality of Novo Mesto
Q507051,Municipality of Kranjska Gora
Q539864,Municipality of Preddvor
Q554854,Municipality of Sežana
Q556203,City Municipality of Koper
Q556206,Municipality of Hrpelje-Kozina
Q557216,Municipality of Divača
Q565170,Piran Municipality
Q570397,Municipality of Gornja Radgona
Q570618,Municipality of Destrnik
Q587328,Municipality of Lendava
Q594852,Municipality of Poljčane
Q599480,Municipality of Rogašovci
Q612216,Municipality of Renče–Vogrsko
Q6309297,Municipality of Muta
Q632998,Municipality of Gorišnica
Q647572,Municipality of Bled
Q650009,Municipality of Prevalje
Q658076,Miren–Kostanjevica Municipality
Q669648,Municipality of Luče
Q670975,Municipality of Mozirje
Q678147,Municipality of Mežica
Q688287,Kobarid Municipality
Q726548,Municipality of Gornji Grad
Q731093,Municipality of Rače–Fram
Q763400,Municipality of Brda
Q773160,Municipality of Trzin
Q773659,Municipality of Ljubno
Q776770,Municipality of Kidričevo
Q778147,Municipality of Osilnica
Q778542,Municipality of Beltinci
Q779018,Municipality of Benedikt
Q849320,Municipality of Brezovica
Q859679,Municipality of Cerklje na Gorenjskem
Q9014817,Municipality of Vrhnika
Q906636,Municipality of Kuzma
Q906879,Municipality of Brežice
Q917397,Ig Municipality
Q919934,Municipality of Selnica ob Dravi
Q920353,Municipality of Sveti Jurij ob Ščavnici
Q921092,Municipality of Puconci
Q924698,Municipality of Odranci
Q925149,Municipality of Sveti Andraž v Slovenskih Goricah
Q9273677,City Municipality of Murska Sobota
Q927718,Municipality of Kobilje
Q938443,Municipality of Polzela
Q946766,Municipality of Lukovica
Q954987,Municipality of Nazarje
Q963986,Komenda Municipality
Q990063,Sveta Ana Municipality
Q995048,Municipality of Pesnica
Q995065,Municipality of Hajdina
Q995101,Municipality of Velika Polana
Q998557,Municipality of Dol pri Ljubljani
Q998566,Municipality of Kungota
Q999525,Loška Dolina Municipality
Q999530,Municipality of Tabor
Q999540,Municipality of Podčetrtek
Q999553,Municipality of Loški Potok
Q999559,Municipality of Trnovska Vas
Q999563,Municipality of Križevci
Q999579,Municipality of Dobrna
Q999584,Mislinja Municipality
Q999589,Municipality of Duplek
