subdomain,http_status
cpcalendars.growingblueconference.gov.mz,"401"
form.collect.pde.gov.mz,"Could not resolve host: form.collect.pde.gov.mz"
cpcalendars.ara-centronorte.gov.mz,"SSL certificate problem: certificate has expired"
gov.mz,"Could not resolve host: gov.mz"
cpcalendars.ffh.gov.mz,"503"
cpcontacts.inepmc.gov.mz,"Could not resolve host: cpcontacts.inepmc.gov.mz"
cpanel.masa.gov.mz,"200"
cpanel.ffh.gov.mz,"200"
dev.cgcmc.gov.mz,"Could not resolve host: dev.cgcmc.gov.mz"
dev.portaldogoverno.gov.mz,"Could not resolve host: dev.portaldogoverno.gov.mz"
cpanel.embamoc-lisboa.gov.mz,"Could not resolve host: cpanel.embamoc-lisboa.gov.mz"
cpcalendars.ined.gov.mz,"403"
dge.gov.mz,"Could not resolve host: dge.gov.mz"
cpanel.polos.gov.mz,"200"
extranet.proazul.gov.mz,"Could not resolve host: extranet.proazul.gov.mz"
ecee.gov.mz,"Failed to connect to ecee.gov.mz port 443 after 368 ms: Could not connect to server"
facebook-marketplace.ined.gov.mz,"Could not resolve host: facebook-marketplace.ined.gov.mz"
growingblueconference.gov.mz,"Could not resolve host: growingblueconference.gov.mz"
cpcontacts.ara-centronorte.gov.mz,"SSL certificate problem: certificate has expired"
bv.incm.gov.mz,"200"
cpcontacts.inip.gov.mz,"401"
fare.gov.mz,"200"
demosubdomain1.cgcmc.gov.mz,"Could not resolve host: demosubdomain1.cgcmc.gov.mz"
demosubdomain.cgcmc.gov.mz,"Could not resolve host: demosubdomain.cgcmc.gov.mz"
inami.gov.mz,"Could not resolve host: inami.gov.mz"
cpcontacts.ined.gov.mz,"403"
estado.gov.mz,"Could not resolve host: estado.gov.mz"
descubramocambique.gov.mz,"Could not resolve host: descubramocambique.gov.mz"
ins.gov.mz,"Could not resolve host: ins.gov.mz"
cpcontacts.ffh.gov.mz,"503"
iam.gov.mz,"200"
igap1.maefp.gov.mz,"Could not resolve host: igap1.maefp.gov.mz"
dpctzp.zambezia.gov.mz,"Failed to connect to dpctzp.zambezia.gov.mz port 443 after 497 ms: Could not connect to server"
igap.maefp.gov.mz,"Could not resolve host: igap.maefp.gov.mz"
gccc.gov.mz,"Could not resolve host: gccc.gov.mz"
digital.cgcmc.gov.mz,"Could not resolve host: digital.cgcmc.gov.mz"
domain1.cgcmc.gov.mz,"Could not resolve host: domain1.cgcmc.gov.mz"
academycus.africa.cgcmc.gov.mz,"Could not resolve host: academycus.africa.cgcmc.gov.mz"
lyncdiscoverinternal.gov.mz,"Could not resolve host: lyncdiscoverinternal.gov.mz"
geonode.ingc.gov.mz,"Could not resolve host: geonode.ingc.gov.mz"
limpopopn.gov.mz,"Could not resolve host: limpopopn.gov.mz"
infoviolencia.mint.gov.mz,"Could not resolve host: infoviolencia.mint.gov.mz"
edeclaracao.at.gov.mz,"SSL certificate problem: unable to get local issuer certificate"
cpanel.sernic.gov.mz,"200"
jornadas.ciob.gov.mz,"Could not resolve host: jornadas.ciob.gov.mz"
access.gov.mz,"Failed to connect to access.gov.mz port 443 after 1766 ms: Could not connect to server"
mail.aias.gov.mz,"Could not resolve host: mail.aias.gov.mz"
govensinoii.mctestp.gov.mz,"Could not resolve host: govensinoii.mctestp.gov.mz"
mail.anep.gov.mz,"Could not resolve host: mail.anep.gov.mz"
cpcontacts.fe.gov.mz,"503"
ics.gov.mz,"Failed to connect to ics.gov.mz port 443 after 333 ms: Could not connect to server"
library.ciob.gov.mz,"Could not resolve host: library.ciob.gov.mz"
av.gov.mz,"Failed to connect to av.gov.mz port 443 after 1769 ms: Could not connect to server"
mail.cfjj.gov.mz,"Could not resolve host: mail.cfjj.gov.mz"
investimentos-cmm.gov.mz,"Could not resolve host: investimentos-cmm.gov.mz"
mail.arazambeze.gov.mz,"Could not resolve host: mail.arazambeze.gov.mz"
lyncdiscover.gov.mz,"Failed to connect to lyncdiscover.gov.mz port 443 after 176 ms: Could not connect to server"
estatistica.inip.gov.mz,"200"
cpcalendars.polos.gov.mz,"503"
mail.cmnacala.gov.mz,"Could not resolve host: mail.cmnacala.gov.mz"
inac.gov.mz,"Could not resolve host: inac.gov.mz"
investnacala.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'investnacala.gov.mz'"
esura.mctestp.gov.mz,"Could not resolve host: esura.mctestp.gov.mz"
embamoc.gov.mz,"200"
mail.ciob.gov.mz,"Could not resolve host: mail.ciob.gov.mz"
e-snip.mef.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'e-snip.mef.gov.mz'"
mail.cgcmc.gov.mz,"Could not resolve host: mail.cgcmc.gov.mz"
cpcontacts.sernic.gov.mz,"503"
embamoc-lisboa.gov.mz,"SSL certificate problem: unable to get local issuer certificate"
cpcontacts.polos.gov.mz,"503"
mail.iam.gov.mz,"Could not resolve host: mail.iam.gov.mz"
facim.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'facim.gov.mz'"
icm.gov.mz,"200"
autodiscover.embamoc-lisboa.gov.mz,"Could not resolve host: autodiscover.embamoc-lisboa.gov.mz"
m.facebook-marketplace-item.ined.gov.mz,"Could not resolve host: m.facebook-marketplace-item.ined.gov.mz"
lmis-qa.cmam.gov.mz,"Could not resolve host: lmis-qa.cmam.gov.mz"
mail.inac.gov.mz,"Could not resolve host: mail.inac.gov.mz"
mail.inahina.gov.mz,"Could not resolve host: mail.inahina.gov.mz"
govensino.mctestp.gov.mz,"Could not resolve host: govensino.mctestp.gov.mz"
innoq.gov.mz,"SSL certificate problem: self-signed certificate"
mail.ara-sul.gov.mz,"Could not resolve host: mail.ara-sul.gov.mz"
mail-int.gov.mz,"Could not resolve host: mail-int.gov.mz"
inepmc.gov.mz,"Could not resolve host: inepmc.gov.mz"
mail.ine.gov.mz,"Could not resolve host: mail.ine.gov.mz"
enketo.collect.pde.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'enketo.collect.pde.gov.mz'"
mail.cmnampula.gov.mz,"Could not resolve host: mail.cmnampula.gov.mz"
cpcontacts.masa.gov.mz,"503"
estatisc.inip.gov.mz,"200"
mail.investnacala.gov.mz,"Could not resolve host: mail.investnacala.gov.mz"
mail.cmchimoio.gov.mz,"Could not resolve host: mail.cmchimoio.gov.mz"
imap.gov.mz,"Could not resolve host: imap.gov.mz"
mail.investimentos-cmm.gov.mz,"Could not resolve host: mail.investimentos-cmm.gov.mz"
autodiscover.cedsif.gov.mz,"302"
cpanel.inac.gov.mz,"Could not resolve host: cpanel.inac.gov.mz"
inss.gov.mz,"Could not resolve host: inss.gov.mz"
mail.growingblueconference.gov.mz,"Could not resolve host: mail.growingblueconference.gov.mz"
mail.gccc.gov.mz,"Failed to connect to mail.gccc.gov.mz port 443 after 324 ms: Could not connect to server"
mail.gcpcd.gov.mz,"Could not resolve host: mail.gcpcd.gov.mz"
mail.ined.gov.mz,"Could not resolve host: mail.ined.gov.mz"
cpcalendars.limpopopn.gov.mz,"Could not resolve host: cpcalendars.limpopopn.gov.mz"
mail.inss.gov.mz,"Could not resolve host: mail.inss.gov.mz"
inip.gov.mz,"200"
mail.icm.gov.mz,"Failed to connect to mail.icm.gov.mz port 443 after 335 ms: Could not connect to server"
mail.marracuene.gov.mz,"Could not resolve host: mail.marracuene.gov.mz"
mail.ifpelac.gov.mz,"Could not resolve host: mail.ifpelac.gov.mz"
mail.mctestp.gov.mz,"Could not resolve host: mail.mctestp.gov.mz"
mail.inage.gov.mz,"Could not resolve host: mail.inage.gov.mz"
mail.mitur.gov.mz,"Could not resolve host: mail.mitur.gov.mz"
mail.inip.gov.mz,"Could not resolve host: mail.inip.gov.mz"
mail.estado.gov.mz,"Could not resolve host: mail.estado.gov.mz"
ffh.gov.mz,"200"
mail.maefp.gov.mz,"Could not resolve host: mail.maefp.gov.mz"
manica.ciob.gov.mz,"Could not resolve host: manica.ciob.gov.mz"
lmis.cmam.gov.mz,"Could not resolve host: lmis.cmam.gov.mz"
dev.mozgis.gov.mz,"200"
mail.proazul.gov.mz,"Could not resolve host: mail.proazul.gov.mz"
marracuene.gov.mz,"Could not resolve host: marracuene.gov.mz"
mail.sina.gov.mz,"Could not resolve host: mail.sina.gov.mz"
goaml.gifim.gov.mz,"200"
mail.ara-centronorte.gov.mz,"SSL certificate problem: certificate has expired"
mail.pnpfd.gov.mz,"Could not resolve host: mail.pnpfd.gov.mz"
mail.inepmc.gov.mz,"Could not resolve host: mail.inepmc.gov.mz"
cpcontacts.prosavana.gov.mz,"Could not resolve host: cpcontacts.prosavana.gov.mz"
ipi.gov.mz,"200"
cedsif.gov.mz,"Could not resolve host: cedsif.gov.mz"
mail.municipiomanica.gov.mz,"Could not resolve host: mail.municipiomanica.gov.mz"
mocambiquedigital.gov.mz,"Could not resolve host: mocambiquedigital.gov.mz"
mon.ecee.gov.mz,"Could not resolve host: mon.ecee.gov.mz"
meet.gov.mz,"Failed to connect to meet.gov.mz port 443 after 175 ms: Could not connect to server"
ma.cncs.gov.mz,"200"
fe.gov.mz,"200"
mailcontas.inage.gov.mz,"Could not resolve host: mailcontas.inage.gov.mz"
inm.gov.mz,"SSL certificate problem: unable to get local issuer certificate"
ined.gov.mz,"301"
mint.gov.mz,"Could not resolve host: mint.gov.mz"
cpcalendars.prosavana.gov.mz,"Could not resolve host: cpcalendars.prosavana.gov.mz"
mozgis.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'mozgis.gov.mz'"
mail.embamoc.gov.mz,"200"
moodle.mctestp.gov.mz,"Could not resolve host: moodle.mctestp.gov.mz"
masa.gov.mz,"Could not resolve host: masa.gov.mz"
mail.agricultura.gov.mz,"302"
incm.gov.mz,"301"
ons.gov.mz,"404"
odk.ciob.gov.mz,"Could not resolve host: odk.ciob.gov.mz"
owa.gov.mz,"Could not resolve host: owa.gov.mz"
mozambique.expo2020.inage.gov.mz,"Could not resolve host: mozambique.expo2020.inage.gov.mz"
ara-sul.gov.mz,"Operation timed out after 3001 milliseconds with 0 bytes received"
