subdomain,http_status,mx
mail.rsf.gov.sd,Could not resolve host: mail.rsf.gov.sd,0 rsf.gov.sd.
mail.rssa.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.rssa.gov.sd',none
mail.sgcrtvt.gov.sd,Could not resolve host: mail.sgcrtvt.gov.sd,none
mail.sji.gov.sd,200,none
mail.smsb.gov.sd,Could not resolve host: mail.smsb.gov.sd,none
mail.social-affairs-rs.gov.sd,Could not resolve host: mail.social-affairs-rs.gov.sd,none
mail.sri.gov.sd,Resolving timed out after 3001 milliseconds,dig error
mail.sudamin.gov.sd,Resolving timed out after 3001 milliseconds,none
mail.tpra.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.tpra.gov.sd',none
mail.union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.union.gov.sd',none
mail.webmail.moj.gov.sd,Could not resolve host: mail.webmail.moj.gov.sd,none
mail.westdarfur.gov.sd,SSL: no alternative certificate subject name matches target hostname 'mail.westdarfur.gov.sd',none
mail.wki.gov.sd,Could not resolve host: mail.wki.gov.sd,none
mail.www.moj.gov.sd,Could not resolve host: mail.www.moj.gov.sd,none
mail.www.sji.gov.sd,Could not resolve host: mail.www.sji.gov.sd,none
mail.zakat-chamber.gov.sd,Operation timed out after 3001 milliseconds with 0 bytes received,none
mail.zakatalgadarif.gov.sd,Could not resolve host: mail.zakatalgadarif.gov.sd,none
mail.zakatcompanies.gov.sd,Could not resolve host: mail.zakatcompanies.gov.sd,none
mail.zakatkassala.gov.sd,Resolving timed out after 3002 milliseconds,none
mail01.moj.gov.sd,SSL certificate problem: certificate has expired,none
mail1.sji.gov.sd,SSL certificate problem: certificate has expired,none
mail2.moj.gov.sd,Could not resolve host: mail2.moj.gov.sd,none
mail3.moj.gov.sd,SSL certificate problem: certificate has expired,none
mail3.sji.gov.sd,SSL certificate problem: certificate has expired,none
mail4.moj.gov.sd,SSL certificate problem: certificate has expired,none
mail9.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailbox.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailer.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailgate.sji.gov.sd,SSL certificate problem: certificate has expired,none
mailout.moj.gov.sd,Could not resolve host: mailout.moj.gov.sd,none
mailrelay.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailx.moj.gov.sd,SSL certificate problem: certificate has expired,none
mailx.sji.gov.sd,SSL certificate problem: certificate has expired,none
maps.pttracking.gov.sd,Connection timed out after 3002 milliseconds,none
mcit.gov.sd,Resolving timed out after 3000 milliseconds,none
medanilocality.gov.sd,Resolving timed out after 3000 milliseconds,dig error
meet.smsb.gov.sd,Could not resolve host: meet.smsb.gov.sd,none
mepd.gov.sd,Resolving timed out after 3000 milliseconds,none
merowedam.gov.sd,Could not resolve host: merowedam.gov.sd,none
mga.gov.sd,Resolving timed out after 3000 milliseconds,none
mgsd-krt.gov.sd,Could not resolve host: mgsd-krt.gov.sd,none
moc.gov.sd,Resolving timed out after 3000 milliseconds,dig error
mocmtns.gov.sd,Resolving timed out after 3000 milliseconds,dig error
mod-api.mod.gov.sd,Could not resolve host: mod-api.mod.gov.sd,none
mod.gov.sd,Could not resolve host: mod.gov.sd,10 mail.mod.gov.sd.
moendarfur.gov.sd,Resolving timed out after 3000 milliseconds,none
mofa.gov.sd,Resolving timed out after 3000 milliseconds,none
moj.gov.sd,200,10 mail.moj.gov.sd.
motrb.gov.sd,Resolving timed out after 3000 milliseconds,dig error
ms.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx0.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx0.sji.gov.sd,SSL certificate problem: certificate has expired,none
mx01.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx10.moj.gov.sd,SSL certificate problem: certificate has expired,none
mx2.sji.gov.sd,SSL certificate problem: certificate has expired,none
my.tpra.gov.sd,Resolving timed out after 3000 milliseconds,none
napo.gov.sd,Resolving timed out after 3000 milliseconds,dig error
ncca.gov.sd,Resolving timed out after 3000 milliseconds,none
nccd.gov.sd,Resolving timed out after 3000 milliseconds,none
ncgld.gov.sd,Could not resolve host: ncgld.gov.sd,none
ncmhp.gov.sd,Could not resolve host: ncmhp.gov.sd,none
ncpd.gov.sd,Resolving timed out after 3002 milliseconds,none
nct.gov.sd,Connection timed out after 3003 milliseconds,none
ndcc.gov.sd,Resolving timed out after 3001 milliseconds,none
ngc.gov.sd,Resolving timed out after 3002 milliseconds,dig error
nicsudan.gov.sd,Resolving timed out after 3001 milliseconds,dig error
nileabohamed.gov.sd,Could not resolve host: nileabohamed.gov.sd,none
nileadminreform.gov.sd,Could not resolve host: nileadminreform.gov.sd,none
nilealshaheed.gov.sd,Resolving timed out after 3001 milliseconds,none
nileatbara.gov.sd,Could not resolve host: nileatbara.gov.sd,none
nilebohaira.gov.sd,Could not resolve host: nilebohaira.gov.sd,none
nilebrbr.gov.sd,Could not resolve host: nilebrbr.gov.sd,none
nilegate.gov.sd,Could not resolve host: nilegate.gov.sd,none
nilegrievances.gov.sd,Resolving timed out after 3002 milliseconds,dig error
nilehealth.gov.sd,Could not resolve host: nilehealth.gov.sd,0 nilehealth.gov.sd.
nileislamic.gov.sd,Resolving timed out after 3001 milliseconds,none
nilekhiar.gov.sd,Resolving timed out after 3000 milliseconds,none
nilelocalgov.gov.sd,Resolving timed out after 3000 milliseconds,none
nilequality.gov.sd,Resolving timed out after 3000 milliseconds,dig error
nileselectcommity.gov.sd,Could not resolve host: nileselectcommity.gov.sd,none
nilewater.gov.sd,Resolving timed out after 3001 milliseconds,dig error
nilewatnia.gov.sd,Resolving timed out after 3000 milliseconds,none
nilewomenunion.gov.sd,Resolving timed out after 3000 milliseconds,dig error
nkordofan.gov.sd,Resolving timed out after 3001 milliseconds,none
nmpb.gov.sd,SSL certificate problem: unable to get local issuer certificate,none
nmsf.gov.sd,200,none
npc.gov.sd,Could not resolve host: npc.gov.sd,none
ns1.sji.gov.sd,SSL certificate problem: certificate has expired,none
ns2.moj.gov.sd,SSL certificate problem: certificate has expired,none
ntcvc.ntc.gov.sd,Resolving timed out after 3001 milliseconds,none
ocewc.gov.sd,Resolving timed out after 3000 milliseconds,none
ogs.gov.sd,301,0 ogs.gov.sd.
openpgpkey.moj.gov.sd,SSL certificate problem: certificate has expired,none
out.moj.gov.sd,SSL certificate problem: certificate has expired,none
owa.moj.gov.sd,SSL certificate problem: certificate has expired,none
owa.sji.gov.sd,SSL certificate problem: certificate has expired,none
owa.tpra.gov.sd,Resolving timed out after 3000 milliseconds,none
owas.smsb.gov.sd,Could not resolve host: owas.smsb.gov.sd,none
phpmyadmin.smsb.gov.sd,Could not resolve host: phpmyadmin.smsb.gov.sd,none
po.moj.gov.sd,SSL certificate problem: certificate has expired,none
poczta.moj.gov.sd,SSL certificate problem: certificate has expired,none
poczta.sji.gov.sd,SSL certificate problem: certificate has expired,none
policetraining.gov.sd,Could not resolve host: policetraining.gov.sd,none
pop.sji.gov.sd,SSL certificate problem: certificate has expired,none
pop3.moj.gov.sd,SSL certificate problem: certificate has expired,none
postmaster.sji.gov.sd,SSL certificate problem: certificate has expired,none
presidency.gov.sd,200,10 mail.presidency.gov.sd.
pro.nmpb.gov.sd,Could not resolve host: pro.nmpb.gov.sd,none
pttracking.gov.sd,Connection timed out after 3002 milliseconds,0 pttracking.gov.sd.
qa-afaq.mofa.gov.sd,Could not resolve host: qa-afaq.mofa.gov.sd,none
redseaaffairs.gov.sd,Resolving timed out after 3001 milliseconds,dig error
redseagovernment.gov.sd,200,0 redseagovernment.gov.sd.
redseahealth.gov.sd,Resolving timed out after 3000 milliseconds,dig error
redseainvestment.gov.sd,Resolving timed out after 3000 milliseconds,none
redseaplan.gov.sd,Resolving timed out after 3000 milliseconds,dig error
redseaportsudan.gov.sd,Resolving timed out after 3000 milliseconds,dig error
redseasawakin.gov.sd,Resolving timed out after 3000 milliseconds,none
redseaselcoom.gov.sd,Could not resolve host: redseaselcoom.gov.sd,none
redseasinkat.gov.sd,Resolving timed out after 3000 milliseconds,none
redseatourism.gov.sd,Resolving timed out after 3000 milliseconds,none
reg.smsb.gov.sd,200,none
regi.smsb.gov.sd,Could not resolve host: regi.smsb.gov.sd,none
relay.moj.gov.sd,SSL certificate problem: certificate has expired,none
relay.sji.gov.sd,SSL certificate problem: certificate has expired,none
relay1.moj.gov.sd,SSL certificate problem: certificate has expired,none
remote.moj.gov.sd,SSL certificate problem: certificate has expired,none
roseiresdam.gov.sd,Could not resolve host: roseiresdam.gov.sd,none
rsf.gov.sd,Connection timed out after 3002 milliseconds,0 rsf.gov.sd.
rssa.gov.sd,SSL: no alternative certificate subject name matches target hostname 'rssa.gov.sd',none
rwh.diu.gov.sd,Could not resolve host: rwh.diu.gov.sd,none
said.gov.sd,Connection timed out after 3000 milliseconds,none
sbga.smsb.gov.sd,Could not resolve host: sbga.smsb.gov.sd,none
scaa.gov.sd,200,0 mail.scaa.gov.sd.
sdpp.gov.sd,Resolving timed out after 3000 milliseconds,dig error
secure.sji.gov.sd,SSL certificate problem: certificate has expired,none
sennarstate.gov.sd,Resolving timed out after 3000 milliseconds,none
server.moj.gov.sd,SSL certificate problem: certificate has expired,none
server.sji.gov.sd,SSL certificate problem: certificate has expired,none
server2.moj.gov.sd,SSL certificate problem: certificate has expired,none
service.edf.gov.sd,Could not resolve host: service.edf.gov.sd,none
sgcrtvt.gov.sd,SSL: no alternative certificate subject name matches target hostname 'sgcrtvt.gov.sd',25 mail.sgcrtvt.gov.sd.
simc.smsb.gov.sd,Could not resolve host: simc.smsb.gov.sd,none
sip.smsb.gov.sd,Could not resolve host: sip.smsb.gov.sd,none
sji.gov.sd,200,none
smsb.gov.sd,500,0 smsb.gov.sd.
smtp.moj.gov.sd,SSL certificate problem: certificate has expired,none
smtp01.moj.gov.sd,SSL certificate problem: certificate has expired,none
smtp1.moj.gov.sd,SSL certificate problem: certificate has expired,none
smtp1.sji.gov.sd,SSL certificate problem: certificate has expired,none
smtp2.sji.gov.sd,SSL certificate problem: certificate has expired,none
smtp3.moj.gov.sd,SSL certificate problem: certificate has expired,none
smtpseguro.moj.gov.sd,SSL certificate problem: certificate has expired,none
snapcw.gov.sd,Resolving timed out after 3001 milliseconds,none
snrra.gov.sd,Operation timed out after 3002 milliseconds with 0 bytes received,none
snudeaf.ncpd.gov.sd,Resolving timed out after 3001 milliseconds,none
social-affairs-rs.gov.sd,Could not resolve host: social-affairs-rs.gov.sd,none
spam.moj.gov.sd,SSL certificate problem: certificate has expired,none
sri.gov.sd,Resolving timed out after 3001 milliseconds,none
ssa.gov.sd,Resolving timed out after 3001 milliseconds,none
sstp.gov.sd,Resolving timed out after 3001 milliseconds,none
studentwelfare.gov.sd,Resolving timed out after 3001 milliseconds,none
sudamin.gov.sd,Resolving timed out after 3001 milliseconds,none
sudan-tourism.gov.sd,Could not resolve host: sudan-tourism.gov.sd,none
sudanrnau.gov.sd,Resolving timed out after 3001 milliseconds,dig error
taradhi.moj.gov.sd,SSL certificate problem: certificate has expired,none
tax.gov.sd,200,none
test.ipsudan.gov.sd,SSL certificate problem: certificate has expired,none
testme.agrinorthern.gov.sd,Could not resolve host: testme.agrinorthern.gov.sd,none
tpra.gov.sd,Resolving timed out after 3002 milliseconds,none
tpravc.tpra.gov.sd,Could not resolve host: tpravc.tpra.gov.sd,none
uni-col.gov.sd,Resolving timed out after 3002 milliseconds,dig error
union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'union.gov.sd',25 mail.union.gov.sd.
vc.ntc.gov.sd,Could not resolve host: vc.ntc.gov.sd,none
vc.tpra.gov.sd,Resolving timed out after 3001 milliseconds,dig error
vcapp.tpra.gov.sd,Resolving timed out after 3001 milliseconds,dig error
w.moj.gov.sd,SSL certificate problem: certificate has expired,none
wafir.gov.sd,Could not resolve host: wafir.gov.sd,none
watania.gov.sd,Could not resolve host: watania.gov.sd,none
wataniait.gov.sd,Could not resolve host: wataniait.gov.sd,none
water.ogs.gov.sd,Could not resolve host: water.ogs.gov.sd,none
webdisk.agrinorthern.gov.sd,Could not resolve host: webdisk.agrinorthern.gov.sd,none
webdisk.bgaim.gov.sd,Could not resolve host: webdisk.bgaim.gov.sd,none
webdisk.ciasa.gov.sd,Could not resolve host: webdisk.ciasa.gov.sd,none
webdisk.diu.gov.sd,Could not resolve host: webdisk.diu.gov.sd,none
webdisk.gafe.gov.sd,SSL: no alternative certificate subject name matches target hostname 'webdisk.gafe.gov.sd',none
webdisk.halalsudan.gov.sd,Resolving timed out after 3000 milliseconds,none
webdisk.kassalamfi.gov.sd,Could not resolve host: webdisk.kassalamfi.gov.sd,none
webdisk.kibfsudan.gov.sd,Could not resolve host: webdisk.kibfsudan.gov.sd,none
webdisk.merowedam.gov.sd,Could not resolve host: webdisk.merowedam.gov.sd,none
webdisk.moj.gov.sd,401,none
webdisk.nmpb.gov.sd,SSL: no alternative certificate subject name matches target hostname 'webdisk.nmpb.gov.sd',none
webdisk.nmsf.gov.sd,Could not resolve host: webdisk.nmsf.gov.sd,none
webdisk.ocewc.gov.sd,Resolving timed out after 3000 milliseconds,dig error
webdisk.ogs.gov.sd,401,none
webdisk.roseiresdam.gov.sd,Could not resolve host: webdisk.roseiresdam.gov.sd,none
webdisk.rsf.gov.sd,Connection timed out after 3002 milliseconds,none
webdisk.rssa.gov.sd,SSL: no alternative certificate subject name matches target hostname 'webdisk.rssa.gov.sd',none
webdisk.sgcrtvt.gov.sd,SSL: no alternative certificate subject name matches target hostname 'webdisk.sgcrtvt.gov.sd',none
webdisk.smsb.gov.sd,401,none
webdisk.sudamin.gov.sd,Resolving timed out after 3001 milliseconds,dig error
webdisk.union.gov.sd,SSL: no alternative certificate subject name matches target hostname 'webdisk.union.gov.sd',none
webdisk.zakat-chamber.gov.sd,401,none
webdisk.zakatalgadarif.gov.sd,Could not resolve host: webdisk.zakatalgadarif.gov.sd,none
webdisk.zakatcompanies.gov.sd,401,none
webdisk.zakatkassala.gov.sd,Resolving timed out after 3000 milliseconds,none
webmail.agri-khs.gov.sd,Resolving timed out after 3000 milliseconds,dig error
webmail.agrinorthern.gov.sd,Could not resolve host: webmail.agrinorthern.gov.sd,none
webmail.bahry.gov.sd,Resolving timed out after 3000 milliseconds,dig error
webmail.bgaim.gov.sd,Could not resolve host: webmail.bgaim.gov.sd,none
webmail.ciasa.gov.sd,Could not resolve host: webmail.ciasa.gov.sd,none
webmail.diu.gov.sd,Could not resolve host: webmail.diu.gov.sd,none
webmail.edukh.gov.sd,Resolving timed out after 3000 milliseconds,dig error
webmail.familymedicine.gov.sd,Resolving timed out after 3001 milliseconds,dig error
webmail.fmoh.gov.sd,Could not resolve host: webmail.fmoh.gov.sd,none
webmail.gafe.gov.sd,Could not resolve host: webmail.gafe.gov.sd,none
webmail.halalsudan.gov.sd,Resolving timed out after 3000 milliseconds,none
webmail.isd.gov.sd,Resolving timed out after 3000 milliseconds,dig error
webmail.kassalamfi.gov.sd,Could not resolve host: webmail.kassalamfi.gov.sd,none
webmail.khbuilding.gov.sd,Resolving timed out after 3000 milliseconds,dig error
webmail.kibfsudan.gov.sd,Could not resolve host: webmail.kibfsudan.gov.sd,none
webmail.lcons.gov.sd,Resolving timed out after 3000 milliseconds,none
webmail.mcit.gov.sd,Resolving timed out after 3000 milliseconds,dig error
