subdomain,mx
smtp2.sji.gov.sd,none
smtp3.moj.gov.sd,none
smtpseguro.moj.gov.sd,none
snapcw.gov.sd,none
snrra.gov.sd,none
snudeaf.ncpd.gov.sd,none
social-affairs-rs.gov.sd,none
spam.moj.gov.sd,none
sri.gov.sd,none
ssa.gov.sd,none
sstp.gov.sd,none
studentwelfare.gov.sd,none
sudamin.gov.sd,none
sudan-tourism.gov.sd,none
sudanrnau.gov.sd,dig error
taradhi.moj.gov.sd,none
tax.gov.sd,none
test.ipsudan.gov.sd,none
testme.agrinorthern.gov.sd,none
tpra.gov.sd,none
tpravc.tpra.gov.sd,none
uni-col.gov.sd,dig error
union.gov.sd,25 mail.union.gov.sd.
vc.ntc.gov.sd,none
vc.tpra.gov.sd,dig error
vcapp.tpra.gov.sd,dig error
w.moj.gov.sd,none
wafir.gov.sd,none
watania.gov.sd,none
wataniait.gov.sd,none
water.ogs.gov.sd,none
webdisk.agrinorthern.gov.sd,none
webdisk.bgaim.gov.sd,none
webdisk.ciasa.gov.sd,none
webdisk.diu.gov.sd,none
webdisk.gafe.gov.sd,none
webdisk.halalsudan.gov.sd,none
webdisk.kassalamfi.gov.sd,none
webdisk.kibfsudan.gov.sd,none
webdisk.merowedam.gov.sd,none
webdisk.moj.gov.sd,none
webdisk.nmpb.gov.sd,none
webdisk.nmsf.gov.sd,none
webdisk.ocewc.gov.sd,dig error
webdisk.ogs.gov.sd,none
webdisk.roseiresdam.gov.sd,none
webdisk.rsf.gov.sd,none
webdisk.rssa.gov.sd,none
webdisk.sgcrtvt.gov.sd,none
webdisk.smsb.gov.sd,none
webdisk.sudamin.gov.sd,dig error
webdisk.union.gov.sd,none
webdisk.zakat-chamber.gov.sd,none
webdisk.zakatalgadarif.gov.sd,none
webdisk.zakatcompanies.gov.sd,none
webdisk.zakatkassala.gov.sd,none
webmail.agri-khs.gov.sd,dig error
webmail.agrinorthern.gov.sd,none
webmail.bahry.gov.sd,dig error
webmail.bgaim.gov.sd,none
webmail.ciasa.gov.sd,none
webmail.diu.gov.sd,none
webmail.edukh.gov.sd,dig error
webmail.familymedicine.gov.sd,dig error
webmail.fmoh.gov.sd,none
webmail.gafe.gov.sd,none
webmail.halalsudan.gov.sd,none
webmail.isd.gov.sd,dig error
webmail.kassalamfi.gov.sd,none
webmail.khbuilding.gov.sd,dig error
webmail.kibfsudan.gov.sd,none
webmail.lcons.gov.sd,none
webmail.mcit.gov.sd,dig error
webmail.merowedam.gov.sd,none
webmail.moj.gov.sd,none
webmail.ncca.gov.sd,dig error
webmail.ngc.gov.sd,none
webmail.nicsudan.gov.sd,none
webmail.nileadminreform.gov.sd,dig error
webmail.nilealshaheed.gov.sd,none
webmail.nileatbara.gov.sd,none
webmail.nilegrievances.gov.sd,none
webmail.nileislamic.gov.sd,none
webmail.nilekhiar.gov.sd,none
webmail.nilequality.gov.sd,dig error
webmail.nileselectcommity.gov.sd,none
webmail.nilewater.gov.sd,none
webmail.nilewatnia.gov.sd,dig error
webmail.nilewomenunion.gov.sd,dig error
webmail.nkordofan.gov.sd,dig error
webmail.nmpb.gov.sd,none
webmail.nmsf.gov.sd,none
webmail.npc.gov.sd,dig error
webmail.ocewc.gov.sd,dig error
webmail.ogs.gov.sd,none
webmail.roseiresdam.gov.sd,none
webmail.rsf.gov.sd,none
webmail.rssa.gov.sd,none
webmail.sgcrtvt.gov.sd,none
webmail.sji.gov.sd,none
webmail.smsb.gov.sd,none
webmail.snapcw.gov.sd,dig error
webmail.snrra.gov.sd,none
webmail.sudamin.gov.sd,none
webmail.uni-col.gov.sd,none
webmail.union.gov.sd,none
webmail.ysaf.gov.sd,dig error
webmail.zakat-chamber.gov.sd,none
