hostname,http_status,mx
missionmali.ch,200,none
missionofnamibia.ch,200,5 mta-gw.infomaniak.ch.
missionsenegal-geneve.org,200,5 mta-gw.infomaniak.ch.
mobilis-vaud.ch,301,1 mobilisvaud-ch01i.mail.protection.outlook.com.
mofaic.gov.ae,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
mozambiqueembassy.ch,200,none
mylibero.ch,301,none
mzv.cz,302,50 mzvczemta05.mzv.cz.; 10 mzvczemta06.mzv.cz.
mzv.sk,301,none
nationalmuseum.ch,301,10 mailfilter.nationalmuseum.ch.
ne.ch,301,10 nemx9a.ne.ch.; 10 ne2mx9a.ne.ch.
norway.no,301,0 mx.domeneshop.no.
nunziatura.ch,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching nunziatura.ch found.,10 mx1.mail.hostpoint.ch.; 10 mx2.mail.hostpoint.ch.
nw.ch,301,10 ktvmx03.mail.admin.ch.; 10 ktvmx04.mail.admin.ch.; 10 ktvmx02.mail.admin.ch.; 10 ktvmx01.mail.admin.ch.
ombudsstelle.bs.ch,301,none
ondeverte.ch,301,1 ondeverte-ch.mail.protection.outlook.com.
ostwind.ch,301,0 ostwind-ch.mail.protection.outlook.com.
ow.ch,HttpConnectTimeoutException: HTTP connect timed out,10 ktvmx01.mail.admin.ch.; 10 ktvmx03.mail.admin.ch.; 10 ktvmx04.mail.admin.ch.; 10 ktvmx02.mail.admin.ch.
parlament.ch,302,10 mx02.mailsecurity.swisscom.com.; 10 mx01.mailsecurity.swisscom.com.
parlement.vs.ch,302,none
passepartout.ch,200,10 mx.lu.ch.
patentgericht.ch,301,none
pd.bs.ch,301,none
pfpdt.ch,301,none
police.be.ch,HttpConnectTimeoutException: HTTP connect timed out,10 mailhub1.police.be.ch.; 10 mailhub2.police.be.ch.
polizei.lu.ch,200,none
prohelvetia.ch,302,none
promfr.ch,301,5 mta-gw.infomaniak.ch.
