subdomain,http_status,mx
bienes.fundacite-barinas.gob.ve,Could not resolve host: bienes.fundacite-barinas.gob.ve,none
bienes.ona.gob.ve,Could not resolve host: bienes.ona.gob.ve,none
bigbluebutton.mppp.gob.ve,Could not resolve host: bigbluebutton.mppp.gob.ve,none
billeteramovil.gob.ve,Connection timed out after 3001 milliseconds,none
blockchain.gob.ve,Could not resolve host: blockchain.gob.ve,none
bomberos.bomberosmerida.gob.ve,Could not resolve host: bomberos.bomberosmerida.gob.ve,none
bomberosmerida.gob.ve,200,0 bomberosmerida.gob.ve.
box.austria.gob.ve,Could not resolve host: box.austria.gob.ve,none
bpsenlinea.gob.ve,Connection timed out after 3002 milliseconds,none
browser-defense.bt.gob.ve,Could not resolve host: browser-defense.bt.gob.ve,none
bt.gob.ve,Could not resolve host: bt.gob.ve,20 mail1.bt.gob.ve.; 5 mail.bt.gob.ve.
bustaguanes.cojedes.gob.ve,Resolving timed out after 3001 milliseconds,dig error
bustaguanes.gob.ve,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,10 _dc-mx.3579e8b30cdc.bustaguanes.gob.ve.
bustrujillo.gob.ve,Could not resolve host: bustrujillo.gob.ve,none
cabelum.gob.ve,200,10 correo.cabelum.gob.ve.
cafevenezuela.gob.ve,Connection timed out after 3002 milliseconds,10 mail.cafevenezuela.gob.ve.
canaima.fundacite-bolivar.gob.ve,Resolving timed out after 3000 milliseconds,dig error
canaima.softwarelibre.gob.ve,200,none
car.caracas.gob.ve,Could not resolve host: car.caracas.gob.ve,none
caracas.gob.ve,Could not resolve host: caracas.gob.ve,10 correo.caracas.gob.ve.
carnetdelapatria.gob.ve,Resolving timed out after 3001 milliseconds,none
carrizal-miranda.gob.ve,Could not resolve host: carrizal-miranda.gob.ve,none
casadelartista.gob.ve,Could not resolve host: casadelartista.gob.ve,none
categ.alcaldiagirardot.gob.ve,Resolving timed out after 3000 milliseconds,dig error
cdn.sahum.gob.ve,Could not resolve host: cdn.sahum.gob.ve,none
cebm.gob.ve,301,0 cebm.gob.ve.
celarg.gob.ve,Resolving timed out after 3000 milliseconds,dig error
cem.cebm.gob.ve,500,none
cem.gob.ve,Resolving timed out after 3000 milliseconds,dig error
cenave.inea.gob.ve,200,none
cencoex.gob.ve,Could not resolve host: cencoex.gob.ve,none
censo.zecarabobo.gob.ve,403,none
certificados.fundacite-barinas.gob.ve,Could not resolve host: certificados.fundacite-barinas.gob.ve,none
cescloud.cgesucre.gob.ve,Could not resolve host: cescloud.cgesucre.gob.ve,none
cesmail.cgesucre.gob.ve,SSL certificate problem: unable to get local issuer certificate,none
cesppa.gob.ve,Resolving timed out after 3000 milliseconds,dig error
cfg.gob.ve,Failed to connect to cfg.gob.ve port 443 after 573 ms: Could not connect to server,10 correo.cfg.gob.ve.
chacao.gob.ve,200,0 mail.chacao.gob.ve.
chat.nuevaesparta.gob.ve,Resolving timed out after 3001 milliseconds,none
ciara.gob.ve,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name,none
cicpc.gob.ve,SSL certificate problem: unable to get local issuer certificate,10 pmgatew.cicpc.gob.ve.
circuitorrb.gob.ve,Could not resolve host: circuitorrb.gob.ve,none
circulomilitar.gob.ve,Could not resolve host: circulomilitar.gob.ve,none
citaslegalizaciones.mppre.gob.ve,Resolving timed out after 3000 milliseconds,none
citasmarcelroche.fundacite-barinas.gob.ve,Could not resolve host: citasmarcelroche.fundacite-barinas.gob.ve,none
