hostname,mentions,evidence
krs.com.pl,1,KRAJOWA RADA SPÓŁDZIELCZA
krs.pl,1,KRAJOWA RADA SĄDOWNICTWA
kss.gov.pl,1,KRAJOWA SZKOŁA SKARBOWOŚCI
kssip.gov.pl,1,KRAJOWA SZKOŁA SĄDOWNICTWA I PROKURATURY
lasy.gov.pl,2,DYREKCJA GENERALNA LASÓW PAŃSTWOWYCH | PAŃSTWOWE GOSPODARSTWO LEŚNE LASY PAŃSTWOWE
lodz.sa.gov.pl,1,SĄD APELACYJNY W ŁODZI
lodz.wsa.gov.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W ŁODZI
lublin.sa.gov.pl,1,SĄD APELACYJNY W LUBLINIE
lukasiewicz.gov.pl,1,CENTRUM ŁUKASIEWICZ
mein.gov.pl,1,MINISTERSTWO EDUKACJI NARODOWEJ
mosibndkwz.wp.mil.pl,1,MIĘDZYNARODOWY OŚRODEK SZKOLENIA I BADAŃ NAD DZIEDZICTWEM KULTURY W ZAGROŻENIU
mpips.gov.pl,1,"MINISTERSTWO RODZINY, PRACY I POLITYKI SPOŁECZNEJ"
nac.gov.pl,1,NARODOWE ARCHIWUM CYFROWE
nawa.gov.pl,1,NARODOWA AGENCJA WYMIANY AKADEMICKIEJ
nbp.pl,1,NARODOWY BANK POLSKI
ncbir.gov.pl,1,NARODOWE CENTRUM BADAŃ I ROZWOJU
ncn.gov.pl,1,NARODOWE CENTRUM NAUKI
nfosigw.gov.pl,1,NARODOWY FUNDUSZ OCHRONY ŚRODOWISKA I GOSPODARKI WODNEJ
nfz.gov.pl,1,NARODOWY FUNDUSZ ZDROWIA
nia.org.pl,1,NACZELNA IZBA APTEKARSKA
nik.gov.pl,1,NAJWYŻSZA IZBA KONTROLI
nil.org.pl,1,NACZELNA IZBA LEKARSKA
nipip.pl,1,NACZELNA IZBA PIELĘGNIAREK I POŁOŻNYCH
nsa.gov.pl,1,NACZELNY SĄD ADMINISTRACYJNY
ohp.pl,1,KOMENDA GŁÓWNA OCHOTNICZYCH HUFCÓW PRACY
ormon.wp.mil.pl,1,OŚRODEK REPREZENTACYJNY MINISTERSTWA OBRONY NARODOWEJ
paih.gov.pl,1,POLSKA AGENCJA INWESTYCJI I HANDLU SPÓŁKA AKCYJNA
pan.pl,1,POLSKA AKADEMIA NAUK
pana.gov.pl,1,POLSKA AGENCJA NADZORU AUDYTOWEGO
pansa.pl,1,POLSKA AGENCJA ŻEGLUGI POWIETRZNEJ
parp.gov.pl,1,POLSKA AGENCJA ROZWOJU PRZEDSIĘBIORCZOŚCI
pca.gov.pl,1,POLSKIE CENTRUM AKREDYTACJI
pfron.org.pl,1,PAŃSTWOWY FUNDUSZ REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH
piib.org.pl,1,POLSKA IZBA INŻYNIERÓW BUDOWNICTWA
piorin.gov.pl,1,GŁÓWNY INSPEKTORAT OCHRONY ROŚLIN I NASIENNICTWA
pip.gov.pl,1,PAŃSTWOWA INSPEKCJA PRACY GŁÓWNY INSPEKTORAT PRACY
pka.edu.pl,1,BIURO POLSKIEJ KOMISJI AKREDYTACYJNEJ
pkn.pl,1,POLSKI KOMITET NORMALIZACYJNY
pkwk.pl,1,POLSKI KLUB WYŚCIGÓW KONNYCH
policja.pl,2,BIURO SPRAW WEWNĘTRZNYCH POLICJI | KOMENDA GŁÓWNA POLICJI
polmicro.edu.pl,1,CENTRALNY OŚRODEK BADAŃ JAKOŚCI W DIAGNOSTYCE MIKROBIOLOGICZNEJ
polsa.gov.pl,1,POLSKA AGENCJA KOSMICZNA
pot.gov.pl,1,POLSKA ORGANIZACJA TURYSTYCZNA
poznan.sa.gov.pl,1,SĄD APELACYJNY W POZNANIU
premier.gov.pl,1,KANCELARIA PREZESA RADY MINISTRÓW
rars.gov.pl,1,RZĄDOWA AGENCJA REZERW STRATEGICZNYCH W WARSZAWIE
rcb.gov.pl,1,RZĄDOWE CENTRUM BEZPIECZEŃSTWA
rcl.gov.pl,1,RZĄDOWE CENTRUM LEGISLACJI
rdn.gov.pl,1,RADA DOSKONAŁOŚCI NAUKOWEJ
rf.gov.pl,1,RZECZNIK FINANSOWY
rpo.gov.pl,1,BIURO RZECZNIKA PRAW OBYWATELSKICH
rzecznikmsp.gov.pl,1,BIURO RZECZNIKA MAŁYCH I ŚREDNICH PRZEDSIĘBIORCÓW
rzecznikpatentowy.org.pl,1,POLSKA IZBA RZECZNIKÓW PATENTOWYCH
rzeszow.sa.gov.pl,1,SĄD APELACYJNY W RZESZOWIE
sar.gov.pl,1,MORSKA SŁUŻBA POSZUKIWANIA I RATOWNICTWA
schr.gov.pl,1,KRAJOWA STACJA CHEMICZNO-ROLNICZA W WARSZAWIE
sejm.gov.pl,1,KANCELARIA SEJMU
senat.gov.pl,1,KANCELARIA SENATU
skw.gov.pl,1,SŁUŻBA KONTRWYWIADU WOJSKOWEGO
sn.pl,1,SĄD NAJWYŻSZY
sop.gov.pl,1,SŁUŻBA OCHRONY PAŃSTWA
stat.gov.pl,1,GŁÓWNY URZĄD STATYSTYCZNY
std.bialystok.pl,1,OŚRODEK DIAGNOSTYCZNO-BADAWCZY CHORÓB PRZENOSZONYCH DROGĄ PŁCIOWĄ W BIAŁYMSTOKU
strazgraniczna.pl,1,KOMENDA GŁÓWNA STRAŻY GRANICZNEJ
sw.gov.pl,2,BIURO EMERYTALNE SŁUŻBY WIĘZIENNEJ | CENTRALNY ZARZĄD SŁUŻBY WIĘZIENNEJ
sww.gov.pl,1,SŁUŻBA WYWIADU WOJSKOWEGO
szczecin.sa.gov.pl,1,SĄD APELACYJNY W SZCZECINIE
szczecin.wsa.gov.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W SZCZECINIE
tdt.gov.pl,1,TRANSPORTOWY DOZÓR TECHNICZNY
trybunal.gov.pl,1,TRYBUNAŁ KONSTYTUCYJNY
udt.gov.pl,1,URZĄD DOZORU TECHNICZNEGO
ufg.pl,1,UBEZPIECZENIOWY FUNDUSZ GWARANCYJNY
uke.gov.pl,1,URZĄD KOMUNIKACJI ELEKTRONICZNEJ
ulc.gov.pl,1,URZĄD LOTNICTWA CYWILNEGO
uodo.gov.pl,1,URZĄD OCHRONY DANYCH OSOBOWYCH
uokik.gov.pl,1,URZĄD OCHRONY KONKURENCJI I KONSUMENTÓW
uprp.gov.pl,1,URZĄD PATENTOWY RZECZYPOSPOLITEJ POLSKIEJ
ure.gov.pl,1,URZĄD REGULACJI ENERGETYKI
utk.gov.pl,1,URZĄD TRANSPORTU KOLEJOWEGO
vetpol.org.pl,1,KRAJOWA IZBA LEKARSKO-WETERYNARYJNA
warszawa.wsa.gov.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W WARSZAWIE
waw.sa.gov.pl,1,SĄD APELACYJNY W WARSZAWIE
wcm.wp.mil.pl,2,CENTRALNY WOJSKOWY OŚRODEK METROLOGII | WOJSKOWE CENTRUM METROLOGII W WARSZAWIE
wcnjk.wp.mil.pl,1,"WOJSKOWE CENTRUM NORMALIZACJI, JAKOŚCI I KODYFIKACJI"
wetgiw.gov.pl,1,GŁÓWNY INSPEKTORAT WETERYNARII
wlw.wp.mil.pl,1,WŁADZA LOTNICTWA WOJSKOWEGO
wody.gov.pl,1,PAŃSTWOWE GOSPODARSTWO WODNE WODY POLSKIE
wojsko-polskie.pl,5,CENTRALNE WOJSKOWE CENTRUM REKRUTACJI W WARSZAWIE | CENTRALNY WOJSKOWY ZESPÓŁ SPORTOWY | CENTRUM WETERANA DZIAŁAŃ POZA GRANICAMI PAŃSTWA | KOMENDA ...
wojskowa-il.org.pl,1,WOJSKOWA IZBA LEKARSKA W WARSZAWIE
wroclaw.sa.gov.pl,1,SĄD APELACYJNY WE WROCŁAWIU
wroclaw.wsa.gov.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY WE WROCŁAWIU
wsa-gorzow.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W GORZOWIE WIELKOPOLSKIM
wsa.gliwice.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W GLIWICACH
wsa.poznan.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W POZNANIU
wug.gov.pl,1,WYŻSZY URZĄD GÓRNICZY
ziotp.wp.mil.pl,1,ZAKŁAD INWESTYCJI ORGANIZACJI TRAKTATU PÓŁNOCNOATLANTYCKIEGO
zrp.pl,1,ZWIĄZEK RZEMIOSŁA POLSKIEGO
zus.pl,2,FUNDUSZ REZERWY DEMOGRAFICZNEJ | ZAKŁAD UBEZPIECZEŃ SPOŁECZNYCH
zzpprzymz.pl,1,ZAKŁAD ZAMÓWIEŃ PUBLICZNYCH PRZY MINISTRZE ZDROWIA
