hostname,score,sources,label,level,http_status,mx
cortedicassazione.it,6,wikidata,Supreme Court of Cassation,central,HttpConnectTimeoutException: HTTP connect timed out,0 mx0.nettuno.it.; 10 mx2.nettuno.it.
mzv.cz,6,wikidata;wikidata,embassy of the Czech Republic in Italy | embassy of Czech Republic to the Holy See,central,302,50 mzvczemta05.mzv.cz.; 10 mzvczemta06.mzv.cz.
mzv.sk,6,wikidata;wikidata,embassy of Slovakia to the Holy See | Embassy of the Slovak Republic in Rome,central,HttpConnectTimeoutException: HTTP connect timed out,10 mail.gov.sk.
regione.sicilia.it,6,wikidata;wikidata;wikidata;linkgraph,Soprintendenza Beni Culturali e Ambientali di Siracusa | Naxos | Sicily,,200,10 esg.fast360rm.it.
roc-taiwan.org,6,wikidata;wikidata,Taipei Representative Office in Italy,,302,none
agenziaumbriaricerche.it,5,directory,Agenzia Umbria Ricerche,,HttpConnectTimeoutException: HTTP connect timed out,20 agenziaumbriaricerche-it.mail.protection.outlook.com.
agritechcenter.it,5,directory,CENTRO NAZIONALE DI RICERCA PER LE TECNOLOGIE DELL'AGRICOLTURA - AGRITECH,,HttpConnectTimeoutException: HTTP connect timed out,20 agritechcenter-it.mail.protection.outlook.com.
altamatematica.it,5,directory,"Istituto Nazionale di Alta Matematica ""Francesco Severi""",,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
areasciencepark.it,5,directory,Area Science Park,,301,10 areasciencepark-it.mail.protection.outlook.com.
arpa.piemonte.it,5,linkgraph,Linked from 6 public-sector domains,,ConnectException,10 arpa-piemonte-it.mail.protection.outlook.com.
biotecnopolo.it,5,directory,Fondazione Biotecnopolo di Siena,,302,20 biotecnopolo-it.mail.protection.outlook.com.
centroricerchemarine.it,5,directory,Fondazione Centro Ricerche Marine,,301,10 mx.centroricerchemarine.it.
centrostudi.alumbria.it,5,directory,Centro Studi Giuridici e Politici,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
cgsse.it,5,directory,Commissione di Garanzia dell'Attuazione della Legge sullo Sciopero nei Servizi Pubblici Essenziali - CGS,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
cirps.it,5,directory,CENTRO INTERUNIVERSITARIO DI RICERCA PER LO SVILUPPO SOSTENIBILE,,301,none
cmcc.it,5,directory,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,,301,1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
consorziofabre.it,5,directory,"FABRE - CONSORZIO DI RICERCA PER LA VALUTAZIONE ED IL MONITORAGGIO DI PONTI, VIADOTTI E ALTRE STRUTTURE",,301,10 mx.consorziofabre.it.
covip.it,5,directory,Commissione di Vigilanza Sui Fondi Pensione,,HttpConnectTimeoutException: HTTP connect timed out,10 covip-it.mail.protection.outlook.com.
cref.it,5,directory,Museo Storico della Fisica e Centro Studi e Ricerche Enrico Fermi,,301,5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 30 mailweb.cref.it.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
domusmazziniana.it,5,directory,Istituto Domus Mazziniana,,301,10 mx.domusmazziniana.it.
entegeopaleontologico.it,5,directory,Ente Geopaleontologico di Pietraroja,,200,10 in.arubabusiness.it.
gcss.it,5,directory,Giunta storica nazionale,,301,0 mx50.momax.it.
gpdp.it,5,directory,Garante per la protezione dei dati personali - GP,,200,20 mx2.gpdp.it.; 10 mx1.gpdp.it.
granicoltura.it,5,directory,Stazione Consorziale Sperimentale di Granicoltura per La Sicilia,,301,10 mx.granicoltura.it.
humantechnopole.it,5,directory,Fondazione Human Technopole,,301,10 mail.register.it.
iit.it,5,directory,Fondazione Istituto Italiano di Tecnologia,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 iit-it.mail.protection.outlook.com.
inaf.it,5,directory,Istituto Nazionale di Astrofisica - INAF,,ConnectException,1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.
indire.it,5,directory,"Istituto Nazionale di documentazione, Innovazione e Ricerca Educativa",,ConnectException,0 indire-it.mail.protection.outlook.com.
infn.it,5,directory,Istituto Nazionale di Fisica Nucleare,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching infn.it found.,50 infngw1.infn.it.; 50 infngw2.infn.it.
inrim.it,5,directory,Istituto Nazionale di Ricerca Metrologica - INRIM,,ConnectException,5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
ires.piemonte.it,5,directory,Istituto Ricerche Economico Sociali del Piemonte,,301,10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
iresmo.it,5,directory,Istituto per Gli Studi Storici del Molise Vincenzo Cuoco Iresmo,,301,0 iresmo.it.
istitutocimbro.it,5,directory,Istituto Cimbro Kulturinstitut Lusern,,301,10 mx.istitutocimbro.it.
istitutoitalianonumismatica.it,5,directory,ISTITUTO ITALIANO DI NUMISMATICA,,301,none
iststor.it,5,directory,Istituto Storico Italiano per L'Eta' Moderna e Contemporanea,,301,none
isuc.alumbria.it,5,directory,Istituto per La Storia dell'Umbria Contemporanea,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
iszsicilia.it,5,directory,Istituto Sperimentale Zootecnico per La Sicilia,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mailserver.ediset.it.
lens.unifi.it,5,directory,Laboratorio Europeo di Spettroscopie non Lineari,,200,20 alt2.aspmx.l.google.com.; 10 aspmx.l.google.com.; 30 aspmx2.googlemail.com.; 30 aspmx3.googlemail.com.; 30 aspmx4.googlemail.com.; 30 aspmx5.googlemail.com.; 20 alt1.aspmx.l.google.com.
minambiente.it,5,linkgraph,Linked from 5 public-sector domains,,301,10 mase-gov-it.mail.protection.outlook.com.
ogs.it,5,directory,Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS,,301,1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
risorgimento.it,5,directory,Istituto per La Storia del Risorgimento Italiano,,HttpConnectTimeoutException: HTTP connect timed out,none
sardegnaricerche.it,5,directory,Sardegna Ricerche,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sardegnaricerche.it found.,none
studigermanici.it,5,directory,Istituto Italiano di Studi Germanici,,301,5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
szn.it,5,directory,Stazione Zoologica,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 szn-it.mail.protection.outlook.com.
uan.it,5,directory,Unione Accademica Nazionale,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 server.uan.it.
upbilancio.it,5,directory,Ufficio Parlamentare di Bilancio,,HttpConnectTimeoutException: HTTP connect timed out,10 mx2.hc2468-63.eu.iphmx.com.; 10 mx1.hc2468-63.eu.iphmx.com.
vigilanzasport.it,5,directory,Commissione indipendente per la verifica dell'equilibrio economico e finanziario delle società sportive professionistiche,,HttpConnectTimeoutException: HTTP connect timed out,10 vigilanzasport-it.mail.protection.outlook.com.
abr.lazio.it,4,wikidata,Q3630805,,ConnectException,5 smtp.olisys.it.
ac.infn.it,4,wikidata,"Istituto Nazionale di Fisica Nucleare, Amministrazione Centrale",,HttpConnectTimeoutException: HTTP connect timed out,10 pmg2.lnf.infn.it.; 10 pmg1.lnf.infn.it.
acquirenteunico.it,4,wikidata,Q3604745,,HttpConnectTimeoutException: HTTP connect timed out,none
adbarno.it,4,wikidata,Q3630780,,HttpConnectTimeoutException: HTTP connect timed out,5 mx.servizi.tix.it.
adbpo.it,4,wikidata,Authority of Po-Basin,,HttpConnectTimeoutException: HTTP connect timed out,0 adbpo-it.mail.protection.outlook.com.
adbve.it,4,wikidata,Q3630776,,403,none
adsptirrenocentrale.it,4,wikidata,Q138802237,,HttpConnectTimeoutException: HTTP connect timed out,10 adsptirrenocentrale-it.mail.protection.outlook.com.
affariregionali.it,4,wikidata,Q3708837,central,HttpConnectTimeoutException: HTTP connect timed out,none
agenzia.roma.it,4,wikidata,Agenzia per il controllo e la qualità dei servizi pubblici locali di Roma Capitale,,HttpConnectTimeoutException: HTTP connect timed out,none
algerianembassy.it,4,wikidata,"Embassy of Algeria, Rome",central,HttpConnectTimeoutException: HTTP connect timed out,none
ambaburkinaitalie.it,4,wikidata,embassy of Burkina Faso in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,none
ambacam.it,4,wikidata,embassy of Cameroon in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,none
ambamauritanieitaly.it,4,wikidata,embassy of Mauritania in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,none
ambasciatadelcongobrazzaville.it,4,wikidata,embassy of Republic of the Congo in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,none
ambasciatamarocco.it,4,wikidata,embassy of Morocco in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,10 mx.ambasciatamarocco.it.
ambasciatamontenegro.it,4,wikidata,embassy of Montenegro in Italy,central,200,none
ambasciataperu.it,4,wikidata,embassy of Peru in Italy,central,302,0 ambasciataperu.it.
ambassademali.it,4,wikidata,embassy of Mali in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,none
ambrsm.it,4,wikidata,embassy of San Marino in Italy,central,HttpConnectTimeoutException: HTTP connect timed out,none
ansv.it,4,wikidata,Agenzia Nazionale per la Sicurezza del Volo,,HttpTimeoutException: request timed out,10 ansv-it.mail.protection.outlook.com.
ao-garibaldi.catania.it,4,wikidata,Ospedale Garibaldi,,SSLHandshakeException: (unrecognized_name) Received fatal alert: unrecognized_name,none
aranagenzia.it,4,wikidata,Agenzia per la Rappresentanza Negoziale delle Pubbliche Amministrazioni,,301,0 aranagenzia-it.mail.protection.outlook.com.
archeo.piemonte.beniculturali.it,4,wikidata,Q134385421,,ConnectException,none
archeogat.it,4,wikidata,Gruppo Archeologico Torinese,,301,none
areeprotettealpimarittime.it,4,wikidata,Q3726228,,301,none
areeprotetteossola.it,4,wikidata,Q47341310,,301,0 mail.areeprotetteossola.it.
areeprotettevallesesia.it,4,wikidata,Q47348139,,302,none
areu.lombardia.it,4,wikidata,Agenzia Regionale Emergenza Urgenza,central-1,ConnectException,none
arnascivico.it,4,wikidata,"Azienda di rilievo nazionale e di alta specializzazione Ospedale civico e Benfratelli-Giovanni Di Cristina-Maurizio Ascoli di Palermo, Palermo (PA)",,ConnectException,30 alt4.aspmx.l.google.com.; 20 alt2.aspmx.l.google.com.; 20 alt1.aspmx.l.google.com.; 30 alt3.aspmx.l.google.com.; 10 aspmx.l.google.com.
aroundfaenza.it,4,wikidata,Romagna Faentina Union,,301,none
arpa.emr.it,4,wikidata,Agenzia Regionale Prevenzione E Ambiente Della Regione Emilia-Romagna,central-1,ConnectException,none
asdaa.it,4,wikidata,Q16294907,,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,none
asl2abruzzo.it,4,wikidata,ASL Lanciano Vasto Chieti,,301,10 mx.carboniocloud.com.
atmaancona.it,4,wikidata,Azienda Trasporti e Mobilità di Ancona e Provincia,,301,none
ats-brianza.it,4,wikidata,ATS Brianza,,200,none
ats-montagna.it,4,wikidata,ATS Montagna,,200,none
ats-pavia.it,4,wikidata,ATS di Pavia,,301,none
ats-valpadana.it,4,wikidata,ATS Val Padana,,200,none
aulss3.veneto.it,4,wikidata,Q123091777,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching aulss3.veneto.it found.,none
ausl-cesena.emr.it,4,wikidata,Azienda-Unita' Sanitaria Locale Di Cesena,,HttpConnectTimeoutException: HTTP connect timed out,none
