subdomain,http_status,mx
wavenoc2.esercito.difesa.it,Could not resolve host: wavenoc2.esercito.difesa.it,none
waveptx.esercito.difesa.it,Could not resolve host: waveptx.esercito.difesa.it,none
waveptx2.esercito.difesa.it,Could not resolve host: waveptx2.esercito.difesa.it,none
web.difesa.it,301,none
webrtc.aeronautica.difesa.it,200,none
webtv.difesa.it,200,none
worker1.elearning.esercito.difesa.it,200,none
worker2.elearning.esercito.difesa.it,200,none
www.aeronautica.difesa.it,200,none
www.avatarei.difesa.it,ConnectException > UnresolvedAddressException,
www.cmsedge.difesa.it,Could not resolve host: www.cmsedge.difesa.it,none
www.eventiam.aeronautica.difesa.it,Could not resolve host: www.eventiam.aeronautica.difesa.it,none
www.govpay.difesa.it,Could not resolve host: www.govpay.difesa.it,none
www.govpaytest.difesa.it,Could not resolve host: www.govpaytest.difesa.it,none
www.idp.aeronautica.difesa.it,Could not resolve host: www.idp.aeronautica.difesa.it,none
www.mail.marina.difesa.it,Could not resolve host: www.mail.marina.difesa.it,none
www.marina.difesa.it,302,none
www.ministerodifesa.spcoop.difesa.it,Could not resolve host: www.ministerodifesa.spcoop.difesa.it,none
www.questionnaire.aeronautica.difesa.it,Could not resolve host: www.questionnaire.aeronautica.difesa.it,none
www.spikad-ng.difesa.it,SSLHandshakeException > CertificateException: No subject alternative DNS name matching www.spikad-ng.difesa.it found.,
www.vc.difesa.it,Could not resolve host: www.vc.difesa.it,none
www.vdi.marina.difesa.it,Could not resolve host: www.vdi.marina.difesa.it,none
www.vdimdm.marina.difesa.it,Could not resolve host: www.vdimdm.marina.difesa.it,none
