subdomain,http_status
cpcalendars.minindustrie.gouv.cd,"Could not resolve host: cpcalendars.minindustrie.gouv.cd"
cpcontacts.cadastre.gouv.cd,"Could not resolve host: cpcontacts.cadastre.gouv.cd"
cpcalendars.ptntic.gouv.cd,"401"
cpcontacts.igf.gouv.cd,"Could not resolve host: cpcontacts.igf.gouv.cd"
cpcalendars.projet.numerique.gouv.cd,"Could not resolve host: cpcalendars.projet.numerique.gouv.cd"
cpcontacts.jeunesse-inc.gouv.cd,"Could not resolve host: cpcontacts.jeunesse-inc.gouv.cd"
autodiscover.ptntic.kongocentral.gouv.cd,"Could not resolve host: autodiscover.ptntic.kongocentral.gouv.cd"
autodiscover.comco.gouv.cd,"400"
autodiscover.onip.gouv.cd,"400"
cpcontacts.lualaba.gouv.cd,"Could not resolve host: cpcontacts.lualaba.gouv.cd"
covid.maniema.gouv.cd,"301"
anser.gouv.cd,"200"
cpcontacts.affaires-foncieres.gouv.cd,"301"
cpcalendars.comco.gouv.cd,"Could not resolve host: cpcalendars.comco.gouv.cd"
cpcontacts.affaires-coutumieres.gouv.cd,"401"
cpcontacts.interieur.gouv.cd,"Could not resolve host: cpcontacts.interieur.gouv.cd"
cpcalendars.minaffetcde.gouv.cd,"Could not resolve host: cpcalendars.minaffetcde.gouv.cd"
cpcontacts.minfin.gouv.cd,"Could not resolve host: cpcontacts.minfin.gouv.cd"
cpcontacts.minppr.gouv.cd,"Could not resolve host: cpcontacts.minppr.gouv.cd"
cpcontacts.minaffetcde.gouv.cd,"Could not resolve host: cpcontacts.minaffetcde.gouv.cd"
cpcontacts.mindecentralisation-ri.gouv.cd,"Could not resolve host: cpcontacts.mindecentralisation-ri.gouv.cd"
blog.maniema.gouv.cd,"301"
cpcontacts.communication.gouv.cd,"401"
autodiscover.lualaba.gouv.cd,"400"
cpcontacts.energie.gouv.cd,"401"
cpanel.comco.gouv.cd,"200"
cpcontacts.nordubangi.gouv.cd,"SSL certificate problem: certificate has expired"
cpanel.bpea.gouv.cd,"Could not resolve host: cpanel.bpea.gouv.cd"
cpcontacts.minptntic.gouv.cd,"Could not resolve host: cpcontacts.minptntic.gouv.cd"
cpcontacts.ambardc-londres.gouv.cd,"Could not resolve host: cpcontacts.ambardc-londres.gouv.cd"
cpcontacts.budget.gouv.cd,"Could not resolve host: cpcontacts.budget.gouv.cd"
cpanel.onip.gouv.cd,"200"
autodiscover.logirad.gouv.cd,"400"
cpcontacts.ptntic.gouv.cd,"Could not resolve host: cpcontacts.ptntic.gouv.cd"
cpcontacts.hydrocarbures.gouv.cd,"301"
cpcalendars.minepst.gouv.cd,"401"
cpcontacts.minetatminider.gouv.cd,"Could not resolve host: cpcontacts.minetatminider.gouv.cd"
autodiscover.kinshasa.gouv.cd,"400"
douanes.gouv.cd,"Could not resolve host: douanes.gouv.cd"
d.dgi.gouv.cd,"Could not resolve host: d.dgi.gouv.cd"
aisipa.ptntic.kongocentral.gouv.cd,"Could not resolve host: aisipa.ptntic.kongocentral.gouv.cd"
dcl.dgi.gouv.cd,"Could not resolve host: dcl.dgi.gouv.cd"
cpcontacts.villedegoma.gouv.cd,"Could not resolve host: cpcontacts.villedegoma.gouv.cd"
cpcontacts.projet.numerique.gouv.cd,"Could not resolve host: cpcontacts.projet.numerique.gouv.cd"
douane.gouv.cd,"Could not resolve host: douane.gouv.cd"
autodiscover.interieur.gouv.cd,"400"
autodiscover.plan-dcre.gouv.cd,"400"
cpj.medd.gouv.cd,"Could not resolve host: cpj.medd.gouv.cd"
cpanel.minaffet.gouv.cd,"Could not resolve host: cpanel.minaffet.gouv.cd"
cpcalendars.minaffet.gouv.cd,"Could not resolve host: cpcalendars.minaffet.gouv.cd"
drh.minesu.gouv.cd,"Could not resolve host: drh.minesu.gouv.cd"
cpcalendars.medd.gouv.cd,"401"
cpcalendars.minesu.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'cpcalendars.minesu.gouv.cd'"
esmicom.villedegoma.gouv.cd,"Could not resolve host: esmicom.villedegoma.gouv.cd"
esmic.villedegoma.gouv.cd,"Could not resolve host: esmic.villedegoma.gouv.cd"
