domain,http_status,mx
cio.gov,HttpConnectTimeoutException: HTTP connect timed out,none
cisa.gov,HttpConnectTimeoutException: HTTP connect timed out,10 mxa-00376703.gslb.gpphosted.com.; 10 mxb-00376703.gslb.gpphosted.com.
citap.gov,200,none
citizenscience.gov,HttpConnectTimeoutException: HTTP connect timed out,none
cjis.gov,HttpConnectTimeoutException: HTTP connect timed out,none
climate.gov,HttpConnectTimeoutException: HTTP connect timed out,none
clinicaltrial.gov,ConnectException,none
clinicaltrials.gov,HttpConnectTimeoutException: HTTP connect timed out,10 nihcesxway4.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.
clintonlibrary.gov,HttpConnectTimeoutException: HTTP connect timed out,10 us.etp.fireeyegov.com.
cloud.gov,HttpConnectTimeoutException: HTTP connect timed out,5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.
cms.gov,HttpConnectTimeoutException: HTTP connect timed out,20 alt1.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.
cmts.gov,HttpConnectTimeoutException: HTTP connect timed out,1 cmts-gov.mail.protection.outlook.com.
cncs.gov,ConnectException,10 cncs-gov.mail.protection.outlook.com.
cns.gov,HttpConnectTimeoutException: HTTP connect timed out,10 cns-gov.mail.protection.outlook.com.
cnss.gov,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
code.gov,301,none
coffa.gov,301,none
coil.gov,HttpConnectTimeoutException: HTTP connect timed out,10 mxb-00026101.gslb.gpphosted.com.; 10 mxa-00026101.gslb.gpphosted.com.
coldcaserecords.gov,301,10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
collegedrinkingprevention.gov,301,10 nihcesxway2.hub.nih.gov.; 10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxwayst01.hub.nih.gov.; 10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.; 10 nihcesxwayst02.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxway.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.
collegenavigator.gov,HttpConnectTimeoutException: HTTP connect timed out,none
commerce.gov,403,0 commerce-gov.mail.protection.outlook.com.
complaintreferralexpress.gov,HttpConnectTimeoutException: HTTP connect timed out,none
compliance.gov,HttpConnectTimeoutException: HTTP connect timed out,10 mxa-00026101.gslb.gpphosted.com.; 10 mxb-00026101.gslb.gpphosted.com.
comptrollerofthecurrency.gov,200,none
computersforlearning.gov,403,none
congress.gov,403,5 mx41.loc.gov.; 5 mx42.loc.gov.; 5 mx23.loc.gov.; 5 mx22.loc.gov.
congressionaldirectory.gov,301,none
congressionalrecord.gov,301,none
connect.gov,301,10 usda-gov.mail.protection.outlook.com.
conservation.gov,302,none
consumer.gov,HttpConnectTimeoutException: HTTP connect timed out,none
consumerbureau.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching consumerbureau.gov found.,none
consumerfinance.gov,301,15 cec-mtpe-01-03-p.inet.qwest.net.; 10 stn-mtpe-01-03-p.inet.qwest.net.; 5 consumerfinance-gov.mail.protection.outlook.com.
consumerfinancial.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching consumerfinancial.gov found.,none
consumerfinancialprotectionbureau.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching consumerfinancialprotectionbureau.gov found.,none
consumerprotectionbureau.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching consumerprotectionbureau.gov found.,none
consumersentinel.gov,200,10 consumersentinel-gov.mail.protection.outlook.com.
consumidor.gov,403,none
contractdirectory.gov,301,none
copyright.gov,200,10 mxb-00026101.gslb.gpphosted.com.; 10 mxa-00026101.gslb.gpphosted.com.
copyrightclaimsboard.gov,301,none
coronavirus.gov,301,none
councils.gov,301,none
covid.gov,301,none
covidtest.gov,HttpConnectTimeoutException: HTTP connect timed out,none
covidtests.gov,HttpConnectTimeoutException: HTTP connect timed out,none
cpars.gov,HttpConnectTimeoutException: HTTP connect timed out,none
cpnireporting.gov,HttpConnectTimeoutException: HTTP connect timed out,10 mail.cpnireporting.gov.
cpsc.gov,301,0 cpsc-gov.mail.protection.outlook.com.
crb.gov,301,10 mxb-00026101.gslb.gpphosted.com.; 10 mxa-00026101.gslb.gpphosted.com.
creators.gov,403,none
crimesolutions.gov,301,10 mx-dc2.usdoj.gov.; 10 mx-da6.usdoj.gov.
criticalminerals.gov,301,none
crs.gov,HttpTimeoutException: request timed out,none
crypto.gov,302,none
csb.gov,301,10 csb-gov.mail.protection.outlook.com.
csce.gov,302,20 mxb-0018d802.gslb.pphosted.com.; 20 mxa-0018d802.gslb.pphosted.com.
csosa.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching csosa.gov found.,1 Csosao365.mail.protection.outlook.com.
cssbmb.gov,200,none
cttso.gov,522,10 iwtsd.mail.protection.office365.us.
cuidadodesalud.gov,301,none
cupcao.gov,ConnectException,none
currencyreader.gov,403,none
currencyreaderapplication.gov,301,none
cwc.gov,HttpConnectTimeoutException: HTTP connect timed out,10 cwc-gov.mail.protection.outlook.com.
cyber.gov,301,10 mxb-00376703.gslb.gpphosted.com.; 10 mxa-00376703.gslb.gpphosted.com.
cybercareers.gov,301,none
cybercrime.gov,301,none
cybersecurity.gov,HttpConnectTimeoutException: HTTP connect timed out,none
d250.gov,HttpConnectTimeoutException: HTTP connect timed out,none
data.gov,HttpConnectTimeoutException: HTTP connect timed out,none
dataprivacyframework.gov,200,none
dc3on.gov,ConnectException,10 mail.dc3on.gov.; 20 mail2.dc3on.gov.
dd214.gov,ConnectException,none
dea.gov,403,10 mx-jdcw.usdoj.gov.; 10 mx-da6.usdoj.gov.
deaecom.gov,302,10 mail.deaecom.gov.
declaration250.gov,ConnectException,none
defense.gov,403,none
dei.gov,HttpConnectTimeoutException: HTTP connect timed out,none
democraticleader.gov,302,none
democraticwhip.gov,302,20 mxb-0018d802.gslb.pphosted.com.; 20 mxa-0018d802.gslb.pphosted.com.
democrats.gov,ConnectException,none
dems.gov,302,none
denali.gov,200,0 denali-gov.mail.protection.outlook.com.
deregulation.gov,301,none
devcftc.gov,HttpConnectTimeoutException: HTTP connect timed out,none
devtestfan1.gov,ConnectException,10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
dfafacts.gov,HttpConnectTimeoutException: HTTP connect timed out,none
dfc.gov,301,0 dfc-gov.mail.protection.outlook.com.
dhhs.gov,HttpConnectTimeoutException: HTTP connect timed out,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
dhs.gov,301,10 mxa-00376703.gslb.gpphosted.com.; 10 mxb-00376703.gslb.gpphosted.com.
diabetescommittee.gov,HttpConnectTimeoutException: HTTP connect timed out,none
dietaryguidelines.gov,HttpConnectTimeoutException: HTTP connect timed out,none
digital.gov,200,none
digitalgov.gov,HttpConnectTimeoutException: HTTP connect timed out,none
digitalpreservation.gov,HttpConnectTimeoutException: HTTP connect timed out,none
digitizationguidelines.gov,HttpConnectTimeoutException: HTTP connect timed out,none
directoasucuenta.gov,HttpConnectTimeoutException: HTTP connect timed out,none
disasterassistance.gov,HttpConnectTimeoutException: HTTP connect timed out,none
disasterhousing.gov,HttpConnectTimeoutException: HTTP connect timed out,none
distraction.gov,ConnectException,none
dnfsb.gov,HttpConnectTimeoutException: HTTP connect timed out,0 dnfsb-gov.mail.protection.outlook.com.
dni.gov,HttpConnectTimeoutException: HTTP connect timed out,0 dni-gov.mail.protection.office365.us.
dns.gov,HttpConnectTimeoutException: HTTP connect timed out,none
dnsops.gov,ConnectException,none
doc.gov,HttpConnectTimeoutException: HTTP connect timed out,0 doc-gov.mail.protection.outlook.com.
docline.gov,HttpConnectTimeoutException: HTTP connect timed out,10 nihcesxway4.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.
doddns.gov,HttpConnectTimeoutException: HTTP connect timed out,none
doe.gov,SSLException: (unexpected_message) Received close_notify during handshake,10 mxb-002bc302.gslb.gpphosted.com.; 10 mxa-002bc302.gslb.gpphosted.com.
doge.gov,HttpConnectTimeoutException: HTTP connect timed out,0 inbound.mail.dmz.pitc.gov.
doi.gov,HttpConnectTimeoutException: HTTP connect timed out,0 doi-gov.mail.protection.outlook.com.
doioig.gov,301,5 doioig-gov.mail.protection.outlook.com.
doj.gov,ConnectException,10 mx-da6.usdoj.gov.; 10 mx-dc2.usdoj.gov.
dol.gov,301,0 dol-gov.mail.protection.outlook.com.
doleta.gov,HttpConnectTimeoutException: HTTP connect timed out,0 doleta-gov.mail.protection.outlook.com.
domainops.gov,HttpConnectTimeoutException: HTTP connect timed out,none
donaciondeorganos.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching donaciondeorganos.gov found.,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
donotcall.gov,200,10 donotcall-gov.mail.protection.outlook.com.
dontserveteens.gov,403,none
dot.gov,302,1 dot-gov.mail.protection.outlook.com.
dotgov.gov,301,10 mxb-00376703.gslb.gpphosted.com.; 10 mxa-00376703.gslb.gpphosted.com.
dotideahub.gov,HttpConnectTimeoutException: HTTP connect timed out,dig error
dra.gov,200,0 dra-gov.mail.protection.outlook.com.
driveelectric.gov,200,10 mxa-002bc302.gslb.gpphosted.com.; 10 mxb-002bc302.gslb.gpphosted.com.
drought.gov,301,none
drugabuse.gov,301,10 nihcesxwayst01.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.; 10 nihcesxwayst02.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxway.hub.nih.gov.; 10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxway2.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.
drywallresponse.gov,301,none
dsac.gov,301,none
e-qip.gov,HttpConnectTimeoutException: HTTP connect timed out,none
e-verify.gov,301,none
eac.gov,301,0 eac-gov.mail.protection.outlook.com.
eaglecash.gov,HttpConnectTimeoutException: HTTP connect timed out,none
earlycareers.gov,200,none
earmarks.gov,302,none
earth.gov,HttpConnectTimeoutException: HTTP connect timed out,none
earthquake.gov,301,none
ecfc.gov,ConnectException,10 inbound-smtp.us-east-1.amazonaws.com.
ecfr.gov,302,none
econsumer.gov,HttpConnectTimeoutException: HTTP connect timed out,none
ecpic.gov,302,none
ecr.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ecr.gov found.,0 ecr-gov.mail.protection.outlook.com.
ecs.gov,HttpConnectTimeoutException: HTTP connect timed out,none
ed.gov,HttpConnectTimeoutException: HTTP connect timed out,10 ed-gov.mail.protection.outlook.com.
eda.gov,HttpConnectTimeoutException: HTTP connect timed out,0 eda-gov.mail.protection.outlook.com.
edison.gov,HttpConnectTimeoutException: HTTP connect timed out,none
eeoc.gov,HttpConnectTimeoutException: HTTP connect timed out,0 eeoc-gov.mail.protection.outlook.com.
eftps.gov,302,none
ehr.gov,ConnectException,10 pri-jeemsg.eemsg.mail.mil.; 20 sec-jeemsg.eemsg.mail.mil.
eia.gov,301,10 mxb-002bc302.gslb.gpphosted.com.; 10 mxa-002bc302.gslb.gpphosted.com.
eisenhowerlibrary.gov,HttpConnectTimeoutException: HTTP connect timed out,none
eldercare.gov,HttpConnectTimeoutException: HTTP connect timed out,none
elderjustice.gov,301,none
emergency-federal-register.gov,302,none
employeeexpress.gov,301,none
employer.gov,403,none
empowhr.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching empowhr.gov found.,none
ems.gov,302,none
encuentraapoyo.gov,301,none
energy.gov,SSLException: (unexpected_message) Received close_notify during handshake,10 mxb-002bc302.gslb.gpphosted.com.; 10 mxa-002bc302.gslb.gpphosted.com.
energycodes.gov,200,10 emailgw01.pnnl.gov.; 20 emailgw02.pnnl.gov.; 0 energycodes-gov.mail.protection.outlook.com.
energysaver.gov,302,none
energysavers.gov,302,none
energystar.gov,301,50 grid1f6.gseg.att.com.; 5 grid1f.gseg.att.com.; 55 grid2f6.gseg.att.com.; 10 grid2f.gseg.att.com.
eop.gov,301,10 inbound.mail.dmz.pitc.gov.
epa.gov,301,0 usepa.mail.protection.outlook.com.
epaoig.gov,302,none
epic.gov,301,none
erpo.gov,ConnectException,10 inbound-smtp.us-east-1.amazonaws.com.
esc.gov,HttpConnectTimeoutException: HTTP connect timed out,10 relay4.faa.gov.; 10 amcrelay1.faa.gov.; 10 amcrelay2.faa.gov.; 10 relay3.faa.gov.; 10 amcrelay4.faa.gov.; 10 relay1.faa.gov.; 10 amcrelay3.faa.gov.; 10 relay2.faa.gov.
eseclab.gov,HttpConnectTimeoutException: HTTP connect timed out,dig error
esrs.gov,301,100 mail2.esrs.gov.; 100 mail1.esrs.gov.
eta-find.gov,SSLException: (internal_error) Received fatal alert: internal_error,10 mx2.frb.iphmx.com.; 10 mx1.frb.iphmx.com.
evaluation.gov,301,none
evergladesrestoration.gov,301,10 evergladesrestoration-gov.mail.protection.outlook.com.
everify.gov,301,none
everykidoutdoors.gov,HttpConnectTimeoutException: HTTP connect timed out,none
everytrycounts.gov,301,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
evus.gov,302,none
example.gov,ConnectException,
execsec.gov,HttpConnectTimeoutException: HTTP connect timed out,none
exim.gov,HttpConnectTimeoutException: HTTP connect timed out,0 exim-gov.mail.protection.outlook.com.
explore.gov,HttpConnectTimeoutException: HTTP connect timed out,none
